qid,label,class_label,class_qid
Q133423,Valley of the Kings,cemetery,Q39614
Q192134,Saqqara,cemetery,Q39614
Q216344,Arlington National Cemetery,cemetery,Q39614
Q192268,Abydos,cemetery,Q39614
Q648705,Naqsh-e Rustam,cemetery,Q39614
Q685414,Dahshur,cemetery,Q39614
Q558093,Gehenna,cemetery,Q39614
Q336098,Abusir,cemetery,Q39614
Q260386,Valley of the Queens,cemetery,Q39614
Q28924,Catacombs of Paris,cemetery,Q39614
Q931434,necropolis of Pantalica,cemetery,Q39614
Q1909993,Wadi-us-Salaam,cemetery,Q39614
Q154204,Al-Baqi',cemetery,Q39614
Q817286,Beni Hasan,cemetery,Q39614
Q817164,Imperial Tombs of the Ming and Qing Dynasties,cemetery,Q39614
Q750212,Deir el-Medina,cemetery,Q39614
Q533697,Highgate Cemetery,cemetery,Q39614
Q48441,Soviet War Memorial,cemetery,Q39614
Q155043,Makli Necropolis,cemetery,Q39614
Q287779,Lisht,cemetery,Q39614
Q438026,"Old Jewish Cemetery, Prague",cemetery,Q39614
Q671935,Shah-i-Zinda,cemetery,Q39614
Q5276996,Dilmun Burial Mounds,cemetery,Q39614
Q1092107,Passy Cemetery,cemetery,Q39614
Q335278,Abu Rawash,cemetery,Q39614
Q12404547,Mount of Olives Jewish Cemetery,cemetery,Q39614
Q2066414,City of the Dead,cemetery,Q39614
Q2471315,Armenian Cemetery in Julfa,cemetery,Q39614
Q1069411,Western Xia Mausoleums,cemetery,Q39614
Q1027069,Catacomb of Callixtus,cemetery,Q39614
Q56924,El-Lahun,cemetery,Q39614
Q2314811,Chellah,cemetery,Q39614
Q335336,Har HaMenuchot,cemetery,Q39614
Q1728834,Catacombe dei Cappuccini,cemetery,Q39614
Q1568852,"Old Jewish Cemetery, Sarajevo",cemetery,Q39614
Q2671839,Catacombs of Kom el Shoqafa,cemetery,Q39614
Q42004,Jannat al-Mu'alla,cemetery,Q39614
Q1796353,Tombs of the Kings,cemetery,Q39614
Q491712,Andersonville National Historic Site,cemetery,Q39614
Q1187994,Monument to the Unknown Hero,cemetery,Q39614
Q1494672,Garden Tomb,cemetery,Q39614
Q927535,Early Christian Necropolis of Pécs,cemetery,Q39614
Q675174,Weißensee Cemetery,cemetery,Q39614
Q1362125,First Cemetery of Athens,cemetery,Q39614
Q2462868,Catacomb of Priscilla,cemetery,Q39614
Q1649236,Chor-Bakr,cemetery,Q39614
Q2790054,Powązki Military Cemetery,cemetery,Q39614
Q115314,Tarkhan,cemetery,Q39614
Q287041,Catacombs of Domitilla,cemetery,Q39614
Q286631,El-Assasif,cemetery,Q39614
Q1579766,Los Millares,cemetery,Q39614
Q1540741,The King's Grave,cemetery,Q39614
Q1716786,Okopowa Street Jewish Cemetery,cemetery,Q39614
Q15465499,United Nations Memorial Cemetery,cemetery,Q39614
Q546419,Catacombs of San Sebastiano,cemetery,Q39614
Q450348,The Alyscamps,cemetery,Q39614
Q6127500,Srebrenica Genocide Memorial,cemetery,Q39614
Q6055664,Bintepe,cemetery,Q39614
Q608405,monumental cemetery of Milan,cemetery,Q39614
Q573209,Jewish Cemetery,cemetery,Q39614
Q286169,El-Tarif,cemetery,Q39614
Q239043,Green-Wood Cemetery,cemetery,Q39614
Q2119637,Vatican Necropolis,cemetery,Q39614
Q2655037,Batignolles Cemetery,cemetery,Q39614
Q49745,Soviet War Memorial Schönholzer Heide,cemetery,Q39614
Q43951677,"Necropolis of stecci at Radimlja, the historic site",cemetery,Q39614
Q1323768,El-Khokha,cemetery,Q39614
Q1754795,Qurnet Murai,cemetery,Q39614
Q2892262,Congressional Cemetery,cemetery,Q39614
Q488897,Seoul National Cemetery,cemetery,Q39614
Q613337,Jewish cemetery of Besançon,cemetery,Q39614
Q1092090,Saint-Vincent Cemetery,cemetery,Q39614
Q1053320,La Almudena Cemetery,cemetery,Q39614
Q115094,Łódź Jewish Cemetery,cemetery,Q39614
Q872769,Jewish cemetery in Währing,cemetery,Q39614
Q295408,Mramorje,cemetery,Q39614
Q690841,Meir,cemetery,Q39614
Q2134416,Normandy American Cemetery and Memorial,cemetery,Q39614
Q1950363,Mount Auburn Cemetery,cemetery,Q39614
Q2096449,Valsgärde,cemetery,Q39614
Q2994456,Askold's Grave,cemetery,Q39614
Q7912356,Valley of the Golden Mummies,cemetery,Q39614
Q612476,Anundshög,cemetery,Q39614
Q1092097,Cimetière des Chiens et Autres Animaux Domestiques,cemetery,Q39614
Q932942,New Jewish Cemetery,cemetery,Q39614
Q253763,Munich Forest Cemetery,cemetery,Q39614
Q1572695,Soviet Military Cemetery,cemetery,Q39614
Q3663182,Catacombs of Saint Agnes,cemetery,Q39614
Q3531182,Tombs of the Sanhedrin,cemetery,Q39614
Q2972491,Suresnes American Cemetery and Memorial,cemetery,Q39614
Q2482942,Cimetière parisien de Bagneux,cemetery,Q39614
Q4148426,Graceland Cemetery,cemetery,Q39614
Q1055805,Catacombs of Marcellinus and Peter,cemetery,Q39614
Q764169,Polish Cemetery at Monte Cassino,cemetery,Q39614
Q12193415,Mo'alla,cemetery,Q39614
Q2119632,Katyn Polish War Cemetery,cemetery,Q39614
Q3671680,Certosa di Bologna,cemetery,Q39614
Q3663206,Catacombs of San Gennaro,cemetery,Q39614
Q2972674,Cimetière de Pantin,cemetery,Q39614
Q2897414,Yarkon Cemetery,cemetery,Q39614
Q539095,Necropolis of Anghelu Ruju,cemetery,Q39614
Q115001,Remuh Cemetery,cemetery,Q39614
Q1716140,Jewish cemetery in Chișinău,cemetery,Q39614
Q63216,New Jewish Cemetery,cemetery,Q39614
Q45195200,Mingorrubio Cemetery,cemetery,Q39614
Q12186187,Sacred Prophetic Chamber,cemetery,Q39614
Q20050747,Silwan necropolis,cemetery,Q39614
Q2972676,Chidorigafuchi National Cemetery,cemetery,Q39614
Q572953,Vladslo German war cemetery,cemetery,Q39614
