qid,label,class_label,class_qid
Q2845,cannabis,chemical compound,Q11173
Q143429,polyethylene,chemical compound,Q11173
Q151980,hashish,chemical compound,Q11173
Q207642,Catha edulis,chemical compound,Q11173
Q506319,generic drug,chemical compound,Q11173
Q318367,mastic,chemical compound,Q11173
Q497073,oleum,chemical compound,Q11173
Q864080,clathrate hydrate,chemical compound,Q11173
Q899641,lean,chemical compound,Q11173
Q898969,Synthetic cannabinoids,chemical compound,Q11173
Q3827578,Beta-lactoglobulin,chemical compound,Q11173
Q1089242,xenon dioxide,chemical compound,Q11173
Q2893248,regular insulin,chemical compound,Q11173
Q424607,Morpholino,chemical compound,Q11173
Q100391783,bamlanivimab,chemical compound,Q11173
Q50008082,Hemoglobin Dimer [extracellular region],chemical compound,Q11173
Q2641893,kief,chemical compound,Q11173
Q410707,graphite oxide,chemical compound,Q11173
Q3144960,Hemozoin,chemical compound,Q11173
Q3270441,AP-1 [nucleoplasm],chemical compound,Q11173
Q1151289,D-IX,chemical compound,Q11173
Q47146337,alcohol,chemical compound,Q11173
Q2301181,chlorantraniliprole,chemical compound,Q11173
Q7160835,pegylated interferon,chemical compound,Q11173
Q1737159,kauri gum,chemical compound,Q11173
Q99754007,ropeginterferon alfa-2b,chemical compound,Q11173
Q5347555,efonidipine,chemical compound,Q11173
Q17300229,flubendiamide,chemical compound,Q11173
Q112242180,Olipudase alfa,chemical compound,Q11173
Q105535510,bamlanivimab/etesevimab,chemical compound,Q11173
Q105252811,Taiwan Chingguan Yihau,chemical compound,Q11173
Q4831085,Ayds,chemical compound,Q11173
Q618144,Polyresin,chemical compound,Q11173
Q5272221,Dibasic acid,chemical compound,Q11173
Q25339922,Changa,chemical compound,Q11173
Q119443419,Radium nitride,chemical compound,Q11173
Q116777032,talquetamab,chemical compound,Q11173
Q116776983,ethyl xanthic acid,chemical compound,Q11173
Q106958036,PG5,chemical compound,Q11173
Q7049656,Nonvolatile acid,chemical compound,Q11173
Q6896945,molybdenum bronze,chemical compound,Q11173
Q4069596,Armenicum,chemical compound,Q11173
Q39047420,Iron pentahydride,chemical compound,Q11173
Q25101544,Peripherally-selective drug,chemical compound,Q11173
Q126166340,Phosphine oxide,chemical compound,Q11173
Q112252432,eladocagene exuparvovec,chemical compound,Q11173
Q111950289,Substance abuse in Ancient Rome,chemical compound,Q11173
Q16893968,pituitrin,chemical compound,Q11173
Q25323684,phenylacetylindoles,chemical compound,Q11173
Q22812971,2-lysophosphatidylcholine,chemical compound,Q11173
Q136412451,EA-5488,chemical compound,Q11173
Q135240228,AR420626,chemical compound,Q11173
Q98167168,Androgen prohormone,chemical compound,Q11173
Q7265673,Qa-1b,chemical compound,Q11173
Q7118915,PEG-120 jojoba,chemical compound,Q11173
Q7049424,Nonidet P-40,chemical compound,Q11173
Q6826331,Mexsana,chemical compound,Q11173
Q5014894,CXL 1020,chemical compound,Q11173
Q4682946,prohibitin-targeting peptide 1,chemical compound,Q11173
Q17057626,IGEPAL CA-630,chemical compound,Q11173
Q50274168,H3K9me3 [nucleoplasm],chemical compound,Q11173
