qid,label,class_label,class_qid
Q12512,St. Peter's Basilica,church,Q16970
Q48435,Basilica and Expiatory Church of the Holy Family,church,Q16970
Q5933,Westminster Abbey,church,Q16970
Q2943,Sistine Chapel,church,Q16970
Q129846,St. Basil's Cathedral,church,Q16970
Q18068,Milan Cathedral,church,Q16970
Q187702,Church of the Holy Sepulchre,church,Q16970
Q191739,Florence Cathedral,church,Q16970
Q172988,St Mark's Basilica,church,Q16970
Q84090,Archbasilica of St. John Lateran,church,Q16970
Q33200,Mosque-Cathedral of Cordoba,church,Q16970
Q194504,Church of the Nativity,church,Q16970
Q28785,Sacré-Cœur,church,Q16970
Q231699,Basilica of Saint Paul outside the Walls,church,Q16970
Q193193,Sainte Chapelle,church,Q16970
Q215423,Saint Isaac's Cathedral,church,Q16970
Q244952,Santa Maria delle Grazie,church,Q16970
Q154563,Berlin Cathedral,church,Q16970
Q43282,Alexander Nevsky Cathedral,church,Q16970
Q207945,Monastery of Saint John of Rila,church,Q16970
Q207486,Basilica of San Francesco d'Assisi,church,Q16970
Q391229,Tournai Cathedral,church,Q16970
Q1294648,Etchmiadzin Cathedral,church,Q16970
Q276553,Boyana Church,church,Q16970
Q815584,Basilica of Our Lady of Peace of Yamoussoukro,church,Q16970
Q215208,Church of the Savior on Blood,church,Q16970
Q638519,Wawel Cathedral,church,Q16970
Q52531,Santa Maria della Salute,church,Q16970
Q736587,Peter and Paul Cathedral,church,Q16970
Q2047700,Lala Mustafa Pasha Mosque,church,Q16970
Q1142386,Saint Michael's Golden-Domed Monastery,church,Q16970
Q153951,Kaiser-Wilhelm-Gedächtniskirche,church,Q16970
Q1133059,Riga Cathedral,church,Q16970
Q252575,York Minster,church,Q16970
Q338665,St. Stephen's Basilica,church,Q16970
Q215023,Nidaros Cathedral,church,Q16970
Q719794,Church of the Gesù,church,Q16970
Q435829,Petäjävesi Old Church,church,Q16970
Q936285,Pannonhalma Archabbey,church,Q16970
Q1476251,Saint Sophia Cathedral,church,Q16970
Q645105,Euphrasian Basilica,church,Q16970
Q638250,Notre Dame du Haut,church,Q16970
Q493133,Matthias Church,church,Q16970
Q753721,Modena Cathedral,church,Q16970
Q963954,Scrovegni Chapel,church,Q16970
Q391973,Šibenik Cathedral,church,Q16970
Q210869,Cathedral of the Most Holy Conception,church,Q16970
Q573881,Basilica of San Lorenzo,church,Q16970
Q1478407,Palermo Cathedral,church,Q16970
Q158324,St. Michael's Church,church,Q16970
Q258908,Salzburg Cathedral,church,Q16970
Q1774129,Abbey Church of Saint-Savin-sur-Gartempe,church,Q16970
Q1281237,Vilnius Cathedral,church,Q16970
Q738214,Basilica of Saint Lawrence Outside the Walls,church,Q16970
Q1133075,Storkyrkan,church,Q16970
Q823685,Santa Maria sopra Minerva,church,Q16970
Q638283,San Luigi dei Francesi,church,Q16970
Q170123,St. Hedwig's Cathedral,church,Q16970
Q167321,Saint Andrew's Church,church,Q16970
Q613619,St. John's Co-Cathedral,church,Q16970
Q958699,Turin Cathedral,church,Q16970
Q666935,Dresden Cathedral,church,Q16970
Q1137391,Santa Maria in Trastevere,church,Q16970
Q832278,Basilica of Sant'Apollinare Nuovo,church,Q16970
Q1303856,Cattedrale di Monreale,church,Q16970
Q254476,Votive Church,church,Q16970
Q239560,"St. Martin's Cathedral, Bratislava",church,Q16970
Q937320,St. Mary's Cathedral,church,Q16970
Q1145261,Basilica of Superga,church,Q16970
Q1398856,Vank Cathedral,church,Q16970
Q1187606,Turku Cathedral,church,Q16970
Q225459,Königsberg Cathedral,church,Q16970
Q569253,Santa Maria degli Angeli e dei Martiri,church,Q16970
Q256486,Naples Cathedral,church,Q16970
Q1140402,Kazan Cathedral,church,Q16970
Q969482,Strahov Monastery,church,Q16970
Q830807,Il Redentore,church,Q16970
Q224961,Santa Maria Gloriosa dei Frari,church,Q16970
Q668341,Cathedral of Magdeburg,church,Q16970
Q599223,Palace of Mafra,church,Q16970
Q1354756,Cefalù Cathedral,church,Q16970
Q744552,Basilica of Sant'Apollinare in Classe,church,Q16970
Q968028,Tomb of the Virgin Mary,church,Q16970
Q4348256,Umeå City Church,church,Q16970
Q936545,"St. Martin's Cathedral, Utrecht",church,Q16970
Q804208,Bajrakli Mosque,church,Q16970
Q1420984,Pammakaristos Church,church,Q16970
Q1547466,St Giles' Cathedral,church,Q16970
Q684948,Grossmünster,church,Q16970
Q530208,Liebfrauenkirche,church,Q16970
Q2001493,Ghazanchetsots Cathedral,church,Q16970
Q910124,Black Church,church,Q16970
Q1267112,Cathedral of Jesus' Heart,church,Q16970
Q1132809,Temppeliaukio Church,church,Q16970
Q1636756,Chesme Church,church,Q16970
Q1236564,Ljubljana Cathedral,church,Q16970
Q1115637,Cathedral of Saint Mother Teresa in Pristina,church,Q16970
Q1568660,Hagia Sophia,church,Q16970
Q844337,San Miniato al Monte,church,Q16970
Q1306513,San Agustin Church,church,Q16970
Q1465674,Sant'Ignazio Church,church,Q16970
Q550514,Basilica of Saint Nicholas,church,Q16970
Q166667,Tartu Cathedral,church,Q16970
Q250212,Freiburg Minster,church,Q16970
Q2942349,Saint Gregory the Illuminator Cathedral,church,Q16970
Q2588857,Holy Spirit Cathedral,church,Q16970
Q938154,St Bavo's Cathedral,church,Q16970
Q1774485,Saint George's Cathedral,church,Q16970
Q773726,Chapel of the Ascension,church,Q16970
Q1429394,Saint-Germain l'Auxerrois,church,Q16970
Q1355001,Uspenski Cathedral,church,Q16970
Q1742825,Church of Saints Simon and Helena,church,Q16970
Q1331689,Church of All Nations,church,Q16970
Q1193480,St. Mary's Cathedral,church,Q16970
Q1051458,Church of the Intercession on the Nerl,church,Q16970
Q733577,San Thome Basilica,church,Q16970
Q1034853,Cappella Palatina,church,Q16970
Q658051,San Sebastiano fuori le mura,church,Q16970
Q701567,Erfurt Cathedral,church,Q16970
Q164743,Church of St. Sophia,church,Q16970
Q600355,Pazzi Chapel,church,Q16970
Q384463,Voroneț Monastery,church,Q16970
Q2411716,Rio de Janeiro Cathedral,church,Q16970
Q937290,"Church of St. Anne, Vilnius",church,Q16970
Q1514683,Santa Maria della Pace,church,Q16970
Q1282278,Lucca Cathedral,church,Q16970
Q2299324,Transfiguration Cathedral,church,Q16970
Q2261322,Girona Cathedral,church,Q16970
Q1637128,"St. Nicholas Naval Cathedral, St. Petersburg",church,Q16970
Q991832,Esztergom Basilica,church,Q16970
Q1473348,Glasgow Cathedral,church,Q16970
Q1907145,"St. Nicholas Roman Catholic Church, Kyiv",church,Q16970
Q667450,Cathedral of Our Lady Immaculate,church,Q16970
Q584428,Dubrovnik Cathedral,church,Q16970
Q315644,Deutscher Dom,church,Q16970
Q634112,"Church of Saint Lazarus, Larnaca",church,Q16970
Q2465016,Saint Sophia Cathedral in Polotsk,church,Q16970
Q1515307,San Pancrazio,church,Q16970
Q1802388,Nikortsminda Cathedral,church,Q16970
Q1271286,Serbian Orthodox Cathedral in Sarajevo,church,Q16970
Q1263246,King's College Chapel,church,Q16970
Q1424095,Basilica of Saint Augustine in Campo Marzio,church,Q16970
Q1630170,St. Paul's Cathedral,church,Q16970
Q1629700,Basilica of San Giovanni dei Fiorentini,church,Q16970
Q1254795,St. Mark's Church,church,Q16970
Q1637149,Cathedral of the Holy Name of Saint Virgin Mary,church,Q16970
Q1050668,São Paulo Cathedral,church,Q16970
Q661752,"Castle Church, Wittenberg",church,Q16970
Q305419,Basilica of Our Lady of Guadalupe,church,Q16970
Q334399,Bath Abbey,church,Q16970
Q155225,Santi Giovanni e Paolo,church,Q16970
Q602853,Saint Sophia Church,church,Q16970
Q15043487,Havana Cathedral,church,Q16970
Q2561858,Dzordzor Chapel,church,Q16970
Q1581882,Basilica of Sant'Andrea,church,Q16970
Q1269808,Samtavisi Cathedral,church,Q16970
Q776727,St. Procopius Basilica in Třebíč,church,Q16970
Q1348719,Notre-Dame Cathedral,church,Q16970
Q1112125,Church of Saint Simeon Stylites,church,Q16970
Q1122206,Salt Lake Temple,church,Q16970
Q831362,Bethlehem Chapel,church,Q16970
Q1051217,Crystal Cathedral,church,Q16970
