qid,label,class_label,class_qid
Q8923,Gemini,constellation,Q8928
Q8853,Leo,constellation,Q8928
Q10570,Taurus,constellation,Q8928
Q8866,Sagittarius,constellation,Q8928
Q8842,Virgo,constellation,Q8928
Q8849,Cancer,constellation,Q8928
Q8865,Scorpius,constellation,Q8928
Q10535,Capricornus,constellation,Q8928
Q10584,Aries,constellation,Q8928
Q10580,Libra,constellation,Q8928
Q10576,Aquarius,constellation,Q8928
Q8679,Pisces,constellation,Q8928
Q8906,Ophiuchus,constellation,Q8928
Q9258,Argo Navis,constellation,Q8928
Q1059392,Zhuque,constellation,Q8928
Q515882,Azure Dragon,constellation,Q8928
Q125696,Black Tortoise,constellation,Q8928
Q1072455,White Tiger,constellation,Q8928
Q1073260,Four Symbols,constellation,Q8928
Q10495,Quadrans Muralis,constellation,Q8928
Q1642433,Felis,constellation,Q8928
Q579051,Antinous,constellation,Q8928
Q2321626,Cerberus,constellation,Q8928
Q2317731,Globus Aerostaticus,constellation,Q8928
Q1939728,Musca Borealis,constellation,Q8928
Q1755736,Taurus Poniatovii,constellation,Q8928
Q2450212,Frederici Honores,constellation,Q8928
Q1636450,Rangifer,constellation,Q8928
Q1329289,Triangulum Minus,constellation,Q8928
Q2454539,Custos Messium,constellation,Q8928
Q1849014,River Tigris,constellation,Q8928
Q1614554,Telescopium Herschelii,constellation,Q8928
Q2551087,Turdus Solitarius,constellation,Q8928
Q1145909,Heart,constellation,Q8928
Q1145915,Extended Net,constellation,Q8928
Q1145878,Well,constellation,Q8928
Q1145842,Tail,constellation,Q8928
Q1145870,Room,constellation,Q8928
Q1145803,Girl,constellation,Q8928
Q1145781,Winnowing Basket,constellation,Q8928
Q1145474,Wings,constellation,Q8928
Q1143106,Ox,constellation,Q8928
Q1141299,Hairy Head,constellation,Q8928
Q2450097,Officina Typographica,constellation,Q8928
Q1703606,Jordanus,constellation,Q8928
Q1192788,Three Stars,constellation,Q8928
Q1192463,Horn,constellation,Q8928
Q1146722,Dipper,constellation,Q8928
Q2454525,Sceptrum Brandenburgicum,constellation,Q8928
Q2450177,Gallus,constellation,Q8928
Q1145890,Turtle Beak,constellation,Q8928
Q1145927,Neck,constellation,Q8928
Q1145921,Emptiness,constellation,Q8928
Q1145852,Purple Forbidden enclosure,constellation,Q8928
Q1145830,Willow,constellation,Q8928
Q1145862,Heavenly Market enclosure,constellation,Q8928
Q1145810,Chariot,constellation,Q8928
Q1145795,Root,constellation,Q8928
Q1145465,Ghost,constellation,Q8928
Q1145504,Bond,constellation,Q8928
Q819291,Mons Maenalus,constellation,Q8928
Q210912,Stomach,constellation,Q8928
Q2313294,Machina Electrica,constellation,Q8928
Q1733940,Robur Carolinum,constellation,Q8928
Q1373743,Noctua,constellation,Q8928
Q1193154,Star,constellation,Q8928
Q1192490,Net,constellation,Q8928
Q2450120,Psalterium Georgii,constellation,Q8928
Q1145933,Wall,constellation,Q8928
Q1145944,Supreme Palace enclosure,constellation,Q8928
Q1145896,Roof,constellation,Q8928
Q1145451,Encampment,constellation,Q8928
Q1193839,Legs,constellation,Q8928
Q2626689,Ramus Pomifer,constellation,Q8928
Q2553852,Cancer Minor,constellation,Q8928
Q2449482,Sceptrum et Manus Iustitiae,constellation,Q8928
Q2994585,Lochium Funis,constellation,Q8928
Q2629199,Solarium,constellation,Q8928
Q2365334,Polophylax,constellation,Q8928
Q11123717,Song of the Sky Pacers,constellation,Q8928
Q7058862,Northern Pole,constellation,Q8928
Q5475009,Four Advisors,constellation,Q8928
Q5190290,Crux,constellation,Q8928
Q3570147,Five Chariots,constellation,Q8928
Q3528014,Teen Ta Tseang Keun,constellation,Q8928
Q17023714,Tianhuang Emperor,constellation,Q8928
Q10916508,Siming,constellation,Q8928
Q3518088,Flying serpent,constellation,Q8928
Q5175444,Microscopium (Chinese astronomy),constellation,Q8928
Q7901144,Ursa Major,constellation,Q8928
Q5177460,Puppis (Chinese astronomy),constellation,Q8928
Q5177283,Piscis Austrinus (Chinese astronomy),constellation,Q8928
Q5176192,Octans (Chinese astronomy),constellation,Q8928
Q5175853,Leo Minor (Chinese astronomy),constellation,Q8928
