qid,label,class_label,class_qid
Q30,United States,country,Q6256
Q43,Turkey,country,Q6256
Q159,Russia,country,Q6256
Q17,Japan,country,Q6256
Q142,France,country,Q6256
Q38,Italy,country,Q6256
Q183,Germany,country,Q6256
Q33,Finland,country,Q6256
Q96,Mexico,country,Q6256
Q668,India,country,Q6256
Q148,People's Republic of China,country,Q6256
Q408,Australia,country,Q6256
Q16,Canada,country,Q6256
Q20,Norway,country,Q6256
Q29,Spain,country,Q6256
Q145,United Kingdom,country,Q6256
Q36,Poland,country,Q6256
Q79,Egypt,country,Q6256
Q222,Albania,country,Q6256
Q212,Ukraine,country,Q6256
Q155,Brazil,country,Q6256
Q39,Switzerland,country,Q6256
Q298,Chile,country,Q6256
Q801,Israel,country,Q6256
Q41,Greece,country,Q6256
Q31,Belgium,country,Q6256
Q794,Iran,country,Q6256
Q414,Argentina,country,Q6256
Q34,Sweden,country,Q6256
Q45,Portugal,country,Q6256
Q40,Austria,country,Q6256
Q35,Denmark,country,Q6256
Q881,Vietnam,country,Q6256
Q262,Algeria,country,Q6256
Q258,South Africa,country,Q6256
Q739,Colombia,country,Q6256
Q252,Indonesia,country,Q6256
Q219,Bulgaria,country,Q6256
Q227,Azerbaijan,country,Q6256
Q889,Afghanistan,country,Q6256
Q184,Belarus,country,Q6256
Q28,Hungary,country,Q6256
Q224,Croatia,country,Q6256
Q189,Iceland,country,Q6256
Q843,Pakistan,country,Q6256
Q213,Czech Republic,country,Q6256
Q191,Estonia,country,Q6256
Q37,Lithuania,country,Q6256
Q884,South Korea,country,Q6256
Q403,Serbia,country,Q6256
Q869,Thailand,country,Q6256
Q399,Armenia,country,Q6256
Q218,Romania,country,Q6256
Q232,Kazakhstan,country,Q6256
Q796,Iraq,country,Q6256
Q1033,Nigeria,country,Q6256
Q851,Saudi Arabia,country,Q6256
Q230,Georgia,country,Q6256
Q664,New Zealand,country,Q6256
Q115,Ethiopia,country,Q6256
Q717,Venezuela,country,Q6256
Q833,Malaysia,country,Q6256
Q902,Bangladesh,country,Q6256
Q27,Ireland,country,Q6256
Q225,Bosnia and Herzegovina,country,Q6256
Q237,Vatican City,country,Q6256
Q214,Slovakia,country,Q6256
Q114,Kenya,country,Q6256
Q858,Syria,country,Q6256
Q32,Luxembourg,country,Q6256
Q211,Latvia,country,Q6256
Q1016,Libya,country,Q6256
Q215,Slovenia,country,Q6256
Q1049,Sudan,country,Q6256
Q1028,Morocco,country,Q6256
Q974,Democratic Republic of the Congo,country,Q6256
Q419,Peru,country,Q6256
Q217,Moldova,country,Q6256
Q928,Philippines,country,Q6256
Q334,Singapore,country,Q6256
Q424,Cambodia,country,Q6256
Q822,Lebanon,country,Q6256
Q228,Andorra,country,Q6256
Q948,Tunisia,country,Q6256
Q233,Malta,country,Q6256
Q837,Nepal,country,Q6256
Q236,Montenegro,country,Q6256
Q229,Cyprus,country,Q6256
Q221,North Macedonia,country,Q6256
Q1045,Somalia,country,Q6256
Q117,Ghana,country,Q6256
Q916,Angola,country,Q6256
Q77,Uruguay,country,Q6256
Q954,Zimbabwe,country,Q6256
Q711,Mongolia,country,Q6256
Q235,Monaco,country,Q6256
Q1019,Madagascar,country,Q6256
Q813,Kyrgyzstan,country,Q6256
Q924,Tanzania,country,Q6256
Q836,Myanmar,country,Q6256
Q878,United Arab Emirates,country,Q6256
Q1030,Namibia,country,Q6256
Q819,Laos,country,Q6256
Q736,Ecuador,country,Q6256
Q865,Taiwan,country,Q6256
Q810,Jordan,country,Q6256
Q1009,Cameroon,country,Q6256
Q347,Liechtenstein,country,Q6256
Q238,San Marino,country,Q6256
Q1036,Uganda,country,Q6256
Q805,Yemen,country,Q6256
Q963,Botswana,country,Q6256
Q912,Mali,country,Q6256
Q750,Bolivia,country,Q6256
Q657,Chad,country,Q6256
Q265,Uzbekistan,country,Q6256
Q423,North Korea,country,Q6256
Q241,Cuba,country,Q6256
Q1008,Ivory Coast,country,Q6256
Q863,Tajikistan,country,Q6256
Q854,Sri Lanka,country,Q6256
Q733,Paraguay,country,Q6256
Q986,Eritrea,country,Q6256
Q965,Burkina Faso,country,Q6256
Q962,Benin,country,Q6256
Q817,Kuwait,country,Q6256
Q953,Zambia,country,Q6256
Q1041,Senegal,country,Q6256
Q917,Bhutan,country,Q6256
Q1029,Mozambique,country,Q6256
Q1025,Mauritania,country,Q6256
Q398,Bahrain,country,Q6256
Q1037,Rwanda,country,Q6256
Q1032,Niger,country,Q6256
Q804,Panama,country,Q6256
Q945,Togo,country,Q6256
Q800,Costa Rica,country,Q6256
Q929,Central African Republic,country,Q6256
Q1005,The Gambia,country,Q6256
Q1006,Guinea,country,Q6256
Q967,Burundi,country,Q6256
Q874,Turkmenistan,country,Q6256
Q1007,Guinea-Bissau,country,Q6256
Q971,Republic of the Congo,country,Q6256
Q977,Djibouti,country,Q6256
Q921,Brunei,country,Q6256
Q1020,Malawi,country,Q6256
Q842,Oman,country,Q6256
Q783,Honduras,country,Q6256
Q1000,Gabon,country,Q6256
Q1014,Liberia,country,Q6256
Q1044,Sierra Leone,country,Q6256
Q790,Haiti,country,Q6256
Q846,Qatar,country,Q6256
Q826,Maldives,country,Q6256
Q1011,Cape Verde,country,Q6256
Q574,Timor-Leste,country,Q6256
Q691,Papua New Guinea,country,Q6256
Q792,El Salvador,country,Q6256
Q1050,Eswatini,country,Q6256
Q734,Guyana,country,Q6256
Q983,Equatorial Guinea,country,Q6256
Q730,Suriname,country,Q6256
Q1027,Mauritius,country,Q6256
Q958,South Sudan,country,Q6256
Q1246,Kosovo,country,Q6256
Q774,Guatemala,country,Q6256
Q766,Jamaica,country,Q6256
Q970,Comoros,country,Q6256
Q786,Dominican Republic,country,Q6256
Q811,Nicaragua,country,Q6256
Q1013,Lesotho,country,Q6256
Q242,Belize,country,Q6256
Q778,The Bahamas,country,Q6256
Q712,Fiji,country,Q6256
Q244,Barbados,country,Q6256
Q1042,Seychelles,country,Q6256
Q1039,São Tomé and Príncipe,country,Q6256
Q784,Dominica,country,Q6256
Q697,Nauru,country,Q6256
Q686,Vanuatu,country,Q6256
Q781,Antigua and Barbuda,country,Q6256
Q683,Samoa,country,Q6256
Q678,Tonga,country,Q6256
Q695,Palau,country,Q6256
Q223,Greenland,country,Q6256
Q769,Grenada,country,Q6256
Q754,Trinidad and Tobago,country,Q6256
Q672,Tuvalu,country,Q6256
Q710,Kiribati,country,Q6256
Q685,Solomon Islands,country,Q6256
Q709,Marshall Islands,country,Q6256
Q763,Saint Kitts and Nevis,country,Q6256
Q757,Saint Vincent and the Grenadines,country,Q6256
Q760,Saint Lucia,country,Q6256
Q1410,Gibraltar,country,Q6256
Q702,Federated States of Micronesia,country,Q6256
Q219060,Palestine,country,Q6256
Q4628,Faroe Islands,country,Q6256
Q21203,Aruba,country,Q6256
Q26988,Cook Islands,country,Q6256
Q23427,South Ossetia,country,Q6256
Q23681,Northern Cyprus,country,Q6256
Q34020,Niue,country,Q6256
Q907112,Transnistria,country,Q6256
Q25279,Curaçao,country,Q6256
Q18097,Korea,country,Q6256
Q41470,Kurdistan,country,Q6256
Q26273,Sint Maarten,country,Q6256
Q29999,Kingdom of the Netherlands,country,Q6256
Q160307,Fatimid Caliphate,country,Q6256
Q153136,Habsburg monarchy,country,Q6256
Q26399,Hoggar Mountains,country,Q6256
Q62651,Denmark–Norway,country,Q6256
Q28025,Ryukyu Kingdom,country,Q6256
Q155812,Pan-Germanism,country,Q6256
Q62589,Union between Sweden and Norway,country,Q6256
Q963303,Union of Lublin,country,Q6256
Q756617,Kingdom of Denmark,country,Q6256
Q622783,Spanish Netherlands,country,Q6256
Q330533,Seventeen Provinces,country,Q6256
Q319881,Republic of Formosa,country,Q6256
Q124943,Kingdom of Egypt,country,Q6256
Q331022,Greater Albania,country,Q6256
Q538677,Angevin Empire,country,Q6256
Q127861,Khedivate of Egypt,country,Q6256
Q482555,Korean reunification,country,Q6256
Q157367,Brandenburg-Prussia,country,Q6256
Q62567,Kingdom of Iceland,country,Q6256
Q370173,Sultanate of Egypt,country,Q6256
Q335081,Megali Idea,country,Q6256
Q746607,Greater Serbia,country,Q6256
Q44526,Greater Israel,country,Q6256
Q1143195,Greater China,country,Q6256
Q581325,Greater Romania,country,Q6256
Q852483,unification of Moldova and Romania,country,Q6256
Q825902,Polish–Lithuanian union,country,Q6256
Q377350,Iberian Union,country,Q6256
Q1004065,Greater Bulgaria,country,Q6256
Q130340667,Sovereign State of the Bektashi Order,country,Q6256
Q2144568,Pan-Iranism,country,Q6256
Q175720,Greater Finland,country,Q6256
Q1423867,United Armenia,country,Q6256
Q3634733,Akhand Bharat,country,Q6256
Q1072108,United Macedonia,country,Q6256
Q3281269,North Sea Empire,country,Q6256
Q839554,Greater Italy,country,Q6256
Q592886,Hungarian irredentism,country,Q6256
Q323487,Greater Germany,country,Q6256
Q672287,Greater Somalia,country,Q6256
Q2732400,Union of the Crowns,country,Q6256
Q2384816,Greater Croatia,country,Q6256
Q3384104,Whole Azerbaijan,country,Q6256
Q1575948,Greater Morocco,country,Q6256
Q15680807,Russian irredentism,country,Q6256
Q2593895,Pan-Mongolism,country,Q6256
Q1585354,United Slovenia,country,Q6256
Q542526,Rattachism,country,Q6256
Q2152974,Yemen region,country,Q6256
Q3238454,Greater Nepal,country,Q6256
Q63135869,Ayyubid Sultanate,country,Q6256
Q3897681,Patria Grande,country,Q6256
Q7882199,Burgundian State,country,Q6256
Q1547884,Great Timor,country,Q6256
Q3543309,Greater Indonesia,country,Q6256
Q5600799,Ukrainian irredentism,country,Q6256
Q5414067,Reconquista,country,Q6256
Q3154570,Italian irredentism in Corsica,country,Q6256
Q824047,Personal union of Poland and Saxony,country,Q6256
Q18747765,Central American reunification,country,Q6256
Q16674377,Federal Islamic Republic of the Comoros,country,Q6256
