qid,label,class_label,class_qid
Q880704,blackbirding,criminal,Q2159907
Q1641906,trading of East German political prisoners,criminal,Q2159907
Q1068729,checa,criminal,Q2159907
Q3568107,Wild Bunch,criminal,Q2159907
Q131718579,Disappearance of Wang Xing,criminal,Q2159907
Q110886762,Xuzhou chained woman incident,criminal,Q2159907
Q16252525,human trafficking in Tunisia,criminal,Q2159907
Q16264599,Vogelfrei,criminal,Q2159907
Q104880502,Fulani extremism in Nigeria,criminal,Q2159907
Q5939049,Human trafficking in Swaziland,criminal,Q2159907
Q5938719,Human trafficking in Cameroon,criminal,Q2159907
Q5939120,Human trafficking in the Central African Republic,criminal,Q2159907
Q126375692,Black realtors,criminal,Q2159907
Q42915980,Florida Civil Commitment Center,criminal,Q2159907
Q131920218,Aileen Morgan,criminal,Q2159907
Q697605,wokou,criminal,Q2159907
Q1820380,Church of Scientology,criminal,Q2159907
Q509392,Victual Brothers,criminal,Q2159907
Q1263360,Kandahar massacre,criminal,Q2159907
Q1618825,Hillside Strangler,criminal,Q2159907
Q9304634,Public enemy,criminal,Q2159907
Q928926,Lonely Hearts Killers,criminal,Q2159907
Q4922160,Black Widows of Liverpool,criminal,Q2159907
Q4363297,Moro Pirates,criminal,Q2159907
Q21622644,Sabina Selimovic and Samra Kesinovic,criminal,Q2159907
Q5337747,Edgecombe County Serial Killer,criminal,Q2159907
Q124252777,LaGrand Brothers,criminal,Q2159907
Q9388669,Rudzki Most massacre,criminal,Q2159907
Q3471444,San Francisco Committee of Vigilance,criminal,Q2159907
Q98108773,Rubbish Collection Organization,criminal,Q2159907
Q136701966,Chu Li-ching infant trafficking case,criminal,Q2159907
Q4922155,Black Widow Murders,criminal,Q2159907
Q5446586,fictitious defendants,criminal,Q2159907
Q136570768,Arthur Gordon Pym,criminal,Q2159907
