qid,label,class_label,class_qid
Q33881,Tour de France,cycling race,Q15091377
Q33861,Giro d'Italia,cycling race,Q15091377
Q33937,Vuelta a España,cycling race,Q15091377
Q33992,Paris–Roubaix,cycling race,Q15091377
Q34009,Liège–Bastogne–Liège,cycling race,Q15091377
Q33951,Milan - San Remo,cycling race,Q15091377
Q33970,Tour of Flanders,cycling race,Q15091377
Q34032,Giro di Lombardia,cycling race,Q15091377
Q478174,Amstel Gold Race,cycling race,Q15091377
Q83261,Tour de Suisse,cycling race,Q15091377
Q549121,Tour de Pologne,cycling race,Q15091377
Q756827,Tour Down Under,cycling race,Q15091377
Q499192,La Flèche Wallonne,cycling race,Q15091377
Q655150,Tour Auvergne-Rhône-Alpes,cycling race,Q15091377
Q755125,Volta a Catalunya,cycling race,Q15091377
Q487654,Paris–Nice,cycling race,Q15091377
Q181266,Tour of the Basque Country,cycling race,Q15091377
Q740787,Clásica de San Sebastián,cycling race,Q15091377
Q488036,Tirreno–Adriatico,cycling race,Q15091377
Q487973,Tour de Romandie,cycling race,Q15091377
Q670258,Benelux Tour,cycling race,Q15091377
Q160683,Hamburg Cyclassics,cycling race,Q15091377
Q498661,In Flanders Fields. From Middelkerke to Wevelgem,cycling race,Q15091377
Q287950,Bretagne Classic,cycling race,Q15091377
Q506447,Omloop Het Nieuwsblad,cycling race,Q15091377
Q499337,Paris–Tours,cycling race,Q15091377
Q599219,E3 Saxo Classic,cycling race,Q15091377
Q1359051,Strade Bianche,cycling race,Q15091377
Q392369,Grand Prix Cycliste de Québec,cycling race,Q15091377
Q392389,Grand Prix Cycliste de Montréal,cycling race,Q15091377
Q57775410,UAE Tour,cycling race,Q15091377
Q18708418,Cadel Evans Great Ocean Road Race,cycling race,Q15091377
Q1015163,Vuelta a Burgos,cycling race,Q15091377
Q971252,Scheldeprijs,cycling race,Q15091377
Q513691,Four Days of Dunkirk,cycling race,Q15091377
Q1257167,Tour of Bruges,cycling race,Q15091377
Q505804,Giro dell'Emilia,cycling race,Q15091377
Q1401183,Tour of the Alps,cycling race,Q15091377
Q1542952,Tour de France Femmes,cycling race,Q15091377
Q183186,Tour de l'Avenir,cycling race,Q15091377
Q183042,Tour of Qatar,cycling race,Q15091377
Q160696,Deutschland Tour,cycling race,Q15091377
Q1368083,Dwars door Vlaanderen,cycling race,Q15091377
Q510628,Kuurne–Brussels–Kuurne,cycling race,Q15091377
Q914019,Brabantse Pijl,cycling race,Q15091377
Q20970765,2016 UCI World Tour,cycling race,Q15091377
Q97926291,2021 UCI World Tour,cycling race,Q15091377
Q956161,Milano–Torino,cycling race,Q15091377
Q570529,Eschborn–Frankfurt,cycling race,Q15091377
Q662746,Peace Race,cycling race,Q15091377
Q298553,Tour of Austria,cycling race,Q15091377
Q510854,Brussels Cycling Classic,cycling race,Q15091377
Q505799,Danmark Rundt,cycling race,Q15091377
Q116890057,2024 UCI World Tour,cycling race,Q15091377
Q21857932,2017 UCI World Tour,cycling race,Q15091377
Q607463,Tour of California,cycling race,Q15091377
Q1526999,Giro d'Italia Women,cycling race,Q15091377
Q510578,Tour of Belgium,cycling race,Q15091377
Q19605429,Abu Dhabi Tour,cycling race,Q15091377
Q106203942,2023 UCI World Tour,cycling race,Q15091377
Q532166,Vuelta a Andalucía,cycling race,Q15091377
Q505810,Tour de Luxembourg,cycling race,Q15091377
Q930866,Presidential Cycling Tour of Turkey,cycling race,Q15091377
Q1431283,Volta ao Algarve,cycling race,Q15091377
Q128961,Arctic Race of Norway,cycling race,Q15091377
Q1578389,Tour of Oman,cycling race,Q15091377
Q42317185,2018 UCI World Tour,cycling race,Q15091377
Q27997365,Tour of Guangxi,cycling race,Q15091377
Q66739340,2020 UCI World Tour,cycling race,Q15091377
Q2120129,Volta a la Comunitat Valenciana,cycling race,Q15091377
Q971932,Gran Piemonte,cycling race,Q15091377
Q583208,Grand Prix de Denain,cycling race,Q15091377
Q2305567,Tre Valli Varesine,cycling race,Q15091377
Q1235413,Tour of Slovenia,cycling race,Q15091377
Q290588,Étoile de Bessèges,cycling race,Q15091377
Q508867,Tro-Bro Léon,cycling race,Q15091377
Q918091,Tour of Britain,cycling race,Q15091377
Q775110,Tour de Langkawi,cycling race,Q15091377
Q1140575,Critérium International,cycling race,Q15091377
Q56966729,2019 UCI World Tour,cycling race,Q15091377
Q22677272,Tour de la Provence,cycling race,Q15091377
Q1103825,Clásica de Almería,cycling race,Q15091377
Q2091354,Tour of Norway,cycling race,Q15091377
Q1025846,Tour du Limousin,cycling race,Q15091377
Q1572415,Route d'Occitanie,cycling race,Q15091377
Q1541036,Ster ZLM Toer,cycling race,Q15091377
Q1541041,Grand Prix La Marseillaise,cycling race,Q15091377
Q1264773,Tour of Qinghai Lake,cycling race,Q15091377
Q1638281,Tour de l'Ain,cycling race,Q15091377
Q1638287,Le Samyn,cycling race,Q15091377
Q157475,Züri-Metzgete,cycling race,Q15091377
Q1359104,Grand Prix de Fourmies,cycling race,Q15091377
Q1307625,Tour de Wallonie,cycling race,Q15091377
Q505782,Tour des Alpes-Maritimes,cycling race,Q15091377
Q786110,Vuelta Asturias,cycling race,Q15091377
Q1400788,Paris–Camembert,cycling race,Q15091377
Q129010,Nokere Koerse,cycling race,Q15091377
Q18683480,Tour de Yorkshire,cycling race,Q15091377
Q18192726,2015 UCI World Tour,cycling race,Q15091377
Q17348758,La Course by Le Tour de France,cycling race,Q15091377
Q123096868,2025 UCI World Tour,cycling race,Q15091377
Q1092832,Circuit Franco-Belge,cycling race,Q15091377
Q170090,Vuelta a Murcia,cycling race,Q15091377
Q662062,GP Miguel Indurain,cycling race,Q15091377
Q382673,Settimana Internazionale di Coppi e Bartali,cycling race,Q15091377
Q729477,Route Adélie,cycling race,Q15091377
Q1519109,CRO Race,cycling race,Q15091377
Q499201,Grand Prix de Wallonie,cycling race,Q15091377
Q1472600,Clásica Castilla y León,cycling race,Q15091377
Q849059,2012 UCI World Tour,cycling race,Q15091377
Q849092,2011 UCI World Tour,cycling race,Q15091377
Q2733412,GP Industria & Artigianato di Larciano,cycling race,Q15091377
Q1417470,Grand Prix du Morbihan,cycling race,Q15091377
Q1415208,Trofeo Laigueglia,cycling race,Q15091377
Q153652,Rund um Köln,cycling race,Q15091377
Q1131379,Coppa Sabatini,cycling race,Q15091377
Q1110856,Classic Lorient Agglomération,cycling race,Q15091377
Q2099270,Coppa Bernocchi,cycling race,Q15091377
Q1031504,2013 UCI World Tour,cycling race,Q15091377
Q604500,Tour de Taiwan,cycling race,Q15091377
Q598273,Tour du Finistère,cycling race,Q15091377
Q576727,Faun-Ardèche Classic,cycling race,Q15091377
Q1536607,Japan Cup,cycling race,Q15091377
Q684154,Tour of Leuven,cycling race,Q15091377
Q674997,Grand Prix of Aargau Canton,cycling race,Q15091377
Q1804506,Mallorca Challenge,cycling race,Q15091377
Q1754568,Paris–Bourges,cycling race,Q15091377
Q697738,Münsterland Giro,cycling race,Q15091377
Q1869039,London–Surrey Classic,cycling race,Q15091377
Q405510,Tour de Picardie,cycling race,Q15091377
Q152716,Classic Loire Atlantique,cycling race,Q15091377
Q129180,Bredene Koksijde Classic,cycling race,Q15091377
Q21030967,La Vuelta Femenina,cycling race,Q15091377
Q14979277,2014 UCI World Tour,cycling race,Q15091377
Q14286397,Dubai Tour,cycling race,Q15091377
Q2125551,Coppa Agostoni,cycling race,Q15091377
Q11705181,Vuelta a San Juan,cycling race,Q15091377
Q2049320,Dwars door het Hageland (men),cycling race,Q15091377
Q2037237,NXT Classic,cycling race,Q15091377
Q1543675,Tour de Vendée,cycling race,Q15091377
Q3040273,La Drôme Classic,cycling race,Q15091377
Q955021,Région Pays de la Loire Tour,cycling race,Q15091377
Q1526871,Giro della Toscana,cycling race,Q15091377
Q251092,Bayern Rundfahrt,cycling race,Q15091377
Q1261210,Druivenkoers Overijse,cycling race,Q15091377
Q182084,Giro dell'Appennino,cycling race,Q15091377
Q1637189,Tour of Flanders,cycling race,Q15091377
Q327365,Volta a Portugal,cycling race,Q15091377
Q1744497,Klasika Primavera,cycling race,Q15091377
Q894986,Boucles de la Mayenne,cycling race,Q15091377
Q1855174,Polynormande,cycling race,Q15091377
Q130903,Veenendaal-Veenendaal Classic,cycling race,Q15091377
Q644853,Halle–Ingooigem,cycling race,Q15091377
Q641769,Trofeo Alfredo Binda-Comune di Cittiglio,cycling race,Q15091377
Q13411354,Tour of Estonia,cycling race,Q15091377
Q591226,Gran Premio di Lugano,cycling race,Q15091377
Q963691,Tour of Utah,cycling race,Q15091377
Q3113739,Super 8 Classic,cycling race,Q15091377
Q935429,Tour de Hongrie,cycling race,Q15091377
Q1533156,Tour of Poitou-Charentes en Nouvelle-Aquitaine,cycling race,Q15091377
Q260161,Boucles de l'Aulne,cycling race,Q15091377
Q210843,La Roue Tourangelle,cycling race,Q15091377
Q1258698,La Tropicale Amissa Bongo,cycling race,Q15091377
Q1752020,Memorial Marco Pantani,cycling race,Q15091377
Q508838,La Flèche Wallonne Féminine,cycling race,Q15091377
Q1526855,Giro del Veneto,cycling race,Q15091377
Q1519966,Kampioenschap van Vlaanderen,cycling race,Q15091377
Q1459367,Vuelta a la Comunidad de Madrid,cycling race,Q15091377
Q1607801,Herald Sun Tour,cycling race,Q15091377
Q625082,Vuelta a Aragón,cycling race,Q15091377
Q115015434,2023 UCI ProSeries,cycling race,Q15091377
Q84318914,AlUla Tour,cycling race,Q15091377
Q2141075,Six-day racing,cycling race,Q15091377
Q27538455,Liège–Bastogne–Liège Femmes,cycling race,Q15091377
Q1025457,Grand Prix du Midi Libre,cycling race,Q15091377
Q2035477,Vuelta a Colombia,cycling race,Q15091377
Q1572063,Simac Ladies Tour,cycling race,Q15091377
Q1542711,Grand Prix Cerami,cycling race,Q15091377
Q1542681,Cholet Agglo Tour,cycling race,Q15091377
Q1973056,Tour de Singkarak,cycling race,Q15091377
Q932825,Schaal Sels-Merksem,cycling race,Q15091377
Q2297177,Tour de Normandie,cycling race,Q15091377
Q737312,Vuelta a La Rioja,cycling race,Q15091377
Q1503120,Paris–Brest–Paris,cycling race,Q15091377
Q1490528,Giro Next Gen,cycling race,Q15091377
Q893394,Bordeaux–Paris,cycling race,Q15091377
Q1401142,Tour of Holland,cycling race,Q15091377
Q1414647,Tour du Doubs,cycling race,Q15091377
Q128713,Tour des Fjords,cycling race,Q15091377
Q1146627,Okolo Slovenska,cycling race,Q15091377
Q19605976,Strade Bianche Donne,cycling race,Q15091377
Q17619325,Ladies Tour of Norway,cycling race,Q15091377
Q50086432,Tour of Antalya,cycling race,Q15091377
Q123819340,2026 UCI World Tour,cycling race,Q15091377
Q110970907,O Gran Camiño,cycling race,Q15091377
Q32626601,Grote Prijs Jean-Pierre Monseré,cycling race,Q15091377
Q3785701,GP Himmerland Rundt,cycling race,Q15091377
Q2169635,Tacx Pro Classic,cycling race,Q15091377
Q74279750,2020 UCI ProSeries,cycling race,Q15091377
Q123377748,2024 UCI ProSeries,cycling race,Q15091377
Q108913985,2022 UCI ProSeries,cycling race,Q15091377
Q975531,Setmana Catalana de Ciclisme,cycling race,Q15091377
Q557951,Ronde van Limburg,cycling race,Q15091377
Q517614,Binche-Chimay-Binche,cycling race,Q15091377
Q1265406,Tour of Japan,cycling race,Q15091377
Q691503,Tour de Bretagne Cycliste,cycling race,Q15091377
Q1334580,Emakumeen Bira,cycling race,Q15091377
Q1678137,Tour of Romania,cycling race,Q15091377
Q1519385,Istrian Spring Trophy,cycling race,Q15091377
Q1463076,Tour de Feminin-O cenu Českého Švýcarska,cycling race,Q15091377
Q1855128,Trofeo Matteotti,cycling race,Q15091377
Q2881642,Baltic Chain Tour,cycling race,Q15091377
