qid,label,class_label,class_qid
Q12514,Three Gorges Dam,dam,Q12323
Q38891,Aswan Dam,dam,Q12323
Q244169,Itaipu Dam,dam,Q12323
Q1542454,Grand Ethiopian Renaissance Dam,dam,Q12323
Q930391,Grand Coulee Dam,dam,Q12323
Q1282314,Akosombo Dam,dam,Q12323
Q1367609,Kariba Dam,dam,Q12323
Q162887,Enguri hydroelectric power plant,dam,Q12323
Q1530724,Glen Canyon Dam,dam,Q12323
Q1475210,Tucuruí Dam,dam,Q12323
Q83436,Bhakra Dam,dam,Q12323
Q921582,Aswan Low Dam,dam,Q12323
Q22335,Vajont Dam,dam,Q12323
Q2303666,Marib Dam,dam,Q12323
Q915359,Xiluodu Dam,dam,Q12323
Q488033,Jinping-I Hydropower Station,dam,Q12323
Q1734696,Karun-3 Dam,dam,Q12323
Q2120392,Sardar Sarovar Dam,dam,Q12323
Q2465052,Houtribdijk,dam,Q12323
Q941182,Dukan Dam,dam,Q12323
Q1208749,Kurobe Dam,dam,Q12323
Q808809,Malpasset Dam,dam,Q12323
Q675009,Grande Dixence dam,dam,Q12323
Q2415389,Monticello Dam,dam,Q12323
Q3287395,Gordon Dam,dam,Q12323
Q1504844,Karun-4 Dam,dam,Q12323
Q1869608,Longtan Dam,dam,Q12323
Q2165228,Alqueva Dam,dam,Q12323
Q378432,Kölnbrein Dam,dam,Q12323
Q855098,Bhumibol Dam,dam,Q12323
Q471942,Amir Kabir Dam,dam,Q12323
Q2884936,Bin el Ouidane Dam,dam,Q12323
Q2802728,Contra Dam,dam,Q12323
Q11962991,Cahora Bassa Dam,dam,Q12323
Q1141896,Sakuma Dam,dam,Q12323
Q2885209,Latyan Dam,dam,Q12323
Q2885103,Diama Dam,dam,Q12323
Q1656950,Idukki Dam,dam,Q12323
Q83532,Xiaowan Dam,dam,Q12323
Q892800,Bonneville Dam,dam,Q12323
Q20110407,Giz Galasi Dam,dam,Q12323
Q1256524,Nuozhadu Dam,dam,Q12323
Q800130,Volkhov Hydroelectric Station,dam,Q12323
Q492452,Hwacheon Dam,dam,Q12323
Q94989675,Alcántara dam,dam,Q12323
Q4755783,Naghlu Dam,dam,Q12323
Q1545678,Vidraru Dam,dam,Q12323
Q4986338,Bui Dam,dam,Q12323
Q117578,Chirkey Dam,dam,Q12323
Q821492,Oesterdam,dam,Q12323
Q1200190,Deriner Dam,dam,Q12323
Q730412,Zeya Dam,dam,Q12323
Q595245,Mauvoisin dam,dam,Q12323
Q535403,The Dalles Dam,dam,Q12323
Q2885258,Petit-Saut Dam,dam,Q12323
Q2884929,Al Massira Dam,dam,Q12323
Q8061247,Unbong Dam,dam,Q12323
Q1264377,Grevelingendam,dam,Q12323
Q1934539,Oymapinar Dam,dam,Q12323
Q3434274,Entracque Power Plant,dam,Q12323
Q3375842,Régua Dam,dam,Q12323
Q19277520,Coca Codo Sinclair Dam,dam,Q12323
Q16894585,Mandraka Dam,dam,Q12323
Q1163313,Sefid-Rud Dam,dam,Q12323
Q681294,Génissiat Dam,dam,Q12323
Q3359757,Valeira Dam,dam,Q12323
Q2885443,Péligre Dam,dam,Q12323
Q478827,Shahid Abbaspour Dam,dam,Q12323
Q2432944,Tignes Dam,dam,Q12323
