qid,label,class_label,class_qid
Q34201,Zeus,deity,Q178885
Q11378,Shiva,deity,Q178885
Q11380,Vishnu,deity,Q178885
Q42891,Krishna,deity,Q178885
Q37122,Athena,deity,Q178885
Q35500,Aphrodite,deity,Q178885
Q37340,Apollo,deity,Q178885
Q11389,God Brahma,deity,Q178885
Q39503,Artemis,deity,Q178885
Q47652,Venus,deity,Q178885
Q41127,Poseidon,deity,Q178885
Q4649,Jupiter,deity,Q178885
Q42952,Thor,deity,Q178885
Q40901,Ares,deity,Q178885
Q38012,Hera,deity,Q178885
Q41680,Dionysus,deity,Q178885
Q41410,Hades,deity,Q178885
Q40730,Demeter,deity,Q178885
Q43610,Odin,deity,Q178885
Q1579,Ganesha,deity,Q178885
Q1252904,Ra,deity,Q178885
Q128335,Indra,deity,Q178885
Q46491,Osiris,deity,Q178885
Q132127,Kālī,deity,Q178885
Q79876,Isis,deity,Q178885
Q44384,Hephaestus,deity,Q178885
Q131443,Lakshmi,deity,Q178885
Q41419,Hestia,deity,Q178885
Q47534,Anubis,deity,Q178885
Q3954,Neptune,deity,Q178885
Q121973,Eros,deity,Q178885
Q84122,Horus,deity,Q178885
Q58373,Amun,deity,Q178885
Q188618,Hanuman,deity,Q178885
Q112,Mars,deity,Q178885
Q170485,Parvati,deity,Q178885
Q125046,Juno,deity,Q178885
Q1150,Mercury,deity,Q178885
Q45967,Persephone,deity,Q178885
Q134388,Saturn,deity,Q178885
Q382973,Durga,deity,Q178885
Q93172,Gaia,deity,Q178885
Q83223,Asclepius,deity,Q178885
Q130227,Aten,deity,Q178885
Q132543,Diana,deity,Q178885
Q108419,Rhea,deity,Q178885
Q126916,Minerva,deity,Q178885
Q1647325,Freyja,deity,Q178885
Q185498,Lucifer,deity,Q178885
Q394867,Agni,deity,Q178885
Q4640,Vulcan,deity,Q178885
Q134270,Helios,deity,Q178885
Q179575,Ahura Mazda,deity,Q178885
Q131585,Selene,deity,Q178885
Q188676,Garuda,deity,Q178885
Q133343,Hathor,deity,Q178885
Q5011,Cupid,deity,Q178885
Q133147,Loki,deity,Q178885
Q131795,Seth,deity,Q178885
Q193849,Avalokiteśvara,deity,Q178885
Q152262,Pluto,deity,Q178885
Q129106,Bastet,deity,Q178885
Q32102,Ceres,deity,Q178885
Q146921,Thoth,deity,Q178885
Q131087,valkyrie,deity,Q178885
Q131171,Imhotep,deity,Q178885
Q455602,Amaterasu,deity,Q178885
Q165023,Nike,deity,Q178885
Q131203,Nyx,deity,Q178885
Q178417,Eos,deity,Q178885
Q190123,Marduk,deity,Q178885
Q167685,Janus,deity,Q178885
Q193461,Maitreya,deity,Q178885
Q146313,Sobek,deity,Q178885
Q132582,Pan,deity,Q178885
Q204418,Surya,deity,Q178885
Q131654,Frigg,deity,Q178885
Q131575,Hecate,deity,Q178885
Q163920,Adonis,deity,Q178885
Q201261,Orion,deity,Q178885
Q191114,Sita,deity,Q178885
Q146321,Ptah,deity,Q178885
Q131658,Baldur,deity,Q178885
Q102884,Mnemosyne,deity,Q178885
Q6612,Charon,deity,Q178885
Q187602,Circe,deity,Q178885
Q184216,Tethys,deity,Q178885
Q170471,Maat,deity,Q178885
Q169040,Nephthys,deity,Q178885
Q131125,Hebe,deity,Q178885
Q179818,Quetzalcoatl,deity,Q178885
Q165496,Nut,deity,Q178885
Q1001037,Varuna,deity,Q178885
Q170569,Atum,deity,Q178885
Q45097,Yama,deity,Q178885
Q47553,Ishtar,deity,Q178885
Q29409,Mut,deity,Q178885
Q146104,Sekhmet,deity,Q178885
Q180222,Amphitrite,deity,Q178885
Q178710,Vesta,deity,Q178885
Q4654,Fortuna,deity,Q178885
Q140001,Eris,deity,Q178885
Q190511,Apophis,deity,Q178885
Q188536,Anu,deity,Q178885
Q172713,Tyr,deity,Q178885
Q170138,Shu,deity,Q178885
Q168444,Geb,deity,Q178885
Q380817,Kartikeya,deity,Q178885
Q199647,Thanatos,deity,Q178885
Q190521,Khonsu,deity,Q178885
Q185747,Nemesis,deity,Q178885
Q272523,Inanna,deity,Q178885
Q191815,Neith,deity,Q178885
Q185670,Echidna,deity,Q178885
Q184570,Iris,deity,Q178885
Q240679,Hercules,deity,Q178885
Q214672,Enlil,deity,Q178885
Q183097,Khnum,deity,Q178885
Q116273,Tefnut,deity,Q178885
Q191589,Hel,deity,Q178885
Q223805,Angra Mainyu,deity,Q178885
Q215940,Khepri,deity,Q178885
Q208150,Apis,deity,Q178885
Q211611,Anuket,deity,Q178885
Q188236,Cybele,deity,Q178885
Q178831,Aurora,deity,Q178885
Q6497135,Mitra,deity,Q178885
Q206561,Perun,deity,Q178885
Q192107,Hemera,deity,Q178885
Q188931,Bes,deity,Q178885
Q217420,Sin,deity,Q178885
Q193879,Njord,deity,Q178885
Q131196,Heimdall,deity,Q178885
Q189347,Hypnos,deity,Q178885
Q131474,Freyr,deity,Q178885
Q194012,Morpheus,deity,Q178885
Q192322,Min,deity,Q178885
Q214494,Sol Invictus,deity,Q178885
Q473731,Vayu,deity,Q178885
Q208735,Amunet,deity,Q178885
Q209644,Flora,deity,Q178885
Q14515330,Proserpina,deity,Q178885
Q31666,Aditi,deity,Q178885
Q207234,Bellona,deity,Q178885
Q978079,Harmonia,deity,Q178885
Q131483,Ammit,deity,Q178885
Q105019,Phobos,deity,Q178885
Q207435,Taweret,deity,Q178885
Q843382,Psyche,deity,Q178885
Q206878,Priapus,deity,Q178885
Q202257,Hygieia,deity,Q178885
Q276563,Nun,deity,Q178885
Q145983,Tiamat,deity,Q178885
Q272918,Chronos,deity,Q178885
Q214554,Serapis,deity,Q178885
Q207636,Serket,deity,Q178885
Q204146,Hermaphroditus,deity,Q178885
Q146007,Wadjet,deity,Q178885
Q308902,Victoria,deity,Q178885
Q145915,Nekhbet,deity,Q178885
Q223617,Kubera,deity,Q178885
Q130274,Astarte,deity,Q178885
Q113155,Kamadeva,deity,Q178885
Q94066,Eileithyia,deity,Q178885
Q696702,Vamana,deity,Q178885
Q1102307,Lady Justice,deity,Q178885
Q199959,Bragi,deity,Q178885
Q468912,Nergal,deity,Q178885
Q275010,Moloch,deity,Q178885
Q172549,Aeolus,deity,Q178885
Q471696,Mañjuśrī,deity,Q178885
Q6183204,Al-lāt,deity,Q178885
Q1352021,Māra Pāpīyān,deity,Q178885
Q204900,Hodhr,deity,Q178885
Q204691,Iðunn,deity,Q178885
Q626032,Monthu,deity,Q178885
Q464227,Nefertem,deity,Q178885
Q232870,Tlaloc,deity,Q178885
Q106240,Deimos,deity,Q178885
Q860434,Jade Emperor,deity,Q178885
Q62548,Forseti,deity,Q178885
Q1061795,Chandra,deity,Q178885
Q204927,Ægir,deity,Q178885
Q813858,Izanagi,deity,Q178885
Q623065,Dagon,deity,Q178885
Q604633,Heqet,deity,Q178885
Q549619,Tammuz,deity,Q178885
Q332188,Shamash,deity,Q178885
Q205251,Plutus,deity,Q178885
Q204608,norns,deity,Q178885
Q466462,Chang'e,deity,Q178885
Q245395,Pangu,deity,Q178885
Q392239,Nabu,deity,Q178885
Q372614,Víðarr,deity,Q178885
Q478490,Seshat,deity,Q178885
Q841255,Nandi,deity,Q178885
Q1061606,Balarama,deity,Q178885
Q685878,Ashur,deity,Q178885
Q654458,Ereshkigal,deity,Q178885
Q320333,Quirinus,deity,Q178885
Q465875,Dike,deity,Q178885
Q595520,Tsukuyomi,deity,Q178885
Q270867,Terra,deity,Q178885
Q219412,Huitzilopochtli,deity,Q178885
Q372560,Wepwawet,deity,Q178885
Q209605,Viracocha,deity,Q178885
Q213479,Ull,deity,Q178885
Q916959,Brihaspati,deity,Q178885
Q719665,Inari,deity,Q178885
Q319989,Sokar,deity,Q178885
Q311363,Al-‘Uzzá,deity,Q178885
Q244032,Skaði,deity,Q178885
Q392435,Aristaeus,deity,Q178885
Q334447,Kratos,deity,Q178885
Q855310,Rudra,deity,Q178885
Q846288,Meretseger,deity,Q178885
Q746709,Tārā,deity,Q178885
Q1157763,Daksha,deity,Q178885
Q715162,Guan Yin,deity,Q178885
Q943459,Manāt,deity,Q178885
Q266462,Pachamama,deity,Q178885
Q418226,Mazu,deity,Q178885
Q506770,Hymen,deity,Q178885
Q336496,Mímir,deity,Q178885
Q854730,Bhairava,deity,Q178885
Q836029,Hœnir,deity,Q178885
Q747657,Enyo,deity,Q178885
Q1370311,Jagannath,deity,Q178885
Q61078183,Vishvakarma,deity,Q178885
Q726282,Ninurta,deity,Q178885
Q654596,Sól,deity,Q178885
Q645312,Bacchus,deity,Q178885
Q417407,Aker,deity,Q178885
Q237224,Bia,deity,Q178885
Q214987,Eirene,deity,Q178885
Q369938,Ninlil,deity,Q178885
Q877405,Tanit,deity,Q178885
Q835976,Epona,deity,Q178885
Q824249,Veles,deity,Q178885
Q739737,Cernunnos,deity,Q178885
Q465518,Momus,deity,Q178885
Q487290,Anat,deity,Q178885
Q213771,Inti,deity,Q178885
Q83975,Asherah,deity,Q178885
Q868306,Samantabhadra,deity,Q178885
Q864020,Kek,deity,Q178885
Q858754,Onuris,deity,Q178885
Q846981,Váli,deity,Q178885
Q843206,Satis,deity,Q178885
Q810687,Bat,deity,Q178885
Q746321,Concordia,deity,Q178885
Q1296733,Śani,deity,Q178885
Q689826,Svarog,deity,Q178885
Q1127224,Dakini,deity,Q178885
Q663348,Rán,deity,Q178885
Q950298,Rahu,deity,Q178885
Q604687,Kṣitigarbha,deity,Q178885
Q548730,Jörð,deity,Q178885
Q381459,Agave,deity,Q178885
Q851426,Budha,deity,Q178885
Q4439972,Aglaea,deity,Q178885
Q742680,Astraea,deity,Q178885
Q1133509,Dyaus Pita,deity,Q178885
Q724896,Bona Dea,deity,Q178885
Q682306,Izanami,deity,Q178885
Q189208,Zelus,deity,Q178885
Q579612,Hermod,deity,Q178885
Q860314,Orcus,deity,Q178885
Q850227,Panacea,deity,Q178885
Q845614,Maahes,deity,Q178885
Q787492,Harpocrates,deity,Q178885
Q753286,Meskhenet,deity,Q178885
Q23641297,Nataraja,deity,Q178885
Q734508,Sigyn,deity,Q178885
Q689422,Euphrosyne,deity,Q178885
Q572235,Shukra,deity,Q178885
Q215683,Lugh,deity,Q178885
Q500390,Nanna,deity,Q178885
Q746495,Narayana,deity,Q178885
Q1366849,Vajrapani,deity,Q178885
Q1291498,gandharva,deity,Q178885
Q1235172,Luna,deity,Q178885
Q1126848,Heh,deity,Q178885
Q463956,Belenus,deity,Q178885
Q572133,Anteros,deity,Q178885
Q526992,Shamash,deity,Q178885
Q485953,Ananse,deity,Q178885
Q848327,Ninsun,deity,Q178885
Q831577,Britomartis,deity,Q178885
Q829508,Coatlicue,deity,Q178885
Q817358,Mokosh,deity,Q178885
Q739765,Máni,deity,Q178885
Q1144150,Jarilo,deity,Q178885
Q953033,Roma,deity,Q178885
Q147914,Svetovit,deity,Q178885
Q462803,Ame no Uzume,deity,Q178885
Q582268,Egeria,deity,Q178885
Q255459,Brigid,deity,Q178885
Q250060,Taranis,deity,Q178885
Q548445,Silvanus,deity,Q178885
Q216763,Kvasir,deity,Q178885
Q346547,Adad,deity,Q178885
Q383259,"Amenhotep, son of Hapu",deity,Q178885
Q336003,Abundantia,deity,Q178885
Q847429,Fulla,deity,Q178885
Q846113,Heka,deity,Q178885
Q753294,Atropos,deity,Q178885
Q746235,Gefjon,deity,Q178885
Q828550,The Morrígan,deity,Q178885
Q1195229,Sopdu,deity,Q178885
Q1127847,Gerðr,deity,Q178885
Q206754,Ziusudra,deity,Q178885
Q261637,Hachiman,deity,Q178885
Q338298,Acca Larentia,deity,Q178885
Q920416,Eunomia,deity,Q178885
Q859392,Ops,deity,Q178885
Q936979,Morana,deity,Q178885
Q829669,Clotho,deity,Q178885
Q45204,Menhit,deity,Q178885
Q1132674,Pax,deity,Q178885
Q944790,Dellingr,deity,Q178885
Q591914,Triglav,deity,Q178885
Q587825,Chernobog,deity,Q178885
Q253056,Ēostre,deity,Q178885
Q922680,Renenutet,deity,Q178885
Q930167,Sopdet,deity,Q178885
Q768072,Kukulkan,deity,Q178885
Q756797,Tezcatlipoca,deity,Q178885
Q752213,Chalchiuhtlicue,deity,Q178885
Q1260484,Thalia,deity,Q178885
Q59697,Hesperus,deity,Q178885
Q1146978,Despoina,deity,Q178885
Q1145491,Liber,deity,Q178885
Q1144144,Dažbog,deity,Q178885
Q1058253,Chaac,deity,Q178885
Q939549,Q939549,deity,Q178885
Q279639,Xolotl,deity,Q178885
Q598518,Nerthus,deity,Q178885
Q436436,The Dagda,deity,Q178885
Q1367259,Ketu,deity,Q178885
Q2402056,Tripura Sundarī,deity,Q178885
Q17634885,Mātaṅgī,deity,Q178885
Q729771,Danu,deity,Q178885
Q1065802,Moros,deity,Q178885
Q1065105,Hou Yi,deity,Q178885
Q1129855,Libertas,deity,Q178885
Q1128502,Imsety,deity,Q178885
Q1051726,Ihy,deity,Q178885
Q684225,Carmenta,deity,Q178885
Q202011,Dhanvantari,deity,Q178885
Q946657,Iah,deity,Q178885
Q149042,Xochiquetzal,deity,Q178885
Q293560,Óðr,deity,Q178885
Q262635,Ki,deity,Q178885
Q233674,Makemake,deity,Q178885
Q505509,Vili,deity,Q178885
Q149197,Xochipilli,deity,Q178885
