qid,label,class_label,class_qid
Q12199,HIV/AIDS,disease,Q12136
Q12156,malaria,disease,Q12136
Q2840,influenza,disease,Q12136
Q12090,cholera,disease,Q12136
Q39222,rabies,disease,Q12136
Q51993,Ebola hemorrhagic fever,disease,Q12136
Q36956,leprosy,disease,Q12136
Q12125,common cold,disease,Q12136
Q12214,smallpox,disease,Q12136
Q12192,pneumonia,disease,Q12136
Q86,headache,disease,Q12136
Q12202,stroke,disease,Q12136
Q12195,poliomyelitis,disease,Q12136
Q41083,syphilis,disease,Q12136
Q41112,schizophrenia,disease,Q12136
Q44727,chickenpox,disease,Q12136
Q30953,dengue fever,disease,Q12136
Q43987,avian influenza,disease,Q12136
Q11085,Parkinson's disease,disease,Q12136
Q36855,swine influenza,disease,Q12136
Q83319,typhoid fever,disease,Q12136
Q8388,pedophilia,disease,Q12136
Q178275,1918–1920 flu pandemic,disease,Q12136
Q167178,scabies,disease,Q12136
Q101896,gonorrhea,disease,Q12136
Q157661,hepatitis A,disease,Q12136
Q47790,tetanus,disease,Q12136
Q6853,hepatitis B,disease,Q12136
Q134649,diphtheria,disease,Q12136
Q177708,menopause,disease,Q12136
Q129279,dysentery,disease,Q12136
Q129104,anthrax,disease,Q12136
Q164655,abscess,disease,Q12136
Q170990,arthritis,disease,Q12136
Q132971,dyslexia,disease,Q12136
Q505619,insanity,disease,Q12136
Q154874,yellow fever,disease,Q12136
Q131749,anorexia nervosa,disease,Q12136
Q160649,typhus,disease,Q12136
Q81867,albinism,disease,Q12136
Q155857,rubella,disease,Q12136
Q180266,scarlet fever,disease,Q12136
Q154869,hepatitis C,disease,Q12136
Q206901,amyotrophic lateral sclerosis,disease,Q12136
Q192077,melancholia,disease,Q12136
Q1229994,paranoia,disease,Q12136
Q203133,African trypanosomiasis,disease,Q12136
Q103177,severe acute respiratory syndrome,disease,Q12136
Q1485,systemic lupus erythematosus,disease,Q12136
Q184627,human papillomavirus infection,disease,Q12136
Q134003,hemophilia,disease,Q12136
Q331283,leishmaniasis,disease,Q12136
Q201989,Lyme disease,disease,Q12136
Q182155,herpes zoster,disease,Q12136
Q6473911,herpes simplex,disease,Q12136
Q180614,melanoma,disease,Q12136
Q221159,schistosomiasis,disease,Q12136
Q183344,sinusitis,disease,Q12136
Q178061,shock,disease,Q12136
