qid,label,class_label,class_qid
Q24958,The War of the Worlds,drama,Q25372
Q22192,grey goo,drama,Q25372
Q444370,Dziady,drama,Q25372
Q10855446,Chaika: The Coffin Princess,drama,Q25372
Q639990,Lorenzaccio,drama,Q25372
Q2106021,postdramatic theatre,drama,Q25372
Q1117565,The White Devil,drama,Q25372
Q7901396,Urubhanga,drama,Q25372
Q7170483,Personal Call,drama,Q25372
Q5002842,Butter in a Lordly Dish,drama,Q25372
Q7776658,The Yellow Iris,drama,Q25372
Q1170665,The Trial of Lucullus,drama,Q25372
Q10925374,Sìláng Tànmǔ,drama,Q25372
Q11086071,Sunrise,drama,Q25372
Q5875203,Hobson's Choice,drama,Q25372
Q4927750,Blood and Fire,drama,Q25372
Q4355607,Escape,drama,Q25372
Q132861078,Q132861078,drama,Q25372
Q107695033,Star Wars: Duel of the Fates,drama,Q25372
Q3237068,Leubald,drama,Q25372
Q3139069,Hoffmanniana,drama,Q25372
Q7304710,Red Pawn,drama,Q25372
Q6792059,Matysiakowie,drama,Q25372
Q56737517,Orpheus,drama,Q25372
Q88466597,Mirandola: a Tragedy,drama,Q25372
Q104861487,Sawa Shabab Radio drama,drama,Q25372
Q24669497,The Diary of River Song,drama,Q25372
Q20713693,Torchwood,drama,Q25372
Q16385405,Darkside,drama,Q25372
Q7958491,W Jezioranach,drama,Q25372
Q12811982,Words and Music,drama,Q25372
Q3655415,Les Misérables,drama,Q25372
Q3629409,Atuk,drama,Q25372
Q2991614,Concentrate,drama,Q25372
Q5564107,Giraffes on Horseback Salad,drama,Q25372
Q7739849,The Hitch-Hiker,drama,Q25372
Q15859055,"Ist das Ihr Fahrrad, Mr. O'Brien?",drama,Q25372
Q13734992,Ronflonflon,drama,Q25372
Q1194245,Der Herr der Ringe,drama,Q25372
Q97357602,The Angarath,drama,Q25372
Q85808857,The Witch Who Came in from the Cold,drama,Q25372
Q85789106,Night Terrace,drama,Q25372
Q104859184,Antiochus the Great,drama,Q25372
Q104856467,Antiochus,drama,Q25372
Q7754128,The Night Whispers,drama,Q25372
Q7753988,The Next Life,drama,Q25372
Q7752917,The Mystery of the Missing Hour,drama,Q25372
Q7752796,The Mutant Phase,drama,Q25372
Q7751798,The Mists of Time,drama,Q25372
Q7751670,The Mirror Effect,drama,Q25372
Q7750968,The Memory Cheats,drama,Q25372
Q7750627,The Masters of Luxor,drama,Q25372
Q7750550,The Masquerade of Death,drama,Q25372
Q7750306,The Marian Conspiracy,drama,Q25372
Q25184404,The Churchill Years,drama,Q25372
Q24669496,Doom Coalition,drama,Q25372
Q24669506,Doctor Who: The Third Doctor Adventures,drama,Q25372
Q24669499,Doctor Who: The Tenth Doctor Adventures,drama,Q25372
Q24669512,Dalek Empire,drama,Q25372
Q24521156,We Are The Daleks,drama,Q25372
Q24521584,Daleks Among Us,drama,Q25372
Q24211092,Robin of Sherwood: The Knights Of The Apocalypse,drama,Q25372
Q23023438,Pilgrim,drama,Q25372
Q21186136,"Unman, Wittering and Zigo",drama,Q25372
Q21160197,The Widow's Assassin,drama,Q25372
Q21161229,The Doomwood Curse,drama,Q25372
Q21160006,The Brood of Erys,drama,Q25372
Q21160146,Scavenger,drama,Q25372
Q21159992,Antidote to Oblivion,drama,Q25372
Q21061453,Excelis Dawns,drama,Q25372
Q20746289,Psychodrome,drama,Q25372
Q20746258,Moonflesh,drama,Q25372
Q20711851,Iterations of I,drama,Q25372
Q20647223,The Entropy Plague,drama,Q25372
Q20311479,A Perfect World,drama,Q25372
Q20089848,Time Reef,drama,Q25372
Q18163157,Strontium Dog: Down to Earth,drama,Q25372
Q18161249,Judge Dredd: Pre-Emptive Revenge,drama,Q25372
Q17015960,No Place Like Home,drama,Q25372
Q16996307,The Light at the End,drama,Q25372
Q16968528,Return of the Krotons,drama,Q25372
Q16954100,The Chrysalids,drama,Q25372
Q16951995,Black and White,drama,Q25372
Q16932114,A Song for Edmond Shakespeare,drama,Q25372
Q16877657,Trial of the Valeyard,drama,Q25372
Q16851707,Judge Dredd: Wanted: Dredd or Alive,drama,Q25372
Q16385177,The Boy That Time Forgot,drama,Q25372
Q16204748,The Selachian Gambit,drama,Q25372
Q16204653,The Sands of Life,drama,Q25372
Q16204525,Project Infinity,drama,Q25372
Q16204314,Old Soldiers,drama,Q25372
Q16209185,Dark Adventure Radio Theatre: The Case of Charles Dexter Ward,drama,Q25372
Q16204924,A Storm of Angels,drama,Q25372
Q6669721,London's Burning,drama,Q25372
Q6659180,Living Legend,drama,Q25372
Q6535582,Leviathan,drama,Q25372
Q6517794,Legend of the Cybermen,drama,Q25372
Q7911562,Valhalla,drama,Q25372
Q7897935,Up Against It,drama,Q25372
Q7897359,Unregenerate!,drama,Q25372
Q7865314,UNIT: Time Heals,drama,Q25372
Q7865313,UNIT: The Wasting,drama,Q25372
Q7865311,UNIT: The Longest Night,drama,Q25372
Q7865310,UNIT: The Coup,drama,Q25372
Q7865309,UNIT: Snake Head,drama,Q25372
Q7865321,UNIT: Dominion,drama,Q25372
Q7859167,Two Plays for Voices,drama,Q25372
Q7846731,Troy,drama,Q25372
Q7832765,Trail of the White Worm,drama,Q25372
Q7823938,Too Much of a Good Thing,drama,Q25372
Q7811247,To the Death,drama,Q25372
Q7805566,Timeless Passages,drama,Q25372
Q7805230,Time Works,drama,Q25372
Q7797220,Three's a Crowd,drama,Q25372
Q7784264,Thin Ice,drama,Q25372
Q7783949,Thicker than Water,drama,Q25372
Q7776927,The Zygon Who Fell to Earth,drama,Q25372
Q7776281,The Wreck of the Titan,drama,Q25372
Q7776260,The Wrath of the Iceni,drama,Q25372
Q7776216,The Worst Thing in the World,drama,Q25372
Q7776192,The Wormery,drama,Q25372
Q7775290,The Witch from the Well,drama,Q25372
Q7774747,The Wicked and the Dead,drama,Q25372
Q7774435,The Whispering Forest,drama,Q25372
Q7773606,The Warriors,drama,Q25372
Q7773400,The Wanderer,drama,Q25372
Q7773240,The Wake,drama,Q25372
Q7772124,The Veiled Leopard,drama,Q25372
Q7771308,The Uncertainty Principle,drama,Q25372
Q7770843,The Twilight Kingdom,drama,Q25372
Q7770675,The Tub Full of Cats,drama,Q25372
Q7769968,The Transit of Venus,drama,Q25372
Q7769341,The Time Vampire,drama,Q25372
Q7769366,The Time of the Daleks,drama,Q25372
Q7769326,The Time Museum,drama,Q25372
Q7768140,The Tartarus Gate,drama,Q25372
Q7767558,The Survivors,drama,Q25372
Q7767514,The Surest Poison,drama,Q25372
Q7767183,The Suffering,drama,Q25372
Q7766649,The Stones of Venice,drama,Q25372
Q7766579,The Stone's Lament,drama,Q25372
Q7766431,The Stealers from Saiph,drama,Q25372
Q7765778,The Spectre of Lanyon Moor,drama,Q25372
Q7765240,The Song of Megaptera,drama,Q25372
Q7765419,The Sound of Fear,drama,Q25372
Q7764713,The Skymines of Karthos,drama,Q25372
Q7764658,The Skull of Sobek,drama,Q25372
Q7764633,The Skin Walkers,drama,Q25372
Q7764517,The Sirens of Time,drama,Q25372
Q7764322,The Silver Turk,drama,Q25372
Q7764157,The Sign of Diolyx,drama,Q25372
Q7763581,The Shadow of the Scourge,drama,Q25372
Q7763538,The Shadow Heart,drama,Q25372
Q7763418,The Settling,drama,Q25372
Q7763327,The Sentinels of the New Dawn,drama,Q25372
Q7763130,The Secret of Cassandra,drama,Q25372
Q7762519,The School,drama,Q25372
Q7762385,The Scapegoat,drama,Q25372
Q7762229,The Sandman,drama,Q25372
Q7761576,The Rosemariners,drama,Q25372
Q7761461,The Roof of the World,drama,Q25372
Q7761284,The Rocket Men,drama,Q25372
Q7760818,The Rings of Ikiria,drama,Q25372
Q7760501,The Revenants,drama,Q25372
Q7760354,The Resurrection of Mars,drama,Q25372
Q7760186,The Renaissance Man,drama,Q25372
Q7760108,The Relics of Jegg-Sau,drama,Q25372
Q7759715,The Reaping,drama,Q25372
Q7759472,The Ratings War,drama,Q25372
Q7759441,The Rapture,drama,Q25372
Q7759335,The Raincloud Man,drama,Q25372
Q7758849,The Pyralis Effect,drama,Q25372
Q7758380,The Prisoner's Dilemma,drama,Q25372
Q7758390,The Prisoner of Peladon,drama,Q25372
Q7757614,The Poison Seas,drama,Q25372
Q7756857,The Phantom of the Opera,drama,Q25372
Q7756618,The People's Princess,drama,Q25372
Q7756328,The Path of Fate,drama,Q25372
Q7756242,The Passenger,drama,Q25372
Q7756063,The Paradise of Death,drama,Q25372
Q7755444,The Oseidon Adventure,drama,Q25372
Q7755246,The Oracle of Delphi,drama,Q25372
Q7755029,The One Doctor,drama,Q25372
Q7754461,The Nowhere Place,drama,Q25372
Q122766372,The Lost Leader,drama,Q25372
Q122538745,Merry-Go-Round,drama,Q25372
Q122349408,With Wings as Eagles,drama,Q25372
Q122224201,Reunion,drama,Q25372
Q122184748,We're Going Through,drama,Q25372
Q122171842,Nocturne,drama,Q25372
Q122171858,Early in the Morning,drama,Q25372
Q122055633,Out of This Nettle,drama,Q25372
Q122055031,Lazy in the Sun,drama,Q25372
Q122055941,Consulting Room,drama,Q25372
Q121973461,The Remittance Man,drama,Q25372
Q121974403,Spoiled Darlings,drama,Q25372
Q121974233,Murder in the Silo,drama,Q25372
Q121964496,The Hermit Crab,drama,Q25372
Q121891503,The Bombora,drama,Q25372
Q121891405,Come Out Fighting,drama,Q25372
Q121842782,Cornerstone,drama,Q25372
Q121792965,Stockade,drama,Q25372
Q121438702,The Shark Fishers,drama,Q25372
Q115804875,The Tragedy of Donohoe,drama,Q25372
Q111981523,The Duke of Guise,drama,Q25372
Q8069486,Zero,drama,Q25372
Q8050878,Year Zero,drama,Q25372
Q8050920,Year of the Pig,drama,Q25372
Q8036811,Worldwide Web,drama,Q25372
Q8027006,Wirrn Dawn,drama,Q25372
Q8026377,Winter for the Adept,drama,Q25372
Q8001526,Wildthyme at Large,drama,Q25372
Q7994002,Whispers of Terror,drama,Q25372
Q7973307,Water Like a Stone,drama,Q25372
Q7942429,Voyage to Venus,drama,Q25372
Q7920598,Venus Mantrap,drama,Q25372
Q7919927,Vengeance of Morbius,drama,Q25372
Q109289274,The Dark Tower,drama,Q25372
Q125843656,An Invitation to Dinner,drama,Q25372
Q125457717,To Death and Back,drama,Q25372
Q125428318,The Jackeroo,drama,Q25372
Q125396610,Spinney Under the Rain,drama,Q25372
Q125396596,Inevitable Companion,drama,Q25372
Q125243421,Coat of Arms,drama,Q25372
Q125097809,We Shall Not Lament the Dead,drama,Q25372
Q125097817,The Other Side of Sundown,drama,Q25372
Q125101790,Swan Song of the Arunta,drama,Q25372
Q124877845,The Fire on the Snow,drama,Q25372
Q124844873,Anniversary (play),drama,Q25372
Q124839665,Spartacus,drama,Q25372
Q124819970,The Shadow Man (radio drama),drama,Q25372
Q124784792,The Medea of Euripides,drama,Q25372
Q124733178,The Hot and Copper Sky,drama,Q25372
Q124733157,Night of the Gods,drama,Q25372
Q124727514,Lure of the Inland Sea,drama,Q25372
Q124714284,The Highest Command,drama,Q25372
Q124717132,Low Voice in Rama,drama,Q25372
Q124691347,The Sea Hawk,drama,Q25372
Q124691320,The Interloper,drama,Q25372
Q124691244,The Flying Swan,drama,Q25372
Q124691326,The Dingo,drama,Q25372
Q124691340,The Black Horse,drama,Q25372
Q124691313,Telling Mrs Baker,drama,Q25372
Q124691334,I Saw the New Moon,drama,Q25372
Q124691305,Christine,drama,Q25372
Q124680384,A Cat Across Their Path,drama,Q25372
Q124661142,Three Mile Cross,drama,Q25372
Q124661148,The Valiant Tinker,drama,Q25372
Q124661459,The Heroic Journey,drama,Q25372
Q124661331,The Hayfield,drama,Q25372
Q124661214,The Golden Cockerel,drama,Q25372
Q124661000,The Empty Shrine,drama,Q25372
Q124661445,The Barbarous Barber,drama,Q25372
Q124661353,Secrets,drama,Q25372
Q124661023,"Oh, Whistle When You're Happy",drama,Q25372
Q124661414,In Honour Bound,drama,Q25372
Q124666152,Gulliver's Cousin,drama,Q25372
Q124661483,Exit Socrates,drama,Q25372
Q124661016,Down to Earth,drama,Q25372
Q124661155,Balzac,drama,Q25372
Q124661008,All Is Made Manifest,drama,Q25372
Q124661297,A Citizen of the World,drama,Q25372
Q124651837,The Fated Hour,drama,Q25372
Q124656642,Lethe Wharf,drama,Q25372
Q124634447,Seapiece,drama,Q25372
Q124608339,The Seas Between,drama,Q25372
Q124608518,Redemption (radio play),drama,Q25372
Q124608632,Mary Reibey (radio play),drama,Q25372
Q124608342,Honest Hooves,drama,Q25372
Q124608372,Castle Hill (radio play),drama,Q25372
Q124608345,A Horseman in Arcadia,drama,Q25372
Q124548015,The Path of the Eagle,drama,Q25372
Q48699796,Ravenous,drama,Q25372
Q41641811,The Kabeiroi,drama,Q25372
Q39057288,The Eternal Summer,drama,Q25372
Q30668186,"John Steele, Adventurer",drama,Q25372
Q30643785,The Torchwood Archive,drama,Q25372
Q30645113,Fall to Earth,drama,Q25372
Q30598073,Fiesta of the Damned,drama,Q25372
Q30599242,"Charlie Wild, Private Detective",drama,Q25372
Q29514854,The Amazing Spider-Man 3,drama,Q25372
Q29467448,In the Ruins,drama,Q25372
Q28453231,The Conspiracy,drama,Q25372
Q28447104,The Springheel Saga,drama,Q25372
Q28407842,"Steins;Gate Drama CD Alpha, Beta, and Gamma",drama,Q25372
Q26964750,The Sixth Doctor: The Last Adventure,drama,Q25372
Q4170812,The Bride of Peladon,drama,Q25372
Q124547712,The Real Betrayal,drama,Q25372
Q124547664,Fear,drama,Q25372
Q124344674,Winter Passion,drama,Q25372
Q124134744,The First Gentleman,drama,Q25372
Q124060719,The Battling Bensons,drama,Q25372
Q124061097,Edward John Eyre (radio play),drama,Q25372
Q123662871,The Many Faces of Jesus,drama,Q25372
Q123416936,The Man with the Donkey,drama,Q25372
Q123416519,Tailormade,drama,Q25372
Q123411955,Margaret Catchpole,drama,Q25372
Q123235140,Far from the Land,drama,Q25372
Q123237957,All Passion Spent,drama,Q25372
Q123150893,The Eno Crime Club,drama,Q25372
Q123116122,The Living Rock,drama,Q25372
Q123046583,What Happened to Leichhardt?,drama,Q25372
Q123046605,The Last Foot,drama,Q25372
Q123039040,Small Town (radio play),drama,Q25372
Q123012568,The Bronze Plain,drama,Q25372
Q122948586,The Meeting of the Waters,drama,Q25372
Q122948493,His Excellency Governor Shirtsleeves,drama,Q25372
Q122916800,The House of a Thousand Whispers,drama,Q25372
Q122916792,Safe Horizon,drama,Q25372
Q122819435,The Bolero Murder,drama,Q25372
Q6989883,Nekromanteia,drama,Q25372
Q7661384,Sympathy for the Devil,drama,Q25372
Q7659310,Sword of Orion,drama,Q25372
Q7647202,Survival of the Fittest & Klein's Story,drama,Q25372
Q7637511,Summer of Love,drama,Q25372
Q7620185,Storm Warning,drama,Q25372
Q7601116,Star Wars,drama,Q25372
Q7573728,Sparky's Magic Piano,drama,Q25372
Q7560698,Son of the Dragon,drama,Q25372
Q7560119,Something Inside,drama,Q25372
Q7558185,Solitaire,drama,Q25372
Q7540954,Slipstream,drama,Q25372
Q7532144,Situation Vacant,drama,Q25372
Q7531390,Sisters of the Flame,drama,Q25372
Q7524267,Singularity,drama,Q25372
Q7516181,Silver Lining,drama,Q25372
Q7501998,Short Trips – Volume 4,drama,Q25372
Q7501996,Short Trips – Volume 3,drama,Q25372
Q7501992,Short Trips – Volume 1,drama,Q25372
Q7455085,Serpent Crest,drama,Q25372
Q7444065,Secret Origins,drama,Q25372
Q7443533,Second Sight,drama,Q25372
Q7441943,Seasons of Fear,drama,Q25372
Q7431208,Scherzo,drama,Q25372
Q7430380,Scaredy Cat,drama,Q25372
Q7422450,Sarah Jane Smith: The TAO Connection,drama,Q25372
Q7422449,Sarah Jane Smith: Test of Nerve,drama,Q25372
Q7422448,Sarah Jane Smith: Snow Blind,drama,Q25372
Q7422447,"Sarah Jane Smith: Mirror, Signal, Manoeuvre",drama,Q25372
Q7422446,Sarah Jane Smith: Ghost Town,drama,Q25372
Q7422445,Sarah Jane Smith: Fatal Consequences,drama,Q25372
Q7422444,Sarah Jane Smith: Dreamland,drama,Q25372
Q7422442,Sarah Jane Smith: Comeback,drama,Q25372
Q7422443,Sarah Jane Smith: Buried Secrets,drama,Q25372
Q7403993,Salem's Lot,drama,Q25372
Q7376422,Ruby the Galactic Gumshoe,drama,Q25372
Q7353295,Robophobia,drama,Q25372
Q7334965,Ringpullworld,drama,Q25372
Q7317252,Return of the Rocket Men,drama,Q25372
Q7317210,Return of the Daleks,drama,Q25372
Q7316497,Resurrecting the Past,drama,Q25372
Q7312471,Renaissance of the Daleks,drama,Q25372
Q7310770,Relative Dimensions,drama,Q25372
Q7303976,Red Dawn,drama,Q25372
Q7303599,Red,drama,Q25372
Q7301079,Real Time,drama,Q25372
Q7295405,Rat Trap,drama,Q25372
Q7272317,Quinnis,drama,Q25372
Q7251249,Protect and Survive,drama,Q25372
Q7249356,Project: Twilight,drama,Q25372
Q7249225,Project Nirvana,drama,Q25372
Q7249187,Project: Lazarus,drama,Q25372
Q7249060,Project Destiny,drama,Q25372
Q7245830,Prisoner of the Sun,drama,Q25372
Q7243523,Primeval,drama,Q25372
Q7236384,Power Play,drama,Q25372
Q7209464,Police Headquarters,drama,Q25372
Q7208221,Point of Entry,drama,Q25372
Q7201561,Plantagenet,drama,Q25372
Q7200572,Plague of the Daleks,drama,Q25372
Q7191742,Pier Pressure,drama,Q25372
Q7186619,Phobos,drama,Q25372
Q7180518,Phantasmagoria,drama,Q25372
Q7169530,The Perpetual Bond,drama,Q25372
Q7168347,Peri and the Piscon Paradox,drama,Q25372
Q7167969,Perfect Day,drama,Q25372
Q7144981,Patient Zero,drama,Q25372
Q7134235,Paradise 5,drama,Q25372
Q7132609,Paper Cuts,drama,Q25372
Q7108598,Other Lives,drama,Q25372
Q7089973,Omega,drama,Q25372
Q7044544,No More Lies,drama,Q25372
Q7033731,Night of the Stormcrow,drama,Q25372
Q7033488,Night Thoughts,drama,Q25372
Q7033162,Night's Black Agents,drama,Q25372
Q7004480,Neverwhere,drama,Q25372
