qid,label,class_label,class_qid
Q12187,antibiotic,drug,Q8386
Q46452,opium,drug,Q8386
Q269829,placebo,drug,Q8386
Q190016,heparin,drug,Q8386
Q185690,corticotropin,drug,Q8386
Q190878,activated carbon,drug,Q8386
Q415178,ivermectin,drug,Q8386
Q847705,sedative,drug,Q8386
Q423098,neomycin,drug,Q8386
Q285335,Spirulina,drug,Q8386
Q251005,nystatin,drug,Q8386
Q898739,laudanum,drug,Q8386
Q79448,immunoglobulin G,drug,Q8386
Q7239230,pre-exposure prophylaxis against HIV,drug,Q8386
Q45071,progestogen,drug,Q8386
Q415571,bleomycin,drug,Q8386
Q408014,chondroitin sulfate,drug,Q8386
Q685071,bhang,drug,Q8386
Q2604964,medical abortion,drug,Q8386
Q292982,Serpin family A member 1,drug,Q8386
Q424430,whey protein,drug,Q8386
Q419375,selenium disulfide,drug,Q8386
Q388565,rifamycin,drug,Q8386
Q1546149,Theriac,drug,Q8386
Q419079,nabilone,drug,Q8386
Q415909,capreomycin,drug,Q8386
Q105296036,Asparaginase,drug,Q8386
Q7005626,elixir,drug,Q8386
Q935761,Adderall,drug,Q8386
Q420885,tranylcypromine,drug,Q8386
Q56274769,lecanemab,drug,Q8386
Q421951,kanamycin (extract),drug,Q8386
Q56934130,onasemnogene abeparvovec,drug,Q8386
Q5572286,glucagon-like peptide-1 agonist,drug,Q8386
Q910944,Speedball,drug,Q8386
Q416545,asenapine,drug,Q8386
Q1851701,dalteparin,drug,Q8386
Q2309849,antianginal,drug,Q8386
Q416821,menotropin,drug,Q8386
Q1703024,artificial tears,drug,Q8386
Q1429522,prokinetic agent,drug,Q8386
Q3997863,ado-trastuzumab emtansine,drug,Q8386
Q3221044,pharmaceutical preparation of nitroglycerin,drug,Q8386
Q2957662,activated charcoal,drug,Q8386
Q39048381,fremanezumab,drug,Q8386
Q20817212,ginseng,drug,Q8386
Q2705066,dronabinol,drug,Q8386
Q106943333,Sotrovimab,drug,Q8386
Q1492328,bile acid sequestrant,drug,Q8386
Q85757472,dostarlimab,drug,Q8386
Q3245302,Tylenol,drug,Q8386
Q635415,ibritumomab,drug,Q8386
Q7120529,andexanet alfa,drug,Q8386
Q1763990,quinupristin/dalfopristin,drug,Q8386
Q1734091,carminative,drug,Q8386
Q27863114,testosterone,drug,Q8386
Q100391783,bamlanivimab,drug,Q8386
Q16252338,Insulin degludec,drug,Q8386
Q15893399,diphtheria antitoxin,drug,Q8386
Q4860325,prostaglandin E,drug,Q8386
Q28453488,medical use of acetic acid,drug,Q8386
Q28163599,ethambutol/isoniazid/rifampicin,drug,Q8386
Q28163645,anti-tetanus immunoglobulin,drug,Q8386
Q1321793,Lorenzo's oil,drug,Q8386
Q114242090,daxibotulinumtoxinA,drug,Q8386
Q4118295,conjugated estrogens,drug,Q8386
Q3704725,defibrotide,drug,Q8386
Q13530468,ephedra,drug,Q8386
Q2172867,topical steroid,drug,Q8386
Q2034436,osmotic diuretic,drug,Q8386
Q55641547,ravulizumab,drug,Q8386
Q105687595,regdanvimab,drug,Q8386
Q105091132,donanemab,drug,Q8386
Q28163637,Dextran 70,drug,Q8386
Q80109553,trastuzumab deruxtecan,drug,Q8386
Q4067112,rabies immunoglobulin,drug,Q8386
Q3579672,antiparkinson,drug,Q8386
Q584065,anti-thymocyte globulin,drug,Q8386
Q19946892,cerebrolysin,drug,Q8386
Q3286619,neuromuscular-blocking drug,drug,Q8386
Q2869808,emtricitabine/tenofovir/efavirenz,drug,Q8386
Q5767602,aspirin/paracetamol/caffeine,drug,Q8386
Q2853298,antimycobacterial,drug,Q8386
Q2046403,ear drop,drug,Q8386
Q107401582,AZD7442,drug,Q8386
Q28453483,potassium chloride,drug,Q8386
Q28163603,ethambutol/isoniazid/pyrazinamide/rifampicin,drug,Q8386
Q28163574,ethinylestradiol/levonorgestrel,drug,Q8386
Q1171125,compound spirit of ether,drug,Q8386
Q340032,mumia,drug,Q8386
Q19597688,ledipasvir/sofosbuvir,drug,Q8386
Q409255,renin inhibitor,drug,Q8386
Q58218746,satralizumab,drug,Q8386
Q56297041,givosiran,drug,Q8386
Q6046441,interferon alfa,drug,Q8386
Q30315101,cenegermin,drug,Q8386
Q5572516,glybera,drug,Q8386
Q28453531,fluorescein,drug,Q8386
Q1615256,haemaccel,drug,Q8386
Q28163596,isoniazid/rifampicin,drug,Q8386
Q25110523,sofosbuvir/velpatasvir,drug,Q8386
Q926024,Vishnevsky liniment,drug,Q8386
Q30314624,tisagenlecleucel,drug,Q8386
Q4065146,vasoprotective,drug,Q8386
Q3595652,gripe water,drug,Q8386
Q5137497,atropine/diphenoxylate,drug,Q8386
Q4890968,beractant,drug,Q8386
Q4734932,alpha-glucosidase inhibitor,drug,Q8386
Q4334524,omega-3-acid ethyl esters,drug,Q8386
Q55606818,cemiplimab,drug,Q8386
Q61653285,candicidin,drug,Q8386
Q60666292,tagraxofusp-erzs,drug,Q8386
Q2314345,liquid bandage,drug,Q8386
Q39048038,glecaprevir/pibrentasvir,drug,Q8386
Q33626059,cerliponase alfa,drug,Q8386
Q1820048,Haarlem oil,drug,Q8386
Q28453504,potassium permanganate,drug,Q8386
Q106957199,amivantamab,drug,Q8386
Q105714904,casimersen,drug,Q8386
Q1431381,ganglionic blocker,drug,Q8386
Q28163641,pulmonary surfactant,drug,Q8386
Q28163611,lamivudine/nevirapine/zidovudine,drug,Q8386
Q28163606,lamivudine/nevirapine/stavudine,drug,Q8386
Q28163615,estradiol cypionate/medroxyprogesterone acetate,drug,Q8386
Q28163580,Dopamine,drug,Q8386
Q123752915,Mifepristone/misoprostol,drug,Q8386
Q29053744,liquid water,drug,Q8386
Q117349369,retifanlimab,drug,Q8386
Q115285803,mirvetuximab soravtansine,drug,Q8386
Q113366205,teclistamab,drug,Q8386
Q110757700,tebentafusp,drug,Q8386
Q98139657,belantamab mafodotin,drug,Q8386
Q100692768,lumasiran,drug,Q8386
Q75135101,realgar/indigo naturalis,drug,Q8386
Q17048104,dihydroartemisinin/piperaquine,drug,Q8386
Q16855740,polymethylsiloxane polyhydrate,drug,Q8386
Q15978469,mithridate,drug,Q8386
