qid,label,class_label,class_qid
Q34433,University of Oxford,educational institution,Q2385804
Q159106,Federal Center of Technological Education of Minas Gerais,educational institution,Q2385804
Q2495760,State University of Minas Gerais,educational institution,Q2385804
Q756916,Federal Center of Technological Education Celso Suckow da Fonseca,educational institution,Q2385804
Q923610,Pontifícia Universidade Católica de Minas Gerais,educational institution,Q2385804
Q37819,Auckland Grammar School,educational institution,Q2385804
Q170027,University of London,educational institution,Q2385804
Q173959,Al-Azhar University,educational institution,Q2385804
Q183213,Institut Polytechnique des Sciences Avancées,educational institution,Q2385804
Q174570,London School of Economics and Political Science,educational institution,Q2385804
Q202660,Collège de France,educational institution,Q2385804
Q524289,Conservatoire national des Arts et Métiers,educational institution,Q2385804
Q193196,University College London,educational institution,Q2385804
Q193093,Platonic Academy,educational institution,Q2385804
Q499962,Coursera,educational institution,Q2385804
Q214654,Sorbonne,educational institution,Q2385804
Q238101,University of Minnesota,educational institution,Q2385804
Q951305,University of Cape Town,educational institution,Q2385804
Q458393,Durham University,educational institution,Q2385804
Q192088,Eton College,educational institution,Q2385804
Q33018,House of Wisdom,educational institution,Q2385804
Q309350,Northwestern University,educational institution,Q2385804
Q274486,Waseda University,educational institution,Q2385804
Q472316,University of Nottingham,educational institution,Q2385804
Q188617,Kew Gardens,educational institution,Q2385804
Q948720,"Indian Institute of Science, Bengaluru",educational institution,Q2385804
Q1161297,University of Sussex,educational institution,Q2385804
Q273638,"ESPCI Paris, PSL University",educational institution,Q2385804
Q503246,Juilliard School,educational institution,Q2385804
Q837164,Newcastle University,educational institution,Q2385804
Q534643,University of the Witwatersrand,educational institution,Q2385804
Q865528,University of Warwick,educational institution,Q2385804
Q1160664,Lyceum,educational institution,Q2385804
Q1414861,University of Exeter,educational institution,Q2385804
Q76473,University of Southampton,educational institution,Q2385804
Q855730,Chulalongkorn University,educational institution,Q2385804
Q1333399,University of Leicester,educational institution,Q2385804
Q220144,"School of Oriental and African Studies, University of London",educational institution,Q2385804
Q6608367,Indiana University,educational institution,Q2385804
Q1068752,Howard University,educational institution,Q2385804
Q523926,Royal Academy of Dramatic Art,educational institution,Q2385804
Q530471,Chinese Academy of Sciences,educational institution,Q2385804
Q861548,Florida State University,educational institution,Q2385804
Q216458,Actors Studio,educational institution,Q2385804
Q758610,RKD - Nederlands Instituut voor Kunstgeschiedenis,educational institution,Q2385804
Q1045828,University of East Anglia,educational institution,Q2385804
Q195668,Queen Mary University of London,educational institution,Q2385804
Q49118,Boston College,educational institution,Q2385804
Q1516684,University of Kent,educational institution,Q2385804
Q1075104,University of Essex,educational institution,Q2385804
Q1109135,College of Europe,educational institution,Q2385804
Q262854,University of Lancaster,educational institution,Q2385804
Q1422458,University of Bath,educational institution,Q2385804
Q1144673,Royal Academy of Music,educational institution,Q2385804
Q932411,Brunel University London,educational institution,Q2385804
Q2413375,The Open University,educational institution,Q2385804
Q1247544,University of Westminster,educational institution,Q2385804
Q39949,KAIST,educational institution,Q2385804
Q1093910,City College of New York,educational institution,Q2385804
Q1209733,Thammasat University,educational institution,Q2385804
Q1247373,Harrow School,educational institution,Q2385804
Q1432632,University of Reading,educational institution,Q2385804
Q392774,University for Peace,educational institution,Q2385804
Q546976,University of Surrey,educational institution,Q2385804
Q273604,École normale supérieure Paris-Saclay,educational institution,Q2385804
Q1474019,University of Hull,educational institution,Q2385804
Q1094046,"City, University of London",educational institution,Q2385804
Q1250779,Maxim Gorky Literature Institute,educational institution,Q2385804
Q273480,École Militaire,educational institution,Q2385804
Q304985,Royal College of Music,educational institution,Q2385804
Q1345942,University of East London,educational institution,Q2385804
Q977781,Malmö University,educational institution,Q2385804
Q686522,University of Music and Performing Arts Vienna,educational institution,Q2385804
Q1003730,Bulgarian Academy of Sciences,educational institution,Q2385804
Q375606,"Birkbeck, University of London",educational institution,Q2385804
Q482459,Summerhill School,educational institution,Q2385804
Q3578440,ESC Rennes School of Business,educational institution,Q2385804
Q1434547,Loughborough University,educational institution,Q2385804
Q2503809,Kingston University,educational institution,Q2385804
Q1059517,Winchester College,educational institution,Q2385804
Q750066,Aston University,educational institution,Q2385804
Q1896148,University of Greenwich,educational institution,Q2385804
Q273534,École du Louvre,educational institution,Q2385804
Q389336,American Academy of Dramatic Arts,educational institution,Q2385804
Q540751,Anglia Ruskin University,educational institution,Q2385804
Q40006,Hanyang University,educational institution,Q2385804
Q10159,École Normale Supérieure de Lyon,educational institution,Q2385804
Q1127387,Conservatoire national supérieur d'art dramatique,educational institution,Q2385804
Q1753535,Royal College of Art,educational institution,Q2385804
Q743097,cheder,educational institution,Q2385804
Q790029,Bangor University,educational institution,Q2385804
Q312578,University of Music and Theatre Leipzig,educational institution,Q2385804
Q3577870,School of the Air and Space,educational institution,Q2385804
Q1191344,Northern Illinois University,educational institution,Q2385804
Q2177054,Russian Institute of Theatre Arts,educational institution,Q2385804
Q906235,Bashkir State University,educational institution,Q2385804
Q1888771,Manchester Metropolitan University,educational institution,Q2385804
Q178972,Sun Yat-sen University,educational institution,Q2385804
Q616591,Oberlin College,educational institution,Q2385804
Q334051,Abbey of Monte Cassino,educational institution,Q2385804
Q1165608,Darul Uloom Deoband,educational institution,Q2385804
Q1138080,Coventry University,educational institution,Q2385804
Q1858061,Karlstad University,educational institution,Q2385804
Q1481050,London Business School,educational institution,Q2385804
Q1331407,Preslav Literary School,educational institution,Q2385804
Q2503794,Northumbria University,educational institution,Q2385804
Q2470799,Catechetical School of Alexandria,educational institution,Q2385804
Q2983698,Collège Stanislas de Paris,educational institution,Q2385804
Q2744209,University of Portsmouth,educational institution,Q2385804
Q1756635,École pour l'informatique et les nouvelles technologies,educational institution,Q2385804
Q1292306,Navy Petty-Officers School of Mechanics,educational institution,Q2385804
Q1419737,Guildhall School of Music and Drama,educational institution,Q2385804
Q385471,London Academy of Music and Dramatic Art,educational institution,Q2385804
Q7877165,Udemy,educational institution,Q2385804
Q1155729,Scholastic Corporation,educational institution,Q2385804
Q1131055,Universidade Tecnológica Federal do Paraná,educational institution,Q2385804
Q1851014,Ural State University,educational institution,Q2385804
Q1190355,International Lenin School,educational institution,Q2385804
Q2738646,University of Lincoln,educational institution,Q2385804
Q1524992,International Islamic University Malaysia,educational institution,Q2385804
Q3056813,University of Brighton,educational institution,Q2385804
Q1432028,Nezamiyeh,educational institution,Q2385804
Q201325,Ariel University,educational institution,Q2385804
Q524741,Ohrid Literary School,educational institution,Q2385804
Q528231,"Goldsmiths, University of London",educational institution,Q2385804
Q488856,seowon,educational institution,Q2385804
Q132478,Oxford Brookes University,educational institution,Q2385804
Q130981,Cooper Union,educational institution,Q2385804
Q1145814,University of Illinois system,educational institution,Q2385804
Q1341516,Westminster School,educational institution,Q2385804
Q661869,EF Education First,educational institution,Q2385804
Q2010561,University of Buckingham,educational institution,Q2385804
Q2002420,Örebro University,educational institution,Q2385804
Q500740,Lille University of Science and Technology,educational institution,Q2385804
Q49123,Harvard College,educational institution,Q2385804
Q1627967,Liverpool John Moores University,educational institution,Q2385804
Q2065666,University of the Arts London,educational institution,Q2385804
Q1458675,National Film School in Łódź,educational institution,Q2385804
Q1737734,University of Keele,educational institution,Q2385804
Q1711558,University of Plymouth,educational institution,Q2385804
Q181177,Cranfield University,educational institution,Q2385804
Q371625,Brooklyn College,educational institution,Q2385804
Q49124,Radcliffe College,educational institution,Q2385804
Q1202039,"Royal Holloway, University of London",educational institution,Q2385804
Q3578240,École nationale supérieure de techniques avancées Bretagne,educational institution,Q2385804
Q2738622,University of Salford,educational institution,Q2385804
Q1972721,Luleå University of Technology,educational institution,Q2385804
Q1006950,New York Film Academy,educational institution,Q2385804
Q138182,Beijing Film Academy,educational institution,Q2385804
Q377499,Western Hemisphere Institute for Security Cooperation,educational institution,Q2385804
Q635078,United States Army War College,educational institution,Q2385804
Q15732971,FutureLearn,educational institution,Q2385804
Q834678,IHE Delft Institute for Water Education,educational institution,Q2385804
Q1143281,Rugby School,educational institution,Q2385804
Q1869028,London Metropolitan University,educational institution,Q2385804
Q1857773,University of Lancashire,educational institution,Q2385804
Q1232473,Ludus Magnus,educational institution,Q2385804
Q699668,Thomasschule zu Leipzig,educational institution,Q2385804
Q697004,National Political Institutes of Education,educational institution,Q2385804
Q694219,State University of Trade and Economics,educational institution,Q2385804
Q1542213,Lee Strasberg Theatre and Film Institute,educational institution,Q2385804
Q2579702,Jadavpur University,educational institution,Q2385804
Q3152161,Institut des hautes études de défense nationale,educational institution,Q2385804
Q1007545,Galatasaray High School,educational institution,Q2385804
Q61228,Gresham's School,educational institution,Q2385804
Q10387822,Universidade Fundação Mineira de Educação e Cultura,educational institution,Q2385804
Q1851075,Universidade Federal de Santa Catarina,educational institution,Q2385804
Q1187624,United States Navy Strike Fighter Tactics Instructor program,educational institution,Q2385804
Q2045972,Milan Conservatory,educational institution,Q2385804
Q1094742,University of Sunderland,educational institution,Q2385804
Q981195,Royal Central School of Speech and Drama,educational institution,Q2385804
Q946028,"Courant Institute School of Mathematics, Computing, and Data Science",educational institution,Q2385804
