qid,label,class_label,class_qid
Q2307836,Sparkman & Stephens,engineer,Q81096
Q5184232,Crepelle,engineer,Q81096
Q941127,Salesforce,engineer,Q81096
Q2983178,Mod DB,engineer,Q81096
Q429316,Stardock,engineer,Q81096
Q7021267,NexusMods,engineer,Q81096
Q978096,BigPark,engineer,Q81096
Q86753573,Ookla,engineer,Q81096
Q4033839,Altova,engineer,Q81096
Q6887971,Mod The Sims,engineer,Q81096
Q114068010,CurseForge,engineer,Q81096
Q121717742,Steam Workshop,engineer,Q81096
Q4651733,AH-Software,engineer,Q81096
Q4774583,Antic Software,engineer,Q81096
Q120987066,Planon,engineer,Q81096
Q23014081,The Elder Scrolls Renewal Project,engineer,Q81096
Q7313510,Rent The Runway,engineer,Q81096
Q7691414,TeamTNT,engineer,Q81096
Q4926957,Blitz Research,engineer,Q81096
Q125252562,Milnthorpe Model,engineer,Q81096
Q7045777,Noble Systems Corporation,engineer,Q81096
Q116278013,FIGG Bridge Engineers,engineer,Q81096
Q96233857,Doomworld,engineer,Q81096
Q121306865,Timelock Studio,engineer,Q81096
Q5524437,Gartons Limited,engineer,Q81096
Q6459531,LOMOcean Marine,engineer,Q81096
