qid,label,class_label,class_qid
Q379764,lactase,enzyme,Q8047
Q416589,maltase,enzyme,Q8047
Q10891385,Sucrose alpha-glucosidase,enzyme,Q8047
Q5332143,Ecarin,enzyme,Q8047
Q7811495,Tobacco acid pyrophosphatase,enzyme,Q8047
Q4897208,Beta-galactoside permease,enzyme,Q8047
Q21132604,"peptidylprolyl cis/trans isomerase, NIMA-interacting 4",enzyme,Q8047
Q62536,ion channel complex,enzyme,Q8047
Q305481,glutamic-pyruvic transaminase,enzyme,Q8047
Q15322916,calcium channel complex,enzyme,Q8047
Q105296036,Asparaginase,enzyme,Q8047
Q412272,proton pump,enzyme,Q8047
Q423778,potassium channel,enzyme,Q8047
Q331451,abrin,enzyme,Q8047
Q911011,ion pump,enzyme,Q8047
Q2853339,antiporter,enzyme,Q8047
Q381068,aequorin,enzyme,Q8047
Q11323875,Nattokinase,enzyme,Q8047
Q285307,symporters,enzyme,Q8047
Q412728,Lactoperoxidase,enzyme,Q8047
Q1134983,transferrin receptor family,enzyme,Q8047
Q1401099,solute carrier family,enzyme,Q8047
Q17079236,neurotransmitter transporter,enzyme,Q8047
Q408628,androgen-binding protein,enzyme,Q8047
Q411927,transcobalamins,enzyme,Q8047
Q5649486,neurophysin,enzyme,Q8047
Q5044071,carnitine palmitoyltransferase 2,enzyme,Q8047
Q26916851,N-type calcium channel,enzyme,Q8047
Q7670065,TEV protease,enzyme,Q8047
Q426782,Bone morphogenetic protein 1,enzyme,Q8047
Q3775177,M-phase inducer phosphatase,enzyme,Q8047
Q21789862,sebelipase alfa,enzyme,Q8047
Q812784,BCL2 associated agonist of cell death,enzyme,Q8047
Q3023824,dermaseptins,enzyme,Q8047
Q3645271,Fruit bromelain,enzyme,Q8047
Q5135499,Clostridium perfringens alpha toxin,enzyme,Q8047
Q11903647,P-type ATPase,enzyme,Q8047
Q12905982,endothiapepsin,enzyme,Q8047
Q6994882,nepenthesin,enzyme,Q8047
Q7115077,Oxaloacetase,enzyme,Q8047
Q7201782,plasma membrane Ca2+ ATPase,enzyme,Q8047
Q108841452,Cyclic GMP-AMP synthase,enzyme,Q8047
Q76858465,Photinus luciferin 4-monooxygenase,enzyme,Q8047
Q6546700,lignin-modifying enzyme,enzyme,Q8047
Q7205996,Pneumolysin,enzyme,Q8047
Q21428408,Kallikrein 1-related peptidase b16,enzyme,Q8047
Q126265029,Cytochrome P450,enzyme,Q8047
Q1886097,major facilitator superfamily,enzyme,Q8047
Q4122191,Pentalenic acid synthase,enzyme,Q8047
Q4746435,Amino acid transporter,enzyme,Q8047
Q4906731,big dynorphin,enzyme,Q8047
Q5018801,calcium-activated potassium channel,enzyme,Q8047
Q25384427,MHETase,enzyme,Q8047
Q62561871,lipid-gated ion channels,enzyme,Q8047
Q10853506,Ribonuclease Phyb,enzyme,Q8047
Q7240014,prekallikrein,enzyme,Q8047
Q7957566,exopolysaccharide glucosyl ketal-pyruvate-transferase,enzyme,Q8047
Q126126518,3α-Hydroxysteroid dehydrogenase,enzyme,Q8047
Q134445699,Methyl acetate hydrolase,enzyme,Q8047
Q136433027,Lanthanide-dependent methanol dehydrogenase,enzyme,Q8047
Q136466897,ABC-type ferric hydroxamate transporter,enzyme,Q8047
Q1026649,Intestinal-type alkaline phosphatase,enzyme,Q8047
Q3596313,(myelin basic protein)-arginine N-methyltransferase,enzyme,Q8047
Q4746432,Amino acid permease,enzyme,Q8047
Q5054717,cauxin,enzyme,Q8047
Q109236534,carbamoyl phosphate synthetase III,enzyme,Q8047
Q25103777,Holin superfamily II,enzyme,Q8047
Q25103787,Holin superfamily III,enzyme,Q8047
Q25103795,Ion transporter superfamily,enzyme,Q8047
Q25106428,NgAgo,enzyme,Q8047
Q59617859,acutolysin A,enzyme,Q8047
Q62491123,stonustoxin,enzyme,Q8047
Q65920385,adenylate cyclase toxin,enzyme,Q8047
Q95677119,Ferulic acid decarboxylase,enzyme,Q8047
Q11056551,Immobilized Enzyme Reactor System,enzyme,Q8047
Q6714058,MACPF,enzyme,Q8047
Q7041499,nitrophorin,enzyme,Q8047
Q7669118,T7 DNA polymerase,enzyme,Q8047
Q21400335,Methylpurine-DNA glycosylase AlkD,enzyme,Q8047
Q130748721,Imine reductase,enzyme,Q8047
Q131320105,3-Hydroxyacyl-CoA dehydratase,enzyme,Q8047
Q134429163,Salicylate 1-O-methyltransferase,enzyme,Q8047
Q134437680,Acetyl-CoA carboxytransferase,enzyme,Q8047
Q134437644,Phloroglucinol synthase,enzyme,Q8047
Q134455130,Phenylacetate decarboxylase,enzyme,Q8047
Q134531676,"Phosphoribosyl 1,2-cyclic phosphate 1,2-diphosphodiesterase",enzyme,Q8047
Q135225472,CpG methyltransferase,enzyme,Q8047
Q136954117,Avenacosidase,enzyme,Q8047
Q138544202,Thebaine synthase,enzyme,Q8047
Q5053549,Cation diffusion facilitator superfamily,enzyme,Q8047
Q5282577,Dispersin B,enzyme,Q8047
Q5317513,Duteplase,enzyme,Q8047
Q5323813,Cysteine proteinase EP-B 2,enzyme,Q8047
Q100144778,CYP170B1,enzyme,Q8047
Q101175227,(S)-corytuberine synthase,enzyme,Q8047
Q105973256,Juvenile hormone acid O-methyltransferase,enzyme,Q8047
Q106695171,bovhyaluronidase azoximer,enzyme,Q8047
Q106830320,Carbonyl sulfide hydrolase,enzyme,Q8047
Q108695709,LigD,enzyme,Q8047
Q108695709,LigD,enzyme,Q8047
Q109373823,Nucleotide kinase,enzyme,Q8047
Q110722837,Coenzyme A transferases,enzyme,Q8047
Q115808988,Iron superoxide dismutase,enzyme,Q8047
Q117196260,Spirotetronate cyclase AbyU,enzyme,Q8047
Q25101019,APC superfamily,enzyme,Q8047
Q25103835,BART superfamily,enzyme,Q8047
Q25103768,Holin superfamily I,enzyme,Q8047
Q25102066,Lysine exporter,enzyme,Q8047
Q25112332,PTS-GFL superfamily,enzyme,Q8047
Q25323934,CPA superfamily,enzyme,Q8047
Q25323885,Holin superfamily IV,enzyme,Q8047
Q25323884,Holin superfamily V,enzyme,Q8047
Q25323886,Holin superfamily VI,enzyme,Q8047
Q25323887,Holin superfamily VII,enzyme,Q8047
Q25323808,TOG superfamily,enzyme,Q8047
Q28209124,Mrp superfamily,enzyme,Q8047
Q56289843,FERONIA,enzyme,Q8047
Q60788498,volkensin,enzyme,Q8047
Q99530576,CYP28A1,enzyme,Q8047
Q99976356,vitamin D3 dihydroxylase,enzyme,Q8047
Q99976356,vitamin D3 dihydroxylase,enzyme,Q8047
Q110469205,EC 4.1.1.102,enzyme,Q8047
Q5445892,Fet3p,enzyme,Q8047
Q6063416,Ion channel linked receptors,enzyme,Q8047
Q6714440,MAP kinase phosphatase,enzyme,Q8047
Q6714440,MAP kinase phosphatase,enzyme,Q8047
Q6714440,MAP kinase phosphatase,enzyme,Q8047
Q7276700,RHAU,enzyme,Q8047
Q7611602,Steroid 17a-monooxygenase,enzyme,Q8047
Q15997127,serine dehydratase,enzyme,Q8047
Q19903283,Aminoglycoside-3'-phosphotransferase,enzyme,Q8047
Q21102175,PRC1 complex,enzyme,Q8047
