qid,label,class_label,class_qid
Q7325,Jewish people,ethnic group,Q41710
Q12542,Aztec,ethnic group,Q41710
Q8060,Romani people,ethnic group,Q41710
Q49085,African Americans,ethnic group,Q41710
Q84072,Turks,ethnic group,Q41710
Q35966,Ancient Celts,ethnic group,Q41710
Q40477,Slavs,ethnic group,Q41710
Q121842,French,ethnic group,Q41710
Q44806,Ukrainians,ethnic group,Q41710
Q45315,Berbers,ethnic group,Q41710
Q48199,Sámi people,ethnic group,Q41710
Q45813,Huns,ethnic group,Q41710
Q42193,Goths,ethnic group,Q41710
Q17161,Etruscans,ethnic group,Q41710
Q43482,Franks,ethnic group,Q41710
Q5406,Hittites,ethnic group,Q41710
Q163943,Druze Faith,ethnic group,Q41710
Q178484,Mapuche,ethnic group,Q41710
Q131802,Scythians,ethnic group,Q41710
Q83328,Turkic peoples,ethnic group,Q41710
Q22633,Germanic people,ethnic group,Q41710
Q201190,Palestinians,ethnic group,Q41710
Q377085,Assyrians,ethnic group,Q41710
Q23693,Visigoths,ethnic group,Q41710
Q173282,Khazars,ethnic group,Q41710
Q42211,Vandals,ethnic group,Q41710
Q101935,Huguenots,ethnic group,Q41710
Q484479,Kyrgyz people,ethnic group,Q41710
Q130900,Lombards,ethnic group,Q41710
Q846570,Americans,ethnic group,Q41710
Q485732,Quraysh,ethnic group,Q41710
Q200885,Yazidis,ethnic group,Q41710
Q103122,Ostrogoths,ethnic group,Q41710
Q101985,Saxons,ethnic group,Q41710
Q200569,Dutch,ethnic group,Q41710
Q179733,Aryan,ethnic group,Q41710
Q102090,Apache,ethnic group,Q41710
Q162858,Sarmatians,ethnic group,Q41710
Q104444,Amish,ethnic group,Q41710
Q142702,Malays,ethnic group,Q41710
Q146744,Copts,ethnic group,Q41710
Q178054,Alans,ethnic group,Q41710
Q132990,Alamanni,ethnic group,Q41710
Q62928,Semitic people,ethnic group,Q41710
Q188836,Xiongnu,ethnic group,Q41710
Q193776,Philistines,ethnic group,Q41710
Q161205,Safavid dynasty,ethnic group,Q41710
Q203507,Amorites,ethnic group,Q41710
Q182651,Samaritan,ethnic group,Q41710
Q105763,Saracen,ethnic group,Q41710
Q68962,Pannonian Avars,ethnic group,Q41710
Q181752,Pechenegs,ethnic group,Q41710
Q104238,Angles,ethnic group,Q41710
Q150412,Burgundians,ethnic group,Q41710
