qid,label,class_label,class_qid
Q171433,Dolly the Sheep,eukaryote,Q19088
Q185670,Echidna,eukaryote,Q19088
Q176130,Campe,eukaryote,Q19088
Q987965,Jersey cattle,eukaryote,Q19088
Q15614636,Anna,eukaryote,Q19088
Q913373,Sailor Saturn,eukaryote,Q19088
Q595038,Empress of Japan,eukaryote,Q19088
Q1333406,Elsa,eukaryote,Q19088
Q7876591,Ubre Blanca,eukaryote,Q19088
Q6316745,Fairy Godmother,eukaryote,Q19088
Q919407,wicked fairy godmother,eukaryote,Q19088
Q7430467,Scarlett's Magic,eukaryote,Q19088
Q21622644,Sabina Selimovic and Samra Kesinovic,eukaryote,Q19088
Q822038,Yvonne,eukaryote,Q19088
Q3820836,The Fairy with Turquoise Hair,eukaryote,Q19088
Q7155099,Pauline Wayne,eukaryote,Q19088
Q15710873,Princess Celestia,eukaryote,Q19088
Q239422,Hanoverhill Starbuck,eukaryote,Q19088
Q4133191,Gangotri,eukaryote,Q19088
Q7856208,Turra Coo,eukaryote,Q19088
Q15710886,Princess Cadance,eukaryote,Q19088
Q15710866,Princess Luna,eukaryote,Q19088
Q30686724,Craven Heifer,eukaryote,Q19088
Q108938365,trans women of color,eukaryote,Q19088
Q18631908,Toystory,eukaryote,Q19088
Q30921499,Manakana,eukaryote,Q19088
Q8025609,Winner Twins,eukaryote,Q19088
Q5120257,Cincinnati Freedom,eukaryote,Q19088
Q5592156,Grady the Cow,eukaryote,Q19088
Q6879944,Missy,eukaryote,Q19088
Q105081394,Princess Bean,eukaryote,Q19088
Q105825481,Lumpy Space Princess,eukaryote,Q19088
Q110388470,Rosa,eukaryote,Q19088
