qid,label,class_label,class_qid
Q113215,Carlsberg Group,factory,Q83405
Q180855,Heineken International,factory,Q83405
Q371068,Jack Daniel's,factory,Q83405
Q1229287,Hennessy,factory,Q83405
Q325635,Telefunken,factory,Q83405
Q848977,Harland and Wolff,factory,Q83405
Q572895,Humberstone and Santa Laura Saltpeter Works,factory,Q83405
Q648280,Mitsubishi Heavy Industries,factory,Q83405
Q720479,Asahi Breweries,factory,Q83405
Q313542,Tsingtao Brewery,factory,Q83405
Q1134872,Hoegaarden Brewery,factory,Q83405
Q1327429,Fincantieri,factory,Q83405
Q218715,Blohm+Voss,factory,Q83405
Q127305,Paulaner Brewery,factory,Q83405
Q7818931,Tomioka Silk Mill,factory,Q83405
Q153075,Grolsch,factory,Q83405
Q705377,Meyer Werft,factory,Q83405
Q483231,HD Hyundai Heavy Industries,factory,Q83405
Q478119,Amstel Brewery,factory,Q83405
Q1736541,Gdańsk Shipyard,factory,Q83405
Q700418,Howaldtswerke-Deutsche Werft,factory,Q83405
Q6012307,Natanz nuclear facility,factory,Q83405
Q653307,Manufacture nationale de Sèvres,factory,Q83405
Q1001644,Budweiser Budvar,factory,Q83405
Q1197161,Valmet,factory,Q83405
Q20643889,Rjukan–Notodden Industrial Heritage Site,factory,Q83405
Q1333395,Els Quatre Gats,factory,Q83405
Q805734,Baltika Breweries,factory,Q83405
Q17182894,Giga Nevada,factory,Q83405
Q765925,Chantiers de l'Atlantique,factory,Q83405
Q196970,Zeughaus,factory,Q83405
Q911367,BrewDog,factory,Q83405
Q260108,Weltenburg Abbey,factory,Q83405
Q855563,Rochefort,factory,Q83405
Q698957,Erdinger,factory,Q83405
Q689159,Armstrong Whitworth,factory,Q83405
Q658637,Miller Brewing Company,factory,Q83405
Q106854,Beck's,factory,Q83405
Q1368052,Westvleteren Brewery,factory,Q83405
Q2085829,Israel Shipyards Industries Ltd,factory,Q83405
Q951830,Royal Mint,factory,Q83405
Q810783,Bath Iron Works,factory,Q83405
Q82610,Newport News Shipbuilding,factory,Q83405
Q51908,Bruichladdich Distillery,factory,Q83405
Q51910,Bunnahabhain Distillery,factory,Q83405
Q1637028,Mythos Beer,factory,Q83405
Q1440151,Royal Copenhagen,factory,Q83405
Q703194,Friedrich Krupp Germaniawerft,factory,Q83405
Q278905,A. Le Coq,factory,Q83405
Q497860,Hanwha Ocean,factory,Q83405
Q256392,Löwenbräu Brewery,factory,Q83405
Q1193204,Springfield Armory,factory,Q83405
Q1193195,Ingalls Shipbuilding,factory,Q83405
Q1050227,Kremnica Mint,factory,Q83405
Q694218,Krombacher Brauerei,factory,Q83405
Q1637241,Washington Navy Yard,factory,Q83405
Q1808912,Sumitomo Heavy Industries,factory,Q83405
Q1548690,Philadelphia Naval Shipyard,factory,Q83405
Q865859,Peroni Brewery,factory,Q83405
Q489243,Samsung Heavy Industries,factory,Q83405
Q706698,Bitburger brewery,factory,Q83405
Q288727,Sapporo Breweries,factory,Q83405
Q1432129,Royal Small Arms Factory,factory,Q83405
Q657096,Lürssen,factory,Q83405
Q733486,Royal Mint of Spain,factory,Q83405
Q169575,Zecca of Venice,factory,Q83405
Q610086,Achel Brewery,factory,Q83405
Q812294,Bavarian State Brewery Weihenstephan,factory,Q83405
Q530989,Baltic Shipyard,factory,Q83405
Q696787,Warsteiner,factory,Q83405
Q75327597,Gigafactory Berlin-Brandenburg,factory,Q83405
Q1581385,U Fleků,factory,Q83405
Q2072541,Royal Swinkels,factory,Q83405
Q1988714,Royal Crown Derby,factory,Q83405
Q2628643,Sevmash,factory,Q83405
Q227325,Zsolnay,factory,Q83405
Q601859,Jever Brewery,factory,Q83405
Q292748,AG Weser,factory,Q83405
Q521673,Grupo Modelo,factory,Q83405
Q696016,Gotha,factory,Q83405
Q81472,Jiangnan Shipyard,factory,Q83405
Q2361481,Saint Petersburg Mint,factory,Q83405
Q3359700,Mint of Finland,factory,Q83405
Q1851509,Saku Brewery,factory,Q83405
Q623846,Arabia,factory,Q83405
Q932897,Yarrow Shipbuilders Limited,factory,Q83405
Q917524,Perth Mint,factory,Q83405
Q153546,Augustiner Bräu,factory,Q83405
Q263924,Barcelona Royal Shipyard,factory,Q83405
Q524435,Brooklyn Navy Yard,factory,Q83405
Q672792,Swissmint,factory,Q83405
Q81191,Istituto Poligrafico e Zecca dello Stato,factory,Q83405
Q6471508,Sarajevska Pivara,factory,Q83405
Q3441320,Philadelphia Mint,factory,Q83405
Q1407305,Coors Brewing Company,factory,Q83405
Q2099630,Birra Ichnusa,factory,Q83405
Q1303887,Imperial Porcelain Factory,factory,Q83405
Q2072152,Chelsea porcelain factory,factory,Q83405
Q1999049,Norfolk Naval Shipyard,factory,Q83405
Q1273272,Royal Australian Mint,factory,Q83405
Q1521373,The Gramophone Co. Ltd.,factory,Q83405
Q865840,Birra Moretti,factory,Q83405
Q257229,Föroya Bjór,factory,Q83405
Q507700,Lombe's Mill,factory,Q83405
Q1016699,Burmeister & Wain,factory,Q83405
Q562552,Oettinger Brewery,factory,Q83405
Q682660,Flensburger Brauerei,factory,Q83405
