qid,label,class_label,class_qid
Q170022,House of Medici,family,Q8436
Q45646,Umayyad dynasty,family,Q8436
Q179544,Capetian dynasty,family,Q8436
Q83969,House of Hohenzollern,family,Q8436
Q159386,Rothschild family,family,Q8436
Q182135,House of Valois,family,Q8436
Q268160,The White Stripes,family,Q8436
Q200229,House of Savoy,family,Q8436
Q186851,Catholic Monarchs,family,Q8436
Q31711,House of Saud,family,Q8436
Q131621,House of Wittelsbach,family,Q8436
Q157217,House of Hanover,family,Q8436
Q105285,House of York,family,Q8436
Q105278,House of Lancaster,family,Q8436
Q210398,Rurikids,family,Q8436
Q237599,House of Borgia,family,Q8436
Q155483,House of Orange-Nassau,family,Q8436
Q1636320,Aurelius and Natalia,family,Q8436
Q163814,Komnenos,family,Q8436
Q1753846,House of Saxe-Coburg and Gotha,family,Q8436
Q156433,House of Welf,family,Q8436
Q122293,House of Luxembourg,family,Q8436
Q522698,Babenberg,family,Q8436
Q943191,Lakhmids,family,Q8436
Q677173,House of Este,family,Q8436
Q668182,House of Grimaldi,family,Q8436
Q130858,House of Sforza,family,Q8436
Q853342,House of Braganza,family,Q8436
Q212475,House of Visconti,family,Q8436
Q220641,House of Karađorđević,family,Q8436
Q187525,Bagrationi dynasty,family,Q8436
Q159656,Krupp,family,Q8436
Q511482,House of Wessex,family,Q8436
Q152909,House of Wettin,family,Q8436
Q859466,House of Farnese,family,Q8436
Q826719,Bernoulli,family,Q8436
Q769097,Julius and Ethel Rosenberg,family,Q8436
Q388127,Báthory family,family,Q8436
Q599881,Minamoto clan,family,Q8436
Q1079102,Taira clan,family,Q8436
Q939200,Capetian House of Anjou,family,Q8436
Q4987,Banu Hashim,family,Q8436
Q4164435,House of Bagratuni,family,Q8436
Q1347533,House of Orléans,family,Q8436
Q1059073,Borjigin,family,Q8436
Q952109,Hauteville family,family,Q8436
Q746782,Nemanjić dynasty,family,Q8436
Q646085,House of Nassau,family,Q8436
Q717236,Ed Lorraine Warren,family,Q8436
Q698530,House of Liechtenstein,family,Q8436
Q155834,Fugger,family,Q8436
Q645719,House of Habsburg-Lorraine,family,Q8436
Q378193,House of Lusignan,family,Q8436
Q34821,Kennedy family,family,Q8436
Q327202,House of Colonna,family,Q8436
Q521122,Angelos,family,Q8436
Q5324,Gurjara-Pratihara,family,Q8436
Q11085604,Priscilla and Aquila,family,Q8436
Q15955102,Sasanian dynasty,family,Q8436
Q855303,House of Orsini,family,Q8436
Q1369980,Esterházy,family,Q8436
Q327194,House of della Rovere,family,Q8436
Q934262,Aisin Gioro,family,Q8436
Q931814,Köprülü family,family,Q8436
Q169509,Bach family,family,Q8436
Q895184,Princes of Condé,family,Q8436
Q2091436,Gediminids,family,Q8436
Q637209,Philemon and Baucis,family,Q8436
Q700158,House of Mecklenburg,family,Q8436
Q686722,Ashina,family,Q8436
Q1120870,Robertians,family,Q8436
Q158477,Christo and Jeanne-Claude,family,Q8436
Q115479,House of Battenberg,family,Q8436
Q313779,Everything but the Girl,family,Q8436
Q689115,House of Hesse,family,Q8436
Q59027,House of Valois-Burgundy,family,Q8436
Q36148,Doukas,family,Q8436
Q2422081,Al Maktoum,family,Q8436
Q1752059,House of Bjelbo,family,Q8436
Q178438,House of Kotromanić,family,Q8436
Q452258,Amadou & Mariam,family,Q8436
Q18341205,House of Anjou,family,Q8436
Q1441340,Nehru–Gandhi family,family,Q8436
Q1356167,House of Alpin,family,Q8436
Q834364,Hōjō clan,family,Q8436
Q1336538,House of Guise,family,Q8436
Q1590107,House of Dunkeld,family,Q8436
Q969156,Laskaris,family,Q8436
Q1642657,Burgundy family,family,Q8436
Q704122,House of Burgundy - Portugal,family,Q8436
Q224757,Rubenids,family,Q8436
Q60935,Manghud,family,Q8436
Q1419745,Gambino crime family,family,Q8436
Q1061406,Shimazu clan,family,Q8436
Q1283275,Kray twins,family,Q8436
Q1165506,Ike & Tina Turner,family,Q8436
Q1142429,Ibelin,family,Q8436
Q1132077,Oda clan,family,Q8436
Q661534,House of Barcelona,family,Q8436
Q849792,Stroganov family,family,Q8436
Q841541,House of Cseszneky,family,Q8436
Q1345184,Onggirat,family,Q8436
Q895180,Spanish House of Bourbon,family,Q8436
Q943292,House of Frankopan,family,Q8436
Q263364,Agilolfings,family,Q8436
Q1075161,House of Munsö,family,Q8436
Q1071305,Jackson family,family,Q8436
Q1590002,House of Blois,family,Q8436
Q938786,Jiménez dynasty,family,Q8436
Q931785,Pippinids,family,Q8436
Q927558,House of Sverker,family,Q8436
Q1764434,Imagawa clan,family,Q8436
Q655723,House of Griffins,family,Q8436
Q705240,House of Hohenlohe,family,Q8436
Q705085,Bernd and Hilla Becher,family,Q8436
Q700556,Counts of Celje,family,Q8436
Q241133,House of Borghese,family,Q8436
Q852111,Anscarids,family,Q8436
Q1064861,Rákóczi,family,Q8436
Q895188,House of Bourbon-Two Sicilies,family,Q8436
Q892085,Bonanno crime family,family,Q8436
Q1886785,House of Malatesta,family,Q8436
Q1547181,Pazzi family,family,Q8436
Q798581,Hethumids,family,Q8436
Q172797,House of Montefeltro,family,Q8436
Q668150,House of Schwarzenberg,family,Q8436
Q584735,Les Rita Mitsouko,family,Q8436
Q659457,Banu Qasi,family,Q8436
Q2604888,House of Spencer,family,Q8436
Q1091736,House of Évreux,family,Q8436
Q819968,House of Reuss,family,Q8436
Q3100718,Genghisid,family,Q8436
Q3765113,Solar dynasty,family,Q8436
Q2087185,Assad family,family,Q8436
Q1193345,Suiren,family,Q8436
Q1758260,Masters and Johnson,family,Q8436
Q714013,Artsruni,family,Q8436
Q805920,Balšić noble family,family,Q8436
Q246945,Zápolya family,family,Q8436
Q2743830,Bush family,family,Q8436
Q894485,Bosonids,family,Q8436
Q767361,House of Eric,family,Q8436
Q619029,Conradines,family,Q8436
Q611733,Piccolomini,family,Q8436
Q23928746,House of Doria,family,Q8436
Q2937731,Capet family,family,Q8436
Q4855741,Bania,family,Q8436
Q2615540,House of Nahyan,family,Q8436
Q1071516,Chhetri,family,Q8436
Q3242360,Licchavi,family,Q8436
Q1574251,Ananias and Sapphira,family,Q8436
Q1642698,Kantakouzenos,family,Q8436
Q1806270,Lars Kepler,family,Q8436
Q1150058,Uesugi clan,family,Q8436
Q705371,House of Lippe,family,Q8436
Q702646,Sayn-Wittgenstein,family,Q8436
Q281284,Lucchese crime family,family,Q8436
Q678502,Mamikonian,family,Q8436
Q387559,Galitzine,family,Q8436
Q457683,House of Palatinate-Simmern,family,Q8436
Q227184,House of Zrinski,family,Q8436
Q19818171,Mkhargrdzeli-Zakarids,family,Q8436
Q1056522,Hunyadi family,family,Q8436
Q1589976,House of Balliol,family,Q8436
Q2427745,John and Lorena Bobbitt,family,Q8436
Q1290080,Kastrioti family,family,Q8436
Q809658,Le Nain Brothers,family,Q8436
Q1247250,Scaliger,family,Q8436
Q1555065,Scindia,family,Q8436
Q1141077,Matsudaira clan,family,Q8436
Q1140653,Crnojević noble family,family,Q8436
Q507115,Luitpoldings,family,Q8436
Q241520,Grethe and Jørgen Ingmann,family,Q8436
Q689402,Billung,family,Q8436
Q14594649,Carracci family,family,Q8436
Q1495853,Gattilusio,family,Q8436
Q1029291,Demidov,family,Q8436
Q4095711,House of Orléans-Braganza,family,Q8436
Q894159,House of Borromeo,family,Q8436
Q890246,House of Czartoryski,family,Q8436
Q962192,House of Pamphili,family,Q8436
Q2063857,Percy family,family,Q8436
Q2032243,Aleramici,family,Q8436
Q1716871,House of Valois-Anjou,family,Q8436
Q791410,Batthyány,family,Q8436
Q769552,House of Karen,family,Q8436
Q1755836,Mononobe clan,family,Q8436
Q520982,Julian and Basilissa,family,Q8436
Q338958,Chehab family,family,Q8436
Q490078,Counts of Andechs,family,Q8436
Q695223,House of Rohan,family,Q8436
Q138633,Holkar,family,Q8436
Q286668,Al Qasimi,family,Q8436
Q127438,House of Cantacuzino,family,Q8436
Q220804,House of Auersperg,family,Q8436
Q14634037,Charles and Ray Eames,family,Q8436
Q24897370,Chahamanas of Shakambhari,family,Q8436
Q1501877,House of Flanders,family,Q8436
Q2165016,Unruochings,family,Q8436
Q2608761,Albret,family,Q8436
Q1072540,House of Chigi,family,Q8436
Q1348909,Ōuchi clan,family,Q8436
Q1035077,Captain & Tennille,family,Q8436
Q2414972,Banu Makhzum,family,Q8436
Q1590545,House of Shishman,family,Q8436
Q1623645,House of Hohenberg,family,Q8436
Q1774021,von Kleist,family,Q8436
Q1156996,Dadiani,family,Q8436
Q1756103,Albizzi,family,Q8436
Q1683281,Nicci French,family,Q8436
Q1678686,Trubetskoy family,family,Q8436
Q1553748,Guideschi,family,Q8436
Q1542666,House of Poniatowski,family,Q8436
Q1517131,Howard family,family,Q8436
Q725246,Ashford & Simpson,family,Q8436
Q429499,House of Courtenay,family,Q8436
Q277700,House of Beauharnais,family,Q8436
Q698981,House of Gorizia (House of Meinhardin),family,Q8436
Q383925,Ramnulfids,family,Q8436
Q378793,House of Šubić,family,Q8436
Q61911512,Sackler family,family,Q8436
Q18489480,daughter-in-law,family,Q8436
Q2243336,Ii clan,family,Q8436
Q2178524,Ypsilantis family,family,Q8436
Q2167776,Clan Douglas,family,Q8436
Q2164991,Seiwa Genji,family,Q8436
Q3176309,Lazarević dynasty,family,Q8436
Q1929625,Piasts of Silesia,family,Q8436
Q961820,House of Aldobrandini,family,Q8436
Q1276411,Straub-Huillet,family,Q8436
Q813367,House of Beaufort,family,Q8436
Q2057658,cadet branch,family,Q8436
Q3313087,House of Mihrān,family,Q8436
Q1670168,Phokas,family,Q8436
Q251614,House of Koháry,family,Q8436
Q668414,House of Leiningen,family,Q8436
Q691626,House of Savoy-Carignano,family,Q8436
Q690037,House of Schleswig-Holstein-Sonderburg-Augustenburg,family,Q8436
Q318818,Abencerrages,family,Q8436
Q586198,Ezzonids,family,Q8436
Q221975,Windisch-Graetz,family,Q8436
Q17004913,House of Ispahbudhan,family,Q8436
Q15831670,Astur-Leonese dynasty,family,Q8436
Q82681022,House of Bhonsle,family,Q8436
Q2962815,Shervashidze,family,Q8436
Q2991970,Shuysky,family,Q8436
Q2720756,House of Mohyła,family,Q8436
Q2164184,House of Spinola,family,Q8436
Q2642390,Mountbatten family,family,Q8436
Q2612468,Çandarlı family,family,Q8436
Q4231625,Contarini,family,Q8436
Q1118662,House of Crescentii,family,Q8436
Q1096662,Ōtomo clan,family,Q8436
Q1088478,Saints Chrysanthus and Daria,family,Q8436
Q1067142,Five regent houses,family,Q8436
Q2535463,House of Yusupov,family,Q8436
Q1002844,Sanada clan,family,Q8436
Q981303,Chōsokabe clan,family,Q8436
Q3759016,Gabras,family,Q8436
Q1259770,Abashidze,family,Q8436
Q1151399,House of Strozzi,family,Q8436
Q654564,family Trencavel,family,Q8436
Q804277,Bacchiadae,family,Q8436
Q643591,House of Salm,family,Q8436
Q567658,House Mark,family,Q8436
Q669753,House of Schönborn,family,Q8436
Q389703,House of Holland,family,Q8436
Q590557,Brunonids,family,Q8436
Q681590,House of Fürstenberg,family,Q8436
Q573269,Moltke,family,Q8436
Q571419,House of Sponheim,family,Q8436
Q568975,Bernstorff,family,Q8436
Q578033,Maeda clan,family,Q8436
Q85767455,House of Ardenne,family,Q8436
Q18245683,Mannerheim,family,Q8436
Q2975203,Abe clan,family,Q8436
Q2896603,Koch family,family,Q8436
Q2996516,Kamsarakan,family,Q8436
Q1468411,House of Ligne,family,Q8436
Q2621375,House of Mușat,family,Q8436
Q1411698,House of Fieschi,family,Q8436
Q1346533,Saskia & Serge,family,Q8436
Q3142173,Lewis Padgett,family,Q8436
Q1609118,House of Sobieski (Janina),family,Q8436
Q1591667,Hawiye,family,Q8436
Q2365088,House of Bentivoglio,family,Q8436
Q2302514,Tocco,family,Q8436
Q3757901,Al ash-Sheikh,family,Q8436
Q1886760,Malaspina,family,Q8436
Q1268041,Axel and Eigil Axgil,family,Q8436
Q3299242,Bushati family,family,Q8436
Q816037,Bellonids,family,Q8436
Q1256057,House of Drašković,family,Q8436
Q1693536,Aleuadae,family,Q8436
Q775738,House of Dolgorukov,family,Q8436
Q1137568,Couperin family,family,Q8436
Q1536725,Nicole & Hugo,family,Q8436
Q645578,Mavrocordatos family,family,Q8436
Q721588,Hova,family,Q8436
Q520701,House of Bülow,family,Q8436
Q514166,Cindy & Bert,family,Q8436
Q412326,De Graeff,family,Q8436
Q254959,House of Della Torre,family,Q8436
Q534219,Schleswig-Holstein-Sonderburg,family,Q8436
Q145908,Zamoyski family,family,Q8436
Q302413,House of Lobkowicz,family,Q8436
Q301482,Richthofen,family,Q8436
Q573442,Oxenstierna,family,Q8436
Q574503,House of Avesnes,family,Q8436
Q657845,House of Orlov,family,Q8436
Q30967,Khokhar,family,Q8436
Q21192510,Dandolo family,family,Q8436
Q7331479,Rick Jaffa and Amanda Silver,family,Q8436
Q2928174,Bundela,family,Q8436
Q1505459,Pearl Carr & Teddy Johnson,family,Q8436
Q13415387,House of Suren,family,Q8436
Q2275875,House of Seymour,family,Q8436
Q2659667,Akamatsu clan,family,Q8436
Q1457895,Aldobrandeschi family,family,Q8436
Q2612144,Siunia Dynasty,family,Q8436
Q2605448,House of Albani,family,Q8436
Q3065387,Nijō family,family,Q8436
Q853009,House of Bánffy,family,Q8436
Q1403011,Felice and Boudleaux Bryant,family,Q8436
Q1050942,Northern Fujiwara,family,Q8436
Q3140709,Bhutto family,family,Q8436
Q887399,Mrnjavčević family,family,Q8436
Q873772,Kinsky,family,Q8436
Q938697,House of Odescalchi,family,Q8436
Q1799189,House of La Tour d'Auvergne,family,Q8436
Q1736578,Katia and Maurice Krafft,family,Q8436
Q1781840,Konoe family,family,Q8436
Q1158252,Loredan,family,Q8436
Q3420062,Rathore,family,Q8436
Q1217421,House of Neville,family,Q8436
Q2006182,Skleros,family,Q8436
Q1975087,House of Sturdza,family,Q8436
Q1966849,House of Naryshkin,family,Q8436
Q1960463,Cavendish family,family,Q8436
Q175926,Sassoon family,family,Q8436
Q699494,House of Arenberg,family,Q8436
Q508046,House of Broglie,family,Q8436
Q260672,Erdődy,family,Q8436
Q672317,Stauffenberg,family,Q8436
Q253992,Akechi clan,family,Q8436
Q477858,House of Kyburg,family,Q8436
Q473151,House of Canossa,family,Q8436
Q595534,Jonathan Dayton and Valerie Faris,family,Q8436
Q685429,Pálffy ab Erdöd,family,Q8436
Q680267,Rorgonids,family,Q8436
Q572319,Zichy family,family,Q8436
Q314918,Ludovingians,family,Q8436
Q588429,House of Frangipani,family,Q8436
Q662881,Hatakeyama clan,family,Q8436
Q524625,Mogami clan,family,Q8436
Q12403525,Otto and Elise Hampel,family,Q8436
Q56146588,House of Mendoza,family,Q8436
Q11927146,Jalayir,family,Q8436
Q14697977,House of Babonić,family,Q8436
Q6742999,Maleinos family,family,Q8436
Q2975261,Hachisuka clan,family,Q8436
Q2937980,Károlyi family,family,Q8436
Q4846201,Uda Genji,family,Q8436
Q2659895,Asano clan,family,Q8436
Q5312701,Dukagjini family,family,Q8436
Q2975363,Satake clan,family,Q8436
Q3065220,House of Haro,family,Q8436
Q1435679,House of Saxe-Coburg and Gotha-Koháry,family,Q8436
Q1095290,De Clare family,family,Q8436
Q846799,Takatsukasa family,family,Q8436
Q1362298,House of Ingelger,family,Q8436
Q834422,House of Boncompagni,family,Q8436
Q1059574,House of Polignac,family,Q8436
Q3270070,Lakapenos,family,Q8436
Q3268376,Julii Caesares,family,Q8436
Q1311561,Kosača noble family,family,Q8436
Q1298216,House of Egmond,family,Q8436
Q2515971,Guaramid Dynasty,family,Q8436
Q1946241,House of Montfort-l'Amaury,family,Q8436
Q3069781,Fersen,family,Q8436
Q1812020,Mourousis family,family,Q8436
Q1791350,Kujō family,family,Q8436
Q1179892,De Geer family,family,Q8436
Q1767086,House of Kossakowski,family,Q8436
Q1158144,House of FitzGerald,family,Q8436
Q1752312,Mocenigo family,family,Q8436
Q1749893,House of Dănești,family,Q8436
Q1149998,Mozart family,family,Q8436
Q204818,Galli da Bibiena family,family,Q8436
Q1956199,Muzaka family,family,Q8436
Q1535498,Ichijō family,family,Q8436
Q699409,House of Croÿ,family,Q8436
Q73966,Etichonids,family,Q8436
Q566460,Colloredo,family,Q8436
Q324348,Vernon and Irene Castle,family,Q8436
Q479231,Osten-Sacken,family,Q8436
Q593084,Hrvatinić noble family,family,Q8436
Q689100,Wrangel,family,Q8436
Q688896,House of Lubomirski,family,Q8436
Q688078,Lieven,family,Q8436
Q687635,Toki clan,family,Q8436
Q315397,House of Solms,family,Q8436
Q316208,House of Stolberg,family,Q8436
Q663367,House of Montmorency,family,Q8436
Q11929719,Kačić family,family,Q8436
Q17095254,Oettingen,family,Q8436
Q16933739,House of Szilágyi,family,Q8436
Q16320193,House of Brienne,family,Q8436
Q15056017,Del Martin and Phyllis Lyon,family,Q8436
Q11403853,Kitabatake clan,family,Q8436
Q10786232,Uexküll,family,Q8436
Q2975277,Ikeda clan,family,Q8436
Q2975229,Ashina clan,family,Q8436
Q1502286,House of Lara,family,Q8436
Q2895891,Banu Ghaniya,family,Q8436
Q2274150,Nitta clan,family,Q8436
Q2246984,House of Ordelaffi,family,Q8436
Q3033527,Soutzos family,family,Q8436
Q2996910,Orbelian,family,Q8436
Q2709065,Gausian dynasty,family,Q8436
Q2668904,House of Olelkowicz-Słucki,family,Q8436
Q2975377,Tachibana clan,family,Q8436
Q1464378,Durazzo family,family,Q8436
Q2975376,Suwa clan,family,Q8436
Q2975346,Sakai clan,family,Q8436
Q2975342,Rokkaku clan,family,Q8436
Q2975330,Nanbu clan,family,Q8436
Q2625429,Choros,family,Q8436
Q2621935,Igelström,family,Q8436
Q2575609,Amago clan,family,Q8436
Q2746534,Rshtuni,family,Q8436
Q3646532,Bufalino crime family,family,Q8436
Q1440180,Ryūzōji clan,family,Q8436
Q1424672,nobility of Italy,family,Q8436
Q3622713,Vukanović dynasty,family,Q8436
Q4386215,Peter and Fevronia,family,Q8436
Q1057742,Shiba clan,family,Q8436
Q3279110,House of Artois,family,Q8436
Q3101516,Nabeshima clan,family,Q8436
Q3100974,Uí Ímair,family,Q8436
Q2360701,Cantemirești,family,Q8436
Q2473545,House of Mitford,family,Q8436
Q1008165,House of Garay,family,Q8436
Q1891310,Manteuffel,family,Q8436
Q2428807,Thopia family,family,Q8436
Q949316,Sergio y Estíbaliz,family,Q8436
Q1861748,Sturlungar family clan,family,Q8436
Q872801,House of Schönburg,family,Q8436
Q940238,House of Caetani,family,Q8436
Q1814907,Monaldi & Sorti,family,Q8436
Q1760103,Thurzo family,family,Q8436
Q767258,Clodt von Jürgensburg,family,Q8436
Q1207776,Dhulnunid dynasty,family,Q8436
Q211564,Kourkouas,family,Q8436
Q646280,House of Kettler,family,Q8436
Q808196,Baring family,family,Q8436
Q347367,Girardides,family,Q8436
Q704624,Ungern-Sternberg,family,Q8436
Q400428,Ahlefeldt,family,Q8436
Q268844,House of Beaumont,family,Q8436
Q678374,Starhemberg,family,Q8436
Q568649,Anrep,family,Q8436
Q566539,Reventlow,family,Q8436
Q695165,Festetics family,family,Q8436
Q321460,House of Palatinate-Birkenfeld,family,Q8436
Q319278,Otakars,family,Q8436
Q489345,House of Dreux,family,Q8436
Q451132,House of Waldburg,family,Q8436
Q571657,Buxhoeveden family,family,Q8436
Q527658,Counts of Toggenburg,family,Q8436
Q11466434,Yamauchi clan,family,Q8436
Q18222061,Pritzker family,family,Q8436
Q5915567,House of Burgh,family,Q8436
Q15293324,Dhananjayans,family,Q8436
Q2975276,Inaba clan,family,Q8436
Q2975206,Akizuki clan,family,Q8436
Q1500519,Tachibana clan,family,Q8436
Q4492408,Andrássy,family,Q8436
Q2878345,House of Castro,family,Q8436
Q7879390,Philidor family,family,Q8436
Q2271829,Luigi Beltrame Quattrocchi and Maria Corsini,family,Q8436
Q2267653,Della Gherardesca family,family,Q8436
Q2725875,House of Morosini,family,Q8436
Q2704769,Engelhardt,family,Q8436
Q2686025,Kira clan,family,Q8436
Q2663290,Duke of Richelieu,family,Q8436
Q2661264,Hoshina clan,family,Q8436
Q2657780,Amatuni family,family,Q8436
Q2975406,Yamana clan,family,Q8436
Q9294375,Oettingen,family,Q8436
Q4992340,Trolle,family,Q8436
Q4939398,Boleyn family,family,Q8436
Q1462796,Sheremetev family,family,Q8436
Q2975305,Kuroda clan,family,Q8436
Q15814429,Hasanids,family,Q8436
Q845062,Handsome Furs,family,Q8436
Q1090871,House of Châtillon,family,Q8436
Q831090,Brueghel,family,Q8436
Q1399015,Da Polenta family,family,Q8436
Q6121417,Jadeja,family,Q8436
Q1064889,Sō clan,family,Q8436
Q2401619,Banu Zuhrah,family,Q8436
Q1590437,Brazilian imperial family,family,Q8436
Q2373563,Anchabadze,family,Q8436
Q2368426,House of Mukhrani,family,Q8436
Q2330182,House of la Cerda,family,Q8436
Q2293671,Orseolo,family,Q8436
Q877255,Kőszegi family,family,Q8436
Q2445958,House of Toulouse,family,Q8436
Q4411313,Adrian and Natalia of Nicomedia,family,Q8436
Q2092557,House of Itúrbide,family,Q8436
Q3688910,Conti,family,Q8436
Q3065844,Family of La Roche,family,Q8436
Q1859419,Petraliphas,family,Q8436
Q1282377,Slavník dynasty,family,Q8436
Q913761,Clan Scott,family,Q8436
Q3065487,House of Salviati,family,Q8436
Q3299560,Progon family,family,Q8436
Q1158761,Brunswick-Bevern,family,Q8436
Q2053762,Miura clan,family,Q8436
Q1711468,Napoleon and Tabitha D'umo,family,Q8436
Q1648872,Clan Graham,family,Q8436
Q772697,House of Lacković,family,Q8436
Q762575,House of La Trémoille,family,Q8436
Q1625166,House of Holszański,family,Q8436
Q1996792,Pahlavuni,family,Q8436
Q1989998,Gagarin family,family,Q8436
Q1538452,Gorchakov,family,Q8436
Q1965477,Clan Barclay,family,Q8436
Q646062,Albertine branch,family,Q8436
Q3279304,Carraresi,family,Q8436
Q1655561,Nagao clan,family,Q8436
Q327797,Wilhelminers,family,Q8436
Q81452,House of Alba,family,Q8436
Q568798,Both family (Hungary),family,Q8436
Q562218,Counts of Schauenburg and Holstein,family,Q8436
Q552738,Stenbock,family,Q8436
Q536923,Huosi,family,Q8436
Q480592,Blomberg,family,Q8436
Q588581,House of Keglević,family,Q8436
Q454775,House of Mansfeld,family,Q8436
Q447610,Castell family,family,Q8436
Q679668,House of Waldstein,family,Q8436
Q571876,Staël von Holstein,family,Q8436
Q689050,Harrach,family,Q8436
Q461508,Puttkamer,family,Q8436
Q576949,Clan Ramsay,family,Q8436
Q634281,House of Zúñiga,family,Q8436
Q29912873,Thapa dynasty,family,Q8436
Q29583521,Alan and Marilyn Bergman,family,Q8436
Q4780,Abensberg-Traun,family,Q8436
Q16034353,House of Armagnac,family,Q8436
Q11623716,Tōdō clan,family,Q8436
Q11353128,Isshiki clan,family,Q8436
Q16032639,Burchard-Bélaváry family,family,Q8436
Q6499617,Ziyadoghlu Qajar,family,Q8436
Q7661932,Synadenos,family,Q8436
Q7480630,Tokugawa Yoshinobu family,family,Q8436
Q1513044,House of La Rochefoucauld,family,Q8436
Q2975272,Honda clan,family,Q8436
Q2975218,Arima clan,family,Q8436
Q2975237,Chiba clan,family,Q8436
Q1499787,Gelovani,family,Q8436
Q2832886,Yelü,family,Q8436
Q2288571,Nina & Frederik,family,Q8436
Q2268224,House of Pepoli,family,Q8436
Q2724488,Kikkawa family,family,Q8436
Q2239253,Schleswig-Holstein-Sonderburg-Wiesenburg,family,Q8436
Q2238848,Baglioni family,family,Q8436
Q4455814,Tereshchenko family,family,Q8436
Q2975399,Yūki clan,family,Q8436
Q2975387,Torii clan,family,Q8436
Q13091037,Zlatonosović family,family,Q8436
Q1463363,House of Hoyos,family,Q8436
Q2975357,Shibata clan,family,Q8436
Q2975351,Sakakibara clan,family,Q8436
Q2633435,Repnin,family,Q8436
Q2625246,Andronikashvili,family,Q8436
Q2620506,Vojinović noble family,family,Q8436
Q2975299,Kyōgoku clan,family,Q8436
Q2975280,Itō clan,family,Q8436
Q4234950,Koskull,family,Q8436
Q4704485,Muhtajids,family,Q8436
Q4222908,Clan Leslie,family,Q8436
Q4222906,Clan Kennedy,family,Q8436
Q7849567,Tsereteli,family,Q8436
Q3634439,Banu Abd-Shams,family,Q8436
Q1416072,Podiebrad family,family,Q8436
Q1108284,Coligny,family,Q8436
Q849260,House of Ilok,family,Q8436
Q1094945,Clan Fraser,family,Q8436
Q1094924,Clan Cumming,family,Q8436
Q835222,Révay family,family,Q8436
Q6344735,Kachhwaha,family,Q8436
Q1391922,Ōta clan,family,Q8436
Q6202689,Jinnah family,family,Q8436
Q3065926,House of Mowbray,family,Q8436
Q1072437,House of Montcada,family,Q8436
Q827510,Racoviță,family,Q8436
Q1062437,Tsugaru clan,family,Q8436
Q821438,Essen,family,Q8436
Q4161885,House of Aberffraw,family,Q8436
Q4159747,House of Jaqeli,family,Q8436
Q1028587,Sasaki clan,family,Q8436
Q3822447,Simjurids,family,Q8436
Q3779240,O'Neill dynasty,family,Q8436
Q2078602,House of Gurieli,family,Q8436
Q2414921,Tobiads,family,Q8436
Q2400993,Teispids,family,Q8436
Q898699,House of Jeszenszky,family,Q8436
Q1590098,FitzAlan,family,Q8436
Q1578116,House of Pejačević,family,Q8436
Q1009631,Bunnag family,family,Q8436
Q1568461,House of Merode,family,Q8436
Q3738941,Vegesack,family,Q8436
Q3725089,Tarchaneiotes,family,Q8436
Q3704848,House of Baux,family,Q8436
Q3065779,House of FitzJames,family,Q8436
Q870978,House of Franckenstein,family,Q8436
Q4123525,Volkonsky,family,Q8436
Q1813380,The Weepies,family,Q8436
Q912696,Clan Colquhoun,family,Q8436
Q910024,Drugeth family,family,Q8436
Q3299198,Stan and Jan Berenstain,family,Q8436
Q3294442,Anamim,family,Q8436
Q818252,Bentheim-Tecklenburg,family,Q8436
Q3489606,Soloveitchik,family,Q8436
Q1801411,Paus family,family,Q8436
Q1798335,Gyldenstierne,family,Q8436
Q1740638,Khevenhüller,family,Q8436
Q1779247,Hvide,family,Q8436
Q1165276,Maryna and Serhiy Dyachenko,family,Q8436
Q3377806,Azumi people,family,Q8436
Q3322377,Reşvan,family,Q8436
