qid,label,class_label,class_qid
Q1758705,niche market,farmer,Q131512
Q561187,word-of-mouth marketing,farmer,Q131512
Q7539815,sleeper hit,farmer,Q131512
Q1250104,media planning,farmer,Q131512
Q646227,cross-selling,farmer,Q131512
Q28135044,purplewashing,farmer,Q131512
Q3007618,content curation,farmer,Q131512
Q7621898,Strateia,farmer,Q131512
Q1326032,eCRM,farmer,Q131512
Q3512037,Why Pink Floyd...?,farmer,Q131512
Q17157313,Societal marketing,farmer,Q131512
Q107272595,Bagal people,farmer,Q131512
Q7269487,Quasi Universal Intergalactic Denomination,farmer,Q131512
Q17109365,The Beat 99.9 FM,farmer,Q131512
Q127449019,AI washing,farmer,Q131512
Q18169406,Splash Fm Ibadan,farmer,Q131512
Q11293227,Australasian Journal of Bone & Joint Medicine,farmer,Q131512
Q109524243,"Agidigbo Fm 88.7, Ibadan",farmer,Q131512
Q136065533,Energy-drink marketing in esports,farmer,Q131512
Q18010946,Apple Watch,farmer,Q131512
Q267114,social media marketing,farmer,Q131512
Q29778,pay-per-click,farmer,Q131512
Q20200811,pinkwashing,farmer,Q131512
Q6030243,influencer marketing,farmer,Q131512
Q1739065,Kentico,farmer,Q131512
Q109591569,Spotify Wrapped,farmer,Q131512
Q85744627,BRIGHT SIDE,farmer,Q131512
Q1293616,Fujitsu Lifebook,farmer,Q131512
Q11706037,Incredible India,farmer,Q131512
Q102074341,Samsung Galaxy Watch series,farmer,Q131512
Q297379,ASC Purple,farmer,Q131512
Q1970192,SGI Altix,farmer,Q131512
Q557243,Tsubame,farmer,Q131512
Q104840740,tout,farmer,Q131512
Q4811943,ASUS Republic of Gamers,farmer,Q131512
Q5305669,Drakkar Noir,farmer,Q131512
Q19599430,HTC RE,farmer,Q131512
Q2967951,Château Mont-Pérat,farmer,Q131512
Q4656861,A Frank Statement to Cigarette Smokers,farmer,Q131512
Q5523557,Garmin Forerunner,farmer,Q131512
Q7973671,Water pricing,farmer,Q131512
Q106390716,Garmin fēnix,farmer,Q131512
Q105425091,GetResponse,farmer,Q131512
Q4890833,BeoCom,farmer,Q131512
Q5507496,Fujitsu Celsius,farmer,Q131512
Q5532039,General Motors Companion Make Program,farmer,Q131512
Q7275092,RADAR,farmer,Q131512
Q131414148,ASUS The Ultimate Force,farmer,Q131512
Q129185863,ASUS ProArt,farmer,Q131512
Q111912035,BullSequana,farmer,Q131512
Q5205826,DO-204,farmer,Q131512
Q5206260,DTVPal,farmer,Q131512
Q5524437,Gartons Limited,farmer,Q131512
Q7314996,Rescue Pets,farmer,Q131512
Q7387056,S-Curl,farmer,Q131512
Q7434450,Scopia,farmer,Q131512
Q7826252,Toronto-Niagara Bike Train,farmer,Q131512
Q138318498,Forbes.com,farmer,Q131512
Q22908891,social media management system,farmer,Q131512
Q60740518,marketing for Deadpool,farmer,Q131512
