qid,label,class_label,class_qid
Q11934,Mickey Mouse,fictional character,Q95074
Q70899,Adam,fictional character,Q95074
Q4653,Sherlock Holmes,fictional character,Q95074
Q315796,Santa Claus,fictional character,Q95074
Q79037,Spider-Man,fictional character,Q95074
Q830183,Eve,fictional character,Q95074
Q6674,devil,fictional character,Q95074
Q2695156,Batman,fictional character,Q95074
Q79015,Superman,fictional character,Q95074
Q45792,King Arthur,fictional character,Q95074
Q338430,Wonder Woman,fictional character,Q95074
Q151480,sphinx,fictional character,Q95074
Q122634,Robin Hood,fictional character,Q95074
Q12379,Mario,fictional character,Q95074
Q159709,Gilgamesh,fictional character,Q95074
Q188760,Hulk,fictional character,Q95074
Q188574,Winnie the Pooh,fictional character,Q95074
Q3244512,Harry Potter,fictional character,Q95074
Q12206942,Darth Vader,fictional character,Q95074
Q712548,Albus Dumbledore,fictional character,Q95074
Q129628,Yeti,fictional character,Q95074
Q9351,Pikachu,fictional character,Q95074
Q174009,Hermione Granger,fictional character,Q95074
Q180704,Iron Man,fictional character,Q95074
Q180627,Lilith,fictional character,Q95074
Q179256,Narcissus,fictional character,Q95074
Q173998,Ron Weasley,fictional character,Q95074
Q185790,Arjuna,fictional character,Q95074
Q131346,Pandora,fictional character,Q95074
Q170241,Tarzan,fictional character,Q95074
Q176132,Lord Voldemort,fictional character,Q95074
Q107190,Peter Pan,fictional character,Q95074
Q174546,Antichrist,fictional character,Q95074
Q30908,William Tell,fictional character,Q95074
Q202857,Captain Jack Sparrow,fictional character,Q95074
Q176772,Severus Snape,fictional character,Q95074
Q193461,Maitreya,fictional character,Q95074
Q51730,Yoda,fictional character,Q95074
Q183102,Bugs Bunny,fictional character,Q95074
Q177499,Gandalf,fictional character,Q95074
Q199796,Popeye,fictional character,Q95074
Q217533,The Joker,fictional character,Q95074
Q6502703,Pinocchio,fictional character,Q95074
Q170534,Hercule Poirot,fictional character,Q95074
Q191626,Sonic the Hedgehog,fictional character,Q95074
Q51746,Luke Skywalker,fictional character,Q95074
Q177439,Rubeus Hagrid,fictional character,Q95074
Q3266236,Count Dracula,fictional character,Q95074
Q181360,harpies,fictional character,Q95074
Q214617,Hagar,fictional character,Q95074
Q192550,El Dorado,fictional character,Q95074
Q235102,Rāvaṇa,fictional character,Q95074
Q148659,Indiana Jones,fictional character,Q95074
Q51740,Obi-Wan Kenobi,fictional character,Q95074
Q6668,Pippi Longstocking,fictional character,Q95074
Q185737,Bilbo Baggins,fictional character,Q95074
Q131200,Tux,fictional character,Q95074
Q111135,Goofy,fictional character,Q95074
Q187349,Dr. Watson,fictional character,Q95074
Q186422,Wolverine,fictional character,Q95074
Q2281,Sauron,fictional character,Q95074
Q51797,Princess Leia,fictional character,Q95074
Q184689,Uncle Sam,fictional character,Q95074
Q179641,Draco Malfoy,fictional character,Q95074
Q6567,Godzilla,fictional character,Q95074
Q177329,Frodo Baggins,fictional character,Q95074
Q108732,Pluto,fictional character,Q95074
Q188044,Merlin,fictional character,Q95074
Q488159,Ded Moroz,fictional character,Q95074
Q210372,Don Juan,fictional character,Q95074
Q1631090,Deadpool,fictional character,Q95074
Q216445,Scheherazade,fictional character,Q95074
Q215085,golem,fictional character,Q95074
Q122018,Sinbad the Sailor,fictional character,Q95074
Q158952,Catwoman,fictional character,Q95074
Q11937,Scrooge McDuck,fictional character,Q95074
Q715763,Daisy Duck,fictional character,Q95074
Q216810,King Kong,fictional character,Q95074
Q2142,Goku,fictional character,Q95074
Q51802,Han Solo,fictional character,Q95074
Q180322,Aragorn,fictional character,Q95074
Q327553,Daredevil,fictional character,Q95074
Q319918,Daffy Duck,fictional character,Q95074
Q108636,Easter Bunny,fictional character,Q95074
Q210593,Luigi,fictional character,Q95074
Q192179,Minerva McGonagall,fictional character,Q95074
Q51770,Palpatine,fictional character,Q95074
Q180784,Flash,fictional character,Q95074
Q332885,Faust,fictional character,Q95074
Q15007,Gollum (fantasy),fictional character,Q95074
Q552682,Hatsune Miku,fictional character,Q95074
Q713701,Sirius Black,fictional character,Q95074
Q213480,Legolas,fictional character,Q95074
Q178744,Manu,fictional character,Q95074
Q193531,Miss Marple,fictional character,Q95074
Q51789,Padmé Amidala,fictional character,Q95074
Q46302,Smaug,fictional character,Q95074
Q211013,Hannibal Lecter,fictional character,Q95074
Q189169,Conan the Barbarian,fictional character,Q95074
Q51787,C-3PO,fictional character,Q95074
Q907767,Doctor Strange,fictional character,Q95074
Q463220,Enkidu,fictional character,Q95074
Q223684,Lara Croft,fictional character,Q95074
Q11773777,Sun Wukong,fictional character,Q95074
Q925042,Krampus,fictional character,Q95074
Q623059,Aquaman,fictional character,Q95074
Q51736,Qui-Gon Jinn,fictional character,Q95074
Q51803,Chewbacca,fictional character,Q95074
Q1124554,Masih ad-Dajjal,fictional character,Q95074
Q583810,Betty Boop,fictional character,Q95074
Q849477,Harley Quinn,fictional character,Q95074
Q215681,Lancelot,fictional character,Q95074
Q272805,Mephistopheles,fictional character,Q95074
Q204274,Galadriel,fictional character,Q95074
Q164083,Till Eulenspiegel,fictional character,Q95074
Q226822,Zorro,fictional character,Q95074
Q29372,Grendel,fictional character,Q95074
Q51788,R2-D2,fictional character,Q95074
Q7404282,Wikipe-tan,fictional character,Q95074
Q838076,Professor X,fictional character,Q95074
Q935079,SpongeBob SquarePants,fictional character,Q95074
Q216489,Saruman,fictional character,Q95074
Q51725,Mace Windu,fictional character,Q95074
Q17221976,Serena,fictional character,Q95074
Q611993,Green Arrow,fictional character,Q95074
Q461606,Arsène Lupin,fictional character,Q95074
Q715597,Obelix,fictional character,Q95074
Q329466,Freddy Krueger,fictional character,Q95074
Q118192,Prester John,fictional character,Q95074
Q187923,Ginny Weasley,fictional character,Q95074
Q751417,Big Brother,fictional character,Q95074
Q745077,Vito Corleone,fictional character,Q95074
Q210548,Robert Langdon,fictional character,Q95074
Q208657,Remus Lupin,fictional character,Q95074
Q208426,Elrond,fictional character,Q95074
Q308950,Ash Ketchum,fictional character,Q95074
Q206018,Arwen,fictional character,Q95074
Q283111,Professor Moriarty,fictional character,Q95074
Q190282,Luna Lovegood,fictional character,Q95074
Q219473,Samwise Gamgee,fictional character,Q95074
Q5651141,Borat Sagdiyev,fictional character,Q95074
Q2009573,James Bond,fictional character,Q95074
Q466462,Chang'e,fictional character,Q95074
Q729150,Punisher,fictional character,Q95074
Q692603,Felix the Cat,fictional character,Q95074
Q206818,Gimli,fictional character,Q95074
Q161731,Cheburashka,fictional character,Q95074
Q190366,Neville Longbottom,fictional character,Q95074
Q51766,Darth Maul,fictional character,Q95074
Q5350072,Jean Grey,fictional character,Q95074
Q844424,Kuntī,fictional character,Q95074
Q2001710,Adam in Islam,fictional character,Q95074
Q1621261,Venom,fictional character,Q95074
Q917583,Snegurochka,fictional character,Q95074
Q753713,Batgirl,fictional character,Q95074
Q1168491,Charlie Brown,fictional character,Q95074
Q694790,Lex Luthor,fictional character,Q95074
Q191527,Edward Cullen,fictional character,Q95074
Q16341,Spock,fictional character,Q95074
Q47352,Eric Cartman,fictional character,Q95074
Q877820,Momotarō,fictional character,Q95074
