qid,label,class_label,class_qid
Q42369,Cannes Film Festival,film festival,Q220505
Q390018,Toronto International Film Festival,film festival,Q220505
Q935127,Sarajevo Film Festival,film festival,Q220505
Q62027142,Mawjoudin Queer Film Festival,film festival,Q220505
Q4492637,Frameline Film Festival,film festival,Q220505
Q1127473,L.A. Outfest,film festival,Q220505
Q2455343,Tromsø International Film Festival,film festival,Q220505
Q2119362,Queer Lisboa,film festival,Q220505
Q129761,BFI Flare: London LGBTQIA+ Film Festival,film festival,Q220505
Q11783830,Zinebi - Bilbao International Documentary and Short Film Festival,film festival,Q220505
Q3504351,Mezipatra,film festival,Q220505
Q2972063,"Festival de Films Gays, Lesbiens, Bi, Trans & +++ de Paris",film festival,Q220505
Q6529106,LesGaiCineMad,film festival,Q220505
Q17107921,imagineNATIVE Film + Media Arts Festival,film festival,Q220505
Q7932770,Vinokino,film festival,Q220505
Q6048112,International Adana Film Festival,film festival,Q220505
Q5399062,Espoo Ciné International Film Festival,film festival,Q220505
Q3070709,La Rochelle International Film Festival,film festival,Q220505
Q4806729,Asian Queer Film Festival,film festival,Q220505
Q2972694,CinEast,film festival,Q220505
Q96410400,Toronto Queer Film Festival,film festival,Q220505
Q63484859,Paris Lesbian and Feminist Film Festival,film festival,Q220505
Q42309981,Image + Nation Festival Cinema LGBT Montreal Film Festival,film festival,Q220505
Q31190496,Pink Life QueerFest,film festival,Q220505
Q835091,Green Screen International Wildlife Film Festival,film festival,Q220505
Q7451868,Sephardic Jewish Film Festival,film festival,Q220505
Q6935315,Mumbai Queer Film Festival,film festival,Q220505
Q6911313,TLVFest,film festival,Q220505
Q6716338,MIX Copenhagen LGBTQ Film Festival,film festival,Q220505
Q6433262,Kosmorama - Trondheim International Film Festival,film festival,Q220505
Q4816097,Atlanta Jewish Film Festival,film festival,Q220505
Q4251583,Seattle Queer Film Festival,film festival,Q220505
Q3479808,SERILE FILMULUI GAY International Film Festival,film festival,Q220505
Q30124890,Moscow Jewish Film Festival,film festival,Q220505
Q29639307,Shanghai Queer Film Festival,film festival,Q220505
Q24904992,Rio Festival Gay de Cinema,film festival,Q220505
Q18353529,Toronto Jewish Film Festival,film festival,Q220505
Q54933593,Kreivės / Vilnius Queer Festival,film festival,Q220505
Q109285820,Muskoka Queer Film Festival,film festival,Q220505
Q7284631,Rainbow Film Festival,film festival,Q220505
Q7864894,UK Jewish Film Festival,film festival,Q220505
Q7414059,San Francisco Jewish Film Festival,film festival,Q220505
Q7306845,Reel Affirmations,film festival,Q220505
Q7111817,Out on Film,film festival,Q220505
Q6975146,National Queer Arts Festival,film festival,Q220505
Q6054259,International Wildlife Film Festival,film festival,Q220505
Q5891808,Homotopia,film festival,Q220505
Q5450200,Finger Lakes Environmental Film Festival,film festival,Q220505
Q18125686,Hong Kong Jewish Film Festival,film festival,Q220505
Q11682109,Glasgay! Festival,film festival,Q220505
Q11662018,Aomori International LGBT Film Festival,film festival,Q220505
Q3149579,In&Out,film festival,Q220505
Q1716801,Zagreb Jewish Film Festival,film festival,Q220505
Q1493595,Queersicht,film festival,Q220505
Q28135738,&PROUD,film festival,Q220505
Q27982039,Innsbruck Nature Film Festival,film festival,Q220505
Q24904820,Tigerland India Film Festival,film festival,Q220505
Q65553468,Scottish Queer International Film Festival,film festival,Q220505
Q65064560,Geelong Pride Film Festival,film festival,Q220505
Q63456809,FilmOut San Diego,film festival,Q220505
Q55603084,Abhimani Film Festival,film festival,Q220505
Q125607199,Vancouver Queer Film Festival,film festival,Q220505
Q125885444,We're Funny That Way!,film festival,Q220505
Q125619789,The Chicago LGBTQ+ International Film Festival,film festival,Q220505
Q7054491,North Carolina Gay & Lesbian Film Festival,film festival,Q220505
Q7972011,Washington Jewish Film Festival,film festival,Q220505
Q7571281,Way OUT West Film Fest,film festival,Q220505
Q7414047,San Francisco Green Film Festival,film festival,Q220505
Q7413687,San Diego Jewish Film Festival,film festival,Q220505
Q7306874,Reel Pride,film festival,Q220505
Q7201192,Planet in Focus,film festival,Q220505
Q7013661,New York Jewish Film Festival,film festival,Q220505
Q5430996,Fairy Tales Queer Film Festival,film festival,Q220505
Q5381117,Environmental Film Festival in the Nation's Capital,film festival,Q220505
Q4985769,Buffalo International Jewish Film Festival,film festival,Q220505
Q16874975,Nepal International Indigenous Film Festival,film festival,Q220505
Q15139072,Tampa Bay Jewish Film Festival,film festival,Q220505
Q15139025,Houston Gay and Lesbian Film Festival,film festival,Q220505
Q4947950,Boston Jewish Film Festival,film festival,Q220505
Q30124906,Ekaterinburg Jewish Film Festival,film festival,Q220505
Q28373890,Milwaukee Jewish Film Festival,film festival,Q220505
Q24807422,Environmental Film Festival Australia,film festival,Q220505
Q20001230,Baton Rouge Jewish Film Festival,film festival,Q220505
Q19572203,Indianapolis Jewish Film Festival,film festival,Q220505
Q18708403,Warsaw Jewish Film Festival,film festival,Q220505
Q18207803,Copenhagen Jewish Film Festival,film festival,Q220505
Q96374277,Calgary Queer Arts Society,film festival,Q220505
Q85816229,World Community Film Festival,film festival,Q220505
Q60789547,Queer North Film Festival,film festival,Q220505
Q60756479,Philadelphia Jewish Film Festival,film festival,Q220505
Q48740773,Wildlife Conservation Film Festival,film festival,Q220505
Q110517449,Jerusalem Jewish Film Festival,film festival,Q220505
Q107500858,Māoriland Film Festival,film festival,Q220505
