qid,label,class_label,class_qid
Q80110,flag of Canada,flag,Q14660
Q122482,flag of Europe,flag,Q14660
Q160255,flag of Peru,flag,Q14660
Q79198,flag of Vatican City,flag,Q14660
Q182773,Jolly Roger,flag,Q14660
Q51401,LGBTQ pride flag,flag,Q14660
Q235445,flag of Norfolk Island,flag,Q14660
Q1130142,Buddhist flag,flag,Q14660
Q630077,flag of the African Union,flag,Q14660
Q702031,Rising Sun Flag,flag,Q14660
Q264655,vexillum,flag,Q14660
Q1426529,bisexual pride flag,flag,Q14660
Q327721,International Code of Signals,flag,Q14660
Q1184980,flag of East Turkestan,flag,Q14660
Q1095488,flag of Puntland,flag,Q14660
Q1084035,Christian Flag,flag,Q14660
Q2742210,Esperanto flag,flag,Q14660
Q1199905,Derafsh Kaviani,flag,Q14660
Q2029729,Pan-African flag,flag,Q14660
Q105593273,disability flag,flag,Q14660
Q543471,flag of the Region of Murcia,flag,Q14660
Q2361835,flag of Benelux,flag,Q14660
Q8042899,peace flag,flag,Q14660
Q17094384,homosexual pride flag,flag,Q14660
Q3500259,flag of Cusco,flag,Q14660
Q17424533,flag of Novorossiya,flag,Q14660
Q97359653,lesbian pride flag,flag,Q14660
Q17053858,intersex flag,flag,Q14660
Q12741387,Flag of the Aromanians,flag,Q14660
Q62604586,non-binary pride flag,flag,Q14660
Q135658407,Straw Hat Pirates' Jolly Roger,flag,Q14660
Q1420736,flag of the Republic of Venice,flag,Q14660
Q61642208,asexual pride flag,flag,Q14660
Q2361840,flag of Great Britain,flag,Q14660
Q4876605,bear flag,flag,Q14660
Q2920201,Eureka Flag,flag,Q14660
Q5528579,gay pride flag of South Africa,flag,Q14660
Q1455578,leather flag,flag,Q14660
Q63889113,aromantic pride flag,flag,Q14660
Q1254400,draco,flag,Q14660
Q5456862,flag of the Community of Portuguese Language Countries,flag,Q14660
Q2940223,Jain flag,flag,Q14660
Q5456886,flag of the Republic of the Rio Grande,flag,Q14660
Q94652289,flag of the United States Space Force,flag,Q14660
Q993435,flag of the Finland Swedes,flag,Q14660
Q106947253,gay men's pride flag,flag,Q14660
Q133117660,Disability flag,flag,Q14660
Q137734311,Lion and Sun flag,flag,Q14660
Q111983925,Sign Union flag,flag,Q14660
Q96633914,“Progress” pride flag,flag,Q14660
Q19840392,Malay tricolour,flag,Q14660
Q2244549,flag of Santa Fe Province,flag,Q14660
Q2165848,flag of Donetsk,flag,Q14660
Q96378021,flag of San Antonio,flag,Q14660
Q7241469,Presidential Standard of Pakistan,flag,Q14660
Q6919069,Moultrie Flag,flag,Q14660
Q5456858,flag of the Cherokee Nation,flag,Q14660
Q62566819,labrys lesbian pride flag,flag,Q14660
Q96378020,flag of Saint Paul,flag,Q14660
Q96378017,flag of El Paso,flag,Q14660
Q96378013,"flag of Austin, Texas",flag,Q14660
Q114714073,flag of Honolulu,flag,Q14660
Q114243922,United Tribes of New Zealand flag,flag,Q14660
Q5915864,Household pennants,flag,Q14660
Q11908043,flag of Val d'Aran,flag,Q14660
Q5456786,flag of New England,flag,Q14660
Q5440667,federalist flag,flag,Q14660
Q62604938,agender pride flag,flag,Q14660
Q33403901,vegan flag,flag,Q14660
Q5456899,flag of the United States Navy,flag,Q14660
Q5456897,flag of the United States Marine Corps,flag,Q14660
Q5456894,flag of the United States Air Force,flag,Q14660
Q85761218,"flag of Spokane, Washington",flag,Q14660
Q96758247,new pride flag,flag,Q14660
Q96378019,flag of Memphis,flag,Q14660
Q107689743,bigender pride flag,flag,Q14660
Q107452170,disability pride flag,flag,Q14660
Q124530369,flag of the Selk'nam people,flag,Q14660
Q131126824,Flag of the Aceh Sultanate,flag,Q14660
Q117286279,flag of Laredo,flag,Q14660
Q116938803,"flag of Kansas City, Missouri",flag,Q14660
Q8554928,Flag of Elbląg,flag,Q14660
Q16932726,Russian-American Company flag,flag,Q14660
Q5456731,flag of Denison,flag,Q14660
Q61650188,polyamory flag,flag,Q14660
Q61641270,genderqueer pride flag,flag,Q14660
Q54958758,flag of Long Beach,flag,Q14660
Q47013273,transgender pride flag,flag,Q14660
Q24885029,flag of Knoxville,flag,Q14660
Q24191589,flag of Vancouver Island,flag,Q14660
Q97627821,"flag of London, Ontario",flag,Q14660
Q96655516,straight flag,flag,Q14660
Q105778209,Japan–Ming trade-ship flag,flag,Q14660
Q6981850,naval jack of the Philippines,flag,Q14660
Q136393844,Moshiach flag,flag,Q14660
Q127974,flag of Ukraine,flag,Q14660
Q42537,flag of the United States of America,flag,Q14660
Q16611,flag of Russia,flag,Q14660
Q43175,flag of Japan,flag,Q14660
Q41673,flag of India,flag,Q14660
Q42876,flag of Italy,flag,Q14660
Q48160,flag of Germany,flag,Q14660
Q82236,flag of Azerbaijan,flag,Q14660
Q43192,flag of France,flag,Q14660
Q4485506,flag of Belgorod,flag,Q14660
Q42436,flag of Poland,flag,Q14660
Q48409,flag of Albania,flag,Q14660
Q79874,flag of Afghanistan,flag,Q14660
Q81952,flag of Turkey,flag,Q14660
Q101472,flag of Indonesia,flag,Q14660
Q131147,flag of China,flag,Q14660
Q128480,flag of Israel,flag,Q14660
Q46835,flag of Austria,flag,Q14660
Q127179,flag of Bangladesh,flag,Q14660
Q127296,flag of South Korea,flag,Q14660
Q81676,flag of Australia,flag,Q14660
Q81970,flag of Hungary,flag,Q14660
Q12990,flag of Belgium,flag,Q14660
Q47891,flag of Finland,flag,Q14660
Q81526,flag of Andorra,flag,Q14660
Q82194,flag of Brazil,flag,Q14660
Q160872,flag of Chile,flag,Q14660
Q33213,flag of Armenia,flag,Q14660
Q46585,flag of the Netherlands,flag,Q14660
Q60149,flag of Denmark,flag,Q14660
Q121688,flag of Spain,flag,Q14660
Q130774,flag of Argentina,flag,Q14660
Q81471,flag of Estonia,flag,Q14660
Q93335,flag of Iceland,flag,Q14660
Q126622,flag of Iran,flag,Q14660
Q131204,flag of Vietnam,flag,Q14660
Q83392,flag of Algeria,flag,Q14660
Q225360,flag of Bulgaria,flag,Q14660
Q82205,flag of Ireland,flag,Q14660
Q160250,flag of South África,flag,Q14660
Q81477,flag of Lithuania,flag,Q14660
Q83149,flag of Norway,flag,Q14660
Q160877,flag of Saudi Arabia,flag,Q14660
Q83278,flag of the United Kingdom,flag,Q14660
Q122462,flag of Mexico,flag,Q14660
Q122462,flag of Mexico,flag,Q14660
Q127155,flag of the Czech Republic,flag,Q14660
Q134521,flag of Bhutan,flag,Q14660
Q159741,flag of Nepal,flag,Q14660
Q26491,flag of Georgia,flag,Q14660
Q159865,flag of Morocco,flag,Q14660
Q81286,flag of Sweden,flag,Q14660
Q124329,flag of Angola,flag,Q14660
Q128347,flag of Pakistan,flag,Q14660
Q160260,Flag of New Zealand,flag,Q14660
Q160676,flag of Ghana,flag,Q14660
Q101769,flag of Gabon,flag,Q14660
Q103064,flag of North Korea,flag,Q14660
Q124020,flag of Switzerland,flag,Q14660
Q129132,flag of Greece,flag,Q14660
Q130481,flag of Bahrain,flag,Q14660
Q134627,flag of the Philippines,flag,Q14660
Q134885,flag of Thailand,flag,Q14660
Q34599,flag of Libya,flag,Q14660
Q46008,flag of Laos,flag,Q14660
Q160425,flag of Colombia,flag,Q14660
Q130811,flag of Romania,flag,Q14660
Q131650,flag of Kazakhstan,flag,Q14660
Q132633,flag of Belarus,flag,Q14660
Q30768,flag of East Timor,flag,Q14660
Q483774,flag of Uzbekistan,flag,Q14660
Q162033,flag of Bosnia and Herzegovina,flag,Q14660
Q102184,flag of Djibouti,flag,Q14660
Q103055,flag of Liechtenstein,flag,Q14660
Q165641,flag of Kyrgyzstan,flag,Q14660
Q130449,flag of Latvia,flag,Q14660
Q130458,flag of Egypt,flag,Q14660
Q154823,flag of Sri Lanka,flag,Q14660
Q159746,flag of Monaco,flag,Q14660
Q160124,flag of Tajikistan,flag,Q14660
Q162781,flag of Iraq,flag,Q14660
Q162999,flag of Cambodia,flag,Q14660
Q163753,flag of Myanmar,flag,Q14660
Q168935,flag of Malaysia,flag,Q14660
Q168935,flag of Malaysia,flag,Q14660
Q128812,flag of Portugal,flag,Q14660
Q130442,flag of Benin,flag,Q14660
Q131469,flag of Malta,flag,Q14660
Q133015,flag of Croatia,flag,Q14660
Q133022,flag of Luxembourg,flag,Q14660
Q134247,flag of the United Arab Emirates,flag,Q14660
Q134252,flag of Burkina Faso,flag,Q14660
Q45136,flag of Syria,flag,Q14660
Q160242,flag of Botswana,flag,Q14660
Q162068,flag of Ethiopia,flag,Q14660
Q165542,flag of Ecuador,flag,Q14660
Q165545,flag of Kuwait,flag,Q14660
Q165552,flag of Mongolia,flag,Q14660
Q165905,flag of Kenya,flag,Q14660
Q170064,flag of Jordan,flag,Q14660
Q130807,flag of Slovenia,flag,Q14660
Q178179,flag of Guatemala,flag,Q14660
Q36005,flag of Lebanon,flag,Q14660
Q483659,flag of Singapore,flag,Q14660
Q162699,flag of Yemen,flag,Q14660
Q102198,flag of Sudan,flag,Q14660
Q162980,flag of Montenegro,flag,Q14660
Q102392,flag of Scotland,flag,Q14660
Q102392,flag of Scotland,flag,Q14660
Q102953,flag of Guinea-Bissau,flag,Q14660
Q164584,flag of the Democratic Republic of the Congo,flag,Q14660
Q165500,flag of Guinea,flag,Q14660
Q103001,flag of Malawi,flag,Q14660
Q165872,flag of Brunei,flag,Q14660
Q104969,flag of Lesotho,flag,Q14660
Q167584,flag of Moldova,flag,Q14660
Q172530,flag of Qatar,flag,Q14660
Q134874,flag of Bolivia,flag,Q14660
Q135014,flag of the Gambia,flag,Q14660
Q4633,flag of Cyprus,flag,Q14660
Q41327,flag of Turkmenistan,flag,Q14660
Q159872,flag of Cameroon,flag,Q14660
Q160861,flag of Slovakia,flag,Q14660
Q102939,flag of Honduras,flag,Q14660
Q163333,flag of the Republic of the Congo,flag,Q14660
Q163832,flag of Serbia,flag,Q14660
Q163832,flag of Serbia,flag,Q14660
Q165230,flag of the Soviet Union,flag,Q14660
Q165538,flag of Venezuela,flag,Q14660
Q103447,flag of The Bahamas,flag,Q14660
Q104351,flag of Barbados,flag,Q14660
Q167119,flag of North Macedonia,flag,Q14660
Q168941,flag of Panama,flag,Q14660
Q169903,flag of Mali,flag,Q14660
Q170795,flag of Liberia,flag,Q14660
Q171103,flag of Uruguay,flag,Q14660
Q171124,flag of Guyana,flag,Q14660
Q135034,flag of Antigua and Barbuda,flag,Q14660
Q191731,Flag of Palestine,flag,Q14660
Q162789,flag of Tunisia,flag,Q14660
Q163008,flag of Cuba,flag,Q14660
Q163008,flag of Cuba,flag,Q14660
Q102944,flag of Cape Verde,flag,Q14660
Q102967,flag of Ivory Coast,flag,Q14660
Q102993,flag of Eswatini,flag,Q14660
Q103084,flag of Burundi,flag,Q14660
Q165811,flag of Chad,flag,Q14660
Q165822,flag of Namibia,flag,Q14660
Q159986,flag of Zimbabwe,flag,Q14660
Q484249,flag of Mozambique,flag,Q14660
Q102960,flag of Nigeria,flag,Q14660
Q102977,flag of Mauritania,flag,Q14660
Q165550,flag of Oman,flag,Q14660
Q165775,flag of the Central African Republic,flag,Q14660
Q169441,flag of Maldives,flag,Q14660
Q170289,flag of Costa Rica,flag,Q14660
Q170465,flag of Paraguay,flag,Q14660
Q170555,flag of Eritrea,flag,Q14660
Q134933,flag of Senegal,flag,Q14660
Q102987,flag of Haiti,flag,Q14660
Q169192,flag of Belize,flag,Q14660
Q103046,flag of Niger,flag,Q14660
Q103414,flag of Grenada,flag,Q14660
Q168711,flag of Kosovo,flag,Q14660
Q168917,flag of the Comoros,flag,Q14660
Q170543,flag of Rwanda,flag,Q14660
Q170814,flag of Zambia,flag,Q14660
Q103019,flag of Madagascar,flag,Q14660
Q103037,flag of Uganda,flag,Q14660
Q168925,flag of San Marino,flag,Q14660
Q170554,flag of Equatorial Guinea,flag,Q14660
Q173554,flag of El Salvador,flag,Q14660
Q159538,flag of Somalia,flag,Q14660
Q103070,flag of Togo,flag,Q14660
Q171117,flag of England,flag,Q14660
Q171117,flag of England,flag,Q14660
Q172517,flag of Jamaica,flag,Q14660
Q172533,flag of Nicaragua,flag,Q14660
Q180725,flag of Suriname,flag,Q14660
Q117758,flag of Kiribati,flag,Q14660
Q172446,flag of the United Nations,flag,Q14660
Q173548,flag of Mauritius,flag,Q14660
Q182514,flag of Fiji,flag,Q14660
Q184283,flag of Trinidad and Tobago,flag,Q14660
Q185277,flag of Nauru,flag,Q14660
Q168912,flag of Sierra Leone,flag,Q14660
Q169907,flag of São Tomé and Príncipe,flag,Q14660
Q173201,flag of Seychelles,flag,Q14660
Q184265,flag of Dominican Republic,flag,Q14660
Q186456,flag of Hong Kong,flag,Q14660
Q190648,flag of the Federated States of Micronesia,flag,Q14660
Q199621,flag of Abkhazia,flag,Q14660
Q170809,flag of Tanzania,flag,Q14660
Q179383,flag of Dominica,flag,Q14660
Q182782,flag of South Sudan,flag,Q14660
Q184268,flag of Greenland,flag,Q14660
Q185271,flag of Papua New Guinea,flag,Q14660
Q75374,flag of the Solomon Islands,flag,Q14660
Q4575,flag of the Faroe Islands,flag,Q14660
Q188477,flag of Samoa,flag,Q14660
Q188609,flag of Palau,flag,Q14660
Q105643,flag of Tuvalu,flag,Q14660
Q181120,flag of Saint Kitts and Nevis,flag,Q14660
Q185285,flag of Vanuatu,flag,Q14660
Q185692,flag of Wales,flag,Q14660
Q185692,flag of Wales,flag,Q14660
Q199961,flag of Transnistria,flag,Q14660
Q200260,flag of the Marshall Islands,flag,Q14660
Q375554,flag of the Sahrawi Arab Democratic Republic,flag,Q14660
Q375554,flag of the Sahrawi Arab Democratic Republic,flag,Q14660
Q184596,flag of Saint Lucia,flag,Q14660
Q188072,flag of Tonga,flag,Q14660
Q33037,flag of Gibraltar,flag,Q14660
Q202610,flag of Åland Islands,flag,Q14660
Q173535,flag of the Republic of China,flag,Q14660
Q184584,flag of Saint Vincent and the Grenadines,flag,Q14660
Q186226,flag of the Isle of Man,flag,Q14660
Q238759,flag of Macau,flag,Q14660
Q458651,Blue Flag beach,flag,Q14660
Q201987,flag of Somaliland,flag,Q14660
Q204678,flag of Artsakh,flag,Q14660
Q209060,flag of South Ossetia,flag,Q14660
Q193693,flag of the Cook Islands,flag,Q14660
Q207518,flag of Northern Cyprus,flag,Q14660
Q208671,flag of Kurdistan,flag,Q14660
Q188839,flag of Aruba,flag,Q14660
Q189612,flag of Jersey,flag,Q14660
Q15994084,flag of Puerto Rico,flag,Q14660
Q202189,flag of Niue,flag,Q14660
Q242502,flag of American Samoa,flag,Q14660
Q156564,flag of Alaska,flag,Q14660
Q158591,flag of Guernsey,flag,Q14660
Q189604,flag of Anguilla,flag,Q14660
Q190064,flag of Bermuda,flag,Q14660
Q204666,flag of the United States Virgin Islands,flag,Q14660
Q235475,Ikurrina,flag,Q14660
Q235475,Ikurrina,flag,Q14660
Q185273,flag of the Falkland Islands,flag,Q14660
Q219726,flag of Hawaiʻi,flag,Q14660
Q232591,flag of French Polynesia,flag,Q14660
Q336328,flag of Christmas Island,flag,Q14660
Q209219,flag of Martinique,flag,Q14660
Q235829,flag of Guam,flag,Q14660
Q459788,flag of NATO,flag,Q14660
Q174487,flag of the Cayman Islands,flag,Q14660
Q111141592,white-blue-white flag,flag,Q14660
Q111141592,white-blue-white flag,flag,Q14660
Q204120,flag of the British Virgin Islands,flag,Q14660
Q204143,flag of the Turks and Caicos Islands,flag,Q14660
Q524521,flag of the Romani people,flag,Q14660
Q235846,flag of the Pitcairn Islands,flag,Q14660
