qid,label,class_label,class_qid
Q49957,Large Magellanic Cloud,galaxy,Q318
Q49984,Small Magellanic Cloud,galaxy,Q318
Q91461627,Sombrero Galaxy,galaxy,Q318
Q81102410,Messier 81,galaxy,Q318
Q14371,Pinwheel Galaxy,galaxy,Q318
Q14041,Messier 87,galaxy,Q318
Q13983,Black Eye Galaxy,galaxy,Q318
Q14026,Messier 82,galaxy,Q318
Q13957,Whirlpool Galaxy,galaxy,Q318
Q13981,Sunflower Galaxy,galaxy,Q318
Q487255,Centaurus A,galaxy,Q318
Q31248,Q31248,galaxy,Q318
Q14365,Messier 100,galaxy,Q318
Q14361,Messier 98,galaxy,Q318
Q14349,Messier 94,galaxy,Q318
Q14030,Messier 83,galaxy,Q318
Q13952,Messier 49,galaxy,Q318
Q92258118,Messier 84,galaxy,Q318
Q14377,Messier 105,galaxy,Q318
Q14017,Messier 77,galaxy,Q318
Q14344,Messier 91,galaxy,Q318
Q14337,Messier 89,galaxy,Q318
Q14035,Messier 85,galaxy,Q318
Q13971,Messier 59,galaxy,Q318
Q92258250,Messier 86,galaxy,Q318
Q487221,Sculptor Galaxy,galaxy,Q318
Q29312,Q29312,galaxy,Q318
Q13970,Messier 58,galaxy,Q318
Q4751,Messier 108,galaxy,Q318
Q13976,Messier 60,galaxy,Q318
Q493073,NGC 2403,galaxy,Q318
Q34356,Q34356,galaxy,Q318
Q50652,Q50652,galaxy,Q318
Q28956,Q28956,galaxy,Q318
Q34809,Q34809,galaxy,Q318
Q49671,Q49671,galaxy,Q318
Q622789,Barnard's galaxy,galaxy,Q318
Q493581,Q493581,galaxy,Q318
Q696066,Q696066,galaxy,Q318
Q671450,Q671450,galaxy,Q318
Q493569,Q493569,galaxy,Q318
Q487228,Q487228,galaxy,Q318
Q395539,Q395539,galaxy,Q318
Q594396,Q594396,galaxy,Q318
Q1558620,Q1558620,galaxy,Q318
Q510932,Q510932,galaxy,Q318
Q639439,Q639439,galaxy,Q318
Q622690,Q622690,galaxy,Q318
Q671468,Q671468,galaxy,Q318
Q497687,NGC 1275,galaxy,Q318
Q494007,Q494007,galaxy,Q318
Q506384,Q506384,galaxy,Q318
Q754937,NGC 97,galaxy,Q318
Q744997,Q744997,galaxy,Q318
Q631918,Q631918,galaxy,Q318
Q217209,NGC 2442/2443,galaxy,Q318
Q1037010,NGC 501,galaxy,Q318
Q23000947,GN-z11,galaxy,Q318
Q584728,Q584728,galaxy,Q318
Q696229,Q696229,galaxy,Q318
Q907337,Q907337,galaxy,Q318
Q502000,NGC 6240,galaxy,Q318
Q729053,Q729053,galaxy,Q318
Q495785,NGC 1316,galaxy,Q318
Q852522,Q852522,galaxy,Q318
Q425637,Q425637,galaxy,Q318
Q756409,Q756409,galaxy,Q318
Q204624,Q204624,galaxy,Q318
Q1037063,NGC 508,galaxy,Q318
Q1037057,NGC 507,galaxy,Q318
Q248762,Q248762,galaxy,Q318
Q220959,Q220959,galaxy,Q318
Q924203,Q924203,galaxy,Q318
Q568599,NGC 233,galaxy,Q318
Q1036372,NGC 388,galaxy,Q318
Q1036111,NGC 315,galaxy,Q318
Q1035654,NGC 169,galaxy,Q318
Q495791,Q495791,galaxy,Q318
Q1035931,Q1035931,galaxy,Q318
Q862695,Q862695,galaxy,Q318
Q1035799,NGC 223,galaxy,Q318
Q851264,Q851264,galaxy,Q318
Q845413,Q845413,galaxy,Q318
Q660849,Q660849,galaxy,Q318
Q1035699,NGC 194,galaxy,Q318
Q618400,Q618400,galaxy,Q318
Q1037080,NGC 511,galaxy,Q318
Q746521,NGC 382,galaxy,Q318
Q183617,Q183617,galaxy,Q318
Q942981,NGC 183,galaxy,Q318
Q1105170,Q1105170,galaxy,Q318
Q1104303,NGC 3344,galaxy,Q318
Q1112845,Q1112845,galaxy,Q318
Q1139572,Q1139572,galaxy,Q318
Q1041172,Q1041172,galaxy,Q318
Q580345,NGC 2841,galaxy,Q318
Q921308,Q921308,galaxy,Q318
Q1036365,NGC 387,galaxy,Q318
Q1036360,NGC 386,galaxy,Q318
Q1036342,NGC 380,galaxy,Q318
Q1036321,NGC 375,galaxy,Q318
Q1036309,NGC 373,galaxy,Q318
Q911306,NGC 163,galaxy,Q318
Q829429,Q829429,galaxy,Q318
Q1036049,NGC 296,galaxy,Q318
Q1036003,Q1036003,galaxy,Q318
Q1035813,Q1035813,galaxy,Q318
Q980804,NGC 384,galaxy,Q318
Q1035784,NGC 219,galaxy,Q318
Q1035755,Q1035755,galaxy,Q318
Q211449,Mice Galaxies,galaxy,Q318
Q1036837,Q1036837,galaxy,Q318
Q593747,Q593747,galaxy,Q318
Q957406,NGC 418,galaxy,Q318
Q1109086,Q1109086,galaxy,Q318
Q1116212,NGC 4993,galaxy,Q318
Q1825820,Q1825820,galaxy,Q318
Q1106580,Arp 87,galaxy,Q318
Q1103665,Q1103665,galaxy,Q318
Q696615,Q696615,galaxy,Q318
Q917984,NGC 2915,galaxy,Q318
Q1036257,NGC 359,galaxy,Q318
Q1036153,Q1036153,galaxy,Q318
Q1036143,NGC 323,galaxy,Q318
Q909367,Q909367,galaxy,Q318
Q1036135,NGC 320,galaxy,Q318
Q1036093,Q1036093,galaxy,Q318
Q663703,IC 1613,galaxy,Q318
Q1035831,Q1035831,galaxy,Q318
Q1036847,Q1036847,galaxy,Q318
Q1036803,NGC 469,galaxy,Q318
Q757396,IC 342,galaxy,Q318
Q1036641,Q1036641,galaxy,Q318
Q737930,Q737930,galaxy,Q318
Q1036990,NGC 499,galaxy,Q318
Q941708,NGC 484,galaxy,Q318
Q1036508,Q1036508,galaxy,Q318
Q1036481,Q1036481,galaxy,Q318
Q1116997,Q1116997,galaxy,Q318
Q1111785,NGC 4473,galaxy,Q318
Q1049421,Q1049421,galaxy,Q318
Q1106802,NGC 3842,galaxy,Q318
Q930908,Q930908,galaxy,Q318
Q926937,NGC 439,galaxy,Q318
Q578914,Q578914,galaxy,Q318
Q568196,NGC 1407,galaxy,Q318
Q917928,Q917928,galaxy,Q318
Q917064,Q917064,galaxy,Q318
Q911918,NGC 135,galaxy,Q318
Q686204,Q686204,galaxy,Q318
Q1036235,NGC 351,galaxy,Q318
Q1036149,NGC 325,galaxy,Q318
Q1036055,NGC 297,galaxy,Q318
Q870305,NGC 144,galaxy,Q318
Q818332,Q818332,galaxy,Q318
Q1036011,Q1036011,galaxy,Q318
Q1035980,NGC 276,galaxy,Q318
Q639434,Q639434,galaxy,Q318
Q1035766,NGC 216,galaxy,Q318
Q842507,Q842507,galaxy,Q318
Q961409,NGC 533,galaxy,Q318
Q280420,NGC 4314,galaxy,Q318
Q1036870,NGC 478,galaxy,Q318
Q599265,NGC 309,galaxy,Q318
Q1036786,NGC 467,galaxy,Q318
Q633265,NGC 397,galaxy,Q318
Q375627,Q375627,galaxy,Q318
Q1036563,Q1036563,galaxy,Q318
Q747344,Q747344,galaxy,Q318
Q609636,NGC 340,galaxy,Q318
Q1036922,NGC 486,galaxy,Q318
Q115482,Tadpole Galaxy,galaxy,Q318
Q1036546,Q1036546,galaxy,Q318
Q90859988,Q90859988,galaxy,Q318
Q1123775,Q1123775,galaxy,Q318
Q1102636,Q1102636,galaxy,Q318
Q1051325,NGC 2857,galaxy,Q318
Q1113217,Q1113217,galaxy,Q318
Q2001508,Q2001508,galaxy,Q318
Q1258350,NGC 341,galaxy,Q318
Q1049974,Q1049974,galaxy,Q318
Q1049986,Q1049986,galaxy,Q318
Q1115151,Q1115151,galaxy,Q318
Q1104160,Q1104160,galaxy,Q318
Q1042480,NGC 1264,galaxy,Q318
Q1105652,NGC 3621,galaxy,Q318
Q1040467,NGC 953,galaxy,Q318
Q583215,NGC 239,galaxy,Q318
Q1040147,Q1040147,galaxy,Q318
Q582073,Q582073,galaxy,Q318
Q575282,Q575282,galaxy,Q318
Q548329,Q548329,galaxy,Q318
Q544507,NGC 165,galaxy,Q318
Q1036281,NGC 364,galaxy,Q318
Q909697,Q909697,galaxy,Q318
Q1036240,NGC 353,galaxy,Q318
Q869582,Q869582,galaxy,Q318
Q1035650,NGC 168,galaxy,Q318
Q1038665,NGC 736,galaxy,Q318
Q1035939,Q1035939,galaxy,Q318
Q661421,NGC 2294,galaxy,Q318
Q1037752,Q1037752,galaxy,Q318
Q1035760,Q1035760,galaxy,Q318
Q845388,Q845388,galaxy,Q318
Q658555,Q658555,galaxy,Q318
Q1038230,NGC 680,galaxy,Q318
Q1035749,NGC 212,galaxy,Q318
Q1035696,Q1035696,galaxy,Q318
Q750725,NGC 1961,galaxy,Q318
Q1037122,Q1037122,galaxy,Q318
Q960749,Q960749,galaxy,Q318
Q958836,Q958836,galaxy,Q318
Q278168,Q278168,galaxy,Q318
Q596095,Q596095,galaxy,Q318
Q1036724,Q1036724,galaxy,Q318
Q1036676,Q1036676,galaxy,Q318
Q141691,Q141691,galaxy,Q318
Q121600,NGC 303,galaxy,Q318
Q957292,Q957292,galaxy,Q318
Q942039,Q942039,galaxy,Q318
Q941993,Q941993,galaxy,Q318
Q27994,IC 10,galaxy,Q318
Q1046050,NGC 1924,galaxy,Q318
Q1102325,Q1102325,galaxy,Q318
Q1044021,Q1044021,galaxy,Q318
Q1117694,Q1117694,galaxy,Q318
Q1105276,NGC 3539,galaxy,Q318
Q1105108,Q1105108,galaxy,Q318
Q1113517,Q1113517,galaxy,Q318
Q1050311,Q1050311,galaxy,Q318
Q1050163,Q1050163,galaxy,Q318
Q1115494,Q1115494,galaxy,Q318
Q1139593,Q1139593,galaxy,Q318
Q1108954,Q1108954,galaxy,Q318
