qid,label,class_label,class_qid
Q718,chess,game,Q11410
Q5377,golf,game,Q11410
Q5369,baseball,game,Q11410
Q41466,ice hockey,game,Q11410
Q11411,backgammon,game,Q11410
Q1293,checkers,game,Q11410
Q171957,hide-and-seek,game,Q11410
Q3341285,cue sports,game,Q11410
Q32907,dominoes,game,Q11410
Q131471,darts,game,Q11410
Q106631,rock-paper-scissors,game,Q11410
Q170436,Scrabble,game,Q11410
Q27981,hopscotch,game,Q11410
Q185851,lacrosse,game,Q11410
Q183018,bandy,game,Q11410
Q12263,mahjong,game,Q11410
Q228044,blackjack,game,Q11410
Q14930,geocaching,game,Q11410
Q14922,table football,game,Q11410
Q213711,hurling,game,Q11410
Q690158,Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.,game,Q11410
Q213593,Tower of Hanoi,game,Q11410
Q884216,blind man's bluff,game,Q11410
Q460875,hangman,game,Q11410
Q1133076,spoonerism,game,Q11410
Q900489,Carrom,game,Q11410
Q656619,tag,game,Q11410
Q1254757,Gilli-danda,game,Q11410
Q825367,coin flipping,game,Q11410
Q937315,Royal Game of Ur,game,Q11410
Q673051,piñata,game,Q11410
Q20452,knucklebones,game,Q11410
Q878160,bingo,game,Q11410
Q1064959,Beer pong,game,Q11410
Q1061307,stone skipping,game,Q11410
Q56298637,Bierball,game,Q11410
Q829265,Rummikub,game,Q11410
Q932695,dreidel,game,Q11410
Q656850,musical chairs,game,Q11410
Q574696,Morra,game,Q11410
Q724409,Nim,game,Q11410
Q696920,Yahtzee,game,Q11410
Q247406,pentomino,game,Q11410
Q851758,Model United Nations,game,Q11410
Q1059120,Lion-Eating Poet in the Stone Den,game,Q11410
Q1140110,James while John had had had had had had had had had had had a better effect on the teacher.,game,Q11410
Q151939,telephone game,game,Q11410
Q241538,Stratego,game,Q11410
Q53705,peekaboo,game,Q11410
Q20825866,Concentration,game,Q11410
Q4517024,chovgan,game,Q11410
Q1424125,kendama,game,Q11410
Q1631315,leapfrog,game,Q11410
Q1333813,Mikado,game,Q11410
Q1140288,Statues,game,Q11410
Q92096,Q92096,game,Q11410
Q844472,pen spinning,game,Q11410
Q1554487,Chinese jump rope,game,Q11410
Q1142365,sack race,game,Q11410
Q869499,craps,game,Q11410
Q754461,fingerboard,game,Q11410
Q1035213,capture the flag,game,Q11410
Q835784,Sasuke,game,Q11410
Q1501493,Kubb,game,Q11410
Q774460,snow angel,game,Q11410
Q998303,Laser tag,game,Q11410
Q1165825,Keno,game,Q11410
Q598812,claw crane,game,Q11410
Q2287999,Simon Says,game,Q11410
Q16383004,hoop rolling,game,Q11410
Q12608079,squid game,game,Q11410
Q584764,string figure,game,Q11410
Q578361,house of cards,game,Q11410
Q675267,egg rolling,game,Q11410
Q1025099,shell game,game,Q11410
Q12220668,"duck, duck, goose",game,Q11410
Q96365,five card draw,game,Q11410
Q740874,Kottabos,game,Q11410
Q938986,mölkky,game,Q11410
Q2096951,clackers,game,Q11410
Q239479,Wason selection task,game,Q11410
Q1227715,Colorless green ideas sleep furiously,game,Q11410
Q1199365,Kancho,game,Q11410
Q887421,Queen's Blade,game,Q11410
Q1431716,Whac-A-Mole,game,Q11410
Q249188,thumb war,game,Q11410
Q2141657,Sprouts,game,Q11410
Q691389,exquisite corpse,game,Q11410
Q153563,strip poker,game,Q11410
Q10971633,cup-and-ball,game,Q11410
Q1638078,Hunt the Wumpus,game,Q11410
Q1401167,Kagome Kagome,game,Q11410
Q2746282,horseshoes,game,Q11410
Q2429272,La soule,game,Q11410
Q205906,Liar's Dice,game,Q11410
Q939785,Tejo,game,Q11410
Q2140874,Sic bo,game,Q11410
Q7245730,Prison Ball,game,Q11410
Q5231565,The Price Is Right,game,Q11410
Q1436257,treasure hunt,game,Q11410
Q302368,twenty questions,game,Q11410
Q1134144,cornhole,game,Q11410
Q3523090,Connect the dots,game,Q11410
Q145634,five-card stud,game,Q11410
