qid,label,class_label,class_qid
Q41931,Hanging Gardens of Babylon,garden,Q1107656
Q160409,Central Park,garden,Q1107656
Q270983,Kinkaku-ji Temple,garden,Q1107656
Q212867,Park Güell,garden,Q1107656
Q217925,Champ de Mars,garden,Q1107656
Q309458,Jardin du Luxembourg,garden,Q1107656
Q209626,bois de Boulogne,garden,Q1107656
Q818517,Tuileries Garden,garden,Q1107656
Q271639,Bois de Vincennes,garden,Q1107656
Q746063,Villa d'Este,garden,Q1107656
Q898629,place des Vosges,garden,Q1107656
Q110289,Tivoli Gardens,garden,Q1107656
Q1414059,parc Monceau,garden,Q1107656
Q1046818,Chengde Mountain Resort and its outlying temples,garden,Q1107656
Q630135,Gardens by the Bay,garden,Q1107656
Q197889,Zhongnanhai,garden,Q1107656
Q829338,Carlton Gardens,garden,Q1107656
Q753064,Mill Ends Park,garden,Q1107656
Q822607,Kensington Gardens,garden,Q1107656
Q127963,Eram Garden,garden,Q1107656
Q907894,Old Summer Palace,garden,Q1107656
Q746216,Ueno Imperial Grant Park,garden,Q1107656
Q745296,Flushing Meadows–Corona Park,garden,Q1107656
Q730948,Jardin des plantes,garden,Q1107656
Q678313,Villa Borghese gardens,garden,Q1107656
Q635559,Golden Gate Park,garden,Q1107656
Q1131807,El Retiro Park,garden,Q1107656
Q13689,The Battery,garden,Q1107656
Q257473,Ginkaku-ji Temple,garden,Q1107656
Q246448,parc de la Villette,garden,Q1107656
Q1051928,Kröller-Müller Museum,garden,Q1107656
Q110000,Madison Square and Madison Square Park,garden,Q1107656
Q1126258,Stanley Park,garden,Q1107656
Q1049632,Prospect Park,garden,Q1107656
Q734499,Jingshan Park,garden,Q1107656
Q1415856,Fin Garden,garden,Q1107656
Q1328025,Yu Garden,garden,Q1107656
Q1207208,Hiroshima Peace Memorial Park,garden,Q1107656
Q968430,Ladonia,garden,Q1107656
Q843869,High Line,garden,Q1107656
Q523194,Chapultepec,garden,Q1107656
Q10478622,Döbelns park,garden,Q1107656
Q1410617,Louisiana Museum of Modern Art,garden,Q1107656
Q133650,Beihai Park,garden,Q1107656
Q1130516,Millennium Park,garden,Q1107656
Q259173,Studley Royal Park,garden,Q1107656
Q110007,Union Square,garden,Q1107656
Q7460945,Vigeland installation,garden,Q1107656
Q909592,Washington Square Park,garden,Q1107656
Q427016,City Park,garden,Q1107656
Q1560106,Gülhane Park,garden,Q1107656
Q1432605,Saint Stephen's Green,garden,Q1107656
Q532113,parc des Buttes-Chaumont,garden,Q1107656
Q1204253,Yoyogi Park,garden,Q1107656
Q301135,Parc de la Ciutadella,garden,Q1107656
Q1069906,Memento Park,garden,Q1107656
Q1050522,Grūtas Park,garden,Q1107656
