qid,label,class_label,class_qid
Q311359,lac operon,gene,Q7187
Q326262,dun gene,gene,Q7187
Q18057009,UOX,gene,Q7187
Q287043,Trp operon,gene,Q7187
Q474657,cream gene,gene,Q7187
Q2634206,Xq28,gene,Q7187
Q310284,L-arabinose operon,gene,Q7187
Q20767269,MTRNR2L8,gene,Q7187
Q117407988,Calpain small subunit 1,gene,Q7187
Q20763554,MTRNR2L6,gene,Q7187
Q18058645,OR10J3,gene,Q7187
Q18057970,C6orf201,gene,Q7187
Q1075029,Antennapedia,gene,Q7187
Q3506259,toll,gene,Q7187
Q3002670,Flaxen gene,gene,Q7187
Q18053953,TAS2R12P,gene,Q7187
Q6440544,Krüppel,gene,Q7187
Q5517743,gal operon,gene,Q7187
Q4415210,Low density lipoprotein receptor gene family,gene,Q7187
Q18038253,OR8G2P,gene,Q7187
Q18038345,OR4F4,gene,Q7187
Q18025503,GBAP1,gene,Q7187
Q18033969,TAAR3P,gene,Q7187
Q18030806,PRKY,gene,Q7187
Q18027356,HSPA7,gene,Q7187
Q18026807,HBBP1,gene,Q7187
Q22920220,Mushroom gene,gene,Q7187
Q20763571,MTRNR2L4,gene,Q7187
Q20763577,MTRNR2L1,gene,Q7187
Q18073939,IFNL4,gene,Q7187
Q18268336,2700099C18Rik,gene,Q7187
Q18049828,OR2AJ1,gene,Q7187
Q18047447,MYH16,gene,Q7187
Q18049081,GNRHR2,gene,Q7187
Q18046137,OR10G6,gene,Q7187
Q18036916,SSPOP,gene,Q7187
Q18038157,OR1F2P,gene,Q7187
Q18056954,OR3A4P,gene,Q7187
Q5515236,Gab operon,gene,Q7187
Q18055543,OR14K1,gene,Q7187
Q18038492,RNU2-2P,gene,Q7187
Q18056783,OR52E5,gene,Q7187
Q97359252,Grainyhead-like gene family,gene,Q7187
Q26241482,LOC107984557,gene,Q7187
Q25323963,Gene desert,gene,Q7187
Q20787772,LSP1P5,gene,Q7187
Q19944657,PTC tasting,gene,Q7187
Q18063638,FAM25BP,gene,Q7187
Q18060010,WFDC21P,gene,Q7187
Q18058394,SUZ12P1,gene,Q7187
Q18058430,H3-7,gene,Q7187
Q18058577,GLRA4,gene,Q7187
Q18057409,BRCA1P1,gene,Q7187
Q18054819,TTC3P1,gene,Q7187
Q18054721,RNF5P1,gene,Q7187
Q18046016,LY6G6E,gene,Q7187
Q18038173,FBXW4P1,gene,Q7187
Q18035515,TRAPPC2B,gene,Q7187
Q18036314,PTENP1,gene,Q7187
Q18053115,CASP16P,gene,Q7187
Q18056134,PI4KAP2,gene,Q7187
Q18055849,HCG4P11,gene,Q7187
Q7462746,Shaker gene,gene,Q7187
Q5514469,POLR2MP1,gene,Q7187
Q16886589,KRT41P,gene,Q7187
Q15996543,ACTG1P6,gene,Q7187
Q18032882,OR1E3,gene,Q7187
Q18032915,CMAHP,gene,Q7187
Q18032181,TRPC2,gene,Q7187
Q18030505,PGK1P2,gene,Q7187
Q18028798,MAGEA5P,gene,Q7187
Q18026802,HBAP1,gene,Q7187
Q115801494,DCL3,gene,Q7187
Q85762355,G-value paradox,gene,Q7187
Q60790594,ZC4H2 deficiency,gene,Q7187
Q29868844,RNA18SP5,gene,Q7187
Q25345745,Proboscipedia,gene,Q7187
Q25203405,Gooseberry,gene,Q7187
Q20786107,SEC24AP1,gene,Q7187
Q20786115,CLNS1AP1,gene,Q7187
Q20787121,LOC100533655,gene,Q7187
Q20786456,EEF1B2P1,gene,Q7187
Q20785867,BPIFB5P,gene,Q7187
Q20760839,LOC101929775,gene,Q7187
Q18072307,LTO1P1,gene,Q7187
Q18062502,L1TD1P1,gene,Q7187
Q18062575,HLA-Y,gene,Q7187
Q18060042,HSPD1P2,gene,Q7187
Q18065498,USP8P1,gene,Q7187
Q18060621,PSG10P,gene,Q7187
Q18058884,GGNBP1,gene,Q7187
Q18059707,GLYCAM1,gene,Q7187
Q18057806,BPIFB9P,gene,Q7187
Q18046568,TUBA4B,gene,Q7187
Q18060764,NCF1C,gene,Q7187
Q18059019,DUXAP9,gene,Q7187
Q18059018,DUXAP8,gene,Q7187
Q18057329,GLULP4,gene,Q7187
Q18054010,SSX6P,gene,Q7187
Q18059523,ZC3H11B,gene,Q7187
Q18054921,BPIFA4P,gene,Q7187
Q18059850,EEF1B2P3,gene,Q7187
Q18046038,LILRP2,gene,Q7187
Q18040951,H2BC12L,gene,Q7187
Q18059648,KRT126P,gene,Q7187
Q18051917,ABCC13,gene,Q7187
Q18037237,ANP32C,gene,Q7187
Q18034513,CLCA3P,gene,Q7187
Q18055759,NLRP9P1,gene,Q7187
Q18056030,NDUFA4P1,gene,Q7187
Q7669979,TEL-JAK2,gene,Q7187
Q5514397,GRAFS,gene,Q7187
Q5323714,ENOD40,gene,Q7187
Q5285440,DmX gene,gene,Q7187
Q5205533,DLD/NP1,gene,Q7187
Q4796324,ars operon,gene,Q7187
Q18038194,PTTG3P,gene,Q7187
Q17930953,FTH1P3,gene,Q7187
Q17916018,EEF1B2P2,gene,Q7187
Q17915967,EEF1A1P43,gene,Q7187
Q17912206,ADAM3A,gene,Q7187
Q18032243,ZRSR2P1,gene,Q7187
Q18031907,TRGV1,gene,Q7187
Q18031198,RNY4P2,gene,Q7187
Q18030211,NPY6R,gene,Q7187
Q18026176,GLUD1P5,gene,Q7187
