qid,label,class_label,class_qid
Q44626,Cretaceous,geological period,Q392928
Q45805,Jurassic,geological period,Q392928
Q47158,Triassic,geological period,Q392928
Q79064,Cambrian,geological period,Q392928
Q65955,Devonian,geological period,Q392928
Q76402,Permian,geological period,Q392928
Q62412,Silurian,geological period,Q392928
Q62100,Ordovician,geological period,Q392928
Q133738,Carboniferous,geological period,Q392928
Q26185,Quaternary,geological period,Q392928
Q55810,Paleogene,geological period,Q392928
Q103924,Neogene,geological period,Q392928
Q188645,Tertiary,geological period,Q392928
Q188654,Ediacaran,geological period,Q392928
Q507402,Cryogenian,geological period,Q392928
Q743343,Tonian,geological period,Q392928
Q776333,Stenian,geological period,Q392928
Q870498,Siderian,geological period,Q392928
Q367597,Ectasian,geological period,Q392928
Q684942,Statherian,geological period,Q392928
Q870511,Rhyacian,geological period,Q392928
Q597383,Orosirian,geological period,Q392928
Q876805,Calymmian,geological period,Q392928
Q2039116,Copernican period,geological period,Q392928
Q2624098,Imbrium,geological period,Q392928
Q3073430,iron catastrophe,geological period,Q392928
Q124372919,Mars carbonate catastrophe,geological period,Q392928
