qid,label,class_label,class_qid
Q52985,Hergé,given name,Q202444
Q2272188,Khatun,given name,Q202444
Q666578,Anna,given name,Q202444
Q14516546,Daniel,given name,Q202444
Q4927937,Robert,given name,Q202444
Q577011,Albert,given name,Q202444
Q4925477,John,given name,Q202444
Q429948,Laura,given name,Q202444
Q18057751,David,given name,Q202444
Q18145837,Adolf,given name,Q202444
Q493293,Andrea,given name,Q202444
Q325872,Maria,given name,Q202444
Q923,Alexander,given name,Q202444
Q1242555,Hugo,given name,Q202444
Q153957,Barbara,given name,Q202444
Q11905003,Ali,given name,Q202444
Q4925914,Gabriel,given name,Q202444
Q5837762,Muhammad,given name,Q202444
Q453722,Amanda,given name,Q202444
Q1136594,Linda,given name,Q202444
Q645412,Diana,given name,Q202444
Q2793400,Peter,given name,Q202444
Q4117588,Simon,given name,Q202444
Q2117521,Johannes,given name,Q202444
Q307578,Abdullah,given name,Q202444
Q830350,Ivan,given name,Q202444
Q38038024,Olga,given name,Q202444
Q4851436,Angela,given name,Q202444
Q989320,Emil,given name,Q202444
Q1209486,Elena,given name,Q202444
Q829665,Eva,given name,Q202444
Q1778168,Arthur,given name,Q202444
Q632264,Olivia,given name,Q202444
Q629347,Samuel,given name,Q202444
Q346047,Ada,given name,Q202444
Q12173670,Jan,given name,Q202444
Q4928115,Tobias,given name,Q202444
Q4927524,Michael,given name,Q202444
Q4926740,Emanuel,given name,Q202444
Q2532287,Ronald,given name,Q202444
Q5407300,Axel,given name,Q202444
Q7996169,Gerhard,given name,Q202444
Q1474819,Sandra,given name,Q202444
Q307378,Abd al-Rahman,given name,Q202444
Q830357,Melissa,given name,Q202444
Q650324,Alina,given name,Q202444
Q630846,Jessica,given name,Q202444
Q605834,Kevin,given name,Q202444
Q347181,Adam,given name,Q202444
Q394431,Agnes,given name,Q202444
Q16428906,Thomas,given name,Q202444
Q11722500,Habib,given name,Q202444
Q1873288,Lina,given name,Q202444
Q4928254,Vincent,given name,Q202444
Q3362622,Mario,given name,Q202444
Q1120708,Marina,given name,Q202444
Q931986,Kasimir,given name,Q202444
Q925678,Anita,given name,Q202444
Q903741,Ingrid,given name,Q202444
Q650689,Alice,given name,Q202444
Q2424149,Benjamin,given name,Q202444
Q471788,Joseph,given name,Q202444
Q403821,Aida,given name,Q202444
Q54483354,Svetlana,given name,Q202444
Q16276444,Hassan,given name,Q202444
Q4526903,Shailaputri,given name,Q202444
Q4475314,Omar,given name,Q202444
Q4926833,Herbert,given name,Q202444
Q4926263,Andreas,given name,Q202444
Q12344159,William,given name,Q202444
Q13258171,Alex,given name,Q202444
Q998338,Filip,given name,Q202444
Q3051870,Elvira,given name,Q202444
Q750186,Erik,given name,Q202444
Q746076,Gustav,given name,Q202444
Q740790,Q740790,given name,Q202444
Q948418,Leonard,given name,Q202444
Q541194,Emma,given name,Q202444
Q659189,Vera,given name,Q202444
Q847179,Paula,given name,Q202444
Q666112,Boris,given name,Q202444
Q833345,Sara,given name,Q202444
Q1094218,Rita,given name,Q202444
Q608366,Ishana,given name,Q202444
Q1729369,Karim,given name,Q202444
Q1084472,Christopher,given name,Q202444
Q1035239,Helena,given name,Q202444
Q406294,Ahmad,given name,Q202444
Q18029644,Otto,given name,Q202444
Q15731830,Karl,given name,Q202444
Q4925623,Paul,given name,Q202444
Q4925304,Roger,given name,Q202444
Q1157241,Dagmar,given name,Q202444
Q1508902,Nina,given name,Q202444
Q2958359,Charles,given name,Q202444
Q936646,Tamara,given name,Q202444
Q933726,Roman,given name,Q202444
Q917408,Norbert,given name,Q202444
Q905581,Dina,given name,Q202444
Q892211,Ibrahim,given name,Q202444
Q1249148,Richard,given name,Q202444
Q292691,Ernst,given name,Q202444
Q278835,Edward,given name,Q202444
Q654581,Lena,given name,Q202444
Q250267,Nora,given name,Q202444
Q1068487,Roland,given name,Q202444
Q1066178,Aurora,given name,Q202444
Q1065625,Bogdan,given name,Q202444
Q18028491,Rudolf,given name,Q202444
Q4308518,Mustafa,given name,Q202444
Q11167678,Nathan,given name,Q202444
Q4844560,Sebastian,given name,Q202444
Q2769157,Abigail,given name,Q202444
Q7915409,Vārāhī,given name,Q202444
Q2668516,Chloe,given name,Q202444
Q1130292,Megan,given name,Q202444
Q1160640,Lucia,given name,Q202444
