qid,label,class_label,class_qid
Q583,Mont Blanc,glacier,Q35666
Q39651,Eyjafjallajökull,glacier,Q35666
Q179734,Vatnajökull,glacier,Q35666
Q200255,Ross Ice Shelf,glacier,Q35666
Q1315012,Snæfellsjökull,glacier,Q35666
Q214818,Mýrdalsjökull,glacier,Q35666
Q776909,Larsen Ice Shelf,glacier,Q35666
Q554383,Hofsjökull,glacier,Q35666
Q737657,Langjökull,glacier,Q35666
Q1389927,Shackleton Ice Shelf,glacier,Q35666
Q209976,Filchner-Ronne Ice Shelf,glacier,Q35666
Q278245,Lambert Glacier,glacier,Q35666
Q1112319,Columbia Icefield,glacier,Q35666
Q7799533,Thwaites Glacier,glacier,Q35666
Q1432927,Tindfjallajökull,glacier,Q35666
Q555948,Drangajökull,glacier,Q35666
Q1474806,Tungnafellsjökull,glacier,Q35666
Q1310658,Eiríksjökull,glacier,Q35666
Q962042,West Ice Shelf,glacier,Q35666
Q1031462,Northern Patagonian Ice Field,glacier,Q35666
Q2007598,Dome F,glacier,Q35666
Q30434,Dôme du Goûter,glacier,Q35666
Q470201,Amery Ice Shelf,glacier,Q35666
Q1389459,Riiser-Larsen Ice Shelf,glacier,Q35666
Q1389467,Fimbul Ice Shelf,glacier,Q35666
Q994192,Brunt Ice Shelf,glacier,Q35666
Q593197,Dome A,glacier,Q35666
Q825948,Getz Ice Shelf,glacier,Q35666
Q1514989,Pine Island Glacier,glacier,Q35666
Q335712,Þrándarjökull,glacier,Q35666
Q1515276,McMurdo Ice Shelf,glacier,Q35666
Q5257911,Denman Glacier,glacier,Q35666
Q1026461,Calderone glacier,glacier,Q35666
Q764134,Byrd Glacier,glacier,Q35666
Q617835,Malaspina Glacier,glacier,Q35666
Q3045552,Dome C,glacier,Q35666
Q1131216,Mertz Glacier,glacier,Q35666
Q1388612,George VI Ice Shelf,glacier,Q35666
Q7876005,Khumbu Icefall,glacier,Q35666
Q7828430,Totten Glacier,glacier,Q35666
Q1323669,Ekström Ice Shelf,glacier,Q35666
Q1132039,Ninnis Glacier,glacier,Q35666
Q14934312,Wilkins Ice Shelf,glacier,Q35666
Q2026401,Lazarev Ice Shelf,glacier,Q35666
Q1815824,Jelbart Ice Shelf,glacier,Q35666
Q4664202,Abbot Ice Shelf,glacier,Q35666
Q3761661,David Glacier,glacier,Q35666
Q932333,Quelccaya Ice Cap,glacier,Q35666
Q7525802,Siple Dome,glacier,Q35666
Q8034395,Wordie Ice Shelf,glacier,Q35666
Q7382773,Rutford Ice Stream,glacier,Q35666
Q833807,Columbia Glacier,glacier,Q35666
Q7644571,Support Force Glacier,glacier,Q35666
Q2604608,Penny Ice Cap,glacier,Q35666
Q4838682,Bach Ice Shelf,glacier,Q35666
Q3446002,Quar Ice Shelf,glacier,Q35666
Q3108296,Erebus Glacier Tongue,glacier,Q35666
Q5299486,Dotson Ice Shelf,glacier,Q35666
Q1142234,Karpinsky Glacier,glacier,Q35666
Q957534,Milne Ice Shelf,glacier,Q35666
Q14871546,Smith Glacier,glacier,Q35666
Q3761664,McDonald Ice Rumples,glacier,Q35666
Q3625515,Voyeykov Ice Shelf,glacier,Q35666
Q3045546,Titan Dome,glacier,Q35666
Q7919525,Venable Ice Shelf,glacier,Q35666
Q5474347,Foundation Ice Stream,glacier,Q35666
Q7299322,Rayner Glacier,glacier,Q35666
Q6964216,Nansen Ice Sheet,glacier,Q35666
Q6915543,Moscow University Ice Shelf,glacier,Q35666
Q6483900,Land Glacier,glacier,Q35666
Q7539103,Slava Ice Shelf,glacier,Q35666
Q3774305,Gran Campo Nevado,glacier,Q35666
Q5173902,Cosgrove Ice Shelf,glacier,Q35666
Q2709575,Ward Hunt Ice Shelf,glacier,Q35666
Q7993644,Whillans Ice Stream,glacier,Q35666
Q582543,Eiger Glacier,glacier,Q35666
Q378830,Publications Ice Shelf,glacier,Q35666
Q7244041,Prince Gustav Ice Shelf,glacier,Q35666
Q6934192,Muller Ice Shelf,glacier,Q35666
Q5649016,Hannan Ice Shelf,glacier,Q35666
Q5562143,Gillett Ice Shelf,glacier,Q35666
Q5528472,Gawn Ice Piedmont,glacier,Q35666
Q944171,Nordenskjold Ice Tongue,glacier,Q35666
Q8074926,Zubchatyy Ice Shelf,glacier,Q35666
Q8039731,Wyers Ice Shelf,glacier,Q35666
Q783115,Ayles Ice Shelf,glacier,Q35666
Q7598829,Stange Ice Shelf,glacier,Q35666
Q4861537,Barnes Ice Cap,glacier,Q35666
Q4727097,Alison Ice Stream,glacier,Q35666
Q5166924,Cook Ice Shelf,glacier,Q35666
Q5345694,Edward VIII Ice Shelf,glacier,Q35666
Q5188745,Crosson Ice Shelf,glacier,Q35666
Q7028435,Nickerson Ice Shelf,glacier,Q35666
