qid,label,class_label,class_qid
Q1951987,Muirfield,golf course,Q1048525
Q106488855,White House putting green,golf course,Q1048525
Q125685071,Drumlins Country Club,golf course,Q1048525
Q3058615,Le Golf National,golf course,Q1048525
Q765780,Augusta National Golf Club,golf course,Q1048525
Q534974,Pebble Beach Golf Links,golf course,Q1048525
Q6617188,Olympic golf course,golf course,Q1048525
Q167245,Old Course at St Andrews,golf course,Q1048525
Q1044131,Carnoustie Golf Links,golf course,Q1048525
Q2096062,Turnberry,golf course,Q1048525
Q662996,Royal Troon Golf Club,golf course,Q1048525
Q2223797,Sotogrande,golf course,Q1048525
Q11660816,Kasumigaseki Country Club,golf course,Q1048525
Q1420672,Royal Montreal Golf Club,golf course,Q1048525
Q1459882,Valderrama Golf Club,golf course,Q1048525
Q1771977,Pinehurst Resort,golf course,Q1048525
Q2180101,"Royal Liverpool Golf Club, Hoylake",golf course,Q1048525
Q4587533,Trump National Doral Miami,golf course,Q1048525
Q1858953,Royal Birkdale Golf Club,golf course,Q1048525
Q1972531,St Andrews Links,golf course,Q1048525
Q776721,Celtic Manor Resort,golf course,Q1048525
Q1586134,Royal St George's Golf Club,golf course,Q1048525
Q1636565,Royal Lytham & St Annes Golf Club,golf course,Q1048525
Q3046648,Prestwick Golf Club,golf course,Q1048525
Q4979595,Bruntsfield Links,golf course,Q1048525
Q7497680,Shinnecock Hills Golf Club,golf course,Q1048525
Q499347,Wentworth Club,golf course,Q1048525
Q3347853,Oakmont Country Club,golf course,Q1048525
Q2635208,Royal Cinque Ports Golf Club,golf course,Q1048525
Q2678264,Musselburgh Links,golf course,Q1048525
Q5567556,Glen Abbey Golf Course,golf course,Q1048525
Q655999,Mission Hills Golf Club,golf course,Q1048525
Q4586108,TPC Sawgrass,golf course,Q1048525
Q1970896,Moscow Country Club,golf course,Q1048525
Q2020633,Hong Kong Golf Club,golf course,Q1048525
Q2440655,Royal Portrush Golf Club,golf course,Q1048525
Q4898096,Bethpage Black Course,golf course,Q1048525
Q4898101,Bethpage State Park,golf course,Q1048525
Q6514308,Spyglass Hill Golf Course,golf course,Q1048525
Q7243737,"Prince's Golf Club, Sandwich",golf course,Q1048525
Q7338863,Riviera Country Club,golf course,Q1048525
Q29469742,"Trump International Golf Club, West Palm Beach",golf course,Q1048525
Q7847773,Trump National Golf Club,golf course,Q1048525
Q576513,Golf Disneyland,golf course,Q1048525
Q607620,Royal Melbourne Golf Club,golf course,Q1048525
Q1464900,K Club,golf course,Q1048525
Q1770934,The Belfry Hotel & Resort,golf course,Q1048525
Q2222977,Real Club de la Puerta de Hierro,golf course,Q1048525
Q2576004,Royal Calcutta Golf Club,golf course,Q1048525
Q2648620,Royal Aberdeen Golf Club,golf course,Q1048525
Q2669978,Newport Country Club,golf course,Q1048525
Q5688114,Hazeltine National Golf Club,golf course,Q1048525
Q7270062,"Queen's Park, Invercargill",golf course,Q1048525
Q7382688,Rusutsu Resort,golf course,Q1048525
Q7421109,Sapporo Teine,golf course,Q1048525
Q8025167,Winged Foot Golf Club,golf course,Q1048525
Q1092806,Acqua Santa Golf Club Course,golf course,Q1048525
Q1822228,Royal Selangor Golf Club,golf course,Q1048525
Q2213522,Bro Hof Slott Golf Club,golf course,Q1048525
Q2278251,The Country Club,golf course,Q1048525
Q2279468,Golf de Chantilly,golf course,Q1048525
Q2325640,Halmstad Golf Club,golf course,Q1048525
Q4764122,Angus Glen Golf Club,golf course,Q1048525
Q4853011,Baltusrol Golf Club,golf course,Q1048525
Q2583578,Windhoek Country Club Resort,golf course,Q1048525
Q2604266,Firestone Country Club,golf course,Q1048525
Q2608023,Montecastillo Golf Club,golf course,Q1048525
Q1923182,Delhi Golf Club,golf course,Q1048525
Q1976232,The Royal Dublin Golf Club,golf course,Q1048525
Q5372570,Emirates Golf Club,golf course,Q1048525
Q5567712,Glen Echo Country Club,golf course,Q1048525
Q5654884,Harbour Town Golf Links,golf course,Q1048525
Q2465531,Myopia Hunt Club,golf course,Q1048525
Q2492208,Golf du Bercuit,golf course,Q1048525
Q2914105,Clearwater Bay Golf & Country Club,golf course,Q1048525
Q4940652,Golf de Saint-Cloud,golf course,Q1048525
Q6492534,Las Vegas Country Club,golf course,Q1048525
Q6972914,National Golf Links of America,golf course,Q1048525
Q6990894,Nemacolin Woodlands Resort,golf course,Q1048525
Q7229572,Poppy Hills Golf Course,golf course,Q1048525
Q7337669,River Oaks Country Club,golf course,Q1048525
Q14716506,Inverness Club,golf course,Q1048525
Q20714076,Trump National Golf Club,golf course,Q1048525
Q28735989,Marco Simone Golf and Country Club,golf course,Q1048525
Q7827101,Torrey Pines Golf Course,golf course,Q1048525
Q7847774,Trump National Golf Club,golf course,Q1048525
Q10614535,PGA Sweden National,golf course,Q1048525
Q8026347,Winter Summerland,golf course,Q1048525
Q2077768,Evian Resort Golf Club,golf course,Q1048525
Q3110197,Golf de Granville Baie du Mont St Michel,golf course,Q1048525
Q255354,Garden City Golf Club,golf course,Q1048525
Q385816,PGA National Golf Club,golf course,Q1048525
Q737613,Royal Porthcawl Golf Club,golf course,Q1048525
Q2244563,Loch Lomond Golf Club,golf course,Q1048525
Q2290074,Sentosa Golf Club,golf course,Q1048525
Q2303252,Porto Santo Golfe,golf course,Q1048525
Q3495893,Medinah Country Club,golf course,Q1048525
Q3962734,Merion Golf Club,golf course,Q1048525
Q4118113,Jumeirah Golf Estates,golf course,Q1048525
Q4740431,Amata Spring Country Club,golf course,Q1048525
Q4852836,Baltimore Country Club,golf course,Q1048525
Q4854672,Bandon Dunes Golf Resort,golf course,Q1048525
Q4864988,Barsebäck Resort Golf,golf course,Q1048525
Q2567873,Sheshan Golf Club,golf course,Q1048525
Q2608144,Chicago Golf Club,golf course,Q1048525
Q2652549,Royal Golf Dar Es Salam,golf course,Q1048525
Q1881861,Royal County Down Golf Club,golf course,Q1048525
Q1891608,Ullna Golf Club,golf course,Q1048525
Q1923496,Aloha Golf Club,golf course,Q1048525
Q1942209,Mölle GK,golf course,Q1048525
Q1950537,Royal Johannesburg & Kensington Golf Club,golf course,Q1048525
Q1961822,St. Mellion International Resort,golf course,Q1048525
Q1968937,Royal Musselburgh Golf Club,golf course,Q1048525
Q5378123,Englewood Golf Club,golf course,Q1048525
Q5389163,Erin Hills,golf course,Q1048525
Q5525761,Gary Player Country Club,golf course,Q1048525
Q5566818,Glasgow Golf Club,golf course,Q1048525
Q5568082,Glen View Club,golf course,Q1048525
Q2356381,Golf de Saint-Nom-la-Bretèche,golf course,Q1048525
Q2377861,Atlanta Athletic Club,golf course,Q1048525
Q2390303,Ganton Golf Club,golf course,Q1048525
Q2416259,Olympic Club,golf course,Q1048525
Q2422450,East Lake Golf Club,golf course,Q1048525
Q2476740,TPC River Highlands,golf course,Q1048525
Q2528067,Crail Golfing Society,golf course,Q1048525
Q2769854,La Moye Golf Club,golf course,Q1048525
