qid,label,class_label,class_qid
Q23548,National Aeronautics and Space Administration,government agency,Q327333
Q42262,European Space Agency,government agency,Q327333
Q131454,Library of Congress,government agency,Q327333
Q8475,Interpol,government agency,Q327333
Q1095,Limburg,government agency,Q327333
Q1129,Hainaut,government agency,Q327333
Q1118,Flemish Brabant,government agency,Q327333
Q1113,West Flanders,government agency,Q327333
Q1114,East Flanders,government agency,Q327333
Q1127,Province of Liege,government agency,Q327333
Q193563,Bibliothèque nationale de France,government agency,Q327333
Q1122,Walloon Brabant,government agency,Q327333
Q1116,Province of Antwerp,government agency,Q327333
Q1125,Province of Namur,government agency,Q327333
Q1126,Luxembourg,government agency,Q327333
Q188915,National Library of Israel,government agency,Q327333
Q23308,British Library,government agency,Q327333
Q804311,Blagoevgrad,government agency,Q327333
Q182449,NKVD,government agency,Q327333
Q220563,United Nations Secretariat,government agency,Q327333
Q369220,Burgas,government agency,Q327333
Q185246,Uppsala University,government agency,Q327333
Q1251933,Ruse,government agency,Q327333
Q907395,Dobrich,government agency,Q327333
Q229058,Indian Space Research Organisation,government agency,Q327333
Q187874,Plovdiv,government agency,Q327333
Q2012772,Vidin,government agency,Q327333
Q1007272,Gabrovo,government agency,Q327333
Q183487,Varna,government agency,Q327333
Q2012430,Smolyan,government agency,Q327333
Q2012242,Pleven,government agency,Q327333
Q213678,Vatican Library,government agency,Q327333
Q190795,Roscosmos State Corporation,government agency,Q327333
Q32491,Qantas Airways,government agency,Q327333
Q2012785,Vratsa,government agency,Q327333
Q1112985,Kyustendil,government agency,Q327333
Q1104675,Kardzhali,government agency,Q327333
Q2790675,Razgrad,government agency,Q327333
Q182809,Haskovo,government agency,Q327333
Q6587068,Lovech,government agency,Q327333
Q2012621,Veliko Tarnovo,government agency,Q327333
Q2012583,Stara Zagora,government agency,Q327333
Q2012234,Pernik,government agency,Q327333
Q2012423,Silistra,government agency,Q327333
Q220736,Yambol,government agency,Q327333
Q184981,Shumen,government agency,Q327333
Q179103,Japan Aerospace Exploration Agency,government agency,Q327333
Q2012057,Montana Oblast,government agency,Q327333
Q477675,National Diet Library,government agency,Q327333
Q2012589,Targovishte,government agency,Q327333
Q2012227,Pazardzhik,government agency,Q327333
Q218506,Lund University,government agency,Q327333
Q113120,Sliven,government agency,Q327333
Q202904,Sofia Oblast,government agency,Q327333
Q378014,University of al-Qarawiyyin,government agency,Q327333
Q637413,United States Census Bureau,government agency,Q327333
Q27302,German National Library,government agency,Q327333
Q214195,Italian National Institute of Statistics,government agency,Q327333
Q750403,Biblioteca Nacional de España,government agency,Q327333
Q8900,European Court of Auditors,government agency,Q327333
Q1048694,Russian State Library,government agency,Q327333
Q656812,Office of the High Commissioner for Human Rights,government agency,Q327333
Q623578,National Library of Australia,government agency,Q327333
Q221645,Stockholm University,government agency,Q327333
Q219564,Karolinska Institutet,government agency,Q327333
Q320644,China National Space Administration,government agency,Q327333
Q1967876,National Library of the Czech Republic,government agency,Q327333
Q127990,Australian National University,government agency,Q327333
Q267566,National Library of Russia,government agency,Q327333
Q156616,National Institute of Statistics and Economic Studies,government agency,Q327333
Q2452823,National Library of Azerbaijan,government agency,Q327333
Q193755,United States Geological Survey,government agency,Q327333
Q732353,National Library of China,government agency,Q327333
Q503224,United States Secret Service,government agency,Q327333
Q152993,Abwehr,government agency,Q327333
Q856423,National Library of Poland,government agency,Q327333
Q217659,Eurostat,government agency,Q327333
Q501851,Bibliotheca Alexandrina,government agency,Q327333
Q318889,Pliska,government agency,Q327333
Q212227,Canadian Space Agency,government agency,Q327333
Q335357,Federal Aviation Administration,government agency,Q327333
Q32766,constitutional court,government agency,Q327333
Q682520,TfL,government agency,Q327333
Q953058,National Library of Sweden,government agency,Q327333
Q918396,National Health Service,government agency,Q327333
