qid,label,class_label,class_qid
Q174506,Atabeg,governor,Q132050
Q887010,Governor of California,governor,Q132050
Q2347975,Governor of New York,governor,Q132050
Q887117,Governor of Massachusetts,governor,Q132050
Q1261556,Governor-General of Barbados,governor,Q132050
Q644809,Governor-General of Tuvalu,governor,Q132050
Q878942,Governor of Virginia,governor,Q132050
Q5589725,Governor of Texas,governor,Q132050
Q5589682,Governor of Minnesota,governor,Q132050
Q4151335,Governor of Kentucky,governor,Q132050
Q456951,Governor of Puerto Rico,governor,Q132050
Q3112719,Governor of Illinois,governor,Q132050
Q17089908,Governor of New Mexico,governor,Q132050
Q29514964,Governor of Colorado,governor,Q132050
Q29514606,Governor of Arizona,governor,Q132050
Q5589680,Governor of Michigan,governor,Q132050
Q5589655,Governor of Hawaii,governor,Q132050
Q693032,Governor of Maryland,governor,Q132050
Q3773745,Governor of Vermont,governor,Q132050
Q20765611,Governor of Rhode Island,governor,Q132050
Q16202700,Governor of North Carolina,governor,Q132050
Q5589724,Governor of Tennessee,governor,Q132050
Q3773741,Governor of North Dakota,governor,Q132050
Q3112728,Governor of New Jersey,governor,Q132050
Q1540336,Governor of Arkansas,governor,Q132050
Q880198,Governor of Georgia,governor,Q132050
Q16147601,Governor of Indiana,governor,Q132050
Q5589687,Governor of New Hampshire,governor,Q132050
Q3773752,Governor of South Carolina,governor,Q132050
Q4139089,Head of the Mari El Republic,governor,Q132050
Q878632,Governor of Mississippi,governor,Q132050
Q3506352,Governor of Maine,governor,Q132050
Q2626318,Governor of South Dakota,governor,Q132050
Q20801647,Governor of Wyoming,governor,Q132050
Q2550683,Governor of Oklahoma,governor,Q132050
Q20801651,Governor of Nevada,governor,Q132050
Q20198851,Governor of Florida,governor,Q132050
Q17989863,Governor of Ohio,governor,Q132050
Q20801659,Governor of Pennsylvania,governor,Q132050
Q20801664,Governor of Iowa,governor,Q132050
Q3112727,Governor of Wisconsin,governor,Q132050
Q20801652,Governor of West Virginia,governor,Q132050
Q20801646,Governor of Montana,governor,Q132050
Q20801644,Governor of Alaska,governor,Q132050
Q5589688,Governor of Nebraska,governor,Q132050
Q887090,Governor of Connecticut,governor,Q132050
Q20766109,Governor of Louisiana,governor,Q132050
Q29514674,Governor of Idaho,governor,Q132050
Q20801667,Governor of Missouri,governor,Q132050
Q111462354,Zasagtu khan,governor,Q132050
Q5589668,Governor of Kansas,governor,Q132050
Q887220,Governor of Utah,governor,Q132050
Q20801656,Governor of Delaware,governor,Q132050
Q19647220,Governor of Washington,governor,Q132050
Q29514575,Governor of Alabama,governor,Q132050
Q111462143,Tüsheet Khan,governor,Q132050
Q5589509,Governor-General of Baltic provinces,governor,Q132050
Q4139096,Head of Administration of the Volgograd Region,governor,Q132050
Q1372518,Governor of Western Australia,governor,Q132050
Q11061610,Youzhou Jiedushi,governor,Q132050
Q6666168,Jinghai Jiedushi,governor,Q132050
Q4151337,Governor of Leningrad Oblast,governor,Q132050
Q11074559,Chengde Jiedushi,governor,Q132050
Q10877821,Yiwu Prefecture,governor,Q132050
Q16246927,Francisco de la Guerra y de la Vega,governor,Q132050
Q27999397,Governor of Galway,governor,Q132050
