qid,label,class_label,class_qid
Q692489,Red Special,guitar,Q6607
Q608223,Gibson EDS-1275,guitar,Q6607
Q931566,Fender Musicmaster,guitar,Q6607
Q837079,Fender Bullet,guitar,Q6607
Q3437148,Fender Electric XII,guitar,Q6607
Q836705,Fender Toronado,guitar,Q6607
Q836155,Fender Showmaster,guitar,Q6607
Q940703,Fender Marauder,guitar,Q6607
Q3105394,Gibson Nighthawk,guitar,Q6607
Q3105377,Gibson L6-S,guitar,Q6607
Q3078419,Gibson J-45,guitar,Q6607
Q64166239,Guitarrón mexicano,guitar,Q6607
Q685458,Eric Clapton Stratocaster,guitar,Q6607
Q5559393,Gibson SG Junior,guitar,Q6607
Q41795428,Cort MBC-1 Matthew Bellamy Signature,guitar,Q6607
Q10855932,Gibson Les Paul Special,guitar,Q6607
Q5443263,Fender Prodigy,guitar,Q6607
Q4039424,Gibson Spirit,guitar,Q6607
Q3105378,Gibson S-1,guitar,Q6607
Q301561,Fender Performer,guitar,Q6607
Q7942357,Vox Phantom,guitar,Q6607
Q7331901,Rickenbacker 330,guitar,Q6607
Q7083478,Old Black,guitar,Q6607
Q65091136,Bunker Touch Guitar,guitar,Q6607
Q5559403,Gibson Sonex,guitar,Q6607
Q5559371,Gibson Les Paul Doublecut,guitar,Q6607
Q5559379,Gibson Les Paul bass,guitar,Q6607
Q20708750,Gibson L-1,guitar,Q6607
Q115632993,Gibson Barney Kessel,guitar,Q6607
Q999758,Fender Katana,guitar,Q6607
Q5559317,Gibson EB-2,guitar,Q6607
Q5559282,Gibson 335-S,guitar,Q6607
Q5443275,Fender TC 90,guitar,Q6607
Q5443241,Fender HM Strat,guitar,Q6607
Q5246319,Dean ML,guitar,Q6607
Q4038696,Fender Performer Bass,guitar,Q6607
Q4037105,Dean Razorback,guitar,Q6607
Q3776676,Gretsch 6128,guitar,Q6607
Q2651714,Fender Stringmaster,guitar,Q6607
Q248927,Yngwie Malmsteen Stratocaster,guitar,Q6607
Q99902121,Kent (guitar),guitar,Q6607
Q7331904,Rickenbacker 620,guitar,Q6607
Q7158482,Peavey EVH Wolfgang,guitar,Q6607
Q5607789,Gretsch Jupiter Thunderbird,guitar,Q6607
Q5607786,Gretsch G6131,guitar,Q6607
Q5607784,Gretsch BST 1000,guitar,Q6607
Q5559394,Gibson SG Special,guitar,Q6607
Q5559339,Gibson G3,guitar,Q6607
Q17091226,Guild S-100,guitar,Q6607
Q5559337,Gibson Futura,guitar,Q6607
Q5559333,Gibson Everly Brothers Flattop,guitar,Q6607
Q5246573,Dean Z,guitar,Q6607
Q5246519,Dean V,guitar,Q6607
Q5983657,Ibanez PGM,guitar,Q6607
Q5983636,Ibanez DMM1,guitar,Q6607
Q5559364,Gibson L-7C,guitar,Q6607
Q30632348,Fender 1000,guitar,Q6607
Q28232988,Squier Ryan Jarman Signature Guitar,guitar,Q6607
Q5324346,ESP Ron Wood,guitar,Q6607
Q775605,Fender Jaguar,guitar,Q6607
Q999759,Fender Esquire,guitar,Q6607
Q390953,Frankenstrat,guitar,Q6607
Q253240,Blackie,guitar,Q6607
Q837092,Fender Coronado,guitar,Q6607
Q1404617,Fender Telecaster Bass,guitar,Q6607
Q3445243,Fender Bass V,guitar,Q6607
Q2254332,Gretsch White Falcon,guitar,Q6607
Q3437141,Fender Telecaster Thinline,guitar,Q6607
Q3445251,Fender Telecaster Deluxe,guitar,Q6607
Q720614,Brownie,guitar,Q6607
Q3116545,Gretsch 6120,guitar,Q6607
Q10504794,Gibson ES-345,guitar,Q6607
Q804251,The Black Strat,guitar,Q6607
Q4039422,Gibson Ripper,guitar,Q6607
Q4356284,Ibanez Universe,guitar,Q6607
Q5559322,Gibson ES-125,guitar,Q6607
Q5559330,Gibson ES-339,guitar,Q6607
Q6963981,Nano guitar,guitar,Q6607
Q117061610,Amos,guitar,Q6607
Q16899451,Trigger,guitar,Q6607
Q4039411,Gibson ES-333,guitar,Q6607
Q5443248,Fender Jaguar Baritone Custom,guitar,Q6607
Q5443276,Fender Telecaster Plus,guitar,Q6607
Q5443282,Fender Urge Bass,guitar,Q6607
Q113040307,Greeny,guitar,Q6607
Q11345244,Yamaha BB,guitar,Q6607
Q8084979,Lucy,guitar,Q6607
Q1484076,The 0001 Strat,guitar,Q6607
Q3742425,Fender Tom DeLonge Stratocaster,guitar,Q6607
Q5215875,Danelectro Dano Pro,guitar,Q6607
Q5418535,Evo,guitar,Q6607
Q5559324,Gibson ES-250,guitar,Q6607
Q5559326,Gibson ES-325,guitar,Q6607
Q5559329,Gibson ES-5,guitar,Q6607
Q5559406,Gibson The Paul,guitar,Q6607
Q5983651,Ibanez K5,guitar,Q6607
Q6117072,Jackson DK2M,guitar,Q6607
Q24196477,Duo'Lectar,guitar,Q6607
Q7734699,The Fool,guitar,Q6607
Q7801363,Tiger,guitar,Q6607
Q7813468,Tokai Talbo Bass Guitar,guitar,Q6607
Q5983664,Ibanez RG 321,guitar,Q6607
Q7272357,Quint Neck Guitar,guitar,Q6607
Q136419074,Pedabro,guitar,Q6607
Q114044079,Kossoff Burst,guitar,Q6607
Q20714398,The Hitmaker,guitar,Q6607
Q25212679,Lucy,guitar,Q6607
