qid,label,class_label,class_qid
Q3433652,Malta national handball team,handball team,Q10517054
Q4992691,United Arab Emirates national handball team,handball team,Q10517054
Q3511766,Albania national handball team,handball team,Q10517054
Q7713361,Uzbekistan national handball team,handball team,Q10517054
Q7134681,Paraguay national handball team,handball team,Q10517054
Q721187,New Zealand national handball team,handball team,Q10517054
Q7919808,Venezuela national handball team,handball team,Q10517054
Q30646152,Azerbaijan national handball team,handball team,Q10517054
Q5147912,Colombia national handball team,handball team,Q10517054
Q4993097,Mexico National Handball Team,handball team,Q10517054
Q4754570,Andorra national handball team,handball team,Q10517054
Q15966185,Guatemala national handball team,handball team,Q10517054
Q45310872,Peru women's national handball team,handball team,Q10517054
Q1257436,Cook Islands national handball team,handball team,Q10517054
Q30646142,Armenia national handball team,handball team,Q10517054
Q19876705,Canada men's national handball team,handball team,Q10517054
Q4993101,Iraq men's national handball team,handball team,Q10517054
Q9307038,New Caledonia national handball team,handball team,Q10517054
Q7855174,Turkey women's national beach handball team,handball team,Q10517054
Q11834246,Bangladesh national handball team,handball team,Q10517054
Q30646160,Kosovo national handball team,handball team,Q10517054
Q4993100,Lebanon national handball team,handball team,Q10517054
Q254444,Oman national handball team,handball team,Q10517054
Q25056731,Nepal national handball team,handball team,Q10517054
Q16595832,India national handball team,handball team,Q10517054
Q48836347,Tunisia national beach handball team,handball team,Q10517054
Q30646159,Moldova national handball team,handball team,Q10517054
Q107348174,Cape Verde women's national handball team,handball team,Q10517054
Q889414,Afghanistan national handball team,handball team,Q10517054
Q7125794,Pakistan national handball team,handball team,Q10517054
Q30591696,Singapore national handball team,handball team,Q10517054
Q28447925,Tajikistan national handball team,handball team,Q10517054
Q25100819,Vanuatu national handball team,handball team,Q10517054
Q56275290,France women's national beach handball team,handball team,Q10517054
Q27963765,American Samoa national handball team,handball team,Q10517054
Q24236357,Kenya national handball team,handball team,Q10517054
Q24189818,New Zealand national youth handball team,handball team,Q10517054
Q24090074,Australia national youth handball team,handball team,Q10517054
Q23641723,Cook Islands national youth handball team,handball team,Q10517054
Q68853542,Netherlands women's national beach handball team,handball team,Q10517054
Q48791871,South Africa national handball team,handball team,Q10517054
Q122212190,Croatia women's national youth handball team,handball team,Q10517054
Q25344746,Luxemburg national handball team,handball team,Q10517054
Q17118407,Congo DR national handball team,handball team,Q10517054
Q15786,1. FC Nürnberg,handball team,Q10517054
Q154053,Eintracht Braunschweig,handball team,Q10517054
Q457107,France men's national handball team,handball team,Q10517054
Q639266,Croatia men's national handball team,handball team,Q10517054
Q728491,Denmark men's national handball team,handball team,Q10517054
Q721858,Spain men's national handball team,handball team,Q10517054
Q185686,Sweden men's national handball team,handball team,Q10517054
Q831911,Norway women's national handball team,handball team,Q10517054
Q741538,Iceland men's national handball team,handball team,Q10517054
Q161047,Germany men's national handball team,handball team,Q10517054
Q752288,Serbia men's national handball team,handball team,Q10517054
Q378906,FC Barcelona Handbol,handball team,Q10517054
Q852003,Norway men's national handball team,handball team,Q10517054
Q754740,Poland men's national handball team,handball team,Q10517054
Q833101,Slovenia men's national handball team,handball team,Q10517054
Q546212,Hungary men's national handball team,handball team,Q10517054
Q165127,THW Kiel,handball team,Q10517054
Q1423587,Tunisia men's national handball team,handball team,Q10517054
Q661049,Denmark women's national handball team,handball team,Q10517054
Q304024,Austria men's national handball team,handball team,Q10517054
Q581605,Russia men's national handball team,handball team,Q10517054
Q1003357,France women's national handball team,handball team,Q10517054
Q812713,Al Wehda FC,handball team,Q10517054
Q523675,Romania men's national handball team,handball team,Q10517054
Q620344,Montenegro women's national handball team,handball team,Q10517054
Q646023,Argentina men's national handball team,handball team,Q10517054
Q763098,Romania women's national handball team,handball team,Q10517054
Q785485,Russia women's national handball team,handball team,Q10517054
Q253869,Egypt men's national handball team,handball team,Q10517054
Q521856,Hungary women's national handball team,handball team,Q10517054
Q905573,North Macedonia men's national handball team,handball team,Q10517054
Q846226,Slovakia men's national handball team,handball team,Q10517054
Q570556,RK Zagreb,handball team,Q10517054
Q901613,Montpellier Handball,handball team,Q10517054
Q629728,Brazil men's national handball team,handball team,Q10517054
Q923617,Algeria men's national handball team,handball team,Q10517054
Q695678,SG Flensburg-Handewitt,handball team,Q10517054
Q1059935,South Korea men's national handball team,handball team,Q10517054
Q220636,Czech Republic men's national handball team,handball team,Q10517054
Q2530158,Serbia women's national handball team,handball team,Q10517054
Q288686,Japan men's national handball team,handball team,Q10517054
Q485612,South Korea women's national handball team,handball team,Q10517054
Q707420,Germany women's national handball team,handball team,Q10517054
Q928372,Sweden women's national handball team,handball team,Q10517054
Q764859,Qatar men's national handball team,handball team,Q10517054
Q1480459,Füchse Berlin,handball team,Q10517054
Q904742,Belarus men's national handball team,handball team,Q10517054
Q922801,Montenegro men's national handball team,handball team,Q10517054
Q939834,Spain women's national handball team,handball team,Q10517054
Q986535,Ukraine women's national handball team,handball team,Q10517054
Q1546637,Poland women's national handball team,handball team,Q10517054
Q478410,Switzerland national handball team,handball team,Q10517054
Q1571139,Netherlands women's national handball team,handball team,Q10517054
Q620341,Croatia women's national handball team,handball team,Q10517054
Q615848,HSV Hamburg,handball team,Q10517054
Q643692,Veszprém KC,handball team,Q10517054
Q914795,RK Vardar,handball team,Q10517054
Q679685,VfL Gummersbach,handball team,Q10517054
Q693132,Brazil women's national handball team,handball team,Q10517054
Q301997,Austria women's national handball team,handball team,Q10517054
Q707826,Rhein-Neckar Löwen,handball team,Q10517054
Q926354,Paris Saint-Germain Handball,handball team,Q10517054
Q721443,Australia national handball team,handball team,Q10517054
Q286001,RK Celje,handball team,Q10517054
Q542083,Angola women's national handball team,handball team,Q10517054
Q1719043,PGE VIVE Kielce,handball team,Q10517054
Q1863034,Saudi Arabia men's national handball team,handball team,Q10517054
Q718170,Czech Republic women's national handball team,handball team,Q10517054
Q925708,Ukraine men's national handball team,handball team,Q10517054
Q718199,North Macedonia women's national handball team,handball team,Q10517054
Q732382,Greece men's national handball team,handball team,Q10517054
Q1072855,Chile men's national handball team,handball team,Q10517054
Q2094846,Slovenia women's national handball team,handball team,Q10517054
Q3432689,Bosnia and Herzegovina men's national handball team,handball team,Q10517054
Q238802,SDC San Antonio,handball team,Q10517054
Q786147,Portugal men's national handball team,handball team,Q10517054
Q787436,BM Ciudad Real,handball team,Q10517054
Q1957301,Bahrain men's national handball team,handball team,Q10517054
Q707839,TBV Lemgo,handball team,Q10517054
Q1144338,Netherlands men's national handball team,handball team,Q10517054
Q1443135,Iceland women's national handball team,handball team,Q10517054
Q355708,CB Ademar León,handball team,Q10517054
Q1539887,Greenland national handball team,handball team,Q10517054
Q3045342,Japan women's national handball team,handball team,Q10517054
Q679526,HSG Wetzlar,handball team,Q10517054
Q939580,HBC Nantes,handball team,Q10517054
Q3780227,Győri Audi ETO KC,handball team,Q10517054
Q1068227,Italy national handball team,handball team,Q10517054
Q1073893,China women's national handball team,handball team,Q10517054
Q1094444,RK Borac Banja Luka,handball team,Q10517054
Q1680323,Cuba national handball team,handball team,Q10517054
Q1074299,SC Pick Szeged,handball team,Q10517054
Q2094343,Tunisia women's national handball team,handball team,Q10517054
Q745027,RK Gorenje,handball team,Q10517054
Q787447,BM Valladolid,handball team,Q10517054
Q1417987,Finland national handball team,handball team,Q10517054
Q796816,BM Granollers,handball team,Q10517054
Q3436022,Faroe Islands national handball team,handball team,Q10517054
Q2734021,China men's national handball team,handball team,Q10517054
Q1520830,SKA Minsk,handball team,Q10517054
Q1535530,Chekhovskiye Medvedi,handball team,Q10517054
Q3495847,Iran national handball team,handball team,Q10517054
Q3139255,Soviet Union women's national handball team,handball team,Q10517054
Q3180466,Belarus women's national handball team,handball team,Q10517054
Q718188,Slovakia women's national handball team,handball team,Q10517054
Q2038487,CSA Steaua București,handball team,Q10517054
Q1022904,Club Atlético Atlanta,handball team,Q10517054
Q4096348,HC Meshkov Brest,handball team,Q10517054
Q1187764,ŽRK Budućnost,handball team,Q10517054
Q10865306,SC Magdeburg,handball team,Q10517054
Q2385055,Rostov-Don,handball team,Q10517054
Q1406272,RK Metalurg Skopje,handball team,Q10517054
Q3433831,Latvia men's national handball team,handball team,Q10517054
Q221421,Lithuania men's national handball team,handball team,Q10517054
Q3503408,Argentina women's national handball team,handball team,Q10517054
Q472805,TSV Hannover-Burgdorf,handball team,Q10517054
Q1638948,Kuwait national handball team,handball team,Q10517054
Q542138,Angola men's national handball team,handball team,Q10517054
Q559267,East Germany women's national handball team,handball team,Q10517054
Q1725918,United States national handball team,handball team,Q10517054
Q656923,MT Melsungen,handball team,Q10517054
Q708510,Frisch Auf Göppingen,handball team,Q10517054
Q2002529,Soviet Union men's national handball team,handball team,Q10517054
Q1083791,Israel men's national handball team,handball team,Q10517054
Q2117302,RK Krim,handball team,Q10517054
Q84433186,Cape Verde men's national handball team,handball team,Q10517054
Q1424277,Yugoslavia national handball team,handball team,Q10517054
Q3499585,Greece women's national handball team,handball team,Q10517054
Q606251,Belgium national handball team,handball team,Q10517054
Q640478,East Germany men's national handball team,handball team,Q10517054
Q3590750,Paraguay women's national handball team,handball team,Q10517054
Q1851188,Morocco men's national handball team,handball team,Q10517054
Q3180456,Portugal women's national handball team,handball team,Q10517054
Q942380,Kazakhstan women's national handball team,handball team,Q10517054
Q1023007,CB Ciudad de Logroño,handball team,Q10517054
Q2096129,Aalborg Håndbold,handball team,Q10517054
Q1091201,Italy women's national handball team,handball team,Q10517054
Q757447,Atlético Madrid BM,handball team,Q10517054
Q3434201,Bulgaria men's national handball team,handball team,Q10517054
Q2732119,Czechoslovakia national handball team,handball team,Q10517054
Q3545246,Turkey women's national handball team,handball team,Q10517054
Q856918,CD Bidasoa,handball team,Q10517054
Q3590343,DR Congo women's national handball team,handball team,Q10517054
Q3040423,Sporting CP (Handball),handball team,Q10517054
Q3042256,Wisła Płock,handball team,Q10517054
Q3087264,Uruguay women's national handball team,handball team,Q10517054
Q918298,Great Britain national handball team,handball team,Q10517054
Q3108227,Czechoslovakia women's national handball team,handball team,Q10517054
Q1851841,RK Metaloplastika,handball team,Q10517054
Q3179718,Australia women's national handball team,handball team,Q10517054
Q695786,Hypo Niederösterreich,handball team,Q10517054
Q704348,HSG Nordhorn-Lingen,handball team,Q10517054
Q2034432,RK Bjelovar,handball team,Q10517054
Q1091244,Switzerland women's national handball team,handball team,Q10517054
Q7375775,Uzbekistan women's national handball team,handball team,Q10517054
Q2334986,Greenland women's national handball team,handball team,Q10517054
Q3545049,Lithuania women's national handball team,handball team,Q10517054
Q3590620,Cameroon women's national handball team,handball team,Q10517054
Q3590787,Senegal women's national handball team,handball team,Q10517054
Q3100740,Metz Handball,handball team,Q10517054
Q1838805,Team Esbjerg,handball team,Q10517054
Q3178606,Yugoslavia women's national handball team,handball team,Q10517054
Q941942,Georgia men's national handball team,handball team,Q10517054
Q701535,TUSEM Essen,handball team,Q10517054
Q1023005,CB Cantabria,handball team,Q10517054
Q4304859,HC Motor Zaporizhzhia,handball team,Q10517054
Q1264669,HC Dukla Praha,handball team,Q10517054
Q1266000,Dunkerque HBGL,handball team,Q10517054
Q2684044,Faroe Islands women's national handball team,handball team,Q10517054
Q3435206,Turkey men's national handball team,handball team,Q10517054
Q2742997,Saint-Raphaël Var Handball,handball team,Q10517054
Q371236,RK Podravka Koprivnica,handball team,Q10517054
Q1566102,HT Tatran Prešov,handball team,Q10517054
Q1636932,Viborg HK,handball team,Q10517054
Q3590652,Congo women's national handball team,handball team,Q10517054
Q3084280,Uruguay national handball team,handball team,Q10517054
Q1785565,HC Spartak Kyiv,handball team,Q10517054
Q918196,Great Britain women's national handball team,handball team,Q10517054
Q3755111,FC Porto (handball),handball team,Q10517054
Q3124774,WHC Gjorche Petrov,handball team,Q10517054
Q3133245,Cuba women's national handball team,handball team,Q10517054
Q689217,Kadetten Schaffhausen,handball team,Q10517054
Q943050,HK Drott,handball team,Q10517054
Q3319691,CB Cangas,handball team,Q10517054
Q938762,CS Oltchim Râmnicu Vâlcea,handball team,Q10517054
Q949115,KIF Kolding,handball team,Q10517054
Q4993321,Odense Håndbold,handball team,Q10517054
Q4993183,United States women's national handball team,handball team,Q10517054
Q12009931,Vipers Kristiansand,handball team,Q10517054
Q12313389,Q12313389,handball team,Q10517054
Q1387375,Ikast Håndbold,handball team,Q10517054
Q796806,BM Aragón,handball team,Q10517054
Q796814,BM Ciudad Encantada,handball team,Q10517054
Q3434242,Cyprus national handball team,handball team,Q10517054
Q3435168,Estonia national handball team,handball team,Q10517054
Q3434181,Luxembourg men's national handball team,handball team,Q10517054
Q292734,AG København,handball team,Q10517054
Q2756796,CS Dinamo Bucureşti,handball team,Q10517054
Q1562865,H.C.M. Constanța,handball team,Q10517054
Q1562925,WHC Lada Togliatti,handball team,Q10517054
Q1653110,Slagelse FH,handball team,Q10517054
Q3038402,Chile women's national handball team,handball team,Q10517054
Q1772064,BM Neptuno,handball team,Q10517054
Q1787336,SD Octavio Vigo,handball team,Q10517054
Q1801856,Redbergslids IK,handball team,Q10517054
Q3131150,Algeria women's national handball team,handball team,Q10517054
Q655492,HC Minaur Baia Mare,handball team,Q10517054
Q665302,HBW Balingen-Weilstetten,handball team,Q10517054
Q680599,TuS Nettelstedt-Lübbecke,handball team,Q10517054
Q681369,GWD Minden,handball team,Q10517054
Q943841,Zvezda Zvenigorod,handball team,Q10517054
Q3182280,Côte d'Ivoire women's national handball team,handball team,Q10517054
Q986956,Chambéry Savoie Mont Blanc Handball,handball team,Q10517054
Q2061925,RK Crvena zvezda,handball team,Q10517054
Q727778,HC Dinamo-Minsk,handball team,Q10517054
Q1091218,Bulgaria women's national handball team,handball team,Q10517054
Q4992143,DR Congo men's national handball team,handball team,Q10517054
Q5014175,CSM București,handball team,Q10517054
Q5290815,Dominican Republic women's national handball team,handball team,Q10517054
Q6067119,Iran women's national handball team,handball team,Q10517054
Q7258829,Puerto Rico women's national handball team,handball team,Q10517054
Q8083586,ŽRK Vardar,handball team,Q10517054
Q15059508,BM Sagunto,handball team,Q10517054
Q65073354,HBC CSKA Moscow,handball team,Q10517054
Q2124328,RK Partizan,handball team,Q10517054
Q186540,Bjerringbro-Silkeborg,handball team,Q10517054
Q2298568,US Ivry Handball,handball team,Q10517054
Q1335144,RK Cimos Koper,handball team,Q10517054
Q2604221,ZTR,handball team,Q10517054
Q2669925,Dinamo Volgograd,handball team,Q10517054
Q824329,RK Nexe Našice,handball team,Q10517054
Q3449286,RK Lokomotiva Zagreb,handball team,Q10517054
Q374842,BM Huesca,handball team,Q10517054
Q3112803,CS Rapid București,handball team,Q10517054
Q647670,Belgium women's national handball team,handball team,Q10517054
Q3241180,Limoges Handball,handball team,Q10517054
Q2034415,RK Metković,handball team,Q10517054
Q1068236,RK Bosna Sarajevo,handball team,Q10517054
Q4130366,IK Sävehof,handball team,Q10517054
Q4992720,Canada women's national handball team,handball team,Q10517054
Q3433872,BM Alcobendas,handball team,Q10517054
Q796811,CB Puerto Sagunto,handball team,Q10517054
Q1445382,SD Teucro,handball team,Q10517054
Q290829,AD Ciudad de Guadalajara,handball team,Q10517054
Q320395,Thüringer HC,handball team,Q10517054
Q3498577,SD Itxako,handball team,Q10517054
Q3504572,CBF Elda,handball team,Q10517054
Q1557170,Canada national handball team,handball team,Q10517054
Q567837,RK Lovćen,handball team,Q10517054
Q1725148,SC DHfK Leipzig Handball,handball team,Q10517054
Q894278,Borussia Dortmund Handball,handball team,Q10517054
Q1749669,TTH Holstebro,handball team,Q10517054
Q1807112,Skjern Håndbold,handball team,Q10517054
Q3639284,Beşiktaş JK (handball),handball team,Q10517054
Q3752724,Fredericia HK,handball team,Q10517054
Q3126705,Brest Bretagne Handball,handball team,Q10517054
Q3134754,Nigeria men's national handball team,handball team,Q10517054
Q3155730,Paris 92,handball team,Q10517054
Q3321828,CB Alicante,handball team,Q10517054
Q956245,CB Torrevieja,handball team,Q10517054
Q4071690,HC Astrakhanochka,handball team,Q10517054
Q11672718,RK Vojvodina,handball team,Q10517054
Q1386790,FCK Håndbold,handball team,Q10517054
Q284133,Nigeria women's national handball team,handball team,Q10517054
Q2538579,Wacker Thun,handball team,Q10517054
Q1565868,RK Izviđač,handball team,Q10517054
Q3545046,Azerbaijan women's national handball team,handball team,Q10517054
Q3545051,Finland women's national handball team,handball team,Q10517054
Q575908,RK Pelister Bitola,handball team,Q10517054
Q877223,Bregenz Handball,handball team,Q10517054
Q3589885,Egypt women's national handball team,handball team,Q10517054
Q3590361,Serbia and Montenegro men's national handball team,handball team,Q10517054
Q3590427,Thailand women's national handball team,handball team,Q10517054
Q2895804,S.L. Benfica (handball),handball team,Q10517054
