qid,label,class_label,class_qid
Q12554,Middle Ages,historical period,Q11514315
Q7209,Han dynasty,historical period,Q11514315
Q9683,Tang dynasty,historical period,Q11514315
Q133641,Age of Discovery,historical period,Q11514315
Q7462,Song dynasty,historical period,Q11514315
Q128938,Shang dynasty,historical period,Q11514315
Q35216,Zhou dynasty,historical period,Q11514315
Q169705,Xia dynasty,historical period,Q11514315
Q7352,Jin dynasty,historical period,Q11514315
Q3125096,Meiji era,historical period,Q11514315
Q242115,Five Dynasties and Ten Kingdoms Period,historical period,Q11514315
Q5066,Jin dynasty,historical period,Q11514315
Q203859,First Dynasty of Egypt,historical period,Q11514315
Q4958,Liao dynasty,historical period,Q11514315
Q146055,Eighteenth Dynasty of Egypt,historical period,Q11514315
Q504769,Xin dynasty,historical period,Q11514315
Q193541,French New Wave,historical period,Q11514315
Q207778,Second Dynasty of Egypt,historical period,Q11514315
Q269237,Fifth Dynasty of Egypt,historical period,Q11514315
Q220276,Third Dynasty of Egypt,historical period,Q11514315
Q157956,Nineteenth Dynasty of Egypt,historical period,Q11514315
Q211001,Fourth Dynasty of Egypt,historical period,Q11514315
Q269979,Sixth Dynasty of Egypt,historical period,Q11514315
Q583501,Twentieth Dynasty of Egypt,historical period,Q11514315
Q719639,Twelfth Dynasty of Egypt,historical period,Q11514315
Q748151,Twenty-first Dynasty of Egypt,historical period,Q11514315
Q167776,Italian neorealism,historical period,Q11514315
Q737629,Twenty-second Dynasty of Egypt,historical period,Q11514315
Q728479,Fifteenth Dynasty of Egypt,historical period,Q11514315
Q721801,Seventh Dynasty of Egypt,historical period,Q11514315
Q719634,Eleventh Dynasty of Egypt,historical period,Q11514315
Q662410,Twenty-sixth Dynasty of Egypt,historical period,Q11514315
Q737648,Twenty-fifth Dynasty of Egypt,historical period,Q11514315
Q642301,Seventeenth Dynasty of Egypt,historical period,Q11514315
Q429981,Tenth Dynasty of Egypt,historical period,Q11514315
Q748170,Twenty-third Dynasty of Egypt,historical period,Q11514315
Q728449,Ninth Dynasty of Egypt,historical period,Q11514315
Q721807,Thirteenth Dynasty of Egypt,historical period,Q11514315
Q386303,Thirtieth Dynasty of Egypt,historical period,Q11514315
Q737695,Sixteenth Dynasty of Egypt,historical period,Q11514315
Q1069609,Western Zhou,historical period,Q11514315
Q650945,Fourteenth Dynasty of Egypt,historical period,Q11514315
Q211481,Dogme 95,historical period,Q11514315
Q754749,Twenty-fourth Dynasty of Egypt,historical period,Q11514315
Q511257,Twenty-ninth Dynasty of Egypt,historical period,Q11514315
Q926624,Twenty-seventh Dynasty of Egypt,historical period,Q11514315
Q49697,Liu Song dynasty,historical period,Q11514315
Q21065894,Nollywood,historical period,Q11514315
Q62456,Southern Qi,historical period,Q11514315
Q833118,Twenty-eighth Dynasty of Egypt,historical period,Q11514315
Q1400616,Eighth Dynasty of Egypt,historical period,Q11514315
Q1069868,Liang dynasty,historical period,Q11514315
Q1143126,Later Tang,historical period,Q11514315
Q783489,Later Liang dynasty,historical period,Q11514315
Q307066,Eastern Zhou,historical period,Q11514315
Q978071,Thirty-first Dynasty of Egypt,historical period,Q11514315
Q8959,Northern Yuan dynasty,historical period,Q11514315
Q1154556,Later Zhou dynasty,historical period,Q11514315
Q1143164,Western Wei,historical period,Q11514315
Q62454,Chen dynasty,historical period,Q11514315
Q160476,German Expressionism,historical period,Q11514315
Q1069829,Later Han dynasty,historical period,Q11514315
Q865081,Mfecane,historical period,Q11514315
Q1154540,Later Jin dynasty,historical period,Q11514315
Q377616,New Hollywood,historical period,Q11514315
Q2166646,Classical Hollywood cinema,historical period,Q11514315
Q7234117,Postclassical Era,historical period,Q11514315
Q2519948,aftermath of World War I,historical period,Q11514315
Q1349904,aftermath of World War II,historical period,Q11514315
Q1198163,Southern Ming dynasty,historical period,Q11514315
Q1484140,Protodynastic Period of Egypt,historical period,Q11514315
Q2370784,Shun dynasty,historical period,Q11514315
Q1474763,Poetic realism,historical period,Q11514315
Q2356541,Czechoslovak New Wave,historical period,Q11514315
Q643782,New German Cinema,historical period,Q11514315
Q1072949,Western Han,historical period,Q11514315
Q835435,Zhou dynasty (690–705),historical period,Q11514315
Q719868,Polish Film School,historical period,Q11514315
Q306928,Eastern Jin dynasty,historical period,Q11514315
Q1092442,Cinema Novo,historical period,Q11514315
Q2724311,new queer cinema,historical period,Q11514315
Q17152871,post–Cold War era,historical period,Q11514315
Q2000178,Telefoni Bianchi,historical period,Q11514315
Q727553,French Impressionist Cinema,historical period,Q11514315
Q1352102,Free Cinema,historical period,Q11514315
Q5121159,cinéma du look,historical period,Q11514315
Q7134948,Parallel Cinema,historical period,Q11514315
Q319460,Northern Song dynasty,historical period,Q11514315
Q849770,Western Liang dynasty,historical period,Q11514315
Q3175210,Japanese New Wave,historical period,Q11514315
Q2330738,Yugoslav Black Wave,historical period,Q11514315
Q5185064,House of Zhu,historical period,Q11514315
Q17993147,Reign of Cleopatra VII,historical period,Q11514315
Q1259293,Third Cinema,historical period,Q11514315
Q4220880,cinema of moral anxiety,historical period,Q11514315
Q668309,British New Wave,historical period,Q11514315
Q61117528,Ukrainian poetic cinema,historical period,Q11514315
Q2638796,reign of Isabella II of Spain,historical period,Q11514315
Q7362564,Romanian New Wave,historical period,Q11514315
Q1147043,Southern Song dynasty,historical period,Q11514315
Q859488,Second Party System,historical period,Q11514315
Q3178754,Iranian New Wave,historical period,Q11514315
Q105605371,Shi'a Century,historical period,Q11514315
Q2649012,ARA Nueve de Julio,historical period,Q11514315
Q2395755,El Dorado,historical period,Q11514315
Q5453498,First Party System,historical period,Q11514315
Q837786,Jian'an,historical period,Q11514315
Q8565151,Fourth Party System,historical period,Q11514315
Q11722724,mid-20th century baby boom,historical period,Q11514315
Q5367193,High Qing era,historical period,Q11514315
Q319941,Berlin School,historical period,Q11514315
Q27865329,first 100 days of Donald Trump's presidency,historical period,Q11514315
Q2742446,Cinéma pur,historical period,Q11514315
Q4824505,Australian New Wave,historical period,Q11514315
Q2251066,Brighton School,historical period,Q11514315
Q1606571,Italian Futurism in cinema,historical period,Q11514315
Q7784926,Third Party System,historical period,Q11514315
Q17004690,Hollywood on the Tiber,historical period,Q11514315
Q3338945,New Extremity,historical period,Q11514315
Q5447546,Fifth Party System,historical period,Q11514315
Q16534755,Calligrafismo,historical period,Q11514315
Q16931723,Sixth Party System,historical period,Q11514315
Q837388,Hong Kong New Wave,historical period,Q11514315
Q107418888,Pan-India films,historical period,Q11514315
Q4344910,Soviet Parallel Cinema,historical period,Q11514315
Q7871377,USS Luiseno,historical period,Q11514315
Q5791139,final crisis of the reign of Isabella II,historical period,Q11514315
Q1092461,Cinema of Transgression,historical period,Q11514315
Q11411984,Taiwanese New Wave,historical period,Q11514315
Q17628467,reign of Alfonso XIII of Spain,historical period,Q11514315
Q131673464,Golden Age of Argentine cinema,historical period,Q11514315
Q4870442,Battle of Beijing,historical period,Q11514315
Q4653543,ARA Alférez Sobral,historical period,Q11514315
Q3577778,Barcelona School of Film,historical period,Q11514315
Q3393199,No Wave Cinema,historical period,Q11514315
Q6456231,L.A. Rebellion,historical period,Q11514315
Q15055145,New Objectivity,historical period,Q11514315
Q24038083,New Nigerian Cinema,historical period,Q11514315
Q65053318,Sunni Revival,historical period,Q11514315
Q106901187,reign of Alfonso XII of Spain,historical period,Q11514315
Q9051125,New American Cinema,historical period,Q11514315
Q4690759,aftermath of the Korean War,historical period,Q11514315
Q4323900,Nuevo Cine Mexicano,historical period,Q11514315
Q3404034,Reign of Juan Carlos I of Spain,historical period,Q11514315
Q7635437,Suiko period,historical period,Q11514315
Q7316486,Resurgence of Guangwu,historical period,Q11514315
Q5775108,history of Australia (1945-present),historical period,Q11514315
Q16252362,Malayalam new generation,historical period,Q11514315
Q5287661,Documentary Film Movement,historical period,Q11514315
Q56218686,First 100 days of Imran Khan's prime ministership,historical period,Q11514315
Q28796810,aftermath of the Gulf War,historical period,Q11514315
Q24944915,Prague film school,historical period,Q11514315
Q17152838,vulgar auteurism,historical period,Q11514315
Q111955694,aftermath of the Afghanistan War (2001–2021),historical period,Q11514315
Q4690765,aftermath of the Winter War,historical period,Q11514315
Q3577286,Tenji period,historical period,Q11514315
Q3577284,Saimei period,historical period,Q11514315
Q3577281,Kōbun,historical period,Q11514315
Q5452244,First 100 days of Barack Obama's presidency,historical period,Q11514315
Q6897336,Monmu period,historical period,Q11514315
Q6203354,Jitō period,historical period,Q11514315
Q5612192,Grupo Cine Liberación,historical period,Q11514315
Q5373963,Reign of Marcus Aurelius,historical period,Q11514315
Q30591356,Philippine New Wave,historical period,Q11514315
Q30103940,Toronto New Wave,historical period,Q11514315
Q25327074,Russian Futurist cinema,historical period,Q11514315
Q138008589,Reign of Augustus,historical period,Q11514315
