qid,label,class_label,class_qid
Q683964,Armenia men's national ice hockey team,hockey team,Q4498974
Q374180,Hong Kong men's national ice hockey team,hockey team,Q4498974
Q1439831,Israel men's national ice hockey team,hockey team,Q4498974
Q2005438,Thailand men's national ice hockey team,hockey team,Q4498974
Q1848605,Mexico men's national ice hockey team,hockey team,Q4498974
Q1317478,United Arab Emirates men's national ice hockey team,hockey team,Q4498974
Q1317379,South Africa men's national ice hockey team,hockey team,Q4498974
Q665415,Turkey men's national ice hockey team,hockey team,Q4498974
Q1794772,Kuwait men's national ice hockey team,hockey team,Q4498974
Q1383045,Mongolia men's national ice hockey team,hockey team,Q4498974
Q2272147,Serbia and Montenegro men's national ice hockey team,hockey team,Q4498974
Q1700054,Malaysia men's national ice hockey team,hockey team,Q4498974
Q1169446,Kyrgyzstan men's national ice hockey team,hockey team,Q4498974
Q2031342,Algeria men's national ice hockey team,hockey team,Q4498974
Q1262530,Singapore men's national ice hockey team,hockey team,Q4498974
Q26714930,Iran men's national ice hockey team,hockey team,Q4498974
Q2502391,Uzbekistan men's national ice hockey team,hockey team,Q4498974
Q1882550,Macau men's national ice hockey team,hockey team,Q4498974
Q1030849,Morocco men's national ice hockey team,hockey team,Q4498974
Q2669932,Russia men's national junior ice hockey team,hockey team,Q4498974
Q497344,South Korea women's national ice hockey team,hockey team,Q4498974
Q2699164,Czech Republic men's national junior ice hockey team,hockey team,Q4498974
Q3498276,Latvia men's national junior ice hockey team,hockey team,Q4498974
Q3359659,Norway men's national junior ice hockey team,hockey team,Q4498974
Q1434258,Scotland national ice hockey team,hockey team,Q4498974
Q1418038,Finland men's national junior ice hockey team,hockey team,Q4498974
Q815505,Belgium women's national ice hockey team,hockey team,Q4498974
Q675341,Switzerland men's national junior ice hockey team,hockey team,Q4498974
Q28219558,Indonesia men's national ice hockey team,hockey team,Q4498974
Q24887142,Chinese Taipei women's national ice hockey team,hockey team,Q4498974
Q3498322,Denmark men's national junior ice hockey team,hockey team,Q4498974
Q2777975,Sweden men's national junior ice hockey team,hockey team,Q4498974
Q2687105,Canada men's national junior ice hockey team,hockey team,Q4498974
Q2654269,United States men's national junior ice hockey team,hockey team,Q4498974
Q2159845,Kazakhstan men's national junior ice hockey team,hockey team,Q4498974
Q1862531,Slovakia men's national junior ice hockey team,hockey team,Q4498974
Q1412524,India men's national ice hockey team,hockey team,Q4498974
Q1399949,Andorra men's national ice hockey team,hockey team,Q4498974
Q803644,Bahrain men's national ice hockey team,hockey team,Q4498974
Q1136484,Oman men's national ice hockey team,hockey team,Q4498974
Q648079,Füchse Duisburg,hockey team,Q4498974
Q328155,Germany men's national junior ice hockey team,hockey team,Q4498974
Q188334,Saudi Arabia men's national ice hockey team,hockey team,Q4498974
Q3501225,Soviet Union national junior ice hockey team,hockey team,Q4498974
Q1581142,Turkey women's national ice hockey team,hockey team,Q4498974
Q1575469,Spain women's national ice hockey team,hockey team,Q4498974
Q1534242,Catalonia national ice hockey team,hockey team,Q4498974
Q5201778,Czech Republic men's national under-18 ice hockey team,hockey team,Q4498974
Q1342556,England men's national ice hockey team,hockey team,Q4498974
Q47491897,Korea women's national ice hockey team,hockey team,Q4498974
Q810373,Basque Country national ice hockey team,hockey team,Q4498974
Q5100655,Chinese Taipei men's national junior ice hockey team,hockey team,Q4498974
Q3873516,Switzerland men's national under-18 ice hockey team,hockey team,Q4498974
Q3498293,Belarus men's national junior ice hockey team,hockey team,Q4498974
Q3495924,Ukraine men's national junior ice hockey team,hockey team,Q4498974
Q3495825,Austria men's national junior ice hockey team,hockey team,Q4498974
Q3487346,Poland men's national junior ice hockey team,hockey team,Q4498974
Q1789617,Croatia women's national ice hockey team,hockey team,Q4498974
Q6380815,Kazakhstan men's national under-18 ice hockey team,hockey team,Q4498974
Q6127394,Jamaica men's national ice hockey team,hockey team,Q4498974
Q5552161,Germany men's national under-18 ice hockey team,hockey team,Q4498974
Q973589,North Korea women's national ice hockey team,hockey team,Q4498974
Q5029519,Canada men's national under-18 ice hockey team,hockey team,Q4498974
Q3501278,Czechoslovakia men's national junior ice hockey team,hockey team,Q4498974
Q7654494,Sweden men's national under-18 ice hockey team,hockey team,Q4498974
Q7541636,Slovakia men's national under-18 ice hockey team,hockey team,Q4498974
Q1672789,Ireland women's national ice hockey team,hockey team,Q4498974
Q7060944,Norway men's national under-18 ice hockey team,hockey team,Q4498974
Q5478436,France men's national junior ice hockey team,hockey team,Q4498974
Q5100658,Chinese Taipei men's national under-18 ice hockey team,hockey team,Q4498974
Q5598874,Great Britain men's national junior ice hockey team,hockey team,Q4498974
Q821287,Protectorate of Bohemia and Moravia men's national ice hockey team,hockey team,Q4498974
Q1161773,South Africa women's national ice hockey team,hockey team,Q4498974
Q1161766,New Zealand women's national ice hockey team,hockey team,Q4498974
Q4793142,Armenia men's national junior ice hockey team,hockey team,Q4498974
Q16294813,Ukraine men's national under-18 ice hockey team,hockey team,Q4498974
Q15899023,Thailand women's national ice hockey team,hockey team,Q4498974
Q15310558,Serbia and Montenegro men's national junior ice hockey team,hockey team,Q4498974
Q2493421,Hungary men's national junior ice hockey team,hockey team,Q4498974
Q7855158,Turkey men's national junior ice hockey team,hockey team,Q4498974
Q7541773,Slovenia men's national junior ice hockey team,hockey team,Q4498974
Q7452801,Serbia men's national junior ice hockey team,hockey team,Q4498974
Q7381983,Russia women's national under-18 ice hockey team,hockey team,Q4498974
Q7381972,Russia men's national under-18 ice hockey team,hockey team,Q4498974
Q6899623,Mongolia men's national under-18 ice hockey team,hockey team,Q4498974
Q6497285,Latvia men's national under-18 ice hockey team,hockey team,Q4498974
Q5450493,Finland women's national under-18 ice hockey team,hockey team,Q4498974
Q5450484,Finland men's national under-18 ice hockey team,hockey team,Q4498974
Q5401492,Estonia men's national junior ice hockey team,hockey team,Q4498974
Q5257991,Denmark men's national under-18 ice hockey team,hockey team,Q4498974
Q5187067,Croatia men's national junior ice hockey team,hockey team,Q4498974
Q1317490,Hong Kong women's national ice hockey team,hockey team,Q4498974
Q6380829,Kazakhstan women's national under-18 ice hockey team,hockey team,Q4498974
Q6157999,Japan men's national junior ice hockey team,hockey team,Q4498974
Q6087409,Israel men's national junior ice hockey team,hockey team,Q4498974
Q48848977,Kyrgyzstan men's national junior ice hockey team,hockey team,Q4498974
Q5100050,China men's national under-18 ice hockey team,hockey team,Q4498974
Q5100049,China men's national junior ice hockey team,hockey team,Q4498974
Q5029540,Canada women's national under-18 ice hockey team,hockey team,Q4498974
Q4996169,Bulgaria men's national junior ice hockey team,hockey team,Q4498974
Q4947344,Bosnia and Herzegovina men's national under-18 ice hockey team,hockey team,Q4498974
Q4882615,Belgium men's national under-18 ice hockey team,hockey team,Q4498974
Q4882616,Belgium men's national junior ice hockey team,hockey team,Q4498974
Q4825446,Austria men's national under-18 ice hockey team,hockey team,Q4498974
Q4823710,Australia men's national under-18 ice hockey team,hockey team,Q4498974
Q4823708,Australia men's national junior ice hockey team,hockey team,Q4498974
Q4793141,Armenia men's national under-18 ice hockey team,hockey team,Q4498974
Q25349896,India women's national ice hockey team,hockey team,Q4498974
Q25221706,Malaysia women's national ice hockey team,hockey team,Q4498974
Q3501332,Estonia men's national under-18 ice hockey team,hockey team,Q4498974
Q16237238,Great Britain men's national under-18 ice hockey team,hockey team,Q4498974
Q15310411,Ireland men's national junior ice hockey team,hockey team,Q4498974
Q15306686,Yugoslavia men's national junior ice hockey team,hockey team,Q4498974
Q11992087,Norway women's national under-18 ice hockey team,hockey team,Q4498974
Q11723721,Chile men's national ice hockey team,hockey team,Q4498974
Q1882528,Macau women's national ice hockey team,hockey team,Q4498974
Q7887440,United Arab Emirates men's national under-18 ice hockey team,hockey team,Q4498974
Q7887439,United Arab Emirates men's national junior ice hockey team,hockey team,Q4498974
Q7855160,Turkey men's national under-18 ice hockey team,hockey team,Q4498974
Q7709258,Thailand men's national under-18 ice hockey team,hockey team,Q4498974
Q7654541,Sweden women's national under-18 ice hockey team,hockey team,Q4498974
Q7567695,South Korea men's national under-18 ice hockey team,hockey team,Q4498974
Q7567694,South Korea men's national junior ice hockey team,hockey team,Q4498974
Q7565395,South Africa men's national under-18 ice hockey team,hockey team,Q4498974
Q7565394,South Africa men's national junior ice hockey team,hockey team,Q4498974
Q7452803,Serbia men's national under-18 ice hockey team,hockey team,Q4498974
Q111914736,Israel women's national ice hockey team,hockey team,Q4498974
Q7402106,Saint Pierre and Miquelon men's national ice hockey team,hockey team,Q4498974
Q7208940,Poland men's national under-18 ice hockey team,hockey team,Q4498974
Q7055829,North Korea men's national under-18 ice hockey team,hockey team,Q4498974
Q7055832,North Korea men's national junior ice hockey team,hockey team,Q4498974
Q7016216,New Zealand men's national junior ice hockey team,hockey team,Q4498974
Q6999460,Netherlands men's national junior ice hockey team,hockey team,Q4498974
Q6826270,Mexico men's national under-18 ice hockey team,hockey team,Q4498974
Q6741914,Malaysia men's national under-18 ice hockey team,hockey team,Q4498974
Q6706316,Luxembourg men's national under-18 ice hockey team,hockey team,Q4498974
Q6706315,Luxembourg men's national junior ice hockey team,hockey team,Q4498974
Q6093804,Italy men's national junior ice hockey team,hockey team,Q4498974
Q6068650,Ireland men's national under-18 ice hockey team,hockey team,Q4498974
Q6019657,India men's national under-18 ice hockey team,hockey team,Q4498974
Q5985728,Iceland men's national junior ice hockey team,hockey team,Q4498974
Q5601630,Greece men's national under-18 ice hockey team,hockey team,Q4498974
Q5601628,Greece men's national junior ice hockey team,hockey team,Q4498974
Q5598891,Great Britain women's national under-18 ice hockey team,hockey team,Q4498974
