qid,label,class_label,class_qid
Q1128186,Strokkur,hot spring,Q177380
Q216846,Great Geysir,hot spring,Q177380
Q858794,Old Faithful,hot spring,Q177380
Q249992,Lake Hévíz,hot spring,Q177380
Q2421402,Fly Geyser,hot spring,Q177380
Q1440831,Waimangu Geyser,hot spring,Q177380
Q1037748,Dōgo Onsen,hot spring,Q177380
Q1438568,Steamboat Geyser,hot spring,Q177380
Q4790673,Arima Onsen,hot spring,Q177380
Q3137477,Kusatsu Onsen,hot spring,Q177380
Q1049360,Castle Geyser,hot spring,Q177380
Q5363719,Kinugawa Onsen,hot spring,Q177380
Q543451,Grand Geyser,hot spring,Q177380
Q863914,Pōhutu Geyser,hot spring,Q177380
Q1129264,Giant Geyser,hot spring,Q177380
Q3571451,Yamanaka Onsen,hot spring,Q177380
Q11370596,Nyuto Spa Resort,hot spring,Q177380
Q7961227,Wakura Onsen,hot spring,Q177380
Q5563313,Ginzan Onsen,hot spring,Q177380
Q4803496,Asamushi Onsen,hot spring,Q177380
Q2311916,Giantess Geyser,hot spring,Q177380
Q814039,Beehive Geyser,hot spring,Q177380
Q12019526,Herľany Geyser,hot spring,Q177380
Q3514711,Tamatsukuri Onsen,hot spring,Q177380
Q2822242,Acadine,hot spring,Q177380
Q2703843,Excelsior Geyser,hot spring,Q177380
Q6470306,Lady Knox Geyser,hot spring,Q177380
Q4890932,Beppu Onsen,hot spring,Q177380
Q11264855,Yufuin Onsen,hot spring,Q177380
Q2664688,Daisy Geyser,hot spring,Q177380
Q2276235,Grotto Geyser,hot spring,Q177380
Q2029172,Lion Geyser,hot spring,Q177380
Q777439,Aurum Geyser,hot spring,Q177380
Q1544194,Great Fountain Geyser,hot spring,Q177380
Q1128808,Riverside Geyser,hot spring,Q177380
Q138064,White Dome Geyser,hot spring,Q177380
Q908993,Hakone Onsen,hot spring,Q177380
Q661687,Turban Geyser,hot spring,Q177380
Q385340,Young Hopeful Geyser,hot spring,Q177380
Q35490179,Miyanoshita Onsen,hot spring,Q177380
Q11610057,Hawai Onsen,hot spring,Q177380
Q11604612,Awazu Onsen,hot spring,Q177380
Q11569090,Atami Onsen,hot spring,Q177380
Q3699213,Cuexcomate,hot spring,Q177380
Q3181260,Atomizer Geyser,hot spring,Q177380
Q3136183,Vent Geyser,hot spring,Q177380
Q2736302,Comet Geyser,hot spring,Q177380
Q2700834,Jet Geyser,hot spring,Q177380
Q2689679,Artemisia Geyser,hot spring,Q177380
Q8565025,Fountain Paint Pot,hot spring,Q177380
Q8061378,Yunoyama Onsen,hot spring,Q177380
Q8061163,Yumura Onsen,hot spring,Q177380
Q7677489,Takayu Onsen,hot spring,Q177380
Q7428663,Sawmill Geyser,hot spring,Q177380
Q7423371,Saratoga Spa State Park,hot spring,Q177380
Q7195981,Pink Cone Geyser,hot spring,Q177380
Q6410533,Kintaichi Onsen,hot spring,Q177380
Q5332600,Echinus Geyser,hot spring,Q177380
Q4803375,Asahidake Onsen,hot spring,Q177380
Q4399546,Bead Geyser,hot spring,Q177380
