qid,label,class_label,class_qid
Q190542,Costa Concordia,hotel,Q27686
Q192381,Oasis of the Seas,hotel,Q27686
Q191888,Queen Mary 2,hotel,Q27686
Q548679,Marina Bay Sands,hotel,Q27686
Q83257,Allure of the Seas,hotel,Q27686
Q656054,Hôtel Ritz Paris,hotel,Q27686
Q194109,Freedom of the Seas,hotel,Q27686
Q1208722,Diamond Princess,hotel,Q27686
Q698095,Hotel Adlon,hotel,Q27686
Q1424786,Four Seasons Hotels and Resorts,hotel,Q27686
Q900983,The Mirage,hotel,Q27686
Q1359020,Independence of the Seas,hotel,Q27686
Q1324068,Liberty of the Seas,hotel,Q27686
Q682495,MS St. Louis,hotel,Q27686
Q340233,MS Achille Lauro,hotel,Q27686
Q1192164,Hōshi Ryokan,hotel,Q27686
Q20489530,Harmony of the Seas,hotel,Q27686
Q1430318,Rossiya Hotel,hotel,Q27686
Q1752985,Voyager of the Seas,hotel,Q27686
Q782200,Ritz-Carlton,hotel,Q27686
Q692768,Hôtel de Crillon,hotel,Q27686
Q420545,Novotel,hotel,Q27686
Q587594,MS Queen Victoria,hotel,Q27686
Q1152178,Mariner of the Seas,hotel,Q27686
Q111169252,Icon of the Seas,hotel,Q27686
Q780076,Navigator of the Seas,hotel,Q27686
Q881182,Blair House,hotel,Q27686
Q743147,Hotel Negresco,hotel,Q27686
Q606959,Explorer of the Seas,hotel,Q27686
Q379973,Adventure of the Seas,hotel,Q27686
Q546607,SS France,hotel,Q27686
Q1631191,Marriott World Trade Center,hotel,Q27686
Q30125043,Symphony of the Seas,hotel,Q27686
Q747465,Grand Princess,hotel,Q27686
Q317768,Schloss Elmau,hotel,Q27686
Q1384555,MV Explorer,hotel,Q27686
Q1670349,Norwegian Epic,hotel,Q27686
Q14320138,Satyagraha House,hotel,Q27686
Q578581,Sea Diamond,hotel,Q27686
Q2072116,Jewel of the Seas,hotel,Q27686
Q1147483,Sahara Las Vegas,hotel,Q27686
Q493616,Royal Clipper,hotel,Q27686
Q606002,MS Queen Elizabeth,hotel,Q27686
Q1441317,Majesty of the Oceans,hotel,Q27686
Q1340365,Westgate Las Vegas Resort & Casino,hotel,Q27686
Q1635974,Swissôtel,hotel,Q27686
Q2464716,Cliveden,hotel,Q27686
Q198949,Disney Magic,hotel,Q27686
Q917188,MS Brilliance of the Seas,hotel,Q27686
Q18128240,Quantum of the Seas,hotel,Q27686
Q671990,Kempinski,hotel,Q27686
Q101936512,Wonder of the Seas,hotel,Q27686
Q1136377,Costa Serena,hotel,Q27686
Q390238,MS Costa Allegra,hotel,Q27686
Q1393345,Fairmont Hotels and Resorts,hotel,Q27686
Q1808769,MTS Oceanos,hotel,Q27686
Q1709809,Mercure Hotels,hotel,Q27686
Q1519401,MSC Splendida,hotel,Q27686
Q1136328,Margaritaville at Sea Islander,hotel,Q27686
Q1052819,Celebrity Eclipse,hotel,Q27686
Q3139943,Icehotel in Jukkasjärvi,hotel,Q27686
Q2420946,MS Westerdam,hotel,Q27686
Q116335,MSC Musica,hotel,Q27686
Q1881852,MSC Fantasia,hotel,Q27686
Q2125712,MS Radiance of the Seas,hotel,Q27686
Q2016648,MS Rhapsody of the Seas,hotel,Q27686
Q1934435,Astoria,hotel,Q27686
Q1458135,Ibis Budget,hotel,Q27686
Q1340017,Enchantment of the Seas,hotel,Q27686
Q2371,Celebrity Solstice,hotel,Q27686
Q16669013,Parque España-Shima Spain Village,hotel,Q27686
Q2504643,DoubleTree by Hilton,hotel,Q27686
Q1044074,Carnival Legend,hotel,Q27686
Q4043301,MV Lyubov Orlova,hotel,Q27686
Q19823148,MSC Meraviglia,hotel,Q27686
Q183033,Diaoyutai State Guesthouse,hotel,Q27686
Q2447056,MS Serenade of the Seas,hotel,Q27686
Q631681,Costa Pacifica,hotel,Q27686
Q2746220,Crowne Plaza,hotel,Q27686
Q1881875,MSC Poesia,hotel,Q27686
Q1881877,MSC Opera,hotel,Q27686
Q1866407,MS Vision of the Seas,hotel,Q27686
Q1881879,MSC Orchestra,hotel,Q27686
Q1228992,Disney Fantasy,hotel,Q27686
Q1228989,Disney Dream,hotel,Q27686
Q1205064,MV Doulos Phos,hotel,Q27686
Q1760407,Norwegian Star,hotel,Q27686
Q1626933,Ruby Princess,hotel,Q27686
Q1515595,Hôtel Lutetia,hotel,Q27686
Q27921898,MSC Bellissima,hotel,Q27686
Q65057205,Costa Smeralda,hotel,Q27686
Q2635563,MS Grandeur of the Seas,hotel,Q27686
Q198957,Disney Wonder,hotel,Q27686
Q1136361,Costa Fortuna,hotel,Q27686
Q1136350,Costa Fascinosa,hotel,Q27686
Q1136365,Carnival Luminosa,hotel,Q27686
Q1136368,Adora Mediterranea,hotel,Q27686
Q2667937,Monarch,hotel,Q27686
Q2089212,Château Laurier,hotel,Q27686
Q1881854,MSC Magnifica,hotel,Q27686
Q1881850,MSC Lirica,hotel,Q27686
Q1881845,MSC Armonia,hotel,Q27686
Q2303515,Alexander L. Kielland,hotel,Q27686
Q2160653,Peckforton Castle,hotel,Q27686
Q1254259,MSC Sinfonia,hotel,Q27686
Q1221513,Grand Hôtel,hotel,Q27686
Q1206266,MS Deutschland,hotel,Q27686
Q1630836,Beverly Wilshire Hotel,hotel,Q27686
Q26844363,MS Manara,hotel,Q27686
Q777179,MV Aurora,hotel,Q27686
Q1136360,Costa Favolosa,hotel,Q27686
Q1044093,Carnival Spirit,hotel,Q27686
Q1044080,Carnival Miracle,hotel,Q27686
Q810879,MS Batory,hotel,Q27686
Q18213370,Anthem of the Seas,hotel,Q27686
Q1136396,Costa Victoria,hotel,Q27686
Q20010359,MSC Seaside,hotel,Q27686
Q19877077,Ovation of the Seas,hotel,Q27686
Q185707,Carnival Sunshine,hotel,Q27686
Q2438583,Marella Discovery 2,hotel,Q27686
Q3700280,Balmoral Hotel,hotel,Q27686
Q3273178,MSC Preziosa,hotel,Q27686
Q661177,MSC Divina,hotel,Q27686
Q2703331,MS Sovereign,hotel,Q27686
Q166127,SS Rotterdam,hotel,Q27686
Q1759038,Norwegian Jade,hotel,Q27686
Q1754531,Norwegian Dawn,hotel,Q27686
Q85760924,MS Queen Anne,hotel,Q27686
Q60833675,MSC Virtuosa,hotel,Q27686
Q293493,AIDAvita,hotel,Q27686
Q293486,AIDAdiva,hotel,Q27686
Q2587031,Carnival Fantasy,hotel,Q27686
Q250939,Jumbo Stay,hotel,Q27686
Q1120643,Costa Deliziosa,hotel,Q27686
Q1103018,MS Costa Marina,hotel,Q27686
Q1052827,Celebrity Equinox,hotel,Q27686
Q1044086,Carnival Sunrise,hotel,Q27686
Q1044084,Carnival Pride,hotel,Q27686
Q1044050,Carnival Elation,hotel,Q27686
Q1044037,Carnival Conquest,hotel,Q27686
Q736081,Goddess of the Night,hotel,Q27686
Q16224105,Carnival Vista,hotel,Q27686
Q48753014,The Walled Off Hotel,hotel,Q27686
Q3006084,Pacific World,hotel,Q27686
Q2403924,MS Zaandam,hotel,Q27686
Q3353494,MS Nordic Pearl,hotel,Q27686
Q320591,Hotel Kaiserhof,hotel,Q27686
Q2698691,Gare d'Orsay,hotel,Q27686
Q548546,MS Eurodam,hotel,Q27686
Q548292,AIDAcara,hotel,Q27686
Q528406,Norwegian Gem,hotel,Q27686
Q1457774,Pride of America,hotel,Q27686
Q1457799,Norwegian Spirit,hotel,Q27686
Q1423345,Norwegian Jewel,hotel,Q27686
Q1815841,Oosterdam,hotel,Q27686
Q1574090,Timberline Lodge,hotel,Q27686
Q97174779,MSC Seashore,hotel,Q27686
Q28228009,MS Iona,hotel,Q27686
Q56401963,Viking Glory,hotel,Q27686
Q63746,Star Pisces,hotel,Q27686
Q7590892,St. Pancras Renaissance London Hotel,hotel,Q27686
Q62112735,Spectrum of the Seas,hotel,Q27686
Q293475,AIDAblu,hotel,Q27686
Q293478,AIDAbella,hotel,Q27686
Q267390,Taschenbergpalais Dresden,hotel,Q27686
Q1052831,Celebrity Millennium,hotel,Q27686
Q1044070,Carnival Magic,hotel,Q27686
Q939791,Carnival Splendor,hotel,Q27686
Q1044048,Carnival Ecstasy,hotel,Q27686
Q1044042,Carnival Dream,hotel,Q27686
Q1032840,SS Canberra,hotel,Q27686
Q930500,MS Zuiderdam,hotel,Q27686
Q706088,Artania,hotel,Q27686
Q691162,Mövenpick Hotels & Resorts,hotel,Q27686
Q46700733,MSC Grandiosa,hotel,Q27686
Q18357537,Ushuaïa Ibiza Beach Hotel,hotel,Q27686
Q3208908,Costa Diadema,hotel,Q27686
Q3014295,Royal Princess,hotel,Q27686
Q3410757,Pullman Hotels and Resorts,hotel,Q27686
Q649690,Corinthia Grand Hotel Astoria Brussels,hotel,Q27686
Q321757,SS Pasteur,hotel,Q27686
Q2714360,MS Empress,hotel,Q27686
Q2710722,Azamara Pursuit,hotel,Q27686
Q468026,TS Maxim Gorkiy,hotel,Q27686
Q11713507,Regal Princess,hotel,Q27686
Q11713334,Norwegian Getaway,hotel,Q27686
Q606870,Costa Classica,hotel,Q27686
Q573075,Carnival Radiance,hotel,Q27686
Q6703353,Lumley Castle,hotel,Q27686
Q1973535,Marella Discovery,hotel,Q27686
Q1458212,Norwegian Sun,hotel,Q27686
Q1428779,Q1428779,hotel,Q27686
Q1169190,Amera,hotel,Q27686
Q1814395,Pacific,hotel,Q27686
Q1815076,Melody,hotel,Q27686
Q1570585,Villa d'Este,hotel,Q27686
Q1517838,MS Kungsholm,hotel,Q27686
Q1514518,Sapphire Princess,hotel,Q27686
Q1514126,Marco Polo,hotel,Q27686
Q1466277,IMO 7915096,hotel,Q27686
Q1464959,Norwegian Pearl,hotel,Q27686
Q123134298,Q123134298,hotel,Q27686
Q25391887,MSC Seaview,hotel,Q27686
Q7958488,W Hotels,hotel,Q27686
Q16983037,Norwegian Joy,hotel,Q27686
Q762432,MV Queen of the Oceans,hotel,Q27686
Q293468,Celestyal Discovery,hotel,Q27686
Q293485,AIDAluna,hotel,Q27686
Q5437535,Norwegian Breakaway,hotel,Q27686
Q1052839,Celebrity Silhouette,hotel,Q27686
Q1052834,Celebrity Infinity,hotel,Q27686
Q1044060,Carnival Freedom,hotel,Q27686
Q1036101,Caribbean Princess,hotel,Q27686
Q929326,MS Volendam,hotel,Q27686
Q22344473,Aidaprima,hotel,Q27686
Q727472,Carnival Breeze,hotel,Q27686
Q9005010,National Museum of Immigration,hotel,Q27686
Q4381144,Seven Seas Voyager,hotel,Q27686
Q101008728,Disney Wish,hotel,Q27686
Q16223577,Norwegian Escape,hotel,Q27686
Q1136427,Costa neoRomantica,hotel,Q27686
Q5057758,Celebrity Reflection,hotel,Q27686
Q4765980,Ankara Palas,hotel,Q27686
Q631464,MV Arcadia,hotel,Q27686
Q649360,Carnival Valor,hotel,Q27686
Q636666,Ventura,hotel,Q27686
Q446913,Kungsholm,hotel,Q27686
Q2714441,Emerald Princess,hotel,Q27686
Q2713889,Coral Princess,hotel,Q27686
Q2663027,MS Nieuw Amsterdam,hotel,Q27686
Q488605,Norwegian Sky,hotel,Q27686
Q488014,Pacific Encounter,hotel,Q27686
Q478362,MS Bolette,hotel,Q27686
Q555225,Grand Prince Hotel Akasaka,hotel,Q27686
Q6718040,IMO 7827213,hotel,Q27686
Q2194613,Painted Desert Inn,hotel,Q27686
Q1996454,MS Noordam,hotel,Q27686
Q1971190,Marella Dream,hotel,Q27686
Q11504902,Nikkō Kanaya Hotel,hotel,Q27686
Q1163371,MV Sun Viking,hotel,Q27686
Q1829694,Vasco de Gama,hotel,Q27686
Q1782845,MS Trollfjord,hotel,Q27686
Q1782037,MS Nordkapp,hotel,Q27686
Q1570836,Silver Shadow,hotel,Q27686
Q1495908,MS The World,hotel,Q27686
Q1467750,MV Ocean Star Pacific,hotel,Q27686
Q782114,Atlantic Star,hotel,Q27686
Q293488,AIDAstella,hotel,Q27686
Q293491,AIDAsol,hotel,Q27686
Q293487,AIDAmar,hotel,Q27686
Q2596850,MS Azura,hotel,Q27686
Q246771,Le Ponant,hotel,Q27686
Q1113583,Coombe Abbey,hotel,Q27686
Q1052838,Celebrity Summit,hotel,Q27686
Q1052806,Celebrity Constellation,hotel,Q27686
Q1044066,Carnival Liberty,hotel,Q27686
Q1044053,Fascination,hotel,Q27686
Q933950,Carnival Glory,hotel,Q27686
Q916673,The Signature at MGM Grand,hotel,Q27686
Q892050,Piano Land,hotel,Q27686
Q864344,Fujiya Hotel,hotel,Q27686
Q793530,Azamara Quest,hotel,Q27686
Q10573079,MS Gripsholm,hotel,Q27686
Q23578843,Norwegian Bliss,hotel,Q27686
Q21540478,Majestic Princess,hotel,Q27686
Q743062,Carnival Sensation,hotel,Q27686
Q734921,Azamara Journey,hotel,Q27686
Q717739,Anantara New York Palace Budapest Hotel,hotel,Q27686
Q4739486,Aman Resorts,hotel,Q27686
Q4696448,Ahwahnee Hotel,hotel,Q27686
Q7394162,SS Oriana,hotel,Q27686
Q16223165,MV Britannia,hotel,Q27686
Q3110094,Pacific Adventure,hotel,Q27686
Q2403702,RMS Caronia,hotel,Q27686
Q2449366,RMS Saxonia,hotel,Q27686
Q3621280,SS Arandora Star,hotel,Q27686
Q3480793,Seven Seas Navigator,hotel,Q27686
Q3277521,MS Gripsholm,hotel,Q27686
Q662988,Chinese Taishan,hotel,Q27686
Q608578,MS World Discoverer,hotel,Q27686
Q429427,Nordnorge,hotel,Q27686
Q427833,MV Ocean Pearl,hotel,Q27686
Q321168,Baraque Michel,hotel,Q27686
Q2713899,Discovery,hotel,Q27686
Q540563,Celestyal Olympia,hotel,Q27686
Q494191,Crown Princess,hotel,Q27686
Q585464,MS Midnatsol,hotel,Q27686
Q6718144,Oslofjord,hotel,Q27686
Q2062115,Carnival Paradise,hotel,Q27686
Q2062486,Carnival Inspiration,hotel,Q27686
Q2062102,Carnival Imagination,hotel,Q27686
Q2048344,Rochdale One,hotel,Q27686
Q162635,Saga Ruby,hotel,Q27686
Q2069466,Lake Hotel,hotel,Q27686
Q2058737,MS Marina,hotel,Q27686
Q115632,SuperStar Gemini,hotel,Q27686
Q115499,MS Windward,hotel,Q27686
Q1846801,MV Seabourn Legend,hotel,Q27686
Q2296540,MS Oranje,hotel,Q27686
Q2296473,MS Sobieski,hotel,Q27686
Q1404917,Kebnekaise mountain station,hotel,Q27686
Q109045578,MSC Euribia,hotel,Q27686
Q1792559,Birka Gotland,hotel,Q27686
Q1630962,"Hotel Metropole, Vienna",hotel,Q27686
Q1631094,Hotel du Cap,hotel,Q27686
Q1630895,Hotel F1,hotel,Q27686
Q1630870,Hotel Dajti,hotel,Q27686
Q1474724,Marella Voyager,hotel,Q27686
Q96757505,Pazo of the Maceda Counts,hotel,Q27686
Q117037268,Bibby Stockholm,hotel,Q27686
Q111936667,Utopia of the Seas,hotel,Q27686
Q26218353,Carnival Horizon,hotel,Q27686
Q25110900,Genting Dream,hotel,Q27686
Q106994165,Norwegian Prima,hotel,Q27686
Q29378808,AIDAperla,hotel,Q27686
Q28494961,Celebrity Edge,hotel,Q27686
Q83804740,Mardi Gras,hotel,Q27686
Q7796332,Thornbury Castle,hotel,Q27686
Q110787838,Costa Toscana,hotel,Q27686
Q17014761,MV Viking Sky,hotel,Q27686
Q65091893,Scarlet Lady,hotel,Q27686
Q65064228,Sky Princess,hotel,Q27686
Q302836,MS Nautica,hotel,Q27686
Q290254,Ponce de León Hotel,hotel,Q27686
Q2594770,SS Lavia,hotel,Q27686
Q1103038,Club Med 2,hotel,Q27686
Q931364,Borealis,hotel,Q27686
Q831551,Hotel Bellevue,hotel,Q27686
Q805481,Q805481,hotel,Q27686
Q18126917,MS Koningsdam,hotel,Q27686
Q747160,MS Fram,hotel,Q27686
Q14950169,Viking Star,hotel,Q27686
Q4306661,Raffles Hotels & Resorts,hotel,Q27686
Q4111226,Villa Mandarin,hotel,Q27686
Q7394483,SS Uganda,hotel,Q27686
Q7393173,SS Antilles,hotel,Q27686
Q15890910,a&o Hostels,hotel,Q27686
Q48816581,Norwegian Encore,hotel,Q27686
Q7277090,RMS Ivernia,hotel,Q27686
Q42619076,AIDAnova,hotel,Q27686
Q20010360,Seven Seas Explorer,hotel,Q27686
Q5191386,Crystal Symphony,hotel,Q27686
Q3146296,Hôtel du Palais Biarritz,hotel,Q27686
Q3030294,Disney's Animal Kingdom Lodge,hotel,Q27686
Q3027805,Old Faithful Inn,hotel,Q27686
Q3019252,Q3019252,hotel,Q27686
Q3010560,Ocean Dream,hotel,Q27686
Q3006977,Ambition,hotel,Q27686
Q189595,MV Zenith,hotel,Q27686
Q176355,Blue Sapphire,hotel,Q27686
Q2375304,Plaza Athénée,hotel,Q27686
Q2372559,SS SeaBreeze,hotel,Q27686
Q3476664,MS Charming,hotel,Q27686
Q655030,Marella Explorer 2,hotel,Q27686
Q444145,Bowood House,hotel,Q27686
Q2866607,MV China Star,hotel,Q27686
Q2745121,Carnival Holiday,hotel,Q27686
Q328191,Palasthotel,hotel,Q27686
Q321562,Hotel Esplanade,hotel,Q27686
Q321287,Hotel Excelsior,hotel,Q27686
Q2709886,Q2709886,hotel,Q27686
Q489773,Q489773,hotel,Q27686
Q451710,MS Amadea,hotel,Q27686
Q11765118,Orient Queen II,hotel,Q27686
Q6718165,MS Prinsendam,hotel,Q27686
Q5191348,Q5191348,hotel,Q27686
Q5134378,Q5134378,hotel,Q27686
Q3222300,Le Diamant,hotel,Q27686
Q3211057,Saltoluokta,hotel,Q27686
Q3155383,Island Princess,hotel,Q27686
Q3073343,SS Flandre,hotel,Q27686
Q3030347,Disney's Wilderness Lodge,hotel,Q27686
