qid,label,class_label,class_qid
Q33057,International Standard Book Number,identifier,Q6545185
Q25670,digital object identifier,identifier,Q6545185
Q131276,International Standard Serial Number,identifier,Q6545185
Q620946,Library of Congress Control Number,identifier,Q6545185
Q179969,Air Force One,identifier,Q6545185
Q306656,example.com,identifier,Q6545185
Q2743840,Air Force Two,identifier,Q6545185
Q1666938,International Standard Music Number,identifier,Q6545185
Q1023962,CODEN,identifier,Q6545185
Q949026,International Standard Musical Work Code,identifier,Q6545185
Q11976628,IATA airline code,identifier,Q6545185
Q329912,habitual residence,identifier,Q6545185
Q12364233,ICAO airline code,identifier,Q6545185
Q7169810,Perry Index,identifier,Q6545185
Q2233787,sex.com,identifier,Q6545185
Q5412779,European Legislation Identifier,identifier,Q6545185
Q4488962,European Case Law Identifier,identifier,Q6545185
Q2125043,Rabin fingerprint,identifier,Q6545185
Q30526658,Wing of Zion,identifier,Q6545185
Q23956316,WOEID,identifier,Q6545185
Q3873059,National Bibliography Number,identifier,Q6545185
Q9677084,CN Serial Number,identifier,Q6545185
Q4047616,Publisher Item Identifier,identifier,Q6545185
Q30276731,Indonesian Small Islands Directory,identifier,Q6545185
Q28739688,MarineTraffic Lighthouse ID,identifier,Q6545185
Q18754925,Jovani Fashion,identifier,Q6545185
Q115814868,military unit cover designator,identifier,Q6545185
Q101209480,1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,identifier,Q6545185
Q7886936,Unique Feature Identifier,identifier,Q6545185
Q6975101,National Provider Identifier,identifier,Q6545185
Q5535622,GEOREF,identifier,Q6545185
Q5535277,Geohash-36,identifier,Q6545185
Q5012772,CLLI code,identifier,Q6545185
Q4597079,20-pair colour code,identifier,Q6545185
Q136805370,.brave,identifier,Q6545185
Q123596489,Standard Book Number,identifier,Q6545185
Q19809,Christmas,identifier,Q6545185
Q19809,Christmas,identifier,Q6545185
Q514400,Eid al-Adha,identifier,Q6545185
Q464458,Eid al-Fitr,identifier,Q6545185
Q38414,.az,identifier,Q6545185
Q41104,.tr,identifier,Q6545185
Q47499,International Workers' Day,identifier,Q6545185
Q40317,Good Friday,identifier,Q6545185
Q47502,Mother's Day,identifier,Q6545185
Q37407,.af,identifier,Q6545185
Q37407,.af,identifier,Q6545185
Q37893,.gr,identifier,Q6545185
Q37239,.ae,identifier,Q6545185
Q37239,.ae,identifier,Q6545185
Q36541,.ru,identifier,Q6545185
Q36552,.ad,identifier,Q6545185
Q36552,.ad,identifier,Q6545185
Q37431,ISO 4217,identifier,Q6545185
Q8391,.ac,identifier,Q6545185
Q37245,.am,identifier,Q6545185
Q37245,.am,identifier,Q6545185
Q8475,Interpol,identifier,Q6545185
Q39218,.in,identifier,Q6545185
Q39218,.in,identifier,Q6545185
Q37420,.au,identifier,Q6545185
Q41774,.ir,identifier,Q6545185
Q37539,.ag,identifier,Q6545185
Q37539,.ag,identifier,Q6545185
Q37861,.us,identifier,Q6545185
Q37861,.us,identifier,Q6545185
Q39889,.br,identifier,Q6545185
Q37251,.de,identifier,Q6545185
Q39582,Q39582,identifier,Q6545185
Q38291,.al,identifier,Q6545185
Q38291,.al,identifier,Q6545185
Q38300,.ar,identifier,Q6545185
Q38300,.ar,identifier,Q6545185
Q13959,Thanksgiving,identifier,Q6545185
Q39006,.ao,identifier,Q6545185
Q39006,.ao,identifier,Q6545185
Q39132,.jp,identifier,Q6545185
Q37271,.fr,identifier,Q6545185
Q40619,.kz,identifier,Q6545185
Q134847,Father's Day,identifier,Q6545185
Q39509,.dk,identifier,Q6545185
Q39661,.ba,identifier,Q6545185
Q37715,.at,identifier,Q6545185
Q37883,.es,identifier,Q6545185
Q40467,.il,identifier,Q6545185
Q40656,.ua,identifier,Q6545185
Q38900,.cn,identifier,Q6545185
Q37164,.fi,identifier,Q6545185
Q39144,.bd,identifier,Q6545185
Q39155,.it,identifier,Q6545185
Q37531,.cz,identifier,Q6545185
Q37531,.cz,identifier,Q6545185
Q39773,.be,identifier,Q6545185
Q37913,.uk,identifier,Q6545185
Q41851,.sg,identifier,Q6545185
Q38900,.cn,identifier,Q6545185
Q40442,.se,identifier,Q6545185
Q40689,.ai,identifier,Q6545185
Q41016,.aq,identifier,Q6545185
Q43117,.qa,identifier,Q6545185
Q39382,.ie,identifier,Q6545185
Q39382,.ie,identifier,Q6545185
Q39870,.by,identifier,Q6545185
Q39885,.cl,identifier,Q6545185
Q37907,.pl,identifier,Q6545185
Q39993,.bh,identifier,Q6545185
Q42286,.zw,identifier,Q6545185
Q40622,.hu,identifier,Q6545185
Q42695,.ke,identifier,Q6545185
Q41039,.dz,identifier,Q6545185
Q43132,.om,identifier,Q6545185
Q41102,.id,identifier,Q6545185
Q41107,.eu,identifier,Q6545185
Q41433,.sa,identifier,Q6545185
Q39029,.bg,identifier,Q6545185
Q41723,.kg,identifier,Q6545185
Q41731,.as,identifier,Q6545185
Q39539,.bb,identifier,Q6545185
Q39676,.ch,identifier,Q6545185
Q41835,.lb,identifier,Q6545185
Q41842,.zm,identifier,Q6545185
Q41840,.ph,identifier,Q6545185
Q39906,.cg,identifier,Q6545185
Q39906,.cg,identifier,Q6545185
Q60117,.sn,identifier,Q6545185
Q42634,.jo,identifier,Q6545185
Q40514,.bs,identifier,Q6545185
Q42677,.ro,identifier,Q6545185
Q40683,.ge,identifier,Q6545185
Q41047,.kh,identifier,Q6545185
Q41060,.no,identifier,Q6545185
Q43150,.pk,identifier,Q6545185
Q43163,.tn,identifier,Q6545185
Q43163,.tn,identifier,Q6545185
Q41439,.ma,identifier,Q6545185
Q41442,.aw,identifier,Q6545185
Q493202,.nl,identifier,Q6545185
Q38908,.ee,identifier,Q6545185
Q43824,.tw,identifier,Q6545185
Q41768,.iq,identifier,Q6545185
Q39657,.co,identifier,Q6545185
