qid,label,class_label,class_qid
Q7174,democracy,ideology,Q7257
Q6186,communism,ideology,Q7257
Q7272,socialism,ideology,Q7257
Q8461,racism,ideology,Q7257
Q6223,fascism,ideology,Q7257
Q6199,anarchism,ideology,Q7257
Q6216,liberalism,ideology,Q7257
Q7264,Marxism,ideology,Q7257
Q7310,Nazism,ideology,Q7257
Q22649,antisemitism,ideology,Q7257
Q42388,Zionism,ideology,Q7257
Q128135,totalitarianism,ideology,Q7257
Q121254,social democracy,ideology,Q7257
Q58848,pacifism,ideology,Q7257
Q6229,authoritarianism,ideology,Q7257
Q180490,populism,ideology,Q7257
Q204886,federalism,ideology,Q7257
Q178598,libertarianism,ideology,Q7257
Q189746,Islamism,ideology,Q7257
Q179121,Stalinism,ideology,Q7257
Q155059,Leninism,ideology,Q7257
Q162719,neoliberalism,ideology,Q7257
Q211930,Marxism–Leninism,ideology,Q7257
Q167651,Maoism,ideology,Q7257
Q171174,direct democracy,ideology,Q7257
Q182121,anti-communism,ideology,Q7257
Q181800,Juche,ideology,Q7257
Q2855609,environmentalism,ideology,Q7257
Q188958,egalitarianism,ideology,Q7257
Q188843,cosmopolitanism,ideology,Q7257
Q189280,democratic socialism,ideology,Q7257
Q188961,decentralization,ideology,Q7257
Q171990,laissez faire,ideology,Q7257
Q190044,technocracy,ideology,Q7257
Q6587194,centrism,ideology,Q7257
Q181133,Trotskyism,ideology,Q7257
Q877848,Republicanism,ideology,Q7257
Q223200,euroscepticism,ideology,Q7257
Q322294,statism,ideology,Q7257
Q209158,Christian democracy,ideology,Q7257
Q695838,internationalism,ideology,Q7257
Q181043,dissident,ideology,Q7257
Q698752,white supremacy,ideology,Q7257
Q192227,linguistic purism,ideology,Q7257
Q192424,anarcho-capitalism,ideology,Q7257
Q913401,radicalism,ideology,Q7257
Q188670,anarcho-communism,ideology,Q7257
Q7184037,absolutism,ideology,Q7257
Q192886,corporatism,ideology,Q7257
Q794394,classical liberalism,ideology,Q7257
Q192447,utopian socialism,ideology,Q7257
Q282739,Pan-Africanism,ideology,Q7257
Q729119,economic liberalism,ideology,Q7257
Q1661415,green politics,ideology,Q7257
Q216669,monarchism,ideology,Q7257
Q478004,anti-clericalism,ideology,Q7257
Q192139,neoconservatism,ideology,Q7257
Q83280,Pan-Turkism,ideology,Q7257
Q430032,Pan-Islamism,ideology,Q7257
Q269443,Kemalism,ideology,Q7257
Q505605,open society,ideology,Q7257
Q193476,Pan-Arabism,ideology,Q7257
Q574827,anti-Americanism,ideology,Q7257
Q389647,anti-capitalism,ideology,Q7257
Q281347,Hindutva,ideology,Q7257
Q191442,anti-globalization movement,ideology,Q7257
Q206743,Eurocommunism,ideology,Q7257
Q696116,neo-fascism,ideology,Q7257
Q1194747,constitutionalism,ideology,Q7257
Q637251,ethnic nationalism,ideology,Q7257
Q852739,national conservatism,ideology,Q7257
Q723713,"One country, two systems",ideology,Q7257
Q193852,democratic centralism,ideology,Q7257
Q611217,degrowth,ideology,Q7257
Q1207817,Putinism,ideology,Q7257
Q1043096,liberal conservatism,ideology,Q7257
Q494792,Third Way,ideology,Q7257
Q2353993,revolutionary syndicalism,ideology,Q7257
Q663333,Titoism,ideology,Q7257
