qid,label,class_label,class_qid
Q18290165,Nexus Player,information appliance,Q1067263
Q16964482,Samsung REX,information appliance,Q1067263
Q131573456,Q131573456,information appliance,Q1067263
Q137800736,Motorola Edge 60 Pro,information appliance,Q1067263
Q137800735,Vivo X300 Pro,information appliance,Q1067263
Q135747965,Meizu 20 Infinity,information appliance,Q1067263
Q55610448,Easy TV Philippines,information appliance,Q1067263
Q138545935,Vivo Y300,information appliance,Q1067263
Q138024207,Clicks Communicator,information appliance,Q1067263
Q135671455,Vivo Y400,information appliance,Q1067263
Q7905605,V+,information appliance,Q1067263
Q5206264,DTV receiver,information appliance,Q1067263
Q5178042,Coupon-eligible converter box,information appliance,Q1067263
Q1370241,interactive kiosk,information appliance,Q1067263
