qid,label,class_label,class_qid
Q35581,Hokkaido,island,Q23442
Q13989,Honshu,island,Q23442
Q40846,Tenerife,island,Q23442
Q34126,Funafuti,island,Q23442
Q43296,Wake Island,island,Q23442
Q13706,Principality of Sealand,island,Q23442
Q82613,Krakatoa,island,Q23442
Q161258,Clipperton Island,island,Q23442
Q123076,Palmyra Atoll,island,Q23442
Q68740,Hawaii,island,Q23442
Q131008,Johnston Atoll,island,Q23442
Q105967,La Gomera,island,Q23442
Q188705,Maui,island,Q23442
Q201689,La Palma,island,Q23442
Q192493,Robben Island,island,Q23442
Q2486,Tarawa,island,Q23442
Q189387,Ischia,island,Q23442
Q193331,Kiritimati,island,Q23442
Q1036287,El Hierro,island,Q23442
Q186841,Devon Island,island,Q23442
Q152225,Bikini Atoll,island,Q23442
Q207323,Vulcano,island,Q23442
Q190063,île de la Cité,island,Q23442
Q201633,Iwo Jima,island,Q23442
Q231324,Anjouan,island,Q23442
Q244978,Grande Comore,island,Q23442
Q471793,Rarotonga,island,Q23442
Q846967,Nan Madol,island,Q23442
Q284009,Elephantine,island,Q23442
Q272768,Aldabra,island,Q23442
Q241074,Rocas Atoll,island,Q23442
Q285468,Hashima Island,island,Q23442
Q271797,Mohéli,island,Q23442
Q213804,Lindisfarne,island,Q23442
Q213188,Kunta Kinteh Island,island,Q23442
Q191750,Perejil Islet,island,Q23442
Q211861,Odaiba,island,Q23442
Q309172,Kwajalein Atoll,island,Q23442
Q642787,Atafu,island,Q23442
Q211034,île Saint-Louis,island,Q23442
Q318446,Moruroa,island,Q23442
Q245062,Philae,island,Q23442
Q373767,Pheasant Island,island,Q23442
Q174618,Nanumea,island,Q23442
Q282059,Bananal Island,island,Q23442
Q640267,Dejima,island,Q23442
Q1330558,Nosy Be,island,Q23442
Q165401,Mainau,island,Q23442
Q3143318,Hunga Tonga–Hunga Haʻapai,island,Q23442
Q656709,Nukunonu,island,Q23442
Q1044668,Republic of Rose Island,island,Q23442
Q557077,Whakaari / White Island,island,Q23442
Q909777,Roosevelt Island,island,Q23442
Q511859,Cagados Carajos,island,Q23442
Q83582,Fernandina Island,island,Q23442
Q18816,Margaret Island,island,Q23442
Q6651815,Little Saint James,island,Q23442
Q649190,Enewetak Atoll,island,Q23442
Q277294,Palm Jumeirah,island,Q23442
Q547997,Nui,island,Q23442
Q128654,Nukulaelae,island,Q23442
Q163395,Märket,island,Q23442
Q32083,Akdamar Island,island,Q23442
Q774215,Isle of Portland,island,Q23442
Q650847,Fakaofo,island,Q23442
Q632495,Vaitupu,island,Q23442
Q745924,Nukufetau,island,Q23442
Q530454,Nunivak Island,island,Q23442
Q20754,Gröde,island,Q23442
Q1431121,St Michael's Mount,island,Q23442
Q545404,Tiber Island,island,Q23442
Q844667,Vozrozhdeniya island,island,Q23442
Q162448,Minicoy,island,Q23442
Q79182,Eilean Donan,island,Q23442
Q757399,Rangiroa,island,Q23442
Q738237,Walcheren,island,Q23442
Q1135240,Tetiaroa,island,Q23442
Q127335,Tabuaeran,island,Q23442
Q3593555,Chuuk Lagoon,island,Q23442
Q1070580,Izu Ōshima,island,Q23442
Q1045820,Deception Island,island,Q23442
Q989803,Enoshima,island,Q23442
Q539391,Csepel Island,island,Q23442
Q1191120,Hachijō-jima,island,Q23442
Q487319,Anatahan,island,Q23442
Q1122663,Ducie Island,island,Q23442
Q23249,Donauinsel,island,Q23442
Q30895,Kanton Island,island,Q23442
Q731947,Fongafale,island,Q23442
Q1346999,Fakarava,island,Q23442
Q1126761,Pagan,island,Q23442
Q248212,Barren Island,island,Q23442
Q584092,Motu One,island,Q23442
Q528884,Aneityum,island,Q23442
Q950725,Penrhyn,island,Q23442
Q318801,Abemama,island,Q23442
Q168576,Jaluit Atoll,island,Q23442
Q292346,Isle of Noirmoutier,island,Q23442
Q1471237,Puka-Puka,island,Q23442
Q1340719,Manuae,island,Q23442
Q277552,Majuli,island,Q23442
Q966941,Niuafoʻou,island,Q23442
Q187864,Nukuoro,island,Q23442
Q506815,Fangataufa,island,Q23442
Q911028,Starbuck Island,island,Q23442
Q1166015,Maupihaa,island,Q23442
Q499519,Lipari,island,Q23442
Q304887,Abaiang,island,Q23442
Q292354,Island of Montreal,island,Q23442
Q615578,Aogashima,island,Q23442
Q1075076,Miyakejima,island,Q23442
Q1043134,Onekotan,island,Q23442
Q1033978,Canvey Island,island,Q23442
Q976570,Vostok Island,island,Q23442
Q956168,Tupai,island,Q23442
Q542619,Rongelap Atoll,island,Q23442
Q1787284,Siesta Key,island,Q23442
Q495476,Rishiri Island,island,Q23442
Q870387,Žitný ostrov,island,Q23442
Q396730,Agrihan,island,Q23442
Q669590,Tikehau,island,Q23442
Q741650,Flint Island,island,Q23442
Q1137207,Zhenbao Island,island,Q23442
Q483126,Anaa,island,Q23442
Q181515,Genovesa Island,island,Q23442
Q152754,Ebon Atoll,island,Q23442
Q867455,Makin,island,Q23442
Q163518,Peberholm,island,Q23442
Q1753453,Manihi,island,Q23442
Q400184,Ahe,island,Q23442
Q388347,Kapingamarangi,island,Q23442
Q292258,île aux Cygnes,island,Q23442
Q666634,Raroia,island,Q23442
Q686179,Kure Atoll,island,Q23442
Q1636779,Rose Atoll,island,Q23442
Q1548278,Great War Island,island,Q23442
Q1366804,Klein Curaçao,island,Q23442
Q2205302,Anak Krakatau Island,island,Q23442
Q567984,Woleai,island,Q23442
Q967796,Manihiki,island,Q23442
Q542053,Kolombangara,island,Q23442
Q953452,Lihou,island,Q23442
Q1130629,Pukapuka,island,Q23442
Q1811479,Napuka,island,Q23442
Q1187278,Nishinoshima,island,Q23442
Q370525,Arutua,island,Q23442
Q700138,Bokak Atoll,island,Q23442
Q697819,Namdrik Atoll,island,Q23442
Q1469615,Hikueru,island,Q23442
Q1423724,Mataiva,island,Q23442
Q1423489,Simushir,island,Q23442
Q2216473,Barsa-Kelmes,island,Q23442
Q1051489,Lobos Island,island,Q23442
Q576865,Onotoa,island,Q23442
Q2031580,Tureia,island,Q23442
Q259727,Amanohashidate,island,Q23442
Q1965316,Narcondam Island,island,Q23442
Q1814565,Tikei,island,Q23442
Q942395,Grand Island,island,Q23442
Q1094123,Rhoda Island,island,Q23442
Q405165,Ailinglaplap Atoll,island,Q23442
Q14945772,Zalzala Koh,island,Q23442
Q703627,Namu Atoll,island,Q23442
Q700015,Utirik Atoll,island,Q23442
Q2757538,Jal Mahal,island,Q23442
Q1421835,Nightingale Island,island,Q23442
Q1384924,Farallon de Pajaros,island,Q23442
Q1350219,Ulithi,island,Q23442
Q1059267,Tabiteuea,island,Q23442
Q591299,Makemo,island,Q23442
Q567926,Maloelap Atoll,island,Q23442
Q1197235,Mikura-jima,island,Q23442
Q897366,Óbuda Island,island,Q23442
Q1151821,North Iwo Jima,island,Q23442
Q1096067,Kiska,island,Q23442
Q405378,Ailuk Atoll,island,Q23442
Q405164,Ailinginae Atoll,island,Q23442
Q617923,Apataki,island,Q23442
Q614741,Despotiko,island,Q23442
Q700051,Mili Atoll,island,Q23442
Q697832,Kili Island,island,Q23442
Q694057,Arno Atoll,island,Q23442
Q1670474,Takaroa,island,Q23442
Q1510685,Koro Island,island,Q23442
Q1633928,Kupreanof Island,island,Q23442
Q2046019,Padre Island,island,Q23442
Q1053880,Central Island,island,Q23442
Q576348,Pingelap,island,Q23442
Q968883,Nukutavake,island,Q23442
Q253375,Tindhólmur,island,Q23442
Q475743,Tori-shima,island,Q23442
Q1814463,Takapoto,island,Q23442
Q936636,French Frigate Shoals,island,Q23442
Q512874,Gezira Island,island,Q23442
Q1895943,"Grande Île, Strasbourg",island,Q23442
Q613386,Beru,island,Q23442
Q703587,Toke Atoll,island,Q23442
Q697826,Rongerik Atoll,island,Q23442
Q682615,The Pearl Island,island,Q23442
Q741121,Lae Atoll,island,Q23442
Q718472,Kuchinoerabu Island,island,Q23442
Q1531438,Tematangi,island,Q23442
Q1476222,Sehel Island,island,Q23442
