qid,label,class_label,class_qid
Q477610,lay judges in Japan,judge,Q16533
Q18215011,investigating judge,judge,Q16533
Q97671371,Lay judges in Taiwan,judge,Q16533
Q104878255,Chairman of the Constitutional Court of Russia,judge,Q16533
Q4774913,Antimafia Pool,judge,Q16533
Q12592564,President of the Constitutional Court of Korea,judge,Q16533
Q108938570,Designated National Security Law Judges (Hong Kong),judge,Q16533
Q1505559,Trustee of Labour,judge,Q16533
Q3190161,jurat,judge,Q16533
Q7574695,Special Rapporteur on Women's Rights in Africa,judge,Q16533
Q7888430,United Nations Independent Expert on the Promotion of a Democratic and Equitable International Order,judge,Q16533
Q20706330,United States Supreme Court justice,judge,Q16533
