qid,label,class_label,class_qid
Q5484,Caspian Sea,lake,Q23397
Q5513,Lake Baikal,lake,Q23397
Q23883,Dead Sea,lake,Q23397
Q5505,Lake Victoria,lake,Q23397
Q35883,Aral Sea,lake,Q23397
Q35342,Titicaca,lake,Q23397
Q1066,Lake Superior,lake,Q23397
Q125309,Lake Chad,lake,Q23397
Q6403,Lake Geneva,lake,Q23397
Q4127,Lake Constance,lake,Q23397
Q6383,Lake Balaton,lake,Q23397
Q126307,Lake Van,lake,Q23397
Q134485,Lake Balkhash,lake,Q23397
Q42191,Issyk-Kul,lake,Q23397
Q15523,Lake Como,lake,Q23397
Q199551,Urmia Lake,lake,Q23397
Q182719,Lake Turkana,lake,Q23397
Q125912,Lake Kivu,lake,Q23397
Q5539,Great Slave Lake,lake,Q23397
Q152044,Lake Vostok,lake,Q23397
Q201294,Qinghai Lake,lake,Q23397
Q179970,Kati Thanda–Lake Eyre,lake,Q23397
Q178741,Great Salt Lake,lake,Q23397
Q200239,Lake Biwa,lake,Q23397
Q6396,Neusiedl Lake,lake,Q23397
Q156258,Lake Ohrid,lake,Q23397
Q4121,IJsselmeer,lake,Q23397
Q81150,Uvs Lake,lake,Q23397
Q648902,Lake Bled,lake,Q23397
Q464945,Poopó Lake,lake,Q23397
Q329266,Crater Lake,lake,Q23397
Q319412,Lop Nur,lake,Q23397
Q838080,Lake Natron,lake,Q23397
Q81239,Lake Assal,lake,Q23397
Q211823,Lake Tuz,lake,Q23397
Q503301,Salton Sea,lake,Q23397
Q335585,Mono Lake,lake,Q23397
Q1032254,Pangong Tso,lake,Q23397
Q753898,Argentino Lake,lake,Q23397
Q849508,Lake Nakuru,lake,Q23397
Q498671,Lake Hillier,lake,Q23397
Q1143935,Rukwa Lake,lake,Q23397
Q306194,Lake Abbe,lake,Q23397
Q831903,Lake Bohinj,lake,Q23397
Q498371,Nahuel Huapi Lake,lake,Q23397
Q47136,Laguna de Bay,lake,Q23397
Q918713,Viedma Lake,lake,Q23397
Q890651,Lake Bogoria,lake,Q23397
Q1522557,Lake Retba,lake,Q23397
Q390370,Windermere,lake,Q23397
Q1072342,Moraine Lake,lake,Q23397
Q849143,Chott el Djerid,lake,Q23397
Q827202,Lake Karachay,lake,Q23397
Q163246,Morskie Oko,lake,Q23397
Q575679,Lake Alaotra,lake,Q23397
Q511933,Jökulsárlón,lake,Q23397
Q1101008,Lake Elton,lake,Q23397
Q23426,Lac du Bourget,lake,Q23397
Q526440,Great Bitter Lake,lake,Q23397
Q310547,Lake Alakol,lake,Q23397
Q877319,Lake Itasca,lake,Q23397
Q576704,Lake Annecy,lake,Q23397
Q1112110,Roopkund,lake,Q23397
Q782399,Mar Chiquita,lake,Q23397
Q1464758,Lake Enriquillo,lake,Q23397
Q1134446,Reindeer Lake,lake,Q23397
Q249992,Lake Hévíz,lake,Q23397
Q163855,Lake Torrens,lake,Q23397
Q1367398,Lake Louise,lake,Q23397
Q390804,Lake Agassiz,lake,Q23397
Q849108,Lake Ngami,lake,Q23397
Q1324437,Femund,lake,Q23397
Q3358037,North Aral Sea,lake,Q23397
Q2005708,O'Higgins/San Martín Lake,lake,Q23397
Q700635,Weissensee,lake,Q23397
Q584255,Chott Melrhir,lake,Q23397
Q584201,Lake Amadeus,lake,Q23397
Q384811,Don Juan Pond,lake,Q23397
