qid,label,class_label,class_qid
Q37041,Classical Chinese,language,Q315
Q815563,Belgranodeutsch,language,Q315
Q3523410,Manipravalam,language,Q315
Q14189121,macaronic Latin,language,Q315
Q2673092,nomenclature Code,language,Q315
Q2404741,Soundpainting,language,Q315
Q953412,Namlish,language,Q315
Q1420493,conceptual graph,language,Q315
Q1383836,existential graph,language,Q315
Q378518,Blinkenlights,language,Q315
Q4200642,Indonesian slang,language,Q315
Q841260,Runglish,language,Q315
Q55636786,Urdish,language,Q315
Q850493,Siculish,language,Q315
Q7202092,plastic shaman,language,Q315
Q5147578,Colloquial Finnish,language,Q315
Q12899682,dog Latin,language,Q315
Q5526272,gas-guzzler,language,Q315
Q1751378,Shitting Days,language,Q315
Q7990631,Whangdoodle,language,Q315
Q16840350,groovy,language,Q315
Q14759,American Sign Language,language,Q315
Q275131,Scratch,language,Q315
Q33302,French Sign Language,language,Q315
Q252730,type species,language,Q315
Q36239,New Zealand Sign Language,language,Q315
Q33000,British Sign Language,language,Q315
Q33765,Nicaraguan Sign Language,language,Q315
Q375619,Italian Sign Language,language,Q315
Q33282,German Sign Language,language,Q315
Q29525,Auslan,language,Q315
Q35601,Japanese Sign Language,language,Q315
Q2605298,Danish Sign Language,language,Q315
Q35754,International Sign,language,Q315
Q606550,Simulink,language,Q315
Q55698568,Azerbaijani Sign Language,language,Q315
Q2380124,Plains Indian Sign Language,language,Q315
Q3100814,Spanish Sign Language,language,Q315
Q762464,Squeak,language,Q315
Q33225,Finnish Sign Language,language,Q315
Q3436654,Icelandic Sign Language,language,Q315
Q27709,Adamorobe Sign Language,language,Q315
Q1401466,Q1401466,language,Q315
Q3073428,Korean Sign Language,language,Q315
Q3322093,South African Sign Language,language,Q315
Q13210,Russian Sign Language,language,Q315
Q3915472,Portuguese Sign Language,language,Q315
Q36885,Turkish Sign Language,language,Q315
Q13193,Quebec Sign Language,language,Q315
Q743780,International Code of Nomenclature of Prokaryotes,language,Q315
Q2201099,Dutch Sign Language,language,Q315
Q3436689,Brazilian Sign Language,language,Q315
Q35768,Catalan Sign Language,language,Q315
Q36558,Swedish Sign Language,language,Q315
Q1002996,Snap!,language,Q315
