qid,label,class_label,class_qid
Q3315665,Minuteman Missile National Historic Site,launch pad,Q1353183
Q9050155,Nike Missile Site HM-69,launch pad,Q1353183
Q175127,Vandenberg Launch Complex 576,launch pad,Q1353183
Q1729736,Operational Silo Test Facility,launch pad,Q1353183
Q99701483,Vandenberg Launch Complex 576 E,launch pad,Q1353183
Q7389918,SF-88,launch pad,Q1353183
Q2510062,Vandenberg Launch Facility 09,launch pad,Q1353183
Q2510058,Vandenberg Launch Facility 08,launch pad,Q1353183
Q2510053,Vandenberg Launch Facility 07,launch pad,Q1353183
Q2510051,Vandenberg Launch Facility 05,launch pad,Q1353183
Q2510052,Vandenberg Launch Facility 04,launch pad,Q1353183
Q2510065,Vandenberg Launch Facility 21,launch pad,Q1353183
Q20711274,Nike Missile Site C47,launch pad,Q1353183
Q1569721,Vandenberg Launch Facility 06,launch pad,Q1353183
Q14708383,Ronald Reagan Minuteman Missile State Historic Site,launch pad,Q1353183
Q1439824,Vandenberg Launch Facility 02,launch pad,Q1353183
Q1382184,Vandenberg Launch Facility 03,launch pad,Q1353183
Q99698292,Vandenberg Launch Complex 576 A,launch pad,Q1353183
Q7119196,PH-32,launch pad,Q1353183
Q7023649,Niagara Falls BOMARC Missile Site,launch pad,Q1353183
Q60752253,RSL-3,launch pad,Q1353183
Q4635330,341st Missile Wing LGM-30 Minuteman Missile Launch Sites,launch pad,Q1353183
Q22059534,Otis Air Force Base BOMARC site,launch pad,Q1353183
Q18168354,San Vicente Mountain Park,launch pad,Q1353183
Q14711526,GAPA Launch Site and Blockhouse,launch pad,Q1353183
Q948471,Cape Canaveral Space Launch Complex 40,launch pad,Q1353183
Q2580456,Gagarin's Start,launch pad,Q1353183
Q1034348,Cape Canaveral Space Launch Complex 41,launch pad,Q1353183
Q1034347,Cape Canaveral Launch Complex 34,launch pad,Q1353183
Q1034366,Cape Canaveral Launch Complex 5,launch pad,Q1353183
Q258129,Baikonur Cosmodrome Site 31,launch pad,Q1353183
Q2502476,La Coupole,launch pad,Q1353183
Q884743,Blockhaus d'Éperlecques,launch pad,Q1353183
Q24256506,Kennedy Space Center Launch Complex 39B,launch pad,Q1353183
Q1812334,Fortress of Mimoyecques,launch pad,Q1353183
Q684100,Cape Canaveral Launch Complex 1,launch pad,Q1353183
Q926485,Cape Canaveral Space Launch Complex 13,launch pad,Q1353183
Q24256513,Kennedy Space Center Launch Complex 39A,launch pad,Q1353183
Q1034367,Cape Canaveral Launch Complex 6,launch pad,Q1353183
Q3177009,Odyssey,launch pad,Q1353183
Q918309,Cape Canaveral Launch Complex 12,launch pad,Q1353183
Q1034312,Cape Canaveral Space Launch Complex 14,launch pad,Q1353183
Q1034317,Cape Canaveral Launch Complex 19,launch pad,Q1353183
Q1034328,Cape Canaveral Launch Complex 2,launch pad,Q1353183
Q2510125,Vandenberg Space Launch Complex 6,launch pad,Q1353183
Q3054882,Ensemble de Lancement Vega,launch pad,Q1353183
Q455731,ELA-3,launch pad,Q1353183
Q918344,Cape Canaveral Launch Complex 11,launch pad,Q1353183
Q1034338,Cape Canaveral Launch Complex 3,launch pad,Q1353183
Q2115519,Test Stand VII,launch pad,Q1353183
Q642464,Cape Canaveral Launch Complex 16,launch pad,Q1353183
Q785841,ELA-2,launch pad,Q1353183
Q1034346,Cape Canaveral Space Launch Complex 46,launch pad,Q1353183
Q926474,Cape Canaveral Space Launch Complex 15,launch pad,Q1353183
Q81280973,Kennedy Space Center Launch Complex 48,launch pad,Q1353183
Q1275121,Ensemble de Lancement Soyouz,launch pad,Q1353183
Q635619,Cape Canaveral Space Launch Complex 20,launch pad,Q1353183
Q1034361,Cape Canaveral Launch Complex 9,launch pad,Q1353183
Q4365460,Baikonur Cosmodrome Site 200,launch pad,Q1353183
Q918341,Cape Canaveral Launch Complex 10,launch pad,Q1353183
Q17168,Anheung Proving Ground,launch pad,Q1353183
Q1585954,Vandenberg Space Launch Complex 8,launch pad,Q1353183
Q4415606,Imam Khomeini Space Launch Terminal,launch pad,Q1353183
Q428994,Cape Canaveral Launch Complex 31,launch pad,Q1353183
Q926174,Cape Canaveral Launch Complex 21,launch pad,Q1353183
Q1034330,Cape Canaveral Launch Complex 22,launch pad,Q1353183
Q4843261,Baikonur Cosmodrome Site 109,launch pad,Q1353183
Q4843259,Baikonur Cosmodrome Site 110,launch pad,Q1353183
Q7426281,Satish Dhawan Space Centre Second Launch Pad,launch pad,Q1353183
Q175327,Vandenberg Space Launch Complex 5,launch pad,Q1353183
Q132676491,Etlaq Spaceport,launch pad,Q1353183
Q34357542,ELA-4,launch pad,Q1353183
Q2510047,Vandenberg Launch Emplacement 8,launch pad,Q1353183
Q2510096,Vandenberg Space Launch Complex 10,launch pad,Q1353183
Q4099229,Siracourt V-1 bunker,launch pad,Q1353183
Q22907967,Drzewiecki drop collar,launch pad,Q1353183
Q7204631,Plesetsk Cosmodrome Site 133,launch pad,Q1353183
Q944606,Point Arguello Launch Complex B,launch pad,Q1353183
Q118874608,Plesetsk Cosmodrome Site 35/1,launch pad,Q1353183
Q24256512,Kennedy Space Center Launch Complex 39C,launch pad,Q1353183
Q25005179,Titan II ICBM Launch Complex 374-5 Site,launch pad,Q1353183
Q2510056,Point Arguello Launch Complex A,launch pad,Q1353183
Q2510090,Vandenberg Probe Launch Complex C,launch pad,Q1353183
Q13476271,Satish Dhawan Space Centre Third Launch Pad,launch pad,Q1353183
Q16251425,Mobile Launcher Platform-1,launch pad,Q1353183
Q6886898,Mobile Launcher Platform-2,launch pad,Q1353183
Q6886900,Mobile Launcher Platform-3,launch pad,Q1353183
Q7204630,Plesetsk Cosmodrome Site 16,launch pad,Q1353183
Q131056732,Vandenberg Space Launch Complex 9,launch pad,Q1353183
Q13409834,Plesetsk Cosmodrome Site 41,launch pad,Q1353183
Q7204629,Plesetsk Cosmodrome Site 131,launch pad,Q1353183
Q7204632,Plesetsk Cosmodrome Site 32,launch pad,Q1353183
Q7676654,Taiyuan Launch Complex 1,launch pad,Q1353183
Q7963189,Wallops Flight Facility Launch Area 3,launch pad,Q1353183
Q8034006,Woomera Launch Area 5,launch pad,Q1353183
