qid,label,class_label,class_qid
Q5301118,Doughty Street Chambers,law firm,Q613142
Q8060897,Yulchon,law firm,Q613142
Q24387418,DR & AJU,law firm,Q613142
Q7163426,Pennie & Edmonds,law firm,Q613142
Q4965903,Brick Court Chambers,law firm,Q613142
Q9035311,Mossack Fonseca,law firm,Q613142
Q1101257,Clifford Chance,law firm,Q613142
Q804340,Baker McKenzie,law firm,Q613142
Q2120145,Allen & Overy,law firm,Q613142
Q1317942,Linklaters,law firm,Q613142
Q1584922,"Skadden, Arps, Slate, Meagher & Flom",law firm,Q613142
Q1760371,White & Case,law firm,Q613142
Q1154482,DLA Piper,law firm,Q613142
Q1051613,Freshfields Bruckhaus Deringer,law firm,Q613142
Q6275191,Jones Day,law firm,Q613142
Q1806949,Latham & Watkins,law firm,Q613142
Q2005245,Shearman & Sterling,law firm,Q613142
Q3069699,Sullivan & Cromwell,law firm,Q613142
Q784403,Hogan Lovells,law firm,Q613142
Q3344263,Norton Rose Fulbright,law firm,Q613142
Q4781318,Appleby,law firm,Q613142
Q1743511,Kirkland & Ellis,law firm,Q613142
Q874088,Paul Hastings,law firm,Q613142
Q7367828,Rose Law Firm,law firm,Q613142
Q7539047,Slaughter and May,law firm,Q613142
Q4944938,Borenius Attorneys Ltd,law firm,Q613142
Q5524004,Garrigues,law firm,Q613142
Q6913998,Morrison & Foerster,law firm,Q613142
Q14468778,Herbert Smith Freehills,law firm,Q613142
Q3356678,"Orrick, Herrington & Sutcliffe",law firm,Q613142
Q3483312,Sidley Austin,law firm,Q613142
Q98381239,CMS,law firm,Q613142
Q111597979,Morgan & Morgan,law firm,Q613142
Q1915092,McDermott Will & Emery,law firm,Q613142
Q5130977,Cleary Gottlieb Steen & Hamilton,law firm,Q613142
Q5241952,Davis Polk & Wardwell,law firm,Q613142
Q5603710,Greenberg Traurig,law firm,Q613142
Q5928354,King & Wood Mallesons,law firm,Q613142
Q6747961,Mandela and Tambo,law firm,Q613142
Q13633888,Dentons,law firm,Q613142
Q8026035,Winston & Strawn,law firm,Q613142
Q5417329,Eversheds Sutherland,law firm,Q613142
Q651946,Noerr,law firm,Q613142
Q836141,Gleiss Lutz,law firm,Q613142
Q5182707,"Cravath, Swaine & Moore",law firm,Q613142
Q5559258,"Gibson, Dunn & Crutcher",law firm,Q613142
Q7040633,Nishimura & Asahi,law firm,Q613142
Q7071872,O'Melveny & Myers,law firm,Q613142
Q2324974,NautaDutilh,law firm,Q613142
Q2351312,"Herzog, Fox & Ne'eman",law firm,Q613142
Q2406814,Stibbe,law firm,Q613142
Q4173770,Egorov Puginsky Afanasiev & Partners,law firm,Q613142
Q4202364,Foreign Legal Collegium,law firm,Q613142
Q4302384,"Morgan, Lewis & Bockius",law firm,Q613142
Q4794927,Arnold & Porter,law firm,Q613142
Q4806129,Ashurst LLP,law firm,Q613142
Q7521145,Simpson Thacher & Bartlett,law firm,Q613142
Q7958775,"Wachtell, Lipton, Rosen & Katz",law firm,Q613142
Q7980178,"Weil, Gotshal & Manges",law firm,Q613142
Q6322401,K&L Gates,law firm,Q613142
Q564223,Covington & Burling,law firm,Q613142
Q1531730,Hengeler Mueller,law firm,Q613142
