qid,label,class_label,class_qid
Q11010,Parliament of the United Kingdom,legislature,Q11204
Q715641,State Duma,legislature,Q11204
Q199955,Hundred Days,legislature,Q11204
Q272930,Parliament of Sweden,legislature,Q11204
Q330643,Moradabad,legislature,Q11204
Q206171,Scottish Parliament,legislature,Q11204
Q475689,Parliament of Canada,legislature,Q11204
Q219825,National Convention,legislature,Q11204
Q593193,Burhanpur,legislature,Q11204
Q382118,Parliament of Australia,legislature,Q11204
Q129821,Oireachtas,legislature,Q11204
Q36796,Munger,legislature,Q11204
Q207304,Estates General,legislature,Q11204
Q374152,Seimas,legislature,Q11204
Q643412,Parliament of Finland,legislature,Q11204
Q822919,Saeima,legislature,Q11204
Q172903,Katihar,legislature,Q11204
Q136649,kurultai,legislature,Q11204
Q493517,Senedd,legislature,Q11204
Q1192453,Deoghar,legislature,Q11204
Q83443,Manali,legislature,Q11204
Q1000495,Rewa,legislature,Q11204
Q11360899,Anantnag,legislature,Q11204
Q2088480,Ambikapur,legislature,Q11204
Q860210,Brahmapur,legislature,Q11204
Q157638,Frankfurt National Assembly,legislature,Q11204
Q684719,Federal Assembly of Switzerland,legislature,Q11204
Q1649453,State Duma,legislature,Q11204
Q1130737,Parliament of England,legislature,Q11204
Q497578,Witan,legislature,Q11204
Q876424,National Constituent Assembly,legislature,Q11204
Q1648551,Khandwa,legislature,Q11204
Q2768192,Mahabubnagar,legislature,Q11204
Q285714,Northern Ireland Assembly,legislature,Q11204
Q2347172,Parliament of the Czech Republic,legislature,Q11204
Q536822,Diet of Worms,legislature,Q11204
Q1257966,Inatsisartut,legislature,Q11204
Q1139204,National Council of the Slovak Republic,legislature,Q11204
Q255780,Singrauli,legislature,Q11204
Q617290,Council of Five Hundred,legislature,Q11204
Q252612,First Continental Congress,legislature,Q11204
Q168396,Volkskammer,legislature,Q11204
Q177904,Zemsky Sobor,legislature,Q11204
Q1949009,Rajnandgaon,legislature,Q11204
Q1112381,House of Representatives,legislature,Q11204
Q190704,Central Rada,legislature,Q11204
Q662868,Kangra,legislature,Q11204
Q1450753,Parliament of Sri Lanka,legislature,Q11204
Q535158,Long Parliament,legislature,Q11204
Q1091494,Parliament of Åland,legislature,Q11204
Q2739604,Parliament of Great Britain,legislature,Q11204
Q1585629,Palestinian National Council,legislature,Q11204
Q1517231,Parliament of Singapore,legislature,Q11204
Q780457,Legislative Assembly,legislature,Q11204
Q64203,Sámi Parliament of Norway,legislature,Q11204
Q160208,Reichstag,legislature,Q11204
Q1319595,National Assembly,legislature,Q11204
Q883433,Great Sejm,legislature,Q11204
Q4167739,Dras,legislature,Q11204
Q1477668,Rump Parliament,legislature,Q11204
Q649746,Weimar National Assembly,legislature,Q11204
Q637829,Reichstag,legislature,Q11204
Q2626571,Supreme Soviet of Russian Soviet Federative Socialist Republic,legislature,Q11204
Q65089999,117th United States Congress,legislature,Q11204
Q1414558,General National Congress,legislature,Q11204
Q1760847,National Assembly,legislature,Q11204
Q2457646,Diet of Porvoo,legislature,Q11204
Q828750,Diets of Augsburg,legislature,Q11204
Q4808905,Azerbaijani National Council,legislature,Q11204
Q878525,Reichstag,legislature,Q11204
Q104842452,118th United States Congress,legislature,Q11204
Q697775,Austrian Imperial Council,legislature,Q11204
Q650248,Landtag of Prussia,legislature,Q11204
Q1889821,Parliament of Ireland,legislature,Q11204
Q2630860,Transcaucasian Commissariat,legislature,Q11204
