qid,label,class_label,class_qid
Q741304,J’accuse…!,letter,Q133492
Q154091,Zimmermann telegram,letter,Q133492
Q335987,Rerum Novarum,letter,Q133492
Q168694,Ems dispatch,letter,Q133492
Q162663,Mit brennender Sorge,letter,Q133492
Q20064904,Laudato si',letter,Q133492
Q683261,Humanae Vitae,letter,Q133492
Q596381,Quadragesimo Anno,letter,Q133492
Q13582394,Lumen fidei,letter,Q133492
Q605550,Deus Caritas Est,letter,Q133492
Q1235047,Pascendi Dominici gregis,letter,Q133492
Q968895,Pacem in Terris,letter,Q133492
Q514121,In nomine Domini,letter,Q133492
Q1053644,Centesimus Annus,letter,Q133492
Q174548,Mater et Magistra,letter,Q133492
Q3111341,The Quadrature of the Parabola,letter,Q133492
Q606264,Quanta cura,letter,Q133492
Q98918602,Fratelli tutti,letter,Q133492
Q524753,Divini Redemptoris,letter,Q133492
Q845571,Casti connubii,letter,Q133492
Q127066,Laborem Exercens,letter,Q133492
Q381906,Aeterni Patris,letter,Q133492
Q23703861,Amoris laetitia,letter,Q133492
Q677816,Caritas in Veritate,letter,Q133492
Q2000320,Open Letter to Hobbyists,letter,Q133492
Q369960,Evangelium Vitae,letter,Q133492
Q741318,Spe Salvi,letter,Q133492
Q517319,Stalin Note,letter,Q133492
Q729646,Sollicitudo Rei Socialis,letter,Q133492
Q1232827,Fides et Ratio,letter,Q133492
Q1232732,Veritatis Splendor,letter,Q133492
Q1247063,Redemptor Hominis,letter,Q133492
Q1235290,Humanum Genus,letter,Q133492
Q1235060,Ut Unum Sint,letter,Q133492
Q1235053,Providentissimus Deus,letter,Q133492
Q1636606,Mirari Vos,letter,Q133492
Q1244321,Mortalium Animos,letter,Q133492
Q781802,Dives in Misericordia,letter,Q133492
Q885199,Kruger telegram,letter,Q133492
Q673793,Populorum progressio,letter,Q133492
Q206683,Slavorum Apostoli,letter,Q133492
Q729202,Ecclesia de Eucharistia,letter,Q133492
Q743862,Redemptoris Mater,letter,Q133492
Q1235078,Redemptoris Missio,letter,Q133492
Q345606,Ad Beatissimi Apostolorum,letter,Q133492
Q4537996,Yandex Mail,letter,Q133492
Q1246909,Vehementer Nos,letter,Q133492
Q1246905,Humani generis,letter,Q133492
Q15235665,Evangelii Gaudium,letter,Q133492
Q2025348,Sicut dudum,letter,Q133492
Q1782986,Rosarium Virginis Mariae,letter,Q133492
Q381901,Aeterna Dei Sapientia,letter,Q133492
Q773838,Non Abbiamo Bisogno,letter,Q133492
Q345552,Ad Petri Cathedram,letter,Q133492
Q1227289,Graves de Communi Re,letter,Q133492
Q1226888,E Supremi,letter,Q133492
Q1246942,Summi Pontificatus,letter,Q133492
Q764823,Dominum et Vivificantem,letter,Q133492
Q2094672,Qui Pluribus,letter,Q133492
Q995974,Familiaris Consortio,letter,Q133492
Q1121008,Quas primas,letter,Q133492
Q345627,Ad Diem Illum,letter,Q133492
Q5626665,Göring telegram,letter,Q133492
Q4363784,A letter to American workingmen,letter,Q133492
Q1231426,Inimica vis,letter,Q133492
Q729168,Etsi Nos,letter,Q133492
Q684841,Quod Iam Diu,letter,Q133492
Q1225465,Dilectissima Nobis,letter,Q133492
Q1244349,Mystici Corporis Christi,letter,Q133492
Q62733670,Christus vivit,letter,Q133492
Q51677833,Gaudete et exsultate,letter,Q133492
Q2304566,Verbum Domini,letter,Q133492
Q582322,Humani generis redemptionem,letter,Q133492
Q550587,Sacerdotalis Caelibatus,letter,Q133492
Q1083067,Christifideles Laici,letter,Q133492
Q345479,Ad Caeli Reginam,letter,Q133492
Q1235037,Princeps Pastorum,letter,Q133492
Q1609768,Letter from Birmingham Jail,letter,Q133492
Q1460458,Ordinatio Sacerdotalis,letter,Q133492
Q1379762,Evangelii Nuntiandi,letter,Q133492
Q1231421,Sacerdotii Nostri Primordia,letter,Q133492
Q1231127,Acerba Animi,letter,Q133492
Q763484,Mysterium fidei,letter,Q133492
Q136450956,Dilexi te,letter,Q133492
Q130633650,Dilexit nos,letter,Q133492
Q634500,GMail Drive,letter,Q133492
Q631715,Arcanum,letter,Q133492
Q107550411,Traditionis custodes,letter,Q133492
Q771759,Grata Recordatio,letter,Q133492
Q536746,Iniquis afflictisque,letter,Q133492
Q910703,Mulieris Dignitatem,letter,Q133492
Q572492,Traditi Humilitati,letter,Q133492
Q667873,Ecclesiam Suam,letter,Q133492
Q739261,In praeclara summorum,letter,Q133492
Q345448,Ad Apostolorum Principis,letter,Q133492
Q1225709,Paenitentiam Agere,letter,Q133492
Q1225135,Ubi arcano Dei consilio,letter,Q133492
Q1225104,Immortale Dei,letter,Q133492
Q490551,Mirae Caritatis,letter,Q133492
Q489504,Quamquam Pluries,letter,Q133492
Q477382,Quod Apostolici Muneris,letter,Q133492
Q752049,Miserentissimus Redemptor,letter,Q133492
Q371834,Annum Sacrum,letter,Q133492
Q1235099,Mediator Dei,letter,Q133492
Q122901756,Laudate Deum,letter,Q133492
Q2033464,Ubi Primum,letter,Q133492
Q936384,Mense Maio,letter,Q133492
Q1146167,Custodi di quella fede,letter,Q133492
Q1078619,Christi Matri,letter,Q133492
Q123020,Maximum illud,letter,Q133492
Q680064,Divinum Illud Munus,letter,Q133492
Q1511544,Vix Pervenit,letter,Q133492
Q1229161,Haurietis Aquas,letter,Q133492
Q1223194,Etsi multa,letter,Q133492
Q764015,Deiparae Virginis Mariae,letter,Q133492
Q1872063,Sacramentum Caritatis,letter,Q133492
Q3780761,First Apology of Justin Martyr,letter,Q133492
Q2891139,Letter of the Six,letter,Q133492
Q917149,Praedecessores Nostros,letter,Q133492
Q911044,Pastores Dabo Vobis,letter,Q133492
Q2272372,Notre charge apostolique,letter,Q133492
Q551054,Officio Sanctissimo,letter,Q133492
Q1158044,Ab Apostolici,letter,Q133492
Q153808,Höfle telegram,letter,Q133492
Q648174,Supremi apostolatus officio,letter,Q133492
Q1520484,Singulari Nos,letter,Q133492
Q1230339,Humani generis unitas,letter,Q133492
Q683905,Saeculo exeunte octavo,letter,Q133492
Q696540,Iamdudum,letter,Q133492
Q182908,Luctuosissimi Eventus,letter,Q133492
Q1223180,Octobri mense,letter,Q133492
Q744907,Ubi Urbaniano,letter,Q133492
Q2405878,Tertio millennio adveniente,letter,Q133492
Q634952,Augustissimae Virginis Mariae,letter,Q133492
Q622627,Quanto  conficiamur  moerore,letter,Q133492
Q600619,In plurimis,letter,Q133492
Q84938249,Querida Amazonia,letter,Q133492
Q111088083,2022 open letter from Nobel laureates in support of Ukraine,letter,Q133492
Q524810,Invicti Athletae,letter,Q133492
Q908283,Catechesi Tradendae,letter,Q133492
Q566822,Anni Sacri,letter,Q133492
Q1143601,Cum Multa,letter,Q133492
Q1120698,Communium Interpretes,letter,Q133492
Q642917,Tribus Circiter,letter,Q133492
Q345570,Ad Sinarum Gentem,letter,Q133492
Q6123570,Second Apology of Justin Martyr,letter,Q133492
Q5290720,Dominicae Cenae,letter,Q133492
Q4162638,Long Telegram,letter,Q133492
Q253879,Q253879,letter,Q133492
Q1229805,Optatissima Pax,letter,Q133492
Q1229989,Laetamur Admodum,letter,Q133492
Q696530,Lacrimabili statu,letter,Q133492
Q1280219,Ecclesia in Asia,letter,Q133492
Q744438,Magnae dei matris,letter,Q133492
Q9333028,Salvifici doloris,letter,Q133492
Q1660770,In Suprema Petri Apostoli Sede,letter,Q133492
Q382199,Affari vos,letter,Q133492
Q476468,Quo Graviora,letter,Q133492
Q383952,Africae munus,letter,Q133492
Q18385934,ݨ,letter,Q133492
Q29775,A Common Word Between Us and You,letter,Q133492
Q632783,Laetitiae Sanctae,letter,Q133492
Q631883,Superiore anno,letter,Q133492
Q622904,Ecclesia in America,letter,Q133492
Q911221,Orientalium Dignitas,letter,Q133492
Q26084484,2016 Democratic National Committee email leak,letter,Q133492
Q768046,Sertum Laetitiae,letter,Q133492
Q2042727,To the People of Texas & All Americans in the World,letter,Q133492
Q540374,Quod auctoritate,letter,Q133492
Q909579,Reconciliatio et Paenitentia,letter,Q133492
Q567404,Annum ingressi,letter,Q133492
Q680077,Satis Cognitum,letter,Q133492
Q675239,Musicae Sacrae,letter,Q133492
Q666383,Quemadmodum,letter,Q133492
Q659648,Au milieu des sollicitudes,letter,Q133492
Q646889,Fulgens Corona,letter,Q133492
Q1230893,In Multiplicibus Curis,letter,Q133492
Q1225129,Ingruentium Malorum,letter,Q133492
Q1167756,Dies Domini,letter,Q133492
Q1280217,Ecclesia in Europa,letter,Q133492
Q1280209,Ecclesia in Africa,letter,Q133492
Q506559,Evangelii Praecones,letter,Q133492
Q752043,Orientales Ecclesias,letter,Q133492
Q21715262,Open Letter on Artificial Intelligence,letter,Q133492
Q2528524,Vita consecrata,letter,Q133492
Q2521625,Vi è ben noto,letter,Q133492
Q914089,Letter of 40 intellectuals,letter,Q133492
Q97051339,A Letter on Justice and Open Debate,letter,Q133492
Q71702906,Aperuit illis,letter,Q133492
Q104778894,Spiritus Domini,letter,Q133492
Q123153892,C’est la confiance,letter,Q133492
Q833278,Nostis et nobiscum,letter,Q133492
Q822272,Le Pelerinage de Lourdes,letter,Q133492
Q2285220,Signum Magnum,letter,Q133492
Q2136213,Redemptoris Custos,letter,Q133492
Q2056340,Pastores gregis,letter,Q133492
Q540609,Orientales omnes Ecclesiae,letter,Q133492
Q538679,Fulgens radiatur,letter,Q133492
Q4363795,Letter of Forty-Two,letter,Q133492
Q4363778,Letter from a group of Soviet writers about Solzhenitsyn and Sakharov,letter,Q133492
Q1280222,Ecclesia in Medio Oriente,letter,Q133492
Q752062,Orientalis Ecclesiae,letter,Q133492
Q99754491,Scripturae Sacrae affectus,letter,Q133492
Q41553149,Magnum principium,letter,Q133492
Q119474276,Statement on AI Risk,letter,Q133492
Q106645564,Letter of Seventeen,letter,Q133492
Q779709,Auspicia Quaedam,letter,Q133492
Q876478,Letter of Reconciliation of the Polish Bishops to the German Bishops,letter,Q133492
Q951775,A Word to the People,letter,Q133492
Q1143611,Cum Primum,letter,Q133492
