qid,label,class_label,class_qid
Q263,Wikisource,library,Q7075
Q435,Library of Alexandria,library,Q7075
Q461,Internet Archive,library,Q7075
Q188915,National Library of Israel,library,Q7075
Q22673,Project Gutenberg,library,Q7075
Q23308,British Library,library,Q7075
Q206033,Google Books,library,Q7075
Q1420342,JSTOR,library,Q7075
Q156591,Yad Vashem,library,Q7075
Q750403,Biblioteca Nacional de España,library,Q7075
Q1048694,Russian State Library,library,Q7075
Q219555,New York Public Library,library,Q7075
Q229883,Q229883,library,Q7075
Q267566,National Library of Russia,library,Q7075
Q856544,Library of Ashurbanipal,library,Q7075
Q475225,World Digital Library,library,Q7075
Q1322278,Matenadaran,library,Q7075
Q234110,Europeana,library,Q7075
Q578460,Biblioteca Nazionale Marciana,library,Q7075
Q1201876,Open Library,library,Q7075
Q1140429,State Historical Museum,library,Q7075
Q815611,Biblioteca Ambrosiana,library,Q7075
Q856419,Biblioteca Medicea Laurenziana,library,Q7075
Q256507,Bavarian State Library,library,Q7075
Q170109,Berlin State Library,library,Q7075
Q240304,The European Library,library,Q7075
Q924551,National Library of Norway,library,Q7075
Q1200925,National Library of Catalonia,library,Q7075
Q167935,Załuski Library,library,Q7075
Q948882,National Library of Brazil,library,Q7075
Q245966,National Library of Portugal,library,Q7075
Q1246991,Stockholm Public Library,library,Q7075
Q1264942,Dumbarton Oaks,library,Q7075
Q324689,Bamberg State Library,library,Q7075
Q1400558,"The Huntington Library, Art Museum, and Botanical Gardens",library,Q7075
Q1113843,Biblioteca Malatestiana,library,Q7075
Q1906210,Marxists Internet Archive,library,Q7075
Q933290,Project Runeberg,library,Q7075
Q1492436,Gallica,library,Q7075
Q779703,Royal Museum for Central Africa,library,Q7075
Q686443,Department of Planned Languages and Esperanto Museum,library,Q7075
Q639661,Perseus Digital Library,library,Q7075
Q50711,Duchess Anna Amalia Library,library,Q7075
Q6294156,Vasconcelos Library,library,Q7075
Q18659999,Helsinki Central Library Oodi,library,Q7075
Q1746538,Pixabay,library,Q7075
Q1668196,Museo Galileo,library,Q7075
Q1650391,Derby Central Library,library,Q7075
Q2296824,Centre de documentation et d'étude sur la langue internationale,library,Q7075
Q856408,Royal Library of Turin,library,Q7075
Q172266,Biodiversity Heritage Library,library,Q7075
Q663820,Herzog August Library,library,Q7075
Q6542576,Library of Birmingham,library,Q7075
Q616272,Shanghai Library,library,Q7075
Q1376408,Vancouver Public Library,library,Q7075
Q8247497,Louis Notari Library,library,Q7075
Q1773229,Biblioteca Joanina,library,Q7075
Q3235742,Google Patents,library,Q7075
Q3128305,HathiTrust Digital Library,library,Q7075
Q1183139,Oslo Public Library,library,Q7075
Q2901355,Chetham's Library,library,Q7075
Q39628,Bibliothèque et Archives nationales du Québec,library,Q7075
Q570837,The Latin Library,library,Q7075
Q2201144,National University Library of Turin,library,Q7075
Q1476351,Project MUSE,library,Q7075
Q856409,Biblioteca Riccardiana,library,Q7075
Q1204535,German Central Library for the Blind,library,Q7075
Q856380,Biblioteca Angelica,library,Q7075
Q771894,Biblioteca nazionale Braidense,library,Q7075
Q269192,London Library,library,Q7075
Q4837690,BabelNet,library,Q7075
Q83466,Aozora Bunko,library,Q7075
Q8030967,Women's Library,library,Q7075
Q616184,Hong Kong Central Library,library,Q7075
Q3207001,Raza Library,library,Q7075
Q1198796,Brooklyn Public Library,library,Q7075
Q716167,National Taiwan Library,library,Q7075
Q2451336,Q2451336,library,Q7075
Q2440344,cathédrale du Sacré-Cœur d'Oran,library,Q7075
Q15116319,National Library of Haiti,library,Q7075
Q1036261,Tōyō Bunko,library,Q7075
Q1588452,Haskell Free Library and Opera House,library,Q7075
Q549714,Union of International Associations,library,Q7075
Q1337750,Queens Public Library,library,Q7075
Q631808,National Library of Aruba,library,Q7075
Q2050653,State Library of Queensland,library,Q7075
Q119684,Malmö City Library,library,Q7075
Q2587057,Ultimate Guitar,library,Q7075
Q4176334,Phillips Exeter Academy Library,library,Q7075
Q616527,Newberry Library,library,Q7075
Q2944483,Digital Public Library of America,library,Q7075
Q2000339,Pavillon de l'Arsenal,library,Q7075
Q631064,Garrison Library,library,Q7075
Q2901320,Biblioteca Vallicelliana,library,Q7075
Q670848,Centre international de recherches sur l'anarchisme,library,Q7075
Q252430,Persée,library,Q7075
Q2540516,Greenstone,library,Q7075
Q2901252,Biblioteca Palatina di Parma,library,Q7075
Q2708415,In Flanders Fields Museum,library,Q7075
Q2660837,Mário de Andrade Library,library,Q7075
Q3640335,Birmingham Central Library,library,Q7075
Q7442157,Seattle Public Library,library,Q7075
Q7433389,SciELO,library,Q7075
Q3192586,Kanazawa Bunko,library,Q7075
Q3087288,Free Library of Philadelphia,library,Q7075
Q2901516,Toronto Public Library,library,Q7075
Q22975461,Autores.uy,library,Q7075
Q3815720,Ahmed Baba Institute,library,Q7075
Q12194101,Al-Maktaba Al-Shamela,library,Q7075
Q7971387,Waseda University Library,library,Q7075
Q7981192,Wellcome Library,library,Q7075
Q11896298,Main Library of Tampere City Library,library,Q7075
Q4914640,BioOne,library,Q7075
Q4903493,Biblioteca Virtual Miguel de Cervantes,library,Q7075
Q3320500,Sir Robert Ho Tung Library,library,Q7075
Q2105660,Amsterdam Public Library Foundation,library,Q7075
Q1452577,Traditional Knowledge Digital Library,library,Q7075
Q716691,Teleki Library,library,Q7075
