qid,label,class_label,class_qid
Q3867498,suspensory muscle of duodenum,ligament,Q39888
Q1824647,posterior longitudinal ligament,ligament,Q39888
Q669260,anterior longitudinal ligament,ligament,Q39888
Q288821,medial collateral ligament of ankle,ligament,Q39888
Q519216,nuchal ligament,ligament,Q39888
Q941241,alar ligament,ligament,Q39888
Q4771413,anterior tibiofibular ligament,ligament,Q39888
Q5175169,costoclavicular ligament,ligament,Q39888
Q5998330,Iliofemoral ligament,ligament,Q39888
Q5998331,iliolumbar ligament,ligament,Q39888
Q6545844,ligament of head of femur,ligament,Q39888
Q1471133,supraspinous ligament,ligament,Q39888
Q1542293,plantar calcaneonavicular ligament,ligament,Q39888
Q428090,lateral thyrohyoid ligament,ligament,Q39888
Q966616,median thyrohyoid ligament,ligament,Q39888
Q6079266,Ischiofemoral ligament,ligament,Q39888
Q7128149,palmar plate,ligament,Q39888
Q1704861,long plantar ligament,ligament,Q39888
Q253168,radial collateral ligament of wrist joint,ligament,Q39888
Q610866,interosseous talocalcaneal ligament,ligament,Q39888
Q861058,Oblique cord of the forearm,ligament,Q39888
Q4676185,acromioclavicular ligament,ligament,Q39888
Q4771369,anterior ligament of the head of the fibula,ligament,Q39888
Q4904823,bifurcated ligament,ligament,Q39888
Q5298809,Dorsal talonavicular ligament,ligament,Q39888
Q6806089,medial talocalcaneal ligament,ligament,Q39888
Q7234218,posterior ligament of the head of the fibula,ligament,Q39888
Q7234244,posterior talocalcaneal ligament,ligament,Q39888
Q7234253,posterior tibiofibular ligament,ligament,Q39888
Q7258155,pubofemoral ligament,ligament,Q39888
Q7280325,radiate carpal ligament,ligament,Q39888
Q9376071,lateral talocalcaneal ligament,ligament,Q39888
Q1824644,anterior meniscofemoral ligament,ligament,Q39888
Q258145,ulnar collateral ligament of wrist joint,ligament,Q39888
Q3238429,posterior sacroiliac ligament,ligament,Q39888
Q4771392,anterior sacroiliac ligament,ligament,Q39888
Q4771398,anterior sternoclavicular ligament,ligament,Q39888
Q4771407,anterior talocalcaneal ligament,ligament,Q39888
Q5018675,calcaneocuboid ligament,ligament,Q39888
Q5250449,deep transverse metacarpal ligament,ligament,Q39888
Q5298766,dorsal calcaneocuboid ligament,ligament,Q39888
Q6056254,interosseous sacroiliac ligament,ligament,Q39888
Q6495559,lateral arcuate ligament,ligament,Q39888
Q7128151,palmar radiocarpal ligament,ligament,Q39888
Q7307353,reflex inguinal ligament,ligament,Q39888
Q7629687,stylohyoid ligament,ligament,Q39888
Q7692862,tectorial membrane of cervical vertebral column,ligament,Q39888
Q1320712,Struthers' ligament,ligament,Q39888
Q4787736,arcuate popliteal ligament,ligament,Q39888
Q5145993,collateral ligaments of interphalangeal articulations of foot,ligament,Q39888
Q5145994,collateral ligaments of metatarsophalangeal articulations,ligament,Q39888
Q5298772,dorsal cuboideonavicular ligament,ligament,Q39888
Q5298774,dorsal cuneonavicular ligaments,ligament,Q39888
Q5298800,dorsal radiocarpal ligament,ligament,Q39888
Q7201580,plantar cuboideonavicular ligament,ligament,Q39888
Q16920093,plantar cuneonavicular ligaments,ligament,Q39888
Q17087157,posterior meniscofemoral ligament,ligament,Q39888
Q7280322,radiate ligament of head of rib,ligament,Q39888
Q7629692,stylomandibular ligament,ligament,Q39888
Q7835420,transverse acetabular ligament,ligament,Q39888
Q7835438,transverse ligament of knee,ligament,Q39888
Q8073852,zona orbicularis,ligament,Q39888
Q4771319,anterior atlantooccipital membrane,ligament,Q39888
Q4779799,apical ligament of dens,ligament,Q39888
Q5298773,dorsal cuneocuboid ligament,ligament,Q39888
Q5298785,dorsal intercuneiform ligaments,ligament,Q39888
Q5298792,dorsal metatarsal ligaments,ligament,Q39888
Q5298810,dorsal tarsometatarsal ligaments,ligament,Q39888
Q6056213,Interosseous cuneocuboid ligament,ligament,Q39888
Q6056216,Interosseous cuneometatarsal ligaments,ligament,Q39888
Q6056234,Interosseous metatarsal ligaments,ligament,Q39888
Q6495700,Lateral sacrococcygeal ligament,ligament,Q39888
Q6558815,Lisfranc ligament,ligament,Q39888
Q7201578,plantar calcaneocuboid ligament,ligament,Q39888
Q7201581,plantar cuneocuboid ligament,ligament,Q39888
Q7201584,plantar intercuneiform ligaments,ligament,Q39888
Q7201586,plantar metatarsal ligaments,ligament,Q39888
Q7201591,plantar tarsometatarsal ligaments,ligament,Q39888
Q16655697,medial patellofemoral ligament,ligament,Q39888
Q16956980,interosseous intercuneiform ligaments,ligament,Q39888
Q7835443,transverse metatarsal ligament,ligament,Q39888
Q6495691,lateral patellar retinaculum,ligament,Q39888
