qid,label,class_label,class_qid
Q245151,Tower of Hercules,lighthouse,Q39715
Q380270,Stanislav-Adziogol Lighthouse,lighthouse,Q39715
Q712299,Långe Jan,lighthouse,Q39715
Q773807,Kjeungskjær Lighthouse,lighthouse,Q39715
Q1518751,Kullen lighthouse,lighthouse,Q39715
Q5511494,Fårö lighthouse,lighthouse,Q39715
Q10520589,Helsinki lighthouse,lighthouse,Q39715
Q4228922,Kalbådagrund lighthouse,lighthouse,Q39715
Q3428819,Homlungen Lighthouse,lighthouse,Q39715
Q3428718,Filtvet Lighthouse,lighthouse,Q39715
Q959479,Pater Noster lighthouse,lighthouse,Q39715
Q744547,Runde Lighthouse,lighthouse,Q39715
Q3739811,Royal Sovereign Lighthouse,lighthouse,Q39715
Q3372089,Vinga lighthouse,lighthouse,Q39715
Q2671728,Point Wilson Light,lighthouse,Q39715
Q2641400,Alki Point Light,lighthouse,Q39715
Q9367535,Utklippan lighthouse,lighthouse,Q39715
Q7810653,Tjärven lighthouse,lighthouse,Q39715
Q911813,Kvitholmen Lighthouse,lighthouse,Q39715
Q7599046,Stanislav Range Front Light,lighthouse,Q39715
Q7071390,När lighthouse,lighthouse,Q39715
Q10474994,Djursten lighthouse,lighthouse,Q39715
Q15627455,Skagen's Vippefyr,lighthouse,Q39715
Q3739809,Rampside Lighthouse,lighthouse,Q39715
Q2680081,Mukilteo Light,lighthouse,Q39715
Q2680199,Ediz Hook Light,lighthouse,Q39715
Q10280171,Santa Marta Lighthouse,lighthouse,Q39715
Q10280113,Guia Lighthouse,lighthouse,Q39715
Q980133,Sandhammaren lighthouse,lighthouse,Q39715
Q1796230,New Dorp Light,lighthouse,Q39715
Q1555757,Yaquina Bay Light,lighthouse,Q39715
Q1235762,Kapelludden lighthouse,lighthouse,Q39715
Q7651711,Svartklubben lighthouse,lighthouse,Q39715
Q7575096,Spectacle Reef Light,lighthouse,Q39715
Q5394144,Kallo Lighthouse,lighthouse,Q39715
Q5327959,East Brother Island Light,lighthouse,Q39715
Q5321418,Point Cabrillo Light,lighthouse,Q39715
Q4957614,Brant Point Light,lighthouse,Q39715
Q10637713,Porkkala Lighthouse,lighthouse,Q39715
Q5436130,Regufe Lighthouse,lighthouse,Q39715
Q5436120,Farol da Lapa,lighthouse,Q39715
Q5347828,Egg Rock Light,lighthouse,Q39715
Q5300171,Doubling Point Light,lighthouse,Q39715
Q5088993,Cheboygan Crib Light,lighthouse,Q39715
Q4930662,Bluff Point Light,lighthouse,Q39715
Q10406517,Almagrundet lighthouse,lighthouse,Q39715
Q14715346,Prospect Harbor Point Light,lighthouse,Q39715
Q4869878,Battery Point Light,lighthouse,Q39715
Q7960265,Waipapa Point Lighthouse,lighthouse,Q39715
Q7793202,Thomas Point Shoal Light,lighthouse,Q39715
Q10280117,Farol da Mama,lighthouse,Q39715
Q10280112,Gibalta Lighthouse,lighthouse,Q39715
Q10280185,Esteiro Lighthouse,lighthouse,Q39715
Q6841223,Middle Bay Light,lighthouse,Q39715
Q6377602,Katiki Point Lighthouse,lighthouse,Q39715
Q5964618,Högby lighthouse,lighthouse,Q39715
Q2099622,Plover Scar Lighthouse,lighthouse,Q39715
Q11511016,Old Sakai Lighthouse,lighthouse,Q39715
Q11259327,Hekkingen Lighthouse,lighthouse,Q39715
Q7666295,Söderarm lighthouse,lighthouse,Q39715
Q7582336,Squirrel Point Light,lighthouse,Q39715
Q7208023,Point Fermin Light,lighthouse,Q39715
Q7208009,Point Diablo Light,lighthouse,Q39715
Q7169046,Perkins Island Light,lighthouse,Q39715
Q7145196,Patos Island Lighthouse,lighthouse,Q39715
Q28375323,Bean Rock Lighthouse,lighthouse,Q39715
Q24641188,Stora Karlsö lighthouse,lighthouse,Q39715
Q241328,Haig Point Range Lights,lighthouse,Q39715
Q5594785,Grand Marais Harbor of Refuge Inner and Outer Lights,lighthouse,Q39715
Q5594684,Grand Island East Channel Light,lighthouse,Q39715
Q5450896,Finnrevet lighthouse,lighthouse,Q39715
Q5329173,East Point Light,lighthouse,Q39715
Q5300172,Doubling Point Range Lights,lighthouse,Q39715
Q5131088,Cleft of the Rock Light,lighthouse,Q39715
Q5056779,Cedar Key Light,lighthouse,Q39715
Q4924664,Blakistone Island Light,lighthouse,Q39715
Q28465955,Holburn Head Lighthouse,lighthouse,Q39715
Q28376230,Spire of Lloyd,lighthouse,Q39715
Q16980381,Hooper Strait Light,lighthouse,Q39715
Q14715742,Nantucket Harbor Range Lights,lighthouse,Q39715
Q4905043,Big Bay Point Light,lighthouse,Q39715
Q4851545,Ballast Point Light,lighthouse,Q39715
Q4732658,Alligator Reef Light,lighthouse,Q39715
Q2503276,Cape Sarichef Light,lighthouse,Q39715
Q8052543,Yerba Buena Light,lighthouse,Q39715
Q8025064,Wing's Neck Light,lighthouse,Q39715
Q7984483,West Blockhouse Point Beacons,lighthouse,Q39715
Q60852837,Blüse Neuwerk,lighthouse,Q39715
Q6964365,Nantucket Cliff Range Lights,lighthouse,Q39715
Q6691162,Love Point Light,lighthouse,Q39715
Q6065617,Ipswich Range Lights,lighthouse,Q39715
Q5963290,Hätteberget lighthouse,lighthouse,Q39715
Q5874265,Hoad Monument,lighthouse,Q39715
Q5612092,Grundkallen lighthouse,lighthouse,Q39715
Q5597861,Gravelly Shoal Light,lighthouse,Q39715
Q5597610,Grassy Island Range Lights,lighthouse,Q39715
Q7690644,Tchefuncte River Range Lights,lighthouse,Q39715
Q7673128,Table Bluff Light,lighthouse,Q39715
Q7637669,Summerside Outer Range Lights,lighthouse,Q39715
Q7589355,St. Joseph Point Light,lighthouse,Q39715
Q7448550,Selkirk Light,lighthouse,Q39715
Q7357527,Roe Island Light,lighthouse,Q39715
Q7339803,Roanoke River Light,lighthouse,Q39715
Q7295189,Raspberry Island Light,lighthouse,Q39715
Q7084743,Old Plantation Flats Light,lighthouse,Q39715
Q26261141,Balache Point Lighthouse,lighthouse,Q39715
Q26156204,Turnberry Lighthouse,lighthouse,Q39715
