qid,label,class_label,class_qid
Q649,Moscow,locality,Q3257686
Q1899,Kyiv,locality,Q3257686
Q656,Saint Petersburg,locality,Q3257686
Q2280,Minsk,locality,Q3257686
Q1520,Astana,locality,Q3257686
Q8660,Karachi,locality,Q3257686
Q31487,Kraków,locality,Q3257686
Q39420,Sochi,locality,Q3257686
Q900,Kazan,locality,Q3257686
Q914,Volgograd,locality,Q3257686
Q1829,Kaliningrad,locality,Q3257686
Q883,Novosibirsk,locality,Q3257686
Q36526,Port Moresby,locality,Q3257686
Q34261,Port-au-Prince,locality,Q3257686
Q5332,Saratov,locality,Q3257686
Q887,Yekaterinburg,locality,Q3257686
Q891,Nizhny Novgorod,locality,Q3257686
Q908,Rostov-on-Don,locality,Q3257686
Q19520,Podolsk,locality,Q3257686
Q898,Omsk,locality,Q3257686
Q894,Samara,locality,Q3257686
Q911,Ufa,locality,Q3257686
Q915,Perm,locality,Q3257686
Q3927,Astrakhan,locality,Q3257686
Q5196,Grozny,locality,Q3257686
Q134279,Luhansk,locality,Q3257686
Q2235,Veliky Novgorod,locality,Q3257686
Q19566,Simferopol,locality,Q3257686
Q6610,Yakutsk,locality,Q3257686
Q4454,Khabarovsk,locality,Q3257686
Q919,Krasnoyarsk,locality,Q3257686
Q2423,Yaroslavl,locality,Q3257686
Q1763,Murmansk,locality,Q3257686
Q3426,Voronezh,locality,Q3257686
Q976,Tomsk,locality,Q3257686
Q2214,Pskov,locality,Q3257686
Q5627,Ulyanovsk,locality,Q3257686
Q2684,Vladimir,locality,Q3257686
Q1851,Arkhangelsk,locality,Q3257686
Q132572,Tiraspol,locality,Q3257686
Q2288,Tver,locality,Q3257686
Q3323,Belgorod,locality,Q3257686
Q7968,Magadan,locality,Q3257686
Q5815,Tyumen,locality,Q3257686
Q14657,Vyborg,locality,Q3257686
Q5343,Saransk,locality,Q3257686
Q5337,Orenburg,locality,Q3257686
Q2746,Ryazan,locality,Q3257686
Q1895,Petrozavodsk,locality,Q3257686
Q6014,Barnaul,locality,Q3257686
Q5470,Cheboksary,locality,Q3257686
Q5426,Izhevsk,locality,Q3257686
Q5239,Vladikavkaz,locality,Q3257686
