qid,label,class_label,class_qid
Q3032225,Salamanca,locomotive,Q93301
Q735464,Puffing Billy,locomotive,Q93301
Q358107,Adler,locomotive,Q93301
Q4345735,Cherepanov steam locomotive,locomotive,Q93301
Q994213,Steam Horse locomotive,locomotive,Q93301
Q2393776,Novelty,locomotive,Q93301
Q649094,Tom Thumb,locomotive,Q93301
Q440620,Catch Me Who Can,locomotive,Q93301
Q11762476,Pen-y-Darren locomotive,locomotive,Q93301
Q1147575,Cycloped,locomotive,Q93301
Q2123438,Sans Pareil,locomotive,Q93301
Q7170146,Perseverance,locomotive,Q93301
Q6457925,Stourbridge Lion,locomotive,Q93301
Q6008015,Impulsoria,locomotive,Q93301
Q4970930,English Electric GT3,locomotive,Q93301
Q11854181,Best Friend of Charleston,locomotive,Q93301
Q2437663,Arend,locomotive,Q93301
Q1342286,Engerth locomotive,locomotive,Q93301
Q28669826,FS E.420,locomotive,Q93301
Q8039889,Wylam Dilly,locomotive,Q93301
Q7798723,Thuile locomotive,locomotive,Q93301
Q5421088,Experiment,locomotive,Q93301
Q11832163,PKP Px38,locomotive,Q93301
Q4468209,Locomotive U-127,locomotive,Q93301
Q3836230,FS E.220,locomotive,Q93301
Q833953,Beuth,locomotive,Q93301
Q97009680,Pavilhão da Maria Fumaça,locomotive,Q93301
Q105648055,État-Belge type 12,locomotive,Q93301
Q130426189,Dunrobin locomotives,locomotive,Q93301
Q9133393,Fablok 401D,locomotive,Q93301
Q7410354,Samson,locomotive,Q93301
Q7120453,Pennsylvania Railroad 4876,locomotive,Q93301
Q7101291,Oregon Pony,locomotive,Q93301
Q6459295,LNER Class W1,locomotive,Q93301
Q5515059,GWR Thunderer locomotive,locomotive,Q93301
Q5515039,GWR Hurricane locomotive,locomotive,Q93301
Q4816269,Atlantic,locomotive,Q93301
Q17099312,VR Class Sk1,locomotive,Q93301
Q3588141,Steam Elephant,locomotive,Q93301
Q3257764,Locomotive Seguin,locomotive,Q93301
Q2815189,PLM 241.B.1,locomotive,Q93301
Q123685625,First electric locomotive,locomotive,Q93301
Q99640158,Ballaarat (locomotive),locomotive,Q93301
Q86661754,Twin Sisters,locomotive,Q93301
Q23710199,Agenoria,locomotive,Q93301
Q7120448,Pennsylvania Railroad 4465,locomotive,Q93301
Q7120454,Pennsylvania Railroad 4935,locomotive,Q93301
Q7120452,Pennsylvania Railroad 4877,locomotive,Q93301
Q7120451,Pennsylvania Railroad 4859,locomotive,Q93301
Q7120450,Pennsylvania Railroad 4800,locomotive,Q93301
Q7050980,Norfolk and Western Railway 1218,locomotive,Q93301
Q2815069,SNCF 232.Q.1,locomotive,Q93301
Q1434581,South Carolina Canal and Rail Road Company ‘Flying Dutchman’,locomotive,Q93301
Q123232658,ACE 3000,locomotive,Q93301
Q111939385,Brooklyn Eastern District Terminal 15,locomotive,Q93301
Q30716032,LTM 53,locomotive,Q93301
Q19462669,Kansas City Southern Railway Locomotive No. 73D and Caboose No. 385,locomotive,Q93301
Q108336542,WD Austerity 2-10-0 73755 Longmoor,locomotive,Q93301
Q130542385,NZR H199 Mount Cenis,locomotive,Q93301
Q7646632,Surprise locomotive,locomotive,Q93301
Q7570376,Southern Railway diesels,locomotive,Q93301
Q16240986,Bradyll,locomotive,Q93301
Q116507975,"St. Louis, Iron Mountain and Southern Railway 5",locomotive,Q93301
Q777026,Stephenson's Rocket,locomotive,Q93301
Q1081474,John Bull,locomotive,Q93301
Q1070761,LNER Class A4 4468 “Mallard”,locomotive,Q93301
Q738131,Stockton and Darlington Railway No. 1 “Locomotion”,locomotive,Q93301
Q3175270,LNER Class A3 4472 “Flying Scotsman”,locomotive,Q93301
