qid,label,class_label,class_qid
Q1661075,Riccioli,lunar crater,Q1348589
Q112755,Abbe,lunar crater,Q1348589
Q634366,Archimedes,lunar crater,Q1348589
Q112749,Abbot,lunar crater,Q1348589
Q319050,Abenezra,lunar crater,Q1348589
Q115071,Abetti,lunar crater,Q1348589
Q689195,Armstrong,lunar crater,Q1348589
Q1276093,Humboldt,lunar crater,Q1348589
Q773075,Bailly,lunar crater,Q1348589
Q621022,Atlas,lunar crater,Q1348589
Q602362,Ptolemaeus,lunar crater,Q1348589
Q137367,Avogadro,lunar crater,Q1348589
Q630405,Tsiolkovskiy,lunar crater,Q1348589
Q168113,De Gasparis,lunar crater,Q1348589
Q644906,Thebit,lunar crater,Q1348589
Q196450,Amundsen,lunar crater,Q1348589
Q653641,Hercules,lunar crater,Q1348589
Q943035,Byrgius,lunar crater,Q1348589
Q425742,Al-Bakri,lunar crater,Q1348589
Q1794689,Theophilus,lunar crater,Q1348589
Q613066,Anville,lunar crater,Q1348589
Q1109797,Collins,lunar crater,Q1348589
Q1110459,Colombo,lunar crater,Q1348589
Q1492289,Galle,lunar crater,Q1348589
Q1499632,Crater!,lunar crater,Q1348589
Q758285,Atwood,lunar crater,Q1348589
Q1031798,Al-Khwarizmi,lunar crater,Q1348589
Q598608,Antoniadi,lunar crater,Q1348589
Q621019,Artemis,lunar crater,Q1348589
Q621017,Aryabhata,lunar crater,Q1348589
Q826720,Bernoulli,lunar crater,Q1348589
Q829332,Berzelius,lunar crater,Q1348589
Q1100489,Cleomedes,lunar crater,Q1348589
Q1337137,Picard,lunar crater,Q1348589
Q143729,Cavendish,lunar crater,Q1348589
Q162903,Baade,lunar crater,Q1348589
Q630608,Theaetetus,lunar crater,Q1348589
Q890873,Bohr,lunar crater,Q1348589
Q644419,Argelander,lunar crater,Q1348589
Q649242,Hyginus,lunar crater,Q1348589
Q1435484,Godin,lunar crater,Q1348589
Q891770,Alekhin,lunar crater,Q1348589
Q304283,Acosta,lunar crater,Q1348589
Q1183857,Delambre,lunar crater,Q1348589
Q422126,Janssen,lunar crater,Q1348589
Q789613,Auwers,lunar crater,Q1348589
Q803864,Baily,lunar crater,Q1348589
Q2832291,Alden,lunar crater,Q1348589
Q808431,Barnard,lunar crater,Q1348589
Q1333044,Lovelace,lunar crater,Q1348589
Q623473,Bancroft,lunar crater,Q1348589
Q623480,Bowen,lunar crater,Q1348589
Q830121,Bessel,lunar crater,Q1348589
Q1337580,Tempel,lunar crater,Q1348589
Q181532,Prinz,lunar crater,Q1348589
Q195032,Lagrange,lunar crater,Q1348589
Q211610,Capella,lunar crater,Q1348589
Q1157392,Daguerre,lunar crater,Q1348589
Q891776,Al-Biruni,lunar crater,Q1348589
