qid,label,class_label,class_qid
Q43297,Time,magazine,Q41298
Q485240,Billboard,magazine,Q41298
Q154008,Vogue,magazine,Q41298
Q217305,The New Yorker,magazine,Q41298
Q188413,Newsweek,magazine,Q41298
Q54340,People's Daily,magazine,Q41298
Q33659,People,magazine,Q41298
Q39379,Scientific American,magazine,Q41298
Q520154,Wired,magazine,Q41298
Q371467,Scopus,magazine,Q41298
Q158322,Stern,magazine,Q41298
Q721140,Pitchfork,magazine,Q41298
Q275837,Sports Illustrated,magazine,Q41298
Q849759,Punch,magazine,Q41298
Q312086,Mad,magazine,Q41298
Q858121,Le Monde diplomatique,magazine,Q41298
Q909176,Cahiers du cinéma,magazine,Q41298
Q970443,Global Times,magazine,Q41298
Q249838,Vice,magazine,Q41298
Q851422,China Daily,magazine,Q41298
Q1136124,Weird Tales,magazine,Q41298
Q678095,Paris Match,magazine,Q41298
Q379049,AVN,magazine,Q41298
Q343615,Action Comics,magazine,Q41298
Q2657609,Time Out,magazine,Q41298
Q1897630,The Nation,magazine,Q41298
Q1311350,L'Illustration,magazine,Q41298
Q796078,MIT Technology Review,magazine,Q41298
Q616067,La Nouvelle Revue française,magazine,Q41298
Q1569226,Revue des Deux Mondes,magazine,Q41298
Q119172,Railway Gazette International,magazine,Q41298
Q467800,Vorwärts,magazine,Q41298
Q773087,Popular Science,magazine,Q41298
Q153297,The Gentleman's Magazine,magazine,Q41298
Q2405201,Dragon,magazine,Q41298
Q16639816,The Signpost,magazine,Q41298
Q1329653,Weekly Young Magazine,magazine,Q41298
Q631823,Macworld,magazine,Q41298
Q1886881,Thrasher,magazine,Q41298
Q1810082,Le Point,magazine,Q41298
Q1033470,Hana to Yume,magazine,Q41298
Q1234182,Les Temps modernes,magazine,Q41298
Q1186339,Shimbun Akahata,magazine,Q41298
Q2094663,Pif gadget,magazine,Q41298
Q211174,2000 AD,magazine,Q41298
Q593268,Bravo,magazine,Q41298
Q3520773,The Escapist,magazine,Q41298
Q3102631,Guangming Daily,magazine,Q41298
Q2640282,Burda Style,magazine,Q41298
Q1752739,Rudé právo,magazine,Q41298
Q1750512,Kultura,magazine,Q41298
Q3569766,Women's Wear Daily,magazine,Q41298
Q1955600,Outlook,magazine,Q41298
Q1272304,Nasha Niva,magazine,Q41298
Q733742,Discover,magazine,Q41298
Q654659,Heavy Metal,magazine,Q41298
Q1134747,Adweek,magazine,Q41298
Q265576,"Auto, Motor und Sport",magazine,Q41298
Q2350278,Globes,magazine,Q41298
Q13262,Science Illustrated,magazine,Q41298
Q3532107,Topolino,magazine,Q41298
Q3526670,Chandamama,magazine,Q41298
Q3521215,The Harvard Crimson,magazine,Q41298
Q7774107,The Week,magazine,Q41298
Q2064585,Fragments,magazine,Q41298
Q238171,4P,magazine,Q41298
Q1855448,Wen Hui Bao,magazine,Q41298
Q1827084,linus,magazine,Q41298
Q1446208,Corriere dei Piccoli,magazine,Q41298
Q2195701,Private Eye,magazine,Q41298
Q959665,El Jueves,magazine,Q41298
Q3517741,Tempo,magazine,Q41298
Q6800390,McClure's Magazine,magazine,Q41298
Q6542511,Library Journal,magazine,Q41298
Q2037854,Shanghai Daily,magazine,Q41298
Q1429506,The Irrawaddy,magazine,Q41298
Q2510293,The Spectacular Spider-Man,magazine,Q41298
Q1631447,Household Words,magazine,Q41298
Q1125473,Positif,magazine,Q41298
Q1003168,Chemical & Engineering News,magazine,Q41298
Q3163511,Je sais tout,magazine,Q41298
Q3131436,Suomen Kuvalehti,magazine,Q41298
Q2984883,Rizospastis,magazine,Q41298
Q2960874,Charlie Mensuel,magazine,Q41298
Q1368412,Esprit,magazine,Q41298
Q739728,China Youth Daily,magazine,Q41298
Q540072,WirtschaftsWoche,magazine,Q41298
Q1770842,Uncle Scrooge,magazine,Q41298
Q3509683,Vijenac,magazine,Q41298
Q43898963,Wrestling Observer Newsletter,magazine,Q41298
Q3128936,Semana,magazine,Q41298
Q3094449,Gala,magazine,Q41298
Q3142770,TBO,magazine,Q41298
Q158600,À Suivre,magazine,Q41298
Q1518038,Jiefang Daily,magazine,Q41298
Q2435723,Eppo,magazine,Q41298
Q382669,Politique étrangère,magazine,Q41298
Q1279728,Diva,magazine,Q41298
Q1253844,Dr. Dobb's Journal,magazine,Q41298
Q2382250,Murzilka,magazine,Q41298
Q5149747,Columbia Journalism Review,magazine,Q41298
Q667449,Nebelspalter,magazine,Q41298
Q609318,Imagination,magazine,Q41298
Q1004844,Bummi,magazine,Q41298
Q1655152,I Avgi,magazine,Q41298
Q4702909,Al-Monitor,magazine,Q41298
Q3205153,L'Écho des savanes,magazine,Q41298
Q4170994,Bulletin of the British Ornithologists' Club,magazine,Q41298
Q3428963,Xinhua Daily,magazine,Q41298
Q6917756,Motion Picture Herald,magazine,Q41298
Q3052967,Transworld Skateboarding,magazine,Q41298
Q3046981,Tehelka,magazine,Q41298
Q1817717,USSR in Construction,magazine,Q41298
Q1529522,Fotogramas,magazine,Q41298
Q1362081,The Harvard Lampoon,magazine,Q41298
Q5274363,Die Freundin,magazine,Q41298
Q784201,Emma,magazine,Q41298
Q570670,Ludas Matyi,magazine,Q41298
Q564407,Annals of Improbable Research,magazine,Q41298
Q1636471,Xinmin Evening News,magazine,Q41298
Q987846,People's Liberation Army Daily,magazine,Q41298
Q7734881,The Fortnightly Review,magazine,Q41298
Q47879,Titanic,magazine,Q41298
Q3504716,Superman/Batman,magazine,Q41298
Q3430925,International Railway Journal,magazine,Q41298
Q3224159,Le Magasin pittoresque,magazine,Q41298
Q3606264,Africultures,magazine,Q41298
Q8030918,Women's Health,magazine,Q41298
Q5448930,The Film Daily,magazine,Q41298
Q3422110,Record World,magazine,Q41298
Q6052761,International Review of the Red Cross,magazine,Q41298
Q2071388,Perlentaucher,magazine,Q41298
Q3063572,Jakin,magazine,Q41298
Q311313,laut.de,magazine,Q41298
Q290802,Profil,magazine,Q41298
Q17499997,The Paper,magazine,Q41298
Q5069917,Champak,magazine,Q41298
Q772288,Gai pied,magazine,Q41298
Q1115055,Strange Tales,magazine,Q41298
Q1071668,The Railway Magazine,magazine,Q41298
Q2779013,Story Teller,magazine,Q41298
Q3211059,La Nature,magazine,Q41298
Q19572107,Hits,magazine,Q41298
Q4420537,Xinjiang Daily,magazine,Q41298
Q4039034,Frontline,magazine,Q41298
Q7753678,The New Monthly Magazine,magazine,Q41298
Q7751250,The Michigan Daily,magazine,Q41298
Q16382822,Khatabala,magazine,Q41298
Q25303219,The Negro Worker,magazine,Q41298
Q3186958,Journal of the Atmospheric Sciences,magazine,Q41298
Q15618458,L'Estampe Moderne,magazine,Q41298
Q3256747,Littérature,magazine,Q41298
Q15765352,Revue Biblique,magazine,Q41298
Q3080776,Suomenmaa,magazine,Q41298
Q3010860,Cœurs Vaillants,magazine,Q41298
Q1333067,Korrespondent,magazine,Q41298
Q291439,HaOlam HaZeh,magazine,Q41298
Q11855967,Demokraatti,magazine,Q41298
Q5348337,masr alyoum,magazine,Q41298
Q4893460,Hate,magazine,Q41298
Q749927,Evo,magazine,Q41298
Q615267,Raw,magazine,Q41298
Q1628196,Serra d'Or,magazine,Q41298
Q1562477,H-Soz-Kult,magazine,Q41298
Q896305,FRÖSI,magazine,Q41298
Q2840427,Alternatives économiques,magazine,Q41298
Q1758504,Corsaren,magazine,Q41298
Q4748865,Amstrad Action,magazine,Q41298
Q4743396,American Cinematographer,magazine,Q41298
Q7698859,Tempo,magazine,Q41298
Q3222488,Le Débat,magazine,Q41298
Q3204363,L'Italiano,magazine,Q41298
Q4357845,Tinkle,magazine,Q41298
Q3977952,Superman's Pal Jimmy Olsen,magazine,Q41298
Q3977950,"Superman's Girl Friend, Lois Lane",magazine,Q41298
Q7728848,The Dandy,magazine,Q41298
Q97154010,Urania,magazine,Q41298
Q3482798,Shūkan Gendai,magazine,Q41298
Q3428701,Revue des Etudes Slaves,magazine,Q41298
Q7749675,Al Majalla,magazine,Q41298
Q3224169,Le Nouveau Magazine Littéraire,magazine,Q41298
Q3223729,Le Journal de Mickey,magazine,Q41298
Q3562152,Voici,magazine,Q41298
Q18216772,Hebdomada aenigmatum,magazine,Q41298
Q7193687,Pikker,magazine,Q41298
Q3410744,Pulgarcito,magazine,Q41298
Q3395962,The Body Politic,magazine,Q41298
Q3283289,Bass Player,magazine,Q41298
Q5951065,Baba Shamal,magazine,Q41298
Q15803741,Compact,magazine,Q41298
Q2012491,Le Petit Français illustré,magazine,Q41298
Q265120,Pardon,magazine,Q41298
Q245607,Organiser,magazine,Q41298
Q3050309,El Vibora,magazine,Q41298
Q2938163,Caretas,magazine,Q41298
Q2928058,Bulletin de la Société préhistorique française,magazine,Q41298
Q2918681,Wine Spectator,magazine,Q41298
Q1535939,Goldmine,magazine,Q41298
Q1452249,Rheinisches Museum für Philologie,magazine,Q41298
Q2375522,Critique,magazine,Q41298
Q2332168,Star Spangled War Stories,magazine,Q41298
Q2332669,Radiation and Environmental Biophysics,magazine,Q41298
Q2271879,L'Écho de la timbrologie,magazine,Q41298
Q300261,Ax,magazine,Q41298
Q11860194,Fyren,magazine,Q41298
Q11135675,Trangviksposten,magazine,Q41298
Q10855393,Komei Shimbun,magazine,Q41298
Q5185187,Crime Does Not Pay,magazine,Q41298
Q17452513,Asahigraph,magazine,Q41298
Q10339878,O Tico-Tico,magazine,Q41298
Q4839111,Back Issue!,magazine,Q41298
Q1645141,The Funnies,magazine,Q41298
Q1118748,The Space Gamer,magazine,Q41298
Q2829371,Al Liamm,magazine,Q41298
Q20754920,Private,magazine,Q41298
Q4703568,Al Bawaba,magazine,Q41298
Q4678187,Ad Valvas,magazine,Q41298
Q4580487,Verdens Gang,magazine,Q41298
Q4552020,16,magazine,Q41298
Q7694271,Teen,magazine,Q41298
Q7652764,Svjetlo riječi,magazine,Q41298
Q7396477,Sabuj Patra,magazine,Q41298
Q3212291,La Revue du mois,magazine,Q41298
Q3212169,La Recherche,magazine,Q41298
Q3206551,La Belle Assemblée,magazine,Q41298
Q3204848,L'Usine nouvelle,magazine,Q41298
Q4473337,Le Mouvement socialiste,magazine,Q41298
Q4109675,Vesy,magazine,Q41298
Q4109862,Merry Pictures,magazine,Q41298
Q4050934,The American Philatelist,magazine,Q41298
Q7728724,The Daily Tar Heel,magazine,Q41298
Q7766234,The Stanford Daily,magazine,Q41298
