qid,label,class_label,class_qid
Q2021626,sheep–goat hybrid,mammal,Q7377
Q663922,Castor and Pollux,mammal,Q7377
Q1292935,Motty,mammal,Q7377
Q2751291,Chinchilla domestic,mammal,Q7377
Q674893,Cremona elephant,mammal,Q7377
Q4495383,Hanako,mammal,Q7377
Q1326204,elephant of Henry III of England,mammal,Q7377
Q7675722,Tai,mammal,Q7377
Q7285377,Raja,mammal,Q7377
Q18355419,Satao,mammal,Q7377
Q13112493,Thiruvambady Shivasundar,mammal,Q7377
Q22286521,Arjuna,mammal,Q7377
Q17141714,Elephant Drona,mammal,Q7377
Q20615031,Magnificent Seven Elephants,mammal,Q7377
Q115903280,Charlie,mammal,Q7377
Q107087944,Guruvayur Padmanabhan,mammal,Q7377
Q17191608,Anura,mammal,Q7377
Q134178912,Galveston Island coyote,mammal,Q7377
Q22285567,Malee,mammal,Q7377
Q118901763,Noor Jehan,mammal,Q7377
