qid,label,class_label,class_qid
Q26971382,Naruto,manga,Q8274
Q235311,Doraemon,manga,Q8274
Q28667972,One Piece,manga,Q8274
Q1834,Death Note,manga,Q8274
Q586025,Attack on Titan,manga,Q8274
Q1643098,Sailor Moon,manga,Q8274
Q24862683,Demon Slayer: Kimetsu no Yaiba,manga,Q8274
Q189562,Fullmetal Alchemist,manga,Q8274
Q182056,Inuyasha,manga,Q8274
Q18047903,My Hero Academia,manga,Q8274
Q3853685,Detective Conan,manga,Q8274
Q18796,Fairy Tail,manga,Q8274
Q696071,Hunter × Hunter,manga,Q8274
Q696918,JoJo's Bizarre Adventure,manga,Q8274
Q214771,Elfen Lied,manga,Q8274
Q11102941,Tokyo Ghoul,manga,Q8274
Q220015,Weekly Shōnen Jump,manga,Q8274
Q120300,Crayon Shin-chan,manga,Q8274
Q18558978,Berserk,manga,Q8274
Q272015,Ranma ½,manga,Q8274
Q55522899,Jujutsu Kaisen,manga,Q8274
Q219610,Shaman King,manga,Q8274
Q49182,Cardcaptor Sakura,manga,Q8274
Q216439,Rurouni Kenshin,manga,Q8274
Q537389,Soul Eater,manga,Q8274
Q223155,Hellsing,manga,Q8274
Q275956,Saint Seiya,manga,Q8274
Q764135,Gintama,manga,Q8274
Q216204,Fruits Basket,manga,Q8274
Q457981,Great Teacher Onizuka,manga,Q8274
Q326642,Haikyu!!,manga,Q8274
Q80873,Azumanga Daioh,manga,Q8274
Q65240543,Chainsaw Man,manga,Q8274
Q65231576,Spy × Family,manga,Q8274
Q1813828,Oruchuban Ebichu,manga,Q8274
Q858384,Monster,manga,Q8274
Q647486,Captain Tsubasa,manga,Q8274
Q18225473,Yu Yu Hakusho,manga,Q8274
Q423658,Nana,manga,Q8274
Q714760,Slam Dunk,manga,Q8274
Q322613,Love Hina,manga,Q8274
Q392125,Tokyo Mew Mew,manga,Q8274
Q11419997,Your Lie in April,manga,Q8274
Q733498,Fist of the North Star,manga,Q8274
Q673036,Astro Boy,manga,Q8274
Q270595,Vampire Knight,manga,Q8274
Q875066,Weekly Shōnen Sunday,manga,Q8274
Q3277067,Assassination Classroom,manga,Q8274
Q518169,Hetalia: Axis Powers,manga,Q8274
Q9048543,The Seven Deadly Sins,manga,Q8274
Q696302,Black Butler,manga,Q8274
Q221369,Chobits,manga,Q8274
Q28682687,The Promised Neverland,manga,Q8274
Q20638503,Black Clover,manga,Q8274
Q804555,Bakuman,manga,Q8274
Q476230,Claymore,manga,Q8274
