qid,label,class_label,class_qid
Q22257169,Adventures of Sanmao,manhua,Q754669
Q27728046,The King of Blaze,manhua,Q754669
Q24863019,Gunjō no Magmell,manhua,Q754669
Q2580793,Oriental Heroes,manhua,Q754669
Q25338402,Under One Person,manhua,Q754669
Q837603,Old Master Q,manhua,Q754669
Q27728095,Melancholic Princess,manhua,Q754669
Q844470,The Ravages of Time,manhua,Q754669
Q22099476,Fox Spirit Matchmaker,manhua,Q754669
Q15240459,Shanghai Manhua,manhua,Q754669
Q55252170,Non-Human,manhua,Q754669
Q27728527,The Seven Mirrors' Stories,manhua,Q754669
Q27062268,Soul Buster,manhua,Q754669
Q107016964,Biao Ren,manhua,Q754669
Q488524,Origami Warriors,manhua,Q754669
Q21154991,School Shock,manhua,Q754669
Q11092074,U17,manhua,Q754669
Q24871099,Chronos Ruler,manhua,Q754669
Q837501,Fung Wan,manhua,Q754669
Q6630063,Warlord,manhua,Q754669
Q5100483,Chinese Hero: Tales of the Blood Sword,manhua,Q754669
Q22099091,Rakshasa Street,manhua,Q754669
Q22101513,Tencent Animation and Comics,manhua,Q754669
Q15898837,Year Hare Affair,manhua,Q754669
Q4923003,Legend of Emperors,manhua,Q754669
Q4750031,An Ideal World,manhua,Q754669
Q3027778,Digimon D-Cyber,manhua,Q754669
Q7882714,Uncle Choi,manhua,Q754669
Q7605708,Steel Rose,manhua,Q754669
Q7300804,Real/Fake Princess,manhua,Q754669
Q3235910,Three Kingdoms,manhua,Q754669
Q3008133,Cyber Weapon Z,manhua,Q754669
Q1414171,"Crouching Tiger, Hidden Dragon",manhua,Q754669
Q7755579,The Other Side of the Mirror,manhua,Q754669
Q7600730,Star Girls,manhua,Q754669
Q7494335,Shenwuji,manhua,Q754669
Q96417566,Aero,manhua,Q754669
Q5284110,Divine Melody,manhua,Q754669
Q28914820,Please Take My Brother Away!,manhua,Q754669
Q27068074,Time Prisoners,manhua,Q754669
Q28127451,Spiritpact,manhua,Q754669
Q29070756,The Silver Guardian,manhua,Q754669
Q42774082,Evil or Live,manhua,Q754669
Q97627794,1031 All Saints Street,manhua,Q754669
Q17053778,Si loin et si proche,manhua,Q754669
Q112823068,Brave Series,manhua,Q754669
Q121775342,SQ Begin W/Your Name!,manhua,Q754669
Q60746156,The King of Fighters 2003,manhua,Q754669
