qid,label,class_label,class_qid
Q487202,Tower of God,manhwa,Q562214
Q482780,Blade of the Phantom Master,manhwa,Q562214
Q493375,Noblesse,manhwa,Q562214
Q3521063,The God of High School,manhwa,Q562214
Q39069885,Killing Stalking,manhwa,Q562214
Q487207,The Breaker,manhwa,Q562214
Q110115552,Viral Hit,manhwa,Q562214
Q19161871,Lookism,manhwa,Q562214
Q97210865,Why Raeliana Ended Up at the Duke's Mansion,manhwa,Q562214
Q103820430,Sweet Home,manhwa,Q562214
Q117100896,Doctor Elise,manhwa,Q562214
Q12605579,Hello Jadoo,manhwa,Q562214
Q562405,Priest,manhwa,Q562214
Q2259614,Model,manhwa,Q562214
Q16978516,The Gamer,manhwa,Q562214
Q489478,Goong,manhwa,Q562214
Q97206242,The Girl Downstairs (manhwa),manhwa,Q562214
Q117314464,A Returner's Magic Should Be Special,manhwa,Q562214
Q11254891,Along with the Gods,manhwa,Q562214
Q1402323,Bride of the Water God,manhwa,Q562214
Q16189892,All of Us Are Dead,manhwa,Q562214
Q25337190,The Sound of Heart,manhwa,Q562214
Q12620245,Cheese in the Trap,manhwa,Q562214
Q49181,Dooly the Little Dinosaur,manhwa,Q562214
Q3196610,"Kill Me, Kiss Me",manhwa,Q562214
Q16255700,Girls of the Wild's,manhwa,Q562214
Q11625954,A Simple Thinking About Blood Type,manhwa,Q562214
Q97236326,True Beauty,manhwa,Q562214
Q609271,I.N.V.U.,manhwa,Q562214
Q563020,The Queen's Knight,manhwa,Q562214
Q546371,Witch Hunter,manhwa,Q562214
Q7980673,Welcome to Convenience Store,manhwa,Q562214
Q3231039,Les Bijoux,manhwa,Q562214
Q790041,Banya: The Explosive Delivery Man,manhwa,Q562214
Q16181481,Orange Marmalade,manhwa,Q562214
Q16177393,Love Revolution,manhwa,Q562214
Q13422772,Survival,manhwa,Q562214
Q12621622,Fashion King,manhwa,Q562214
Q65045771,Save Me,manhwa,Q562214
Q60743976,Bongcheon-Dong Ghost,manhwa,Q562214
Q484466,Chun Rhang Yul Jun,manhwa,Q562214
Q484075,The Great Catsby,manhwa,Q562214
Q109458954,Eleceed,manhwa,Q562214
Q97216120,Romance 101,manhwa,Q562214
Q122827852,The Greatest Estate Developer,manhwa,Q562214
Q122227187,Wind Breaker,manhwa,Q562214
Q118876026,Gosu,manhwa,Q562214
Q134982735,Teenage Mercenary,manhwa,Q562214
Q8011104,Trace,manhwa,Q562214
Q5371743,iD_ᴇNTITY,manhwa,Q562214
Q4315734,Devil's Bride,manhwa,Q562214
Q4025809,Rebirth,manhwa,Q562214
Q3571045,Xs,manhwa,Q562214
Q928810,King of Hell,manhwa,Q562214
Q626443,Comic Champ,manhwa,Q562214
Q562745,Ciel,manhwa,Q562214
Q495714,Unbalance Unbalance,manhwa,Q562214
Q55735382,Terror Man,manhwa,Q562214
Q31180765,Yumi's Cells (webtoon),manhwa,Q562214
Q12590924,Dr. Frost,manhwa,Q562214
Q113187856,Seasons of Blossom,manhwa,Q562214
Q109461738,Nano List,manhwa,Q562214
Q97420388,My Daughter is a Zombie,manhwa,Q562214
Q130051793,"Mom, I'm Sorry",manhwa,Q562214
Q122167001,Jeong Nyeon,manhwa,Q562214
Q121409181,Tomorrow,manhwa,Q562214
Q118904078,Dark Moon: The Blood Altar,manhwa,Q562214
Q8025445,Wink,manhwa,Q562214
Q7921378,Veritas,manhwa,Q562214
Q7548224,Snow Drop,manhwa,Q562214
Q7268998,Quantum Mistake,manhwa,Q562214
Q6961423,Nambul: War Stories,manhwa,Q562214
Q6691375,Love Story,manhwa,Q562214
Q6660735,Lizzie Newton: Victorian Mysteries,manhwa,Q562214
Q6532237,Let's Be Perverts,manhwa,Q562214
Q5114072,Chronicles of the Cursed Sword,manhwa,Q562214
Q4943239,Booking,manhwa,Q562214
Q3453337,Rure,manhwa,Q562214
Q3147752,Id,manhwa,Q562214
Q1262588,Faeries' Landing,manhwa,Q562214
Q1210711,11th Cat,manhwa,Q562214
Q16256681,Soul Cartel,manhwa,Q562214
Q16166985,God of Bath,manhwa,Q562214
Q16057978,Ability,manhwa,Q562214
Q12620854,Timing,manhwa,Q562214
Q19854634,unTOUCHable,manhwa,Q562214
Q12604038,Sikgaek,manhwa,Q562214
Q12592914,Denma,manhwa,Q562214
Q370574,Threads of Time,manhwa,Q562214
Q109461599,Tiger Coming In,manhwa,Q562214
Q109308563,Her Tale of Shim Chong,manhwa,Q562214
Q108377684,My Giant Nerd Boyfriend,manhwa,Q562214
Q107646147,SubZero,manhwa,Q562214
Q107401781,Goblin Hill,manhwa,Q562214
Q106136592,Lost in Translation,manhwa,Q562214
Q134376076,I Love Amy,manhwa,Q562214
Q130213138,"Take Me, I’m Yours",manhwa,Q562214
Q129821158,Your Letter,manhwa,Q562214
Q123091087,Super String: Marco Polo's Travel to Multiverse,manhwa,Q562214
Q121754691,Love is an Illusion!,manhwa,Q562214
Q8069490,Zero,manhwa,Q562214
