qid,label,class_label,class_qid
Q5190572,Mayor of the District of Columbia,mayor,Q30185
Q30727487,Mayor-President of the Autonomous City of Melilla,mayor,Q30185
Q6745827,Mayor-President of Ceuta,mayor,Q30185
Q17078548,mayor of Madrid,mayor,Q30185
Q26700916,mayor of Bilbao,mayor,Q30185
Q23645115,mayor of Oslo,mayor,Q30185
Q6797713,Mayor of Gloucester,mayor,Q30185
Q785304,Mayor of New York City,mayor,Q30185
Q12685557,Mayor of Kuala Lumpur,mayor,Q30185
Q14927262,mayor of Toronto,mayor,Q30185
Q16679013,Mayor of Bishkek,mayor,Q30185
Q6797654,Mayor of Antananarivo,mayor,Q30185
Q4462174,chairman of the Minsk City Executive Committee,mayor,Q30185
Q17050957,"Mayor of Hastings, New Zealand",mayor,Q30185
Q3278450,mayor of Ottawa,mayor,Q30185
Q24255165,mayor of São Paulo,mayor,Q30185
Q116954820,Mayor of Exeter,mayor,Q30185
Q118395990,Mayor of Southampton,mayor,Q30185
Q134978485,Mayoralty of Joe Kernan,mayor,Q30185
Q53926042,Mayor of Porto Alegre,mayor,Q30185
Q136799172,Mayor of Sussex and Brighton,mayor,Q30185
