qid,label,class_label,class_qid
Q355,Facebook,media,Q340169
Q907311,Netflix,media,Q340169
Q1049511,Q1049511,media,Q340169
Q15616276,Q15616276,media,Q340169
Q40984,Q40984,media,Q340169
Q41675,Guinness World Records,media,Q340169
Q25161472,Forbes,media,Q340169
Q13679,Wikispecies,media,Q340169
Q689141,Spotify,media,Q340169
Q43297,Time,media,Q340169
Q2918660,Duolingo,media,Q340169
Q80042,cheque,media,Q340169
Q50008,The Times,media,Q340169
Q228389,Voice of America,media,Q340169
Q150820,Playboy,media,Q340169
Q333618,Q333618,media,Q340169
Q485240,Billboard,media,Q340169
Q153770,Deutsche Welle,media,Q340169
Q180089,The Economist,media,Q340169
Q20966579,Pokémon Go,media,Q340169
Q11266,Q11266,media,Q340169
Q22907849,Discord,media,Q340169
Q103204,Flickr,media,Q340169
Q33511,Rolling Stone,media,Q340169
Q180012,Behistun Inscription,media,Q340169
Q485500,Radio Free Europe/Radio Liberty,media,Q340169
Q154008,Vogue,media,Q340169
Q332707,Viber,media,Q340169
Q192621,The Daily Telegraph,media,Q340169
Q283233,WeChat,media,Q340169
Q131478,Der Spiegel,media,Q340169
Q192864,Science,media,Q340169
Q37041,Classical Chinese,media,Q340169
Q487343,solid-state drive,media,Q340169
Q368215,Q368215,media,Q340169
Q116947,Messenger,media,Q340169
Q171477,Q171477,media,Q340169
Q210534,Daily Mail,media,Q340169
Q217305,The New Yorker,media,Q340169
Q19718090,Signal,media,Q340169
Q61503,The Hollywood Reporter,media,Q340169
Q58166,ICQ,media,Q340169
Q405008,Cyrus cylinder,media,Q340169
Q71493,Windows Live Messenger,media,Q340169
Q22906900,Brave,media,Q340169
Q166180,France 24,media,Q340169
Q275033,Entertainment Weekly,media,Q340169
Q28406404,Microsoft Teams,media,Q340169
Q372989,Fortune,media,Q340169
Q71380,Pidgin,media,Q340169
Q1574,Avast Antivirus,media,Q340169
Q9593,iTunes Store,media,Q340169
Q333644,Cosmopolitan,media,Q340169
Q65359104,HBO Max,media,Q340169
Q371820,Reader's Digest,media,Q340169
Q308705,France Football,media,Q340169
Q15078152,Tinder,media,Q340169
Q864889,Microsoft OneDrive,media,Q340169
Q223563,Google Calendar,media,Q340169
Q16958215,iNaturalist,media,Q340169
Q108515,Penthouse,media,Q340169
