qid,label,class_label,class_qid
Q382641,phimosis,medical specialty,Q930752
Q118301,orthodontics,medical specialty,Q930752
Q907359,dental restoration,medical specialty,Q930752
Q504033,oral and maxillofacial surgery,medical specialty,Q930752
Q13445028,oral hygiene,medical specialty,Q930752
Q852143,endodontics,medical specialty,Q930752
Q938196,periodontology,medical specialty,Q930752
Q1407263,forensic psychiatry,medical specialty,Q930752
Q1349700,prosthodontics,medical specialty,Q930752
Q2086597,pediatric dentistry,medical specialty,Q930752
Q1741745,child and adolescent psychiatry,medical specialty,Q930752
Q4115091,epizootiology,medical specialty,Q930752
Q1278031,geriatric psychiatry,medical specialty,Q930752
Q256771,emergency psychiatry,medical specialty,Q930752
Q158230,pharmacoepidemiology,medical specialty,Q930752
Q4313186,narcology,medical specialty,Q930752
Q2976167,cross-cultural psychiatry,medical specialty,Q930752
Q2706176,biological psychiatry,medical specialty,Q930752
Q21714486,lithotomy,medical specialty,Q930752
Q5532897,genetic epidemiology,medical specialty,Q930752
Q5933911,consultation-liaison psychiatry,medical specialty,Q930752
Q5834738,clinical epidemiology,medical specialty,Q930752
Q5382717,cancer epidemiology,medical specialty,Q930752
Q7099381,Oral and maxillofacial radiology,medical specialty,Q930752
Q6857804,military psychiatry,medical specialty,Q930752
Q4118435,molecular epidemiology,medical specialty,Q930752
Q4117950,dental public health,medical specialty,Q930752
Q7551096,social epidemiology,medical specialty,Q930752
Q17069638,molecular pathological epidemiology,medical specialty,Q930752
Q17056302,infodemiology,medical specialty,Q930752
Q5381223,environmental epidemiology,medical specialty,Q930752
Q1380905,social psychiatry,medical specialty,Q930752
Q16592775,phenomenological psychiatry,medical specialty,Q930752
Q7923727,veterinary parasitology,medical specialty,Q930752
Q7070522,nutritional epidemiology,medical specialty,Q930752
Q5157310,computational epidemiology,medical specialty,Q930752
Q64784845,disaster psychiatry,medical specialty,Q930752
Q7923723,veterinary obstetrics,medical specialty,Q930752
Q5141223,cognitive neuropsychiatry,medical specialty,Q930752
Q4681117,addiction psychiatry,medical specialty,Q930752
Q28402643,immuno-psychiatry,medical specialty,Q930752
Q25113111,Combat lifesaver course,medical specialty,Q930752
Q25110578,veterinary immunology,medical specialty,Q930752
Q7574064,spatial epidemiology,medical specialty,Q930752
Q7002187,neuroepidemiology,medical specialty,Q930752
Q6746728,managerial epidemiology,medical specialty,Q930752
Q5333462,economic epidemiology,medical specialty,Q930752
Q5259399,dental anesthesiology,medical specialty,Q930752
Q7604393,statistical epidemiology,medical specialty,Q930752
Q7189739,physiurgy,medical specialty,Q930752
Q40821,surgery,medical specialty,Q930752
Q7867,psychiatry,medical specialty,Q930752
Q12128,dentistry,medical specialty,Q930752
Q7208,pathology,medical specialty,Q930752
Q128406,pharmacology,medical specialty,Q930752
Q10379,cardiology,medical specialty,Q930752
Q83042,neurology,medical specialty,Q930752
Q1221899,gynaecology,medical specialty,Q930752
Q161437,ophthalmology,medical specialty,Q930752
Q162555,oncology,medical specialty,Q930752
Q101929,immunology,medical specialty,Q930752
Q170201,veterinary medicine,medical specialty,Q930752
Q171171,dermatology,medical specialty,Q930752
Q123028,pediatrics,medical specialty,Q930752
Q103824,hematology,medical specialty,Q930752
Q77604,radiology,medical specialty,Q930752
Q162606,endocrinology,medical specialty,Q930752
Q7218,toxicology,medical specialty,Q930752
Q120569,gastroenterology,medical specialty,Q930752
Q182442,plastic surgery,medical specialty,Q930752
Q180507,adaptive radiation therapy,medical specialty,Q930752
Q177635,nephrology,medical specialty,Q930752
Q216685,orthopedics,medical specialty,Q930752
Q203337,pulmonology,medical specialty,Q930752
Q327657,rheumatology,medical specialty,Q930752
Q11180,internal medicine,medical specialty,Q930752
Q189553,otolaryngology,medical specialty,Q930752
Q188449,neurosurgery,medical specialty,Q930752
Q10384,geriatrics,medical specialty,Q930752
Q33226,speech-language pathology,medical specialty,Q930752
Q615057,anaesthesiology,medical specialty,Q930752
Q222046,genomics,medical specialty,Q930752
Q1280670,family planning,medical specialty,Q930752
Q5284418,obstetrics,medical specialty,Q930752
Q376680,traumatology,medical specialty,Q930752
Q214963,nuclear medicine,medical specialty,Q930752
Q235007,cardiac surgery,medical specialty,Q930752
Q335057,andrology,medical specialty,Q930752
Q539690,angiology,medical specialty,Q930752
Q2861470,emergency medicine,medical specialty,Q930752
Q454812,medical jurisprudence,medical specialty,Q930752
Q246128,cytogenetics,medical specialty,Q930752
Q473867,psychosomatic medicine,medical specialty,Q930752
Q550675,hysterectomy,medical specialty,Q930752
Q668064,hepatology,medical specialty,Q930752
Q840545,sports medicine,medical specialty,Q930752
Q1773974,preventive medicine,medical specialty,Q930752
Q898674,neonatology,medical specialty,Q930752
Q569965,audiology,medical specialty,Q930752
Q932510,general surgery,medical specialty,Q930752
Q1071953,medical genetics,medical specialty,Q930752
Q1120908,medical physics,medical specialty,Q930752
Q1135939,pathophysiology,medical specialty,Q930752
Q2964004,thoracic surgery,medical specialty,Q930752
Q788926,infectious diseases,medical specialty,Q930752
Q870895,health informatics,medical specialty,Q930752
Q683455,anatomical pathology,medical specialty,Q930752
Q1498222,vascular surgery,medical specialty,Q930752
Q1784782,venereology,medical specialty,Q930752
Q3505712,family medicine,medical specialty,Q930752
Q80015,obstetrics and gynaecology,medical specialty,Q930752
Q3332475,aviation medicine,medical specialty,Q930752
Q628764,occupational medicine,medical specialty,Q930752
Q679690,intensive care medicine,medical specialty,Q930752
Q1046686,allergology,medical specialty,Q930752
Q1413084,proctology,medical specialty,Q930752
Q1070952,histopathology,medical specialty,Q930752
Q1365243,tropical medicine,medical specialty,Q930752
Q1480945,military medicine,medical specialty,Q930752
Q845300,nosology,medical specialty,Q930752
Q2678675,physical medicine and rehabilitation,medical specialty,Q930752
Q2699874,neuropsychiatry,medical specialty,Q930752
Q1430622,space medicine,medical specialty,Q930752
Q598976,medical microbiology,medical specialty,Q930752
Q621261,pain management,medical specialty,Q930752
Q1231861,dietetics,medical specialty,Q930752
Q1430816,pediatric surgery,medical specialty,Q930752
Q1458711,harm reduction,medical specialty,Q930752
Q284411,refractive surgery,medical specialty,Q930752
Q3673891,oral medicine,medical specialty,Q930752
Q551875,neuroimaging,medical specialty,Q930752
Q760348,eye surgery,medical specialty,Q930752
Q1061415,regenerative medicine,medical specialty,Q930752
Q1650750,neuropathology,medical specialty,Q930752
Q849994,clinical chemistry,medical specialty,Q930752
Q426449,interventional radiology,medical specialty,Q930752
Q1318451,transfusion medicine,medical specialty,Q930752
Q760341,Strabismus surgery,medical specialty,Q930752
Q789523,balneology,medical specialty,Q930752
Q1335366,neuroendocrinology,medical specialty,Q930752
Q1470093,bariatric medicine,medical specialty,Q930752
Q1501272,phoniatrics,medical specialty,Q930752
Q1640326,otology,medical specialty,Q930752
Q499500,clinical pathology,medical specialty,Q930752
Q351870,reproductive medicine,medical specialty,Q930752
Q582071,maternal-fetal medicine,medical specialty,Q930752
Q2143237,trichology,medical specialty,Q930752
Q56298537,minimally invasive strabismus surgery,medical specialty,Q930752
Q3545481,surgical oncology,medical specialty,Q930752
Q744029,sleep medicine,medical specialty,Q930752
Q2143884,social medicine,medical specialty,Q930752
Q2624918,phthisiology,medical specialty,Q930752
Q3523816,molecular medicine,medical specialty,Q930752
Q1056943,molecular pathology,medical specialty,Q930752
Q11865729,podiatry,medical specialty,Q930752
Q21685486,forensic pathology,medical specialty,Q930752
